Exit stations,Entry stations->,,SATURDAY,,,Mar 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CM, 	11 , 	22 , 	4 , 	8 , 	16 , 	7 , 	12 , 	13 , 	16 , 	5 , 	10 , 	15 , 	7 , 	8 , 	5 , 	3 , 	5 , 	6 , 	7 , 	11 , 	13 , 	4 , 	4 , 	4 , 	13 , 	125 , 	145 , 	450 , 	190 , 	100 , 	111 , 	40 , 	88 , 	34 , 	9 , 	1 , 	5 , 	2 , 	26 , 	12 , 	74 , 	78 , 	48 , 	2 , 	3 , 	-   ," 	1,764 ",,,,,,,,,,,
CV, 	6 , 	7 , 	6 , 	7 , 	33 , 	7 , 	15 , 	15 , 	15 , 	70 , 	55 , 	66 , 	41 , 	68 , 	27 , 	13 , 	20 , 	27 , 	4 , 	5 , 	6 , 	1 , 	1 , 	5 , 	13 , 	155 , 	145 , 	281 , 	117 , 	34 , 	28 , 	7 , 	11 , 	15 , 	3 , 	6 , 	78 , 	0 , 	5 , 	2 , 	4 , 	12 , 	2 , 	80 , 	4 , 	-   ," 	1,518 ",,,,,,,,,,,
ED, 	9 , 	17 , 	7 , 	7 , 	93 , 	10 , 	23 , 	28 , 	31 , 	71 , 	98 , 	158 , 	40 , 	112 , 	47 , 	21 , 	31 , 	74 , 	9 , 	7 , 	7 , 	3 , 	2 , 	11 , 	19 , 	564 , 	372 , 	724 , 	316 , 	87 , 	56 , 	26 , 	31 , 	48 , 	8 , 	70 , 	45 , 	2 , 	10 , 	12 , 	10 , 	83 , 	15 , 	31 , 	35 , 	-   ," 	3,474 ",,,,,,,,,,,
NC, 	2 , 	3 , 	3 , 	4 , 	18 , 	5 , 	14 , 	17 , 	17 , 	2 , 	4 , 	17 , 	2 , 	3 , 	3 , 	1 , 	1 , 	4 , 	27 , 	14 , 	18 , 	5 , 	4 , 	10 , 	2 , 	81 , 	95 , 	154 , 	55 , 	18 , 	13 , 	6 , 	7 , 	10 , 	3 , 	1 , 	1 , 	4 , 	30 , 	5 , 	4 , 	32 , 	4 , 	0 , 	6 , 	-   , 	723 ,,,,,,,,,,,
WP, 	27 , 	45 , 	9 , 	12 , 	59 , 	17 , 	106 , 	57 , 	83 , 	14 , 	66 , 	78 , 	25 , 	25 , 	29 , 	13 , 	10 , 	28 , 	237 , 	90 , 	129 , 	22 , 	15 , 	36 , 	32 , 	222 , 	194 , 	438 , 	165 , 	69 , 	76 , 	33 , 	38 , 	48 , 	27 , 	6 , 	11 , 	33 , 	18 , 	20 , 	23 , 	73 , 	17 , 	5 , 	21 , 	-   ," 	2,794 ",,,,,,,,,,,
SS, 	7 , 	16 , 	4 , 	4 , 	10 , 	5 , 	7 , 	11 , 	12 , 	6 , 	9 , 	15 , 	5 , 	5 , 	5 , 	3 , 	4 , 	6 , 	12 , 	9 , 	9 , 	3 , 	2 , 	6 , 	5 , 	106 , 	145 , 	361 , 	159 , 	82 , 	78 , 	24 , 	46 , 	34 , 	9 , 	2 , 	9 , 	2 , 	11 , 	12 , 	30 , 	27 , 	23 , 	5 , 	2 , 	-   ," 	1,341 ",,,,,,,,,,,
SB, 	23 , 	22 , 	6 , 	7 , 	21 , 	6 , 	13 , 	14 , 	23 , 	12 , 	23 , 	23 , 	8 , 	16 , 	13 , 	6 , 	6 , 	5 , 	15 , 	3 , 	9 , 	3 , 	2 , 	4 , 	16 , 	131 , 	148 , 	411 , 	239 , 	115 , 	134 , 	63 , 	140 , 	122 , 	69 , 	5 , 	8 , 	2 , 	23 , 	37 , 	13 , 	44 , 	23 , 	4 , 	2 , 	-   ," 	2,028 ",,,,,,,,,,,
SO, 	31 , 	58 , 	46 , 	73 , 	341 , 	56 , 	64 , 	48 , 	64 , 	17 , 	30 , 	12 , 	22 , 	15 , 	13 , 	8 , 	13 , 	29 , 	49 , 	69 , 	92 , 	61 , 	48 , 	112 , 	59 , 	315 , 	251 ," 	1,185 ", 	400 , 	170 , 	131 , 	68 , 	81 , 	158 , 	69 , 	13 , 	84 , 	20 , 	65 , 	26 , 	37 , 	26 , 	284 , 	19 , 	17 , 	-   ," 	4,843 ",,,,,,,,,,,
MB, 	17 , 	24 , 	20 , 	19 , 	134 , 	18 , 	32 , 	35 , 	41 , 	10 , 	20 , 	29 , 	8 , 	5 , 	9 , 	3 , 	3 , 	7 , 	16 , 	13 , 	19 , 	10 , 	8 , 	24 , 	18 , 	291 , 	370 , 	851 , 	540 , 	239 , 	179 , 	68 , 	99 , 	147 , 	44 , 	1 , 	10 , 	2 , 	15 , 	26 , 	25 , 	294 , 	39 , 	6 , 	4 , 	-   ," 	3,788 ",,,,,,,,,,,
WD, 	3 , 	8 , 	6 , 	5 , 	42 , 	6 , 	13 , 	17 , 	15 , 	39 , 	56 , 	86 , 	44 , 	110 , 	48 , 	20 , 	25 , 	37 , 	6 , 	5 , 	1 , 	1 , 	0 , 	4 , 	9 , 	202 , 	135 , 	287 , 	135 , 	34 , 	21 , 	10 , 	16 , 	19 , 	1 , 	90 , 	26 , 	3 , 	6 , 	6 , 	4 , 	26 , 	5 , 	16 , 	16 , 	-   ," 	1,657 ",,,,,,,,,,,
