Exit stations,Entry stations->,,SUNDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	30 , 	33 , 	13 , 	81 , 	12 , 	23 , 	24 , 	23 , 	12 , 	19 , 	16 , 	7 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	5 , 	7 , 	1 , 	2 , 	5 , 	7 , 	55 , 	30 , 	115 , 	30 , 	30 , 	31 , 	8 , 	7 , 	10 , 	4 , 	1 , 	3 , 	2 , 	2 , 	5 , 	6 , 	22 , 	5 , 	0 , 	4 , 	2 , 	4 , 	6 , 	3 , 	5 , 	744 ,,,,,,,,,,,
GP, 	9 , 	11 , 	7 , 	10 , 	20 , 	10 , 	16 , 	16 , 	16 , 	14 , 	11 , 	5 , 	7 , 	5 , 	2 , 	3 , 	2 , 	3 , 	7 , 	4 , 	7 , 	6 , 	6 , 	11 , 	14 , 	68 , 	51 , 	243 , 	75 , 	66 , 	66 , 	11 , 	11 , 	18 , 	10 , 	4 , 	7 , 	2 , 	6 , 	10 , 	13 , 	60 , 	19 , 	4 , 	8 , 	2 , 	3 , 	3 , 	0 , 	6 , 	989 ,,,,,,,,,,,
BP, 	9 , 	11 , 	4 , 	4 , 	14 , 	6 , 	12 , 	12 , 	12 , 	8 , 	9 , 	6 , 	6 , 	6 , 	3 , 	5 , 	2 , 	1 , 	8 , 	3 , 	4 , 	2 , 	1 , 	4 , 	14 , 	73 , 	79 , 	412 , 	84 , 	72 , 	72 , 	12 , 	17 , 	15 , 	19 , 	2 , 	5 , 	1 , 	8 , 	12 , 	25 , 	54 , 	20 , 	1 , 	3 , 	2 , 	5 , 	9 , 	0 , 	4 ," 	1,171 ",,,,,,,,,,,
DC, 	10 , 	10 , 	5 , 	4 , 	17 , 	5 , 	7 , 	14 , 	7 , 	11 , 	15 , 	10 , 	11 , 	5 , 	6 , 	5 , 	6 , 	4 , 	6 , 	5 , 	7 , 	1 , 	2 , 	5 , 	11 , 	74 , 	73 , 	368 , 	106 , 	98 , 	96 , 	14 , 	18 , 	15 , 	12 , 	3 , 	15 , 	2 , 	7 , 	11 , 	31 , 	108 , 	40 , 	3 , 	7 , 	2 , 	6 , 	6 , 	1 , 	6 ," 	1,312 ",,,,,,,,,,,
CM, 	4 , 	8 , 	2 , 	1 , 	4 , 	2 , 	3 , 	5 , 	8 , 	2 , 	2 , 	0 , 	1 , 	2 , 	1 , 	0 , 	1 , 	3 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	6 , 	19 , 	25 , 	111 , 	35 , 	33 , 	33 , 	11 , 	24 , 	9 , 	6 , 	-   , 	1 , 	0 , 	6 , 	2 , 	10 , 	58 , 	12 , 	0 , 	0 , 	-   , 	0 , 	0 , 	0 , 	4 , 	465 ,,,,,,,,,,,
CV, 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	3 , 	1 , 	18 , 	14 , 	6 , 	11 , 	9 , 	3 , 	2 , 	2 , 	3 , 	0 , 	-   , 	-   , 	0 , 	0 , 	1 , 	3 , 	31 , 	26 , 	51 , 	17 , 	7 , 	5 , 	5 , 	2 , 	3 , 	0 , 	5 , 	18 , 	0 , 	-   , 	0 , 	1 , 	6 , 	1 , 	20 , 	4 , 	0 , 	2 , 	1 , 	1 , 	1 , 	297 ,,,,,,,,,,,
ED, 	2 , 	5 , 	1 , 	3 , 	11 , 	3 , 	4 , 	8 , 	7 , 	25 , 	29 , 	17 , 	21 , 	22 , 	11 , 	5 , 	7 , 	10 , 	1 , 	1 , 	2 , 	0 , 	0 , 	1 , 	6 , 	119 , 	62 , 	165 , 	54 , 	25 , 	19 , 	4 , 	5 , 	12 , 	1 , 	18 , 	22 , 	0 , 	0 , 	1 , 	1 , 	50 , 	3 , 	12 , 	29 , 	2 , 	18 , 	10 , 	1 , 	1 , 	836 ,,,,,,,,,,,
NC, 	1 , 	1 , 	0 , 	-   , 	2 , 	0 , 	5 , 	2 , 	2 , 	0 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	0 , 	7 , 	3 , 	7 , 	1 , 	1 , 	2 , 	0 , 	12 , 	7 , 	19 , 	7 , 	2 , 	3 , 	1 , 	1 , 	2 , 	-   , 	0 , 	0 , 	3 , 	6 , 	0 , 	1 , 	12 , 	1 , 	0 , 	3 , 	1 , 	1 , 	1 , 	5 , 	3 , 	133 ,,,,,,,,,,,
WP, 	3 , 	4 , 	1 , 	1 , 	3 , 	1 , 	10 , 	9 , 	6 , 	2 , 	3 , 	2 , 	2 , 	3 , 	2 , 	2 , 	2 , 	1 , 	37 , 	15 , 	31 , 	6 , 	3 , 	7 , 	4 , 	38 , 	33 , 	86 , 	21 , 	11 , 	17 , 	4 , 	9 , 	4 , 	7 , 	0 , 	1 , 	6 , 	9 , 	4 , 	2 , 	31 , 	1 , 	1 , 	8 , 	1 , 	2 , 	3 , 	4 , 	5 , 	470 ,,,,,,,,,,,
SS, 	6 , 	3 , 	1 , 	1 , 	4 , 	1 , 	3 , 	6 , 	5 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	3 , 	5 , 	3 , 	1 , 	0 , 	2 , 	2 , 	20 , 	22 , 	94 , 	30 , 	23 , 	28 , 	9 , 	9 , 	17 , 	5 , 	1 , 	2 , 	0 , 	3 , 	3 , 	8 , 	29 , 	8 , 	-   , 	1 , 	-   , 	0 , 	0 , 	-   , 	4 , 	374 ,,,,,,,,,,,
SB, 	10 , 	5 , 	1 , 	1 , 	5 , 	2 , 	3 , 	4 , 	6 , 	3 , 	2 , 	5 , 	4 , 	3 , 	1 , 	1 , 	-   , 	1 , 	3 , 	4 , 	2 , 	1 , 	1 , 	2 , 	6 , 	16 , 	23 , 	86 , 	46 , 	38 , 	41 , 	13 , 	28 , 	29 , 	14 , 	0 , 	3 , 	1 , 	4 , 	7 , 	5 , 	51 , 	8 , 	1 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	493 ,,,,,,,,,,,
SO, 	17 , 	21 , 	11 , 	24 , 	43 , 	15 , 	22 , 	20 , 	18 , 	6 , 	10 , 	8 , 	5 , 	4 , 	3 , 	2 , 	3 , 	7 , 	22 , 	28 , 	32 , 	15 , 	17 , 	26 , 	31 , 	102 , 	95 , 	440 , 	97 , 	60 , 	39 , 	24 , 	28 , 	57 , 	30 , 	2 , 	26 , 	13 , 	22 , 	12 , 	16 , 	65 , 	75 , 	5 , 	6 , 	2 , 	3 , 	1 , 	2 , 	19 ," 	1,649 ",,,,,,,,,,,
MB, 	9 , 	9 , 	4 , 	6 , 	28 , 	6 , 	5 , 	10 , 	13 , 	1 , 	2 , 	3 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	3 , 	6 , 	2 , 	2 , 	3 , 	8 , 	44 , 	41 , 	134 , 	69 , 	47 , 	40 , 	17 , 	25 , 	41 , 	9 , 	1 , 	3 , 	0 , 	1 , 	6 , 	6 , 	228 , 	20 , 	1 , 	1 , 	0 , 	1 , 	0 , 	0 , 	2 , 	864 ,,,,,,,,,,,
WD, 	1 , 	1 , 	1 , 	1 , 	7 , 	2 , 	5 , 	3 , 	1 , 	13 , 	16 , 	6 , 	13 , 	19 , 	8 , 	5 , 	5 , 	2 , 	1 , 	0 , 	1 , 	-   , 	0 , 	1 , 	2 , 	41 , 	20 , 	56 , 	23 , 	12 , 	5 , 	4 , 	3 , 	5 , 	1 , 	22 , 	12 , 	0 , 	1 , 	1 , 	1 , 	12 , 	2 , 	11 , 	10 , 	2 , 	6 , 	6 , 	-   , 	0 , 	368 ,,,,,,,,,,,
