Exit stations,Entry stations->,,SATURDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	35 , 	34 , 	20 , 	133 , 	21 , 	37 , 	25 , 	26 , 	9 , 	25 , 	22 , 	5 , 	6 , 	7 , 	4 , 	3 , 	5 , 	5 , 	9 , 	7 , 	3 , 	5 , 	4 , 	13 , 	62 , 	45 , 	144 , 	55 , 	45 , 	49 , 	13 , 	14 , 	13 , 	5 , 	4 , 	3 , 	2 , 	4 , 	5 , 	5 , 	23 , 	7 , 	1 , 	5 , 	7 , 	5 , 	6 , 	4 , 	4 ," 	1,003 ",,,,,,,,,,
BP, 	14 , 	13 , 	6 , 	4 , 	14 , 	9 , 	11 , 	18 , 	16 , 	11 , 	16 , 	11 , 	9 , 	7 , 	5 , 	2 , 	3 , 	4 , 	6 , 	6 , 	7 , 	3 , 	2 , 	7 , 	19 , 	126 , 	112 , 	565 , 	105 , 	99 , 	100 , 	13 , 	21 , 	17 , 	28 , 	3 , 	5 , 	1 , 	10 , 	16 , 	32 , 	45 , 	24 , 	4 , 	3 , 	1 , 	4 , 	5 , 	4 , 	8 ," 	1,572 ",,,,,,,,,,
DC, 	16 , 	14 , 	4 , 	5 , 	21 , 	6 , 	9 , 	21 , 	15 , 	16 , 	17 , 	19 , 	14 , 	8 , 	7 , 	6 , 	6 , 	7 , 	8 , 	12 , 	10 , 	4 , 	6 , 	11 , 	19 , 	121 , 	100 , 	467 , 	176 , 	125 , 	116 , 	21 , 	22 , 	25 , 	14 , 	5 , 	8 , 	3 , 	9 , 	12 , 	43 , 	108 , 	47 , 	8 , 	3 , 	5 , 	4 , 	8 , 	2 , 	9 ," 	1,735 ",,,,,,,,,,
CM, 	4 , 	5 , 	2 , 	2 , 	5 , 	1 , 	5 , 	5 , 	8 , 	2 , 	3 , 	3 , 	2 , 	4 , 	2 , 	1 , 	1 , 	2 , 	4 , 	3 , 	3 , 	1 , 	-   , 	4 , 	6 , 	35 , 	37 , 	130 , 	48 , 	42 , 	49 , 	12 , 	27 , 	16 , 	8 , 	1 , 	2 , 	1 , 	8 , 	6 , 	18 , 	52 , 	13 , 	1 , 	0 , 	-   , 	0 , 	1 , 	0 , 	5 , 	582 ,,,,,,,,,,
CV, 	3 , 	2 , 	1 , 	-   , 	6 , 	1 , 	2 , 	4 , 	3 , 	21 , 	21 , 	17 , 	16 , 	16 , 	6 , 	4 , 	5 , 	3 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	5 , 	42 , 	30 , 	75 , 	33 , 	11 , 	11 , 	7 , 	3 , 	4 , 	2 , 	6 , 	26 , 	0 , 	2 , 	1 , 	3 , 	4 , 	1 , 	27 , 	2 , 	0 , 	2 , 	2 , 	-   , 	1 , 	432 ,,,,,,,,,,
ED, 	3 , 	5 , 	3 , 	2 , 	20 , 	5 , 	7 , 	7 , 	9 , 	32 , 	41 , 	61 , 	28 , 	29 , 	18 , 	5 , 	11 , 	15 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	9 , 	158 , 	85 , 	168 , 	82 , 	34 , 	25 , 	10 , 	10 , 	15 , 	1 , 	24 , 	29 , 	0 , 	2 , 	2 , 	2 , 	43 , 	3 , 	13 , 	26 , 	7 , 	17 , 	11 , 	1 , 	1 ," 	1,089 ",,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	2 , 	0 , 	6 , 	3 , 	4 , 	1 , 	1 , 	7 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	10 , 	6 , 	8 , 	1 , 	1 , 	2 , 	0 , 	16 , 	15 , 	30 , 	11 , 	4 , 	4 , 	3 , 	2 , 	3 , 	1 , 	-   , 	0 , 	6 , 	10 , 	1 , 	2 , 	12 , 	0 , 	-   , 	2 , 	1 , 	0 , 	1 , 	4 , 	4 , 	187 ,,,,,,,,,,
WP, 	5 , 	9 , 	1 , 	3 , 	3 , 	2 , 	14 , 	13 , 	13 , 	3 , 	9 , 	10 , 	4 , 	4 , 	2 , 	4 , 	2 , 	1 , 	45 , 	20 , 	35 , 	9 , 	5 , 	12 , 	5 , 	50 , 	42 , 	142 , 	31 , 	13 , 	21 , 	10 , 	15 , 	12 , 	7 , 	0 , 	1 , 	11 , 	12 , 	4 , 	7 , 	41 , 	1 , 	0 , 	5 , 	3 , 	2 , 	3 , 	9 , 	10 , 	679 ,,,,,,,,,,
SS, 	6 , 	5 , 	2 , 	2 , 	7 , 	1 , 	4 , 	5 , 	8 , 	2 , 	3 , 	3 , 	2 , 	2 , 	2 , 	4 , 	1 , 	1 , 	3 , 	3 , 	4 , 	1 , 	1 , 	3 , 	6 , 	35 , 	24 , 	110 , 	49 , 	38 , 	41 , 	14 , 	20 , 	20 , 	6 , 	1 , 	1 , 	1 , 	5 , 	8 , 	13 , 	27 , 	7 , 	-   , 	1 , 	0 , 	1 , 	0 , 	2 , 	4 , 	503 ,,,,,,,,,,
SB, 	7 , 	9 , 	5 , 	2 , 	7 , 	4 , 	5 , 	10 , 	7 , 	4 , 	6 , 	8 , 	4 , 	5 , 	2 , 	1 , 	1 , 	1 , 	4 , 	2 , 	4 , 	3 , 	1 , 	5 , 	6 , 	40 , 	33 , 	139 , 	80 , 	53 , 	54 , 	22 , 	38 , 	42 , 	19 , 	2 , 	3 , 	2 , 	7 , 	14 , 	15 , 	43 , 	10 , 	1 , 	1 , 	1 , 	0 , 	-   , 	2 , 	3 , 	730 ,,,,,,,,,,
SO, 	18 , 	31 , 	19 , 	27 , 	43 , 	11 , 	28 , 	23 , 	31 , 	4 , 	9 , 	9 , 	7 , 	5 , 	3 , 	2 , 	5 , 	4 , 	28 , 	43 , 	44 , 	28 , 	20 , 	28 , 	38 , 	102 , 	83 , 	338 , 	97 , 	68 , 	48 , 	38 , 	32 , 	73 , 	38 , 	3 , 	30 , 	11 , 	29 , 	15 , 	24 , 	60 , 	104 , 	8 , 	6 , 	3 , 	3 , 	0 , 	3 , 	28 ," 	1,745 ",,,,,,,,,,
MB, 	9 , 	8 , 	4 , 	8 , 	39 , 	8 , 	13 , 	12 , 	12 , 	2 , 	3 , 	6 , 	3 , 	3 , 	3 , 	1 , 	1 , 	-   , 	4 , 	2 , 	4 , 	3 , 	2 , 	5 , 	7 , 	62 , 	30 , 	130 , 	82 , 	64 , 	44 , 	18 , 	27 , 	36 , 	14 , 	1 , 	2 , 	-   , 	2 , 	7 , 	6 , 	179 , 	30 , 	1 , 	2 , 	1 , 	-   , 	1 , 	1 , 	2 , 	896 ,,,,,,,,,,
WD, 	2 , 	1 , 	2 , 	1 , 	8 , 	1 , 	4 , 	3 , 	4 , 	21 , 	26 , 	21 , 	20 , 	24 , 	12 , 	14 , 	7 , 	3 , 	1 , 	2 , 	1 , 	2 , 	0 , 	2 , 	4 , 	63 , 	31 , 	63 , 	28 , 	15 , 	6 , 	5 , 	3 , 	6 , 	1 , 	27 , 	17 , 	-   , 	-   , 	1 , 	2 , 	11 , 	1 , 	10 , 	7 , 	2 , 	7 , 	8 , 	0 , 	1 , 	492 ,,,,,,,,,,
