Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	30 , 	44 , 	13 , 	17 , 	44 , 	19 , 	28 , 	27 , 	60 , 	22 , 	50 , 	46 , 	19 , 	20 , 	13 , 	18 , 	11 , 	26 , 	30 , 	23 , 	24 , 	7 , 	12 , 	23 , 	34 , 	296 , 	455 ," 	2,609 ", 	586 , 	388 , 	467 , 	74 , 	45 , 	57 , 	121 , 	5 , 	33 , 	11 , 	41 ," 	5,847 ",,,,,,,,,,
DC, 	24 , 	45 , 	13 , 	13 , 	65 , 	16 , 	24 , 	27 , 	55 , 	17 , 	51 , 	86 , 	22 , 	25 , 	21 , 	11 , 	21 , 	27 , 	30 , 	21 , 	21 , 	8 , 	8 , 	17 , 	17 , 	242 , 	280 ," 	1,086 ", 	373 , 	163 , 	235 , 	46 , 	69 , 	15 , 	60 , 	11 , 	43 , 	7 , 	31 ," 	3,350 ",,,,,,,,,,
CM, 	18 , 	40 , 	14 , 	18 , 	49 , 	15 , 	24 , 	23 , 	60 , 	9 , 	26 , 	47 , 	14 , 	14 , 	13 , 	9 , 	14 , 	17 , 	39 , 	34 , 	31 , 	13 , 	10 , 	21 , 	13 , 	200 , 	224 , 	765 , 	339 , 	138 , 	211 , 	65 , 	127 , 	56 , 	16 , 	9 , 	21 , 	11 , 	53 ," 	2,821 ",,,,,,,,,,
CV, 	3 , 	6 , 	3 , 	4 , 	18 , 	4 , 	6 , 	7 , 	38 , 	25 , 	42 , 	130 , 	30 , 	47 , 	24 , 	10 , 	8 , 	13 , 	5 , 	2 , 	3 , 	1 , 	0 , 	3 , 	3 , 	143 , 	68 , 	156 , 	52 , 	9 , 	9 , 	6 , 	8 , 	13 , 	10 , 	5 , 	84 , 	0 , 	2 ," 	1,002 ",,,,,,,,,,
ED, 	9 , 	17 , 	7 , 	10 , 	55 , 	14 , 	20 , 	22 , 	30 , 	37 , 	95 , 	489 , 	53 , 	132 , 	59 , 	25 , 	22 , 	47 , 	11 , 	6 , 	5 , 	2 , 	2 , 	7 , 	11 , 	684 , 	232 , 	590 , 	169 , 	32 , 	32 , 	16 , 	25 , 	37 , 	26 , 	73 , 	20 , 	1 , 	5 ," 	3,130 ",,,,,,,,,,
NC, 	4 , 	4 , 	4 , 	1 , 	9 , 	2 , 	9 , 	8 , 	11 , 	0 , 	5 , 	38 , 	2 , 	2 , 	4 , 	3 , 	1 , 	3 , 	28 , 	9 , 	30 , 	6 , 	2 , 	6 , 	2 , 	67 , 	42 , 	91 , 	37 , 	8 , 	15 , 	5 , 	12 , 	6 , 	13 , 	1 , 	2 , 	6 , 	39 , 	535 ,,,,,,,,,,
WP, 	26 , 	30 , 	8 , 	7 , 	28 , 	10 , 	57 , 	36 , 	76 , 	7 , 	40 , 	110 , 	20 , 	15 , 	18 , 	11 , 	14 , 	25 , 	301 , 	60 , 	93 , 	20 , 	9 , 	31 , 	12 , 	185 , 	109 , 	306 , 	99 , 	42 , 	72 , 	33 , 	51 , 	38 , 	60 , 	3 , 	8 , 	53 , 	15 ," 	2,137 ",,,,,,,,,,
Entries," 	2,504 "," 	3,501 "," 	1,831 "," 	1,926 "," 	5,816 "," 	2,497 "," 	3,316 "," 	2,353 "," 	4,279 "," 	2,138 "," 	4,747 "," 	5,879 "," 	2,243 "," 	2,555 "," 	2,059 "," 	1,221 "," 	1,657 "," 	2,928 "," 	2,468 "," 	1,854 "," 	2,326 "," 	1,087 ", 	990 ," 	2,302 "," 	2,256 "," 	8,763 "," 	6,858 "," 	20,955 "," 	8,652 "," 	5,919 "," 	7,265 "," 	3,632 "," 	6,123 "," 	3,518 "," 	2,986 ", 	940 ," 	3,200 ", 	529 ," 	1,823 "," 	147,897 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
