Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	28 , 	37 , 	7 , 	5 , 	21 , 	12 , 	22 , 	14 , 	48 , 	16 , 	47 , 	46 , 	16 , 	19 , 	8 , 	10 , 	10 , 	18 , 	22 , 	11 , 	14 , 	3 , 	5 , 	13 , 	20 , 	231 , 	283 ," 	2,038 ", 	591 , 	271 , 	351 , 	42 , 	43 , 	32 , 	94 , 	5 , 	14 , 	5 , 	30 ," 	4,497 ",,,,,,,,,,
DC, 	20 , 	29 , 	12 , 	6 , 	42 , 	11 , 	20 , 	15 , 	42 , 	15 , 	31 , 	107 , 	19 , 	22 , 	11 , 	7 , 	10 , 	26 , 	27 , 	12 , 	20 , 	9 , 	8 , 	12 , 	11 , 	140 , 	155 , 	811 , 	575 , 	114 , 	180 , 	33 , 	47 , 	17 , 	40 , 	8 , 	38 , 	5 , 	29 ," 	2,732 ",,,,,,,,,,
CM, 	23 , 	33 , 	11 , 	11 , 	41 , 	13 , 	21 , 	15 , 	58 , 	9 , 	23 , 	55 , 	7 , 	9 , 	10 , 	5 , 	8 , 	16 , 	34 , 	28 , 	23 , 	12 , 	11 , 	14 , 	7 , 	134 , 	125 , 	648 , 	509 , 	110 , 	159 , 	48 , 	87 , 	31 , 	15 , 	5 , 	19 , 	9 , 	45 ," 	2,437 ",,,,,,,,,,
CV, 	1 , 	4 , 	3 , 	3 , 	13 , 	6 , 	3 , 	7 , 	10 , 	22 , 	28 , 	128 , 	17 , 	39 , 	14 , 	7 , 	7 , 	11 , 	2 , 	1 , 	1 , 	2 , 	0 , 	3 , 	3 , 	71 , 	59 , 	135 , 	103 , 	14 , 	16 , 	6 , 	8 , 	10 , 	7 , 	3 , 	52 , 	0 , 	1 , 	817 ,,,,,,,,,,
ED, 	5 , 	13 , 	8 , 	7 , 	29 , 	12 , 	14 , 	8 , 	21 , 	23 , 	53 , 	645 , 	36 , 	80 , 	31 , 	16 , 	14 , 	30 , 	4 , 	3 , 	4 , 	1 , 	2 , 	6 , 	9 , 	353 , 	148 , 	404 , 	259 , 	25 , 	29 , 	13 , 	13 , 	33 , 	23 , 	39 , 	17 , 	1 , 	4 ," 	2,432 ",,,,,,,,,,
NC, 	2 , 	3 , 	3 , 	1 , 	5 , 	1 , 	5 , 	4 , 	12 , 	-   , 	4 , 	37 , 	1 , 	1 , 	4 , 	5 , 	2 , 	3 , 	15 , 	6 , 	12 , 	3 , 	2 , 	5 , 	1 , 	45 , 	22 , 	63 , 	47 , 	7 , 	9 , 	3 , 	4 , 	6 , 	10 , 	1 , 	2 , 	3 , 	25 , 	376 ,,,,,,,,,,
WP, 	19 , 	19 , 	4 , 	8 , 	18 , 	12 , 	46 , 	19 , 	45 , 	6 , 	31 , 	127 , 	20 , 	13 , 	17 , 	11 , 	13 , 	24 , 	176 , 	40 , 	67 , 	16 , 	7 , 	18 , 	9 , 	131 , 	69 , 	206 , 	141 , 	34 , 	58 , 	24 , 	33 , 	29 , 	54 , 	2 , 	5 , 	29 , 	15 ," 	1,614 ",,,,,,,,,,
Entries," 	2,035 "," 	2,308 "," 	1,345 "," 	1,541 "," 	4,004 "," 	1,949 "," 	2,546 "," 	1,600 "," 	3,221 "," 	1,715 "," 	4,050 "," 	6,272 "," 	1,694 "," 	1,911 "," 	1,516 ", 	863 ," 	1,263 "," 	2,481 "," 	1,814 "," 	1,356 "," 	1,643 ", 	796 , 	712 ," 	1,930 "," 	1,590 "," 	6,387 "," 	4,581 "," 	16,115 "," 	10,961 "," 	4,924 "," 	5,789 "," 	2,774 "," 	4,406 "," 	2,885 "," 	2,628 ", 	742 ," 	2,391 ", 	372 ," 	1,387 "," 	118,496 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
