Exit stations,Entry stations->,,SUNDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
DC, 	22 , 	28 , 	14 , 	16 , 	36 , 	12 , 	24 , 	22 , 	42 , 	34 , 	35 , 	54 , 	23 , 	19 , 	12 , 	10 , 	11 , 	20 , 	22 , 	13 , 	20 , 	7 , 	8 , 	15 , 	31 , 	282 , 	199 , 	875 , 	272 , 	179 , 	157 , 	37 , 	35 , 	21 , 	18 , 	9 , 	36 , 	8 , 	21 , 	18 , 	59 , 	193 , 	83 , 	13 , 	20 , 	11 , 	-   , 	-   , 	3 , 	14 ," 	3,111 ",,,,,,,,,,,
CM, 	3 , 	13 , 	4 , 	5 , 	6 , 	2 , 	5 , 	4 , 	13 , 	3 , 	5 , 	8 , 	3 , 	5 , 	3 , 	2 , 	2 , 	4 , 	10 , 	5 , 	9 , 	5 , 	1 , 	4 , 	8 , 	82 , 	56 , 	218 , 	90 , 	52 , 	49 , 	21 , 	29 , 	18 , 	10 , 	1 , 	6 , 	3 , 	10 , 	7 , 	24 , 	120 , 	28 , 	1 , 	5 , 	1 , 	-   , 	-   , 	1 , 	8 , 	969 ,,,,,,,,,,,
CV, 	3 , 	6 , 	2 , 	4 , 	14 , 	4 , 	6 , 	5 , 	9 , 	47 , 	32 , 	89 , 	19 , 	35 , 	9 , 	10 , 	6 , 	9 , 	2 , 	1 , 	2 , 	2 , 	1 , 	3 , 	8 , 	137 , 	71 , 	136 , 	63 , 	27 , 	14 , 	8 , 	9 , 	12 , 	1 , 	5 , 	43 , 	1 , 	1 , 	0 , 	2 , 	19 , 	2 , 	42 , 	12 , 	4 , 	-   , 	-   , 	1 , 	1 , 	941 ,,,,,,,,,,,
ED, 	6 , 	9 , 	10 , 	8 , 	61 , 	10 , 	17 , 	16 , 	18 , 	62 , 	68 , 	381 , 	39 , 	61 , 	23 , 	11 , 	21 , 	33 , 	6 , 	4 , 	1 , 	2 , 	3 , 	7 , 	15 , 	688 , 	253 , 	425 , 	181 , 	60 , 	46 , 	27 , 	34 , 	37 , 	4 , 	39 , 	31 , 	1 , 	4 , 	3 , 	5 , 	135 , 	13 , 	23 , 	89 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	3,007 ",,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	3 , 	6 , 	3 , 	6 , 	6 , 	7 , 	1 , 	4 , 	32 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	18 , 	8 , 	18 , 	4 , 	1 , 	8 , 	3 , 	76 , 	40 , 	70 , 	33 , 	11 , 	9 , 	4 , 	5 , 	5 , 	3 , 	1 , 	1 , 	4 , 	7 , 	2 , 	1 , 	39 , 	2 , 	0 , 	9 , 	1 , 	-   , 	-   , 	5 , 	5 , 	469 ,,,,,,,,,,,
WP, 	8 , 	10 , 	4 , 	4 , 	12 , 	6 , 	27 , 	16 , 	28 , 	7 , 	10 , 	39 , 	9 , 	4 , 	6 , 	7 , 	3 , 	6 , 	74 , 	30 , 	49 , 	13 , 	6 , 	14 , 	8 , 	144 , 	58 , 	164 , 	40 , 	22 , 	27 , 	12 , 	18 , 	19 , 	9 , 	1 , 	3 , 	10 , 	7 , 	5 , 	10 , 	84 , 	8 , 	1 , 	15 , 	4 , 	-   , 	-   , 	6 , 	13 ," 	1,078 ",,,,,,,,,,,
SS, 	9 , 	10 , 	2 , 	2 , 	9 , 	1 , 	5 , 	7 , 	10 , 	4 , 	8 , 	7 , 	5 , 	3 , 	2 , 	3 , 	2 , 	2 , 	7 , 	5 , 	5 , 	3 , 	4 , 	4 , 	7 , 	73 , 	43 , 	191 , 	65 , 	37 , 	40 , 	14 , 	17 , 	21 , 	4 , 	1 , 	4 , 	1 , 	10 , 	7 , 	17 , 	51 , 	11 , 	2 , 	4 , 	1 , 	-   , 	-   , 	2 , 	5 , 	747 ,,,,,,,,,,,
SB, 	4 , 	11 , 	4 , 	3 , 	15 , 	2 , 	9 , 	8 , 	13 , 	8 , 	12 , 	12 , 	4 , 	8 , 	5 , 	3 , 	4 , 	4 , 	13 , 	8 , 	7 , 	3 , 	2 , 	4 , 	10 , 	101 , 	54 , 	242 , 	87 , 	67 , 	80 , 	35 , 	74 , 	57 , 	26 , 	1 , 	6 , 	2 , 	11 , 	16 , 	11 , 	55 , 	18 , 	2 , 	3 , 	3 , 	-   , 	-   , 	2 , 	8 ," 	1,140 ",,,,,,,,,,,
SO, 	39 , 	62 , 	42 , 	63 , 	96 , 	37 , 	83 , 	50 , 	78 , 	24 , 	29 , 	18 , 	23 , 	13 , 	9 , 	6 , 	8 , 	14 , 	76 , 	96 , 	107 , 	65 , 	53 , 	82 , 	77 , 	267 , 	235 , 	966 , 	286 , 	124 , 	93 , 	46 , 	57 , 	105 , 	79 , 	9 , 	78 , 	30 , 	70 , 	27 , 	34 , 	53 , 	135 , 	27 , 	17 , 	9 , 	-   , 	-   , 	9 , 	31 ," 	4,037 ",,,,,,,,,,,
MB, 	11 , 	16 , 	13 , 	12 , 	68 , 	15 , 	19 , 	17 , 	29 , 	10 , 	8 , 	16 , 	7 , 	7 , 	2 , 	1 , 	2 , 	1 , 	11 , 	8 , 	13 , 	7 , 	8 , 	23 , 	16 , 	221 , 	105 , 	399 , 	210 , 	126 , 	101 , 	47 , 	54 , 	73 , 	15 , 	2 , 	10 , 	2 , 	8 , 	11 , 	18 , 	315 , 	26 , 	4 , 	7 , 	0 , 	-   , 	-   , 	2 , 	9 ," 	2,103 ",,,,,,,,,,,
WD, 	1 , 	5 , 	5 , 	3 , 	24 , 	3 , 	5 , 	5 , 	5 , 	33 , 	40 , 	106 , 	29 , 	48 , 	18 , 	6 , 	13 , 	11 , 	1 , 	2 , 	2 , 	1 , 	1 , 	2 , 	7 , 	199 , 	94 , 	146 , 	72 , 	27 , 	12 , 	9 , 	9 , 	13 , 	2 , 	41 , 	28 , 	0 , 	2 , 	1 , 	1 , 	48 , 	5 , 	12 , 	41 , 	4 , 	-   , 	-   , 	1 , 	1 ," 	1,146 ",,,,,,,,,,,
