Exit stations,Entry stations->,,SATURDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
24, 	84 , 	119 , 	54 , 	88 , 	180 , 	103 , 	165 , 	164 , 	128 , 	113 , 	153 , 	77 , 	46 , 	48 , 	32 , 	22 , 	26 , 	47 , 	34 , 	43 , 	49 , 	28 , 	35 , 	117 , 	204 , 	537 , 	391 ," 	1,423 ", 	517 , 	165 , 	37 , 	199 , 	312 , 	211 , 	78 , 	21 , 	66 , 	10 , 	46 , 	63 , 	110 , 	157 , 	150 , 	25 , 	19 , 	22 , 	-   , 	-   , 	6 , 	21 ," 	6,738 ",,,,,,,,,,
GP, 	21 , 	41 , 	17 , 	26 , 	68 , 	27 , 	47 , 	49 , 	53 , 	31 , 	39 , 	47 , 	22 , 	15 , 	17 , 	5 , 	10 , 	16 , 	18 , 	22 , 	22 , 	13 , 	14 , 	43 , 	46 , 	355 , 	258 , 	901 , 	244 , 	194 , 	194 , 	20 , 	45 , 	43 , 	33 , 	12 , 	30 , 	6 , 	13 , 	16 , 	48 , 	98 , 	69 , 	9 , 	16 , 	6 , 	-   , 	-   , 	3 , 	9 ," 	3,344 ",,,,,,,,,,
BP, 	27 , 	38 , 	14 , 	10 , 	52 , 	15 , 	35 , 	35 , 	59 , 	37 , 	38 , 	30 , 	25 , 	22 , 	13 , 	10 , 	15 , 	22 , 	16 , 	15 , 	13 , 	6 , 	8 , 	15 , 	46 , 	472 , 	454 ," 	1,830 ", 	383 , 	272 , 	267 , 	39 , 	36 , 	40 , 	37 , 	10 , 	32 , 	5 , 	22 , 	22 , 	85 , 	93 , 	63 , 	7 , 	7 , 	10 , 	-   , 	-   , 	4 , 	10 ," 	4,809 ",,,,,,,,,,
DC, 	21 , 	34 , 	15 , 	21 , 	67 , 	18 , 	25 , 	44 , 	56 , 	35 , 	42 , 	64 , 	17 , 	30 , 	15 , 	18 , 	17 , 	24 , 	23 , 	18 , 	23 , 	8 , 	8 , 	19 , 	39 , 	408 , 	338 ," 	1,181 ", 	353 , 	254 , 	222 , 	49 , 	43 , 	22 , 	21 , 	10 , 	40 , 	6 , 	22 , 	23 , 	71 , 	177 , 	90 , 	16 , 	12 , 	12 , 	-   , 	-   , 	3 , 	13 ," 	4,081 ",,,,,,,,,,
CM, 	3 , 	11 , 	4 , 	4 , 	10 , 	2 , 	9 , 	8 , 	18 , 	4 , 	7 , 	8 , 	3 , 	6 , 	2 , 	4 , 	3 , 	2 , 	8 , 	6 , 	6 , 	2 , 	2 , 	4 , 	6 , 	109 , 	85 , 	305 , 	112 , 	70 , 	89 , 	25 , 	39 , 	15 , 	9 , 	3 , 	5 , 	3 , 	12 , 	9 , 	27 , 	108 , 	25 , 	3 , 	2 , 	1 , 	-   , 	-   , 	2 , 	8 ," 	1,202 ",,,,,,,,,,
CV, 	3 , 	4 , 	3 , 	6 , 	20 , 	5 , 	7 , 	12 , 	17 , 	56 , 	36 , 	114 , 	24 , 	45 , 	16 , 	10 , 	7 , 	11 , 	2 , 	1 , 	2 , 	1 , 	-   , 	4 , 	8 , 	203 , 	104 , 	201 , 	82 , 	33 , 	17 , 	12 , 	10 , 	13 , 	2 , 	6 , 	51 , 	1 , 	2 , 	3 , 	3 , 	25 , 	5 , 	59 , 	6 , 	7 , 	-   , 	-   , 	1 , 	2 ," 	1,258 ",,,,,,,,,,
ED, 	9 , 	16 , 	11 , 	17 , 	90 , 	14 , 	20 , 	24 , 	34 , 	73 , 	87 , 	512 , 	50 , 	77 , 	28 , 	16 , 	24 , 	49 , 	7 , 	7 , 	5 , 	1 , 	1 , 	7 , 	19 , 	918 , 	382 , 	563 , 	247 , 	101 , 	47 , 	32 , 	35 , 	45 , 	6 , 	50 , 	34 , 	-   , 	5 , 	8 , 	9 , 	102 , 	11 , 	38 , 	63 , 	18 , 	-   , 	-   , 	1 , 	3 ," 	3,910 ",,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	2 , 	10 , 	5 , 	13 , 	7 , 	12 , 	2 , 	6 , 	41 , 	3 , 	4 , 	2 , 	2 , 	2 , 	4 , 	16 , 	9 , 	20 , 	6 , 	2 , 	10 , 	3 , 	114 , 	67 , 	105 , 	39 , 	15 , 	14 , 	5 , 	6 , 	6 , 	2 , 	1 , 	1 , 	6 , 	14 , 	2 , 	5 , 	41 , 	3 , 	1 , 	6 , 	5 , 	-   , 	-   , 	7 , 	7 , 	652 ,,,,,,,,,,
WP, 	13 , 	13 , 	4 , 	5 , 	17 , 	8 , 	36 , 	19 , 	40 , 	4 , 	16 , 	66 , 	10 , 	9 , 	7 , 	7 , 	5 , 	5 , 	97 , 	38 , 	63 , 	10 , 	5 , 	18 , 	11 , 	170 , 	105 , 	230 , 	77 , 	36 , 	51 , 	17 , 	26 , 	19 , 	13 , 	0 , 	2 , 	15 , 	15 , 	10 , 	17 , 	92 , 	11 , 	1 , 	14 , 	3 , 	-   , 	-   , 	9 , 	17 ," 	1,472 ",,,,,,,,,,
SS, 	4 , 	10 , 	4 , 	4 , 	10 , 	4 , 	5 , 	9 , 	14 , 	4 , 	8 , 	10 , 	6 , 	5 , 	2 , 	5 , 	3 , 	2 , 	10 , 	9 , 	11 , 	5 , 	2 , 	8 , 	9 , 	100 , 	69 , 	255 , 	88 , 	53 , 	53 , 	19 , 	23 , 	19 , 	9 , 	2 , 	5 , 	2 , 	11 , 	11 , 	24 , 	55 , 	18 , 	2 , 	2 , 	0 , 	-   , 	-   , 	3 , 	8 , 	989 ,,,,,,,,,,
