Exit stations,Entry stations->,,SUNDAY,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
GP, 	8 , 	12 , 	8 , 	15 , 	31 , 	11 , 	22 , 	22 , 	18 , 	19 , 	20 , 	9 , 	6 , 	7 , 	3 , 	1 , 	2 , 	2 , 	5 , 	11 , 	8 , 	6 , 	5 , 	14 , 	20 , 	96 , 	72 , 	247 , 	99 , 	77 , 	67 , 	14 , 	13 , 	27 , 	17 , 	7 , 	11 , 	2 , 	7 , 	10 , 	16 , 	85 , 	27 , 	2 , 	10 , 	2 , 	4 , 	4 , 	1 , 	6 ," 	1,210 ",,,,,,,,,,,
BP, 	10 , 	21 , 	5 , 	6 , 	25 , 	9 , 	14 , 	11 , 	15 , 	17 , 	13 , 	10 , 	9 , 	12 , 	3 , 	3 , 	4 , 	6 , 	5 , 	6 , 	5 , 	2 , 	2 , 	8 , 	16 , 	112 , 	85 , 	433 , 	117 , 	86 , 	75 , 	10 , 	12 , 	21 , 	20 , 	4 , 	7 , 	2 , 	10 , 	12 , 	24 , 	80 , 	22 , 	2 , 	5 , 	2 , 	7 , 	5 , 	1 , 	5 ," 	1,395 ",,,,,,,,,,,
DC, 	14 , 	12 , 	5 , 	5 , 	27 , 	7 , 	15 , 	16 , 	17 , 	13 , 	32 , 	7 , 	15 , 	10 , 	4 , 	6 , 	3 , 	6 , 	5 , 	11 , 	10 , 	4 , 	2 , 	8 , 	19 , 	141 , 	89 , 	399 , 	163 , 	116 , 	107 , 	21 , 	19 , 	17 , 	12 , 	6 , 	25 , 	2 , 	12 , 	18 , 	40 , 	134 , 	57 , 	5 , 	6 , 	5 , 	7 , 	9 , 	3 , 	7 ," 	1,693 ",,,,,,,,,,,
CM, 	5 , 	6 , 	2 , 	1 , 	6 , 	1 , 	4 , 	7 , 	6 , 	2 , 	3 , 	1 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	2 , 	3 , 	3 , 	1 , 	1 , 	2 , 	6 , 	39 , 	29 , 	124 , 	55 , 	42 , 	36 , 	22 , 	22 , 	11 , 	7 , 	1 , 	2 , 	0 , 	4 , 	2 , 	12 , 	75 , 	16 , 	0 , 	1 , 	0 , 	0 , 	1 , 	1 , 	5 , 	581 ,,,,,,,,,,,
CV, 	1 , 	1 , 	1 , 	2 , 	6 , 	1 , 	1 , 	1 , 	2 , 	19 , 	30 , 	9 , 	16 , 	17 , 	4 , 	4 , 	3 , 	3 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	2 , 	77 , 	33 , 	69 , 	37 , 	14 , 	8 , 	7 , 	4 , 	4 , 	0 , 	5 , 	25 , 	-   , 	-   , 	1 , 	2 , 	7 , 	1 , 	23 , 	5 , 	2 , 	3 , 	3 , 	2 , 	1 , 	461 ,,,,,,,,,,,
ED, 	4 , 	5 , 	1 , 	3 , 	21 , 	3 , 	6 , 	8 , 	4 , 	29 , 	35 , 	20 , 	21 , 	33 , 	11 , 	7 , 	7 , 	9 , 	2 , 	2 , 	2 , 	1 , 	2 , 	2 , 	13 , 	283 , 	97 , 	203 , 	93 , 	35 , 	19 , 	9 , 	9 , 	19 , 	1 , 	25 , 	25 , 	-   , 	2 , 	1 , 	0 , 	50 , 	3 , 	14 , 	29 , 	5 , 	16 , 	12 , 	0 , 	2 ," 	1,205 ",,,,,,,,,,,
NC, 	0 , 	1 , 	-   , 	1 , 	2 , 	0 , 	2 , 	3 , 	2 , 	0 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	-   , 	0 , 	10 , 	3 , 	9 , 	1 , 	1 , 	1 , 	0 , 	29 , 	10 , 	21 , 	9 , 	4 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	-   , 	4 , 	8 , 	0 , 	0 , 	15 , 	1 , 	-   , 	2 , 	1 , 	1 , 	-   , 	4 , 	4 , 	162 ,,,,,,,,,,,
WP, 	3 , 	3 , 	1 , 	0 , 	5 , 	1 , 	12 , 	6 , 	7 , 	2 , 	8 , 	5 , 	2 , 	3 , 	1 , 	2 , 	1 , 	2 , 	50 , 	14 , 	27 , 	7 , 	1 , 	7 , 	5 , 	62 , 	32 , 	72 , 	26 , 	12 , 	21 , 	4 , 	8 , 	8 , 	3 , 	-   , 	1 , 	10 , 	12 , 	2 , 	4 , 	35 , 	3 , 	0 , 	7 , 	1 , 	2 , 	3 , 	6 , 	7 , 	519 ,,,,,,,,,,,
SS, 	5 , 	3 , 	1 , 	1 , 	9 , 	1 , 	2 , 	2 , 	5 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	1 , 	2 , 	3 , 	6 , 	1 , 	1 , 	2 , 	3 , 	39 , 	19 , 	87 , 	45 , 	26 , 	26 , 	9 , 	14 , 	22 , 	4 , 	0 , 	2 , 	0 , 	4 , 	5 , 	5 , 	39 , 	8 , 	-   , 	1 , 	1 , 	1 , 	1 , 	-   , 	4 , 	424 ,,,,,,,,,,,
SB, 	8 , 	8 , 	3 , 	2 , 	8 , 	2 , 	5 , 	6 , 	6 , 	3 , 	6 , 	5 , 	3 , 	3 , 	3 , 	1 , 	0 , 	-   , 	3 , 	5 , 	3 , 	1 , 	2 , 	4 , 	8 , 	51 , 	32 , 	107 , 	70 , 	47 , 	44 , 	15 , 	27 , 	39 , 	14 , 	2 , 	4 , 	1 , 	3 , 	7 , 	7 , 	58 , 	9 , 	1 , 	2 , 	-   , 	1 , 	0 , 	2 , 	3 , 	643 ,,,,,,,,,,,
