Exit stations,Entry stations->,,SUNDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	24 , 	19 , 	8 , 	67 , 	13 , 	20 , 	23 , 	20 , 	19 , 	28 , 	18 , 	11 , 	4 , 	7 , 	3 , 	3 , 	2 , 	5 , 	3 , 	4 , 	2 , 	2 , 	4 , 	4 , 	48 , 	23 , 	95 , 	33 , 	30 , 	33 , 	8 , 	9 , 	7 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	6 , 	16 , 	3 , 	1 , 	5 , 	6 , 	5 , 	6 , 	2 , 	3 , 	672 ,,,,,,,,,,,
GP, 	6 , 	10 , 	4 , 	7 , 	22 , 	9 , 	15 , 	18 , 	13 , 	13 , 	16 , 	6 , 	5 , 	5 , 	2 , 	1 , 	2 , 	2 , 	7 , 	6 , 	7 , 	4 , 	4 , 	8 , 	16 , 	61 , 	34 , 	177 , 	77 , 	52 , 	59 , 	14 , 	13 , 	15 , 	11 , 	2 , 	10 , 	1 , 	6 , 	8 , 	17 , 	40 , 	15 , 	2 , 	5 , 	3 , 	1 , 	2 , 	1 , 	5 , 	836 ,,,,,,,,,,,
BP, 	10 , 	9 , 	3 , 	4 , 	14 , 	4 , 	10 , 	14 , 	15 , 	11 , 	10 , 	6 , 	8 , 	9 , 	3 , 	2 , 	2 , 	2 , 	8 , 	3 , 	4 , 	2 , 	1 , 	8 , 	16 , 	69 , 	59 , 	310 , 	87 , 	73 , 	68 , 	11 , 	16 , 	14 , 	17 , 	3 , 	6 , 	1 , 	7 , 	10 , 	25 , 	48 , 	15 , 	2 , 	2 , 	1 , 	2 , 	6 , 	1 , 	3 ," 	1,026 ",,,,,,,,,,,
DC, 	9 , 	11 , 	2 , 	3 , 	16 , 	5 , 	7 , 	17 , 	15 , 	14 , 	17 , 	8 , 	7 , 	9 , 	4 , 	2 , 	4 , 	4 , 	8 , 	6 , 	5 , 	3 , 	2 , 	8 , 	14 , 	66 , 	49 , 	259 , 	103 , 	86 , 	80 , 	15 , 	16 , 	15 , 	9 , 	4 , 	16 , 	1 , 	6 , 	11 , 	30 , 	84 , 	28 , 	4 , 	4 , 	3 , 	6 , 	8 , 	2 , 	6 ," 	1,101 ",,,,,,,,,,,
CM, 	3 , 	7 , 	0 , 	1 , 	4 , 	1 , 	3 , 	6 , 	8 , 	1 , 	3 , 	2 , 	2 , 	3 , 	3 , 	1 , 	-   , 	1 , 	4 , 	1 , 	3 , 	0 , 	1 , 	2 , 	6 , 	21 , 	21 , 	105 , 	44 , 	36 , 	33 , 	10 , 	18 , 	8 , 	8 , 	0 , 	0 , 	1 , 	4 , 	2 , 	12 , 	68 , 	9 , 	1 , 	-   , 	1 , 	1 , 	-   , 	1 , 	4 , 	469 ,,,,,,,,,,,
CV, 	2 , 	1 , 	-   , 	-   , 	4 , 	2 , 	1 , 	2 , 	1 , 	20 , 	14 , 	8 , 	11 , 	17 , 	4 , 	5 , 	3 , 	3 , 	-   , 	-   , 	0 , 	0 , 	-   , 	1 , 	2 , 	37 , 	17 , 	49 , 	22 , 	9 , 	5 , 	3 , 	3 , 	4 , 	0 , 	4 , 	17 , 	1 , 	1 , 	0 , 	1 , 	7 , 	2 , 	19 , 	3 , 	1 , 	1 , 	2 , 	-   , 	0 , 	304 ,,,,,,,,,,,
ED, 	3 , 	2 , 	1 , 	4 , 	16 , 	3 , 	5 , 	7 , 	6 , 	32 , 	24 , 	13 , 	23 , 	22 , 	7 , 	6 , 	8 , 	7 , 	2 , 	1 , 	2 , 	-   , 	-   , 	2 , 	10 , 	113 , 	50 , 	121 , 	48 , 	23 , 	21 , 	9 , 	6 , 	12 , 	2 , 	18 , 	15 , 	-   , 	2 , 	1 , 	1 , 	31 , 	4 , 	6 , 	26 , 	3 , 	5 , 	8 , 	-   , 	1 , 	725 ,,,,,,,,,,,
NC, 	1 , 	1 , 	-   , 	-   , 	3 , 	1 , 	4 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	-   , 	8 , 	4 , 	8 , 	2 , 	1 , 	2 , 	1 , 	13 , 	6 , 	21 , 	10 , 	3 , 	2 , 	3 , 	-   , 	4 , 	1 , 	-   , 	-   , 	2 , 	8 , 	1 , 	-   , 	13 , 	1 , 	-   , 	5 , 	1 , 	-   , 	1 , 	4 , 	4 , 	143 ,,,,,,,,,,,
WP, 	2 , 	4 , 	3 , 	1 , 	3 , 	2 , 	9 , 	9 , 	7 , 	2 , 	5 , 	3 , 	3 , 	5 , 	1 , 	1 , 	2 , 	1 , 	32 , 	13 , 	28 , 	7 , 	2 , 	6 , 	4 , 	40 , 	27 , 	59 , 	21 , 	12 , 	14 , 	3 , 	9 , 	8 , 	4 , 	1 , 	1 , 	6 , 	7 , 	2 , 	4 , 	32 , 	2 , 	-   , 	13 , 	3 , 	2 , 	0 , 	4 , 	5 , 	431 ,,,,,,,,,,,
SS, 	4 , 	1 , 	2 , 	0 , 	4 , 	2 , 	2 , 	3 , 	3 , 	4 , 	2 , 	0 , 	2 , 	0 , 	0 , 	2 , 	0 , 	1 , 	3 , 	3 , 	4 , 	-   , 	0 , 	1 , 	3 , 	19 , 	15 , 	62 , 	27 , 	17 , 	25 , 	8 , 	6 , 	16 , 	3 , 	1 , 	3 , 	-   , 	2 , 	6 , 	5 , 	22 , 	3 , 	1 , 	2 , 	0 , 	0 , 	1 , 	1 , 	3 , 	287 ,,,,,,,,,,,
SB, 	6 , 	6 , 	3 , 	1 , 	6 , 	1 , 	4 , 	7 , 	6 , 	2 , 	3 , 	4 , 	2 , 	4 , 	1 , 	1 , 	1 , 	0 , 	2 , 	4 , 	3 , 	1 , 	1 , 	4 , 	4 , 	22 , 	18 , 	72 , 	34 , 	35 , 	44 , 	16 , 	27 , 	34 , 	10 , 	0 , 	1 , 	-   , 	4 , 	6 , 	10 , 	24 , 	7 , 	0 , 	1 , 	-   , 	1 , 	1 , 	1 , 	3 , 	442 ,,,,,,,,,,,
SO, 	10 , 	18 , 	10 , 	10 , 	27 , 	8 , 	19 , 	17 , 	22 , 	6 , 	7 , 	5 , 	6 , 	8 , 	2 , 	4 , 	2 , 	2 , 	15 , 	21 , 	23 , 	17 , 	11 , 	19 , 	26 , 	89 , 	84 , 	337 , 	85 , 	60 , 	35 , 	22 , 	34 , 	50 , 	49 , 	3 , 	14 , 	6 , 	23 , 	15 , 	13 , 	32 , 	45 , 	3 , 	6 , 	1 , 	1 , 	1 , 	3 , 	17 ," 	1,335 ",,,,,,,,,,,
MB, 	3 , 	6 , 	5 , 	4 , 	25 , 	7 , 	8 , 	8 , 	7 , 	2 , 	1 , 	1 , 	0 , 	4 , 	0 , 	1 , 	1 , 	1 , 	2 , 	3 , 	3 , 	2 , 	3 , 	4 , 	6 , 	33 , 	16 , 	81 , 	59 , 	37 , 	31 , 	12 , 	20 , 	31 , 	8 , 	1 , 	1 , 	1 , 	2 , 	4 , 	5 , 	109 , 	17 , 	-   , 	2 , 	0 , 	-   , 	0 , 	1 , 	1 , 	573 ,,,,,,,,,,,
WD, 	1 , 	1 , 	2 , 	1 , 	5 , 	1 , 	2 , 	2 , 	1 , 	14 , 	17 , 	10 , 	12 , 	18 , 	9 , 	6 , 	6 , 	3 , 	0 , 	-   , 	0 , 	-   , 	-   , 	1 , 	2 , 	36 , 	14 , 	42 , 	21 , 	11 , 	5 , 	2 , 	2 , 	4 , 	-   , 	16 , 	10 , 	-   , 	-   , 	-   , 	1 , 	11 , 	1 , 	5 , 	11 , 	-   , 	2 , 	3 , 	-   , 	-   , 	306 ,,,,,,,,,,,
