Exit stations,Entry stations->,,SUNDAY,,,Oct 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
BP, 	23 , 	46 , 	16 , 	22 , 	34 , 	20 , 	32 , 	23 , 	29 , 	42 , 	40 , 	49 , 	22 , 	19 , 	15 , 	11 , 	15 , 	29 , 	33 , 	29 , 	42 , 	12 , 	13 , 	23 , 	39 , 	256 , 	256 ," 	1,383 ", 	356 , 	251 , 	222 , 	48 , 	30 , 	55 , 	51 , 	12 , 	81 , 	13 , 	44 , 	30 , 	96 , 	108 , 	80 , 	21 ," 	4,062 ",,,,,,,,,,,
DC, 	17 , 	25 , 	10 , 	10 , 	46 , 	13 , 	22 , 	21 , 	23 , 	25 , 	27 , 	78 , 	17 , 	19 , 	8 , 	11 , 	13 , 	28 , 	20 , 	20 , 	22 , 	9 , 	11 , 	15 , 	20 , 	164 , 	157 , 	712 , 	230 , 	145 , 	123 , 	35 , 	75 , 	14 , 	20 , 	11 , 	40 , 	10 , 	34 , 	20 , 	77 , 	140 , 	92 , 	19 ," 	2,644 ",,,,,,,,,,,
CM, 	4 , 	14 , 	4 , 	3 , 	12 , 	3 , 	9 , 	6 , 	12 , 	4 , 	7 , 	9 , 	3 , 	5 , 	4 , 	3 , 	2 , 	4 , 	8 , 	4 , 	5 , 	2 , 	3 , 	3 , 	6 , 	58 , 	58 , 	251 , 	99 , 	53 , 	56 , 	21 , 	56 , 	22 , 	9 , 	3 , 	2 , 	4 , 	13 , 	9 , 	42 , 	74 , 	30 , 	1 , 	995 ,,,,,,,,,,,
CV, 	2 , 	4 , 	2 , 	5 , 	12 , 	3 , 	7 , 	4 , 	7 , 	39 , 	25 , 	172 , 	22 , 	38 , 	12 , 	8 , 	9 , 	10 , 	2 , 	3 , 	2 , 	1 , 	0 , 	3 , 	5 , 	70 , 	50 , 	113 , 	63 , 	16 , 	17 , 	7 , 	10 , 	8 , 	2 , 	3 , 	40 , 	1 , 	5 , 	0 , 	1 , 	12 , 	4 , 	50 , 	865 ,,,,,,,,,,,
ED, 	7 , 	8 , 	4 , 	5 , 	27 , 	7 , 	10 , 	15 , 	16 , 	51 , 	41 , 	760 , 	22 , 	60 , 	19 , 	8 , 	16 , 	39 , 	4 , 	2 , 	4 , 	2 , 	1 , 	5 , 	11 , 	215 , 	120 , 	313 , 	172 , 	47 , 	30 , 	18 , 	81 , 	33 , 	2 , 	31 , 	26 , 	1 , 	7 , 	3 , 	6 , 	81 , 	7 , 	15 ," 	2,347 ",,,,,,,,,,,
NC, 	2 , 	2 , 	2 , 	2 , 	3 , 	4 , 	8 , 	5 , 	7 , 	3 , 	4 , 	64 , 	3 , 	3 , 	3 , 	1 , 	2 , 	2 , 	16 , 	6 , 	14 , 	3 , 	2 , 	6 , 	2 , 	37 , 	30 , 	73 , 	40 , 	11 , 	8 , 	5 , 	14 , 	7 , 	2 , 	1 , 	1 , 	4 , 	14 , 	3 , 	3 , 	26 , 	4 , 	1 , 	443 ,,,,,,,,,,,
WP, 	29 , 	25 , 	7 , 	9 , 	29 , 	13 , 	61 , 	27 , 	36 , 	12 , 	30 , 	155 , 	14 , 	19 , 	12 , 	7 , 	8 , 	21 , 	122 , 	48 , 	75 , 	15 , 	11 , 	20 , 	18 , 	100 , 	72 , 	213 , 	86 , 	37 , 	28 , 	20 , 	41 , 	26 , 	13 , 	6 , 	8 , 	15 , 	8 , 	9 , 	11 , 	68 , 	17 , 	2 ," 	1,597 ",,,,,,,,,,,
SS, 	4 , 	7 , 	3 , 	3 , 	9 , 	2 , 	3 , 	4 , 	9 , 	5 , 	5 , 	21 , 	3 , 	4 , 	2 , 	1 , 	3 , 	4 , 	7 , 	4 , 	4 , 	2 , 	2 , 	2 , 	4 , 	43 , 	49 , 	180 , 	62 , 	33 , 	32 , 	11 , 	30 , 	27 , 	8 , 	1 , 	4 , 	4 , 	9 , 	6 , 	28 , 	35 , 	18 , 	3 , 	693 ,,,,,,,,,,,
SB, 	6 , 	8 , 	5 , 	3 , 	10 , 	2 , 	7 , 	3 , 	11 , 	4 , 	10 , 	15 , 	3 , 	8 , 	3 , 	1 , 	2 , 	3 , 	9 , 	6 , 	4 , 	1 , 	3 , 	2 , 	7 , 	53 , 	34 , 	160 , 	82 , 	46 , 	78 , 	30 , 	80 , 	66 , 	36 , 	2 , 	5 , 	1 , 	11 , 	22 , 	5 , 	42 , 	20 , 	1 , 	906 ,,,,,,,,,,,
SO, 	13 , 	31 , 	25 , 	44 , 	121 , 	27 , 	47 , 	28 , 	48 , 	11 , 	21 , 	69 , 	10 , 	8 , 	4 , 	8 , 	12 , 	18 , 	35 , 	59 , 	75 , 	54 , 	33 , 	68 , 	36 , 	260 , 	269 ," 	1,085 ", 	348 , 	151 , 	115 , 	52 , 	104 , 	79 , 	41 , 	9 , 	49 , 	18 , 	45 , 	18 , 	20 , 	28 , 	146 , 	17 ," 	3,754 ",,,,,,,,,,,
