Exit stations,Entry stations->,,TOTAL,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,685 "," 	1,430 ", 	832 ," 	4,922 "," 	1,100 "," 	1,562 "," 	1,127 "," 	1,529 ", 	444 ," 	1,045 ", 	851 , 	431 , 	207 , 	329 , 	212 , 	171 , 	198 , 	277 , 	306 , 	287 , 	144 , 	109 , 	323 , 	476 ," 	3,958 "," 	3,212 "," 	6,205 "," 	3,229 "," 	2,161 "," 	2,268 ", 	607 , 	576 , 	708 , 	260 , 	102 , 	145 , 	56 , 	161 , 	201 , 	285 , 	855 , 	272 , 	66 , 	177 , 	367 , 	132 , 	190 , 	175 , 	160 ," 	46,947 ",,,,,,,,,,,,,
SS, 	166 , 	316 , 	106 , 	62 , 	217 , 	51 , 	204 , 	402 , 	507 , 	128 , 	142 , 	112 , 	135 , 	103 , 	82 , 	90 , 	37 , 	13 , 	163 , 	125 , 	199 , 	43 , 	31 , 	139 , 	150 ," 	2,942 "," 	2,975 "," 	4,617 "," 	3,219 "," 	1,543 "," 	1,447 ", 	544 , 	968 ," 	1,069 ", 	274 , 	47 , 	136 , 	76 , 	188 , 	233 , 	406 , 	975 , 	531 , 	25 , 	49 , 	23 , 	24 , 	15 , 	46 , 	241 ," 	26,336 ",,,,,,,,,,,,,
SB, 	328 , 	389 , 	122 , 	88 , 	274 , 	150 , 	204 , 	325 , 	424 , 	182 , 	198 , 	211 , 	128 , 	103 , 	113 , 	46 , 	31 , 	53 , 	247 , 	216 , 	177 , 	75 , 	47 , 	131 , 	351 ," 	2,676 "," 	2,727 "," 	4,576 "," 	3,393 "," 	1,763 "," 	1,811 ", 	808 ," 	1,461 "," 	1,683 ", 	591 , 	67 , 	102 , 	63 , 	282 , 	480 , 	344 ," 	1,623 ", 	417 , 	46 , 	62 , 	27 , 	15 , 	21 , 	120 , 	280 ," 	30,051 ",,,,,,,,,,,,,
SO," 	1,064 "," 	1,381 ", 	925 ," 	1,405 "," 	3,169 "," 	1,092 "," 	1,613 "," 	1,540 "," 	1,616 ", 	385 , 	651 , 	368 , 	337 , 	205 , 	174 , 	105 , 	189 , 	343 ," 	1,540 "," 	1,984 "," 	2,087 "," 	1,237 "," 	1,018 "," 	1,884 "," 	1,857 "," 	4,043 "," 	3,823 "," 	12,115 "," 	5,067 "," 	3,207 "," 	2,148 "," 	1,542 "," 	1,641 "," 	2,889 "," 	1,907 ", 	144 ," 	1,466 ", 	475 ," 	1,546 ", 	652 ," 	1,091 "," 	1,840 "," 	6,356 ", 	339 , 	322 , 	173 , 	189 , 	126 , 	177 ," 	1,191 "," 	82,638 ",,,,,,,,,,,,,
MB, 	341 , 	571 , 	209 , 	179 , 	944 , 	193 , 	387 , 	513 , 	584 , 	112 , 	119 , 	154 , 	79 , 	99 , 	70 , 	42 , 	43 , 	27 , 	222 , 	96 , 	183 , 	76 , 	48 , 	107 , 	266 ," 	3,698 "," 	3,742 "," 	5,453 "," 	3,762 "," 	1,797 "," 	1,657 ", 	912 ," 	1,549 "," 	2,129 ", 	821 , 	28 , 	182 , 	30 , 	84 , 	505 , 	300 ," 	5,996 ", 	768 , 	57 , 	50 , 	11 , 	17 , 	10 , 	59 , 	146 ," 	39,427 ",,,,,,,,,,,,,
WD, 	93 , 	196 , 	79 , 	58 , 	253 , 	68 , 	197 , 	434 , 	293 , 	843 , 	813 , 	418 , 	699 ," 	1,142 ", 	558 , 	344 , 	351 , 	221 , 	63 , 	31 , 	24 , 	25 , 	6 , 	31 , 	154 ," 	4,393 "," 	2,570 "," 	2,836 "," 	1,851 ", 	609 , 	415 , 	208 , 	214 , 	320 , 	20 ," 	1,051 ", 	593 , 	12 , 	21 , 	32 , 	61 , 	477 , 	58 , 	256 , 	331 , 	145 , 	205 , 	235 , 	15 , 	23 ," 	24,345 ",,,,,,,,,,,,,
OA, 	173 , 	437 , 	378 , 	379 ," 	1,577 ", 	329 , 	342 , 	425 , 	422 , 	330 , 	182 , 	389 , 	116 , 	131 , 	130 , 	108 , 	182 , 	232 , 	326 , 	407 , 	394 , 	192 , 	117 , 	175 , 	114 ," 	1,488 ", 	959 ," 	1,223 ", 	803 , 	364 , 	297 , 	170 , 	111 , 	165 , 	21 , 	68 , 	707 , 	79 , 	247 , 	35 , 	51 , 	462 , 	62 , 	256 , 	181 , 	90 , 	216 , 	145 , 	46 , 	286 ," 	16,519 ",,,,,,,,,,,,,
WS, 	426 , 	534 , 	164 , 	144 , 	500 , 	246 , 	375 , 	578 , 	543 , 	741 ," 	1,137 ", 	774 , 	819 , 	799 ," 	1,199 "," 	1,087 "," 	1,185 "," 	1,099 ", 	78 , 	82 , 	47 , 	7 , 	6 , 	84 , 	198 ," 	1,708 "," 	1,145 "," 	1,261 ", 	879 , 	278 , 	190 , 	160 , 	128 , 	113 , 	11 , 	139 , 	294 , 	39 , 	122 , 	33 , 	30 , 	219 , 	7 , 	111 , 	94 , 	286 ," 	1,366 "," 	1,361 ", 	73 , 	147 ," 	23,046 ",,,,,,,,,,,,,
ML, 	178 , 	360 , 	128 , 	145 , 	873 , 	231 , 	373 , 	473 , 	581 , 	451 , 	505 , 	331 , 	444 , 	458 , 	876 , 	606 ," 	1,216 "," 	1,575 ", 	205 , 	123 , 	96 , 	35 , 	60 , 	83 , 	111 ," 	2,329 "," 	1,871 "," 	2,405 "," 	1,122 ", 	297 , 	215 , 	165 , 	212 , 	233 , 	19 , 	142 , 	390 , 	19 , 	55 , 	24 , 	22 , 	225 , 	23 , 	137 , 	240 ," 	1,399 ", 	431 , 	438 , 	45 , 	98 ," 	23,073 ",,,,,,,,,,,,,
BE, 	216 , 	395 , 	198 , 	188 ," 	1,324 ", 	317 , 	564 , 	872 , 	811 , 	605 , 	654 , 	507 , 	567 , 	589 , 	889 , 	575 ," 	1,030 "," 	1,415 ", 	146 , 	194 , 	123 , 	59 , 	34 , 	91 , 	177 ," 	2,432 "," 	1,863 "," 	2,318 "," 	1,270 ", 	482 , 	305 , 	112 , 	161 , 	268 , 	33 , 	91 , 	378 , 	35 , 	74 , 	13 , 	22 , 	178 , 	13 , 	229 , 	226 ," 	1,568 ", 	418 , 	476 , 	34 , 	106 ," 	25,645 ",,,,,,,,,,,,,
PC, 	155 , 	98 , 	55 , 	35 , 	151 , 	43 , 	408 , 	223 , 	486 , 	52 , 	100 , 	148 , 	67 , 	48 , 	30 , 	26 , 	40 , 	31 ," 	1,297 ", 	414 , 	693 , 	155 , 	112 , 	220 , 	145 , 	587 , 	633 ," 	1,141 ", 	744 , 	359 , 	215 , 	74 , 	151 , 	141 , 	60 , 	6 , 	26 , 	273 , 	236 , 	82 , 	114 , 	152 , 	48 , 	20 , 	48 , 	48 , 	29 , 	41 , 	82 , 	560 ," 	11,102 ",,,,,,,,,,,,,
AN, 	173 , 	169 , 	57 , 	56 , 	425 , 	154 ," 	1,097 ", 	899 ," 	1,315 ", 	204 , 	268 , 	398 , 	247 , 	83 , 	221 , 	94 , 	107 , 	141 ," 	1,501 ", 	728 ," 	1,167 ", 	173 , 	134 , 	435 , 	255 ," 	3,970 "," 	3,252 "," 	4,482 "," 	3,137 "," 	1,130 ", 	864 , 	564 , 	499 , 	562 , 	280 , 	37 , 	80 , 	266 , 	458 , 	226 , 	250 ," 	1,408 ", 	158 , 	22 , 	367 , 	175 , 	105 , 	114 , 	507 , 	384 ," 	33,798 ",,,,,,,,,,,,,
Entries," 	50,439 "," 	72,439 "," 	41,432 "," 	36,396 "," 	91,531 "," 	39,475 "," 	74,069 "," 	83,867 "," 	90,821 "," 	56,531 "," 	80,699 "," 	45,618 "," 	61,005 "," 	53,172 "," 	42,531 "," 	28,093 "," 	33,065 "," 	35,894 "," 	48,501 "," 	44,525 "," 	51,320 "," 	29,095 "," 	22,951 "," 	44,395 "," 	75,860 "," 	263,493 "," 	215,822 "," 	321,629 "," 	196,292 "," 	117,051 "," 	115,601 "," 	64,207 "," 	88,229 "," 	83,308 "," 	31,883 "," 	23,196 "," 	55,158 "," 	12,126 "," 	36,232 "," 	25,836 "," 	28,753 "," 	90,352 "," 	41,530 "," 	23,478 "," 	16,529 "," 	25,148 "," 	22,802 "," 	24,496 "," 	11,662 "," 	34,321 "," 	3,302,858 ",,,,,,,,,,,,,
