Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
24, 	159 , 	177 , 	63 , 	88 , 	229 , 	121 , 	206 , 	307 , 	278 , 	147 , 	202 , 	146 , 	90 , 	86 , 	57 , 	41 , 	32 , 	37 , 	77 , 	70 , 	65 , 	34 , 	28 , 	97 , 	226 ," 	1,605 "," 	1,981 "," 	1,843 ", 	969 , 	207 , 	39 , 	262 , 	501 , 	234 , 	122 , 	28 , 	76 , 	34 , 	94 , 	98 , 	127 , 	184 , 	225 , 	39 , 	25 , 	29 , 	-   , 	-   , 	18 , 	59 ," 	11,862 ",,,,,,,,,,,,,
GP, 	41 , 	78 , 	31 , 	28 , 	132 , 	38 , 	74 , 	165 , 	172 , 	61 , 	70 , 	73 , 	46 , 	34 , 	30 , 	14 , 	14 , 	20 , 	42 , 	49 , 	50 , 	17 , 	21 , 	49 , 	73 ," 	1,213 "," 	1,429 "," 	1,241 ", 	695 , 	314 , 	256 , 	27 , 	115 , 	66 , 	54 , 	20 , 	71 , 	18 , 	45 , 	37 , 	62 , 	113 , 	130 , 	27 , 	18 , 	14 , 	-   , 	-   , 	12 , 	34 ," 	7,434 ",,,,,,,,,,,,,
BP, 	63 , 	89 , 	29 , 	29 , 	99 , 	35 , 	69 , 	124 , 	182 , 	75 , 	78 , 	65 , 	68 , 	42 , 	32 , 	23 , 	21 , 	26 , 	49 , 	40 , 	39 , 	10 , 	13 , 	32 , 	78 ," 	1,528 "," 	1,943 "," 	2,514 "," 	1,249 ", 	526 , 	480 , 	110 , 	45 , 	84 , 	71 , 	18 , 	67 , 	16 , 	45 , 	54 , 	109 , 	113 , 	137 , 	24 , 	10 , 	12 , 	-   , 	-   , 	9 , 	35 ," 	10,608 ",,,,,,,,,,,,,
DC, 	64 , 	110 , 	37 , 	32 , 	104 , 	37 , 	66 , 	139 , 	200 , 	78 , 	98 , 	115 , 	75 , 	54 , 	40 , 	39 , 	39 , 	50 , 	66 , 	58 , 	58 , 	17 , 	16 , 	30 , 	58 ," 	1,388 "," 	1,768 "," 	1,469 ", 	839 , 	317 , 	269 , 	65 , 	102 , 	30 , 	41 , 	26 , 	96 , 	29 , 	59 , 	60 , 	116 , 	205 , 	245 , 	38 , 	19 , 	25 , 	-   , 	-   , 	14 , 	49 ," 	8,948 ",,,,,,,,,,,,,
CM, 	16 , 	24 , 	6 , 	7 , 	32 , 	10 , 	21 , 	67 , 	119 , 	13 , 	6 , 	19 , 	10 , 	9 , 	5 , 	9 , 	7 , 	5 , 	29 , 	12 , 	19 , 	7 , 	3 , 	5 , 	19 , 	871 , 	989 , 	625 , 	477 , 	143 , 	123 , 	49 , 	76 , 	38 , 	13 , 	4 , 	20 , 	3 , 	18 , 	16 , 	41 , 	131 , 	90 , 	3 , 	3 , 	2 , 	-   , 	-   , 	3 , 	15 ," 	4,231 ",,,,,,,,,,,,,
CV, 	5 , 	8 , 	5 , 	6 , 	51 , 	9 , 	21 , 	71 , 	114 , 	110 , 	51 , 	119 , 	41 , 	54 , 	19 , 	15 , 	18 , 	30 , 	5 , 	3 , 	4 , 	1 , 	2 , 	5 , 	12 , 	543 , 	559 , 	274 , 	256 , 	82 , 	33 , 	24 , 	22 , 	30 , 	4 , 	9 , 	101 , 	2 , 	1 , 	3 , 	7 , 	24 , 	6 , 	68 , 	9 , 	13 , 	-   , 	-   , 	1 , 	2 ," 	2,854 ",,,,,,,,,,,,,
ED, 	17 , 	30 , 	14 , 	14 , 	139 , 	21 , 	68 , 	232 , 	259 , 	188 , 	136 , 	417 , 	112 , 	136 , 	67 , 	39 , 	70 , 	77 , 	8 , 	5 , 	7 , 	2 , 	3 , 	10 , 	34 ," 	2,129 "," 	1,843 ", 	698 , 	676 , 	231 , 	85 , 	74 , 	79 , 	96 , 	18 , 	108 , 	45 , 	2 , 	5 , 	24 , 	14 , 	132 , 	19 , 	49 , 	83 , 	26 , 	-   , 	-   , 	2 , 	4 ," 	8,545 ",,,,,,,,,,,,,
NC, 	4 , 	7 , 	5 , 	6 , 	32 , 	8 , 	47 , 	127 , 	123 , 	8 , 	9 , 	29 , 	11 , 	7 , 	7 , 	1 , 	2 , 	7 , 	46 , 	34 , 	59 , 	11 , 	6 , 	23 , 	7 , 	367 , 	355 , 	215 , 	220 , 	67 , 	39 , 	17 , 	18 , 	27 , 	3 , 	1 , 	2 , 	9 , 	29 , 	9 , 	11 , 	57 , 	8 , 	1 , 	13 , 	4 , 	-   , 	-   , 	15 , 	23 ," 	2,137 ",,,,,,,,,,,,,
WP, 	19 , 	14 , 	6 , 	9 , 	67 , 	16 , 	142 , 	174 , 	213 , 	20 , 	26 , 	53 , 	17 , 	9 , 	21 , 	9 , 	10 , 	15 , 	164 , 	73 , 	137 , 	25 , 	14 , 	36 , 	15 , 	507 , 	507 , 	440 , 	405 , 	135 , 	111 , 	49 , 	49 , 	58 , 	19 , 	2 , 	4 , 	31 , 	23 , 	24 , 	33 , 	131 , 	21 , 	3 , 	20 , 	12 , 	-   , 	-   , 	16 , 	28 ," 	3,931 ",,,,,,,,,,,,,
SS, 	14 , 	30 , 	8 , 	8 , 	36 , 	9 , 	29 , 	69 , 	90 , 	14 , 	13 , 	24 , 	13 , 	10 , 	8 , 	6 , 	5 , 	7 , 	27 , 	28 , 	23 , 	7 , 	10 , 	14 , 	21 , 	640 , 	754 , 	448 , 	387 , 	115 , 	104 , 	39 , 	62 , 	59 , 	17 , 	4 , 	23 , 	9 , 	23 , 	15 , 	29 , 	64 , 	64 , 	7 , 	4 , 	4 , 	-   , 	-   , 	7 , 	21 ," 	3,421 ",,,,,,,,,,,,,
SB, 	22 , 	41 , 	12 , 	10 , 	39 , 	15 , 	29 , 	74 , 	84 , 	18 , 	28 , 	31 , 	13 , 	20 , 	14 , 	7 , 	5 , 	8 , 	26 , 	34 , 	22 , 	8 , 	8 , 	12 , 	30 , 	649 , 	706 , 	453 , 	365 , 	141 , 	132 , 	63 , 	123 , 	123 , 	44 , 	6 , 	15 , 	11 , 	35 , 	30 , 	16 , 	67 , 	46 , 	5 , 	6 , 	2 , 	-   , 	-   , 	6 , 	21 ," 	3,677 ",,,,,,,,,,,,,
SO, 	59 , 	126 , 	76 , 	98 , 	159 , 	70 , 	125 , 	114 , 	133 , 	47 , 	68 , 	38 , 	47 , 	32 , 	22 , 	18 , 	24 , 	38 , 	154 , 	190 , 	184 , 	100 , 	96 , 	143 , 	140 , 	490 , 	507 , 	984 , 	451 , 	185 , 	169 , 	106 , 	118 , 	201 , 	138 , 	22 , 	124 , 	64 , 	148 , 	57 , 	60 , 	62 , 	244 , 	38 , 	26 , 	17 , 	-   , 	-   , 	20 , 	89 ," 	6,622 ",,,,,,,,,,,,,
MB, 	29 , 	68 , 	29 , 	43 , 	168 , 	34 , 	64 , 	122 , 	143 , 	21 , 	30 , 	34 , 	12 , 	10 , 	8 , 	4 , 	3 , 	3 , 	31 , 	24 , 	25 , 	11 , 	11 , 	21 , 	36 ," 	1,057 "," 	1,354 ", 	654 , 	554 , 	226 , 	200 , 	122 , 	147 , 	234 , 	89 , 	5 , 	19 , 	8 , 	25 , 	65 , 	37 , 	242 , 	48 , 	7 , 	9 , 	2 , 	-   , 	-   , 	6 , 	18 ," 	6,113 ",,,,,,,,,,,,,
WD, 	5 , 	14 , 	9 , 	9 , 	60 , 	15 , 	31 , 	120 , 	126 , 	94 , 	67 , 	178 , 	51 , 	83 , 	41 , 	19 , 	29 , 	30 , 	3 , 	4 , 	2 , 	1 , 	1 , 	5 , 	9 , 	874 , 	792 , 	321 , 	301 , 	88 , 	41 , 	29 , 	29 , 	43 , 	4 , 	82 , 	45 , 	1 , 	4 , 	9 , 	6 , 	49 , 	8 , 	22 , 	35 , 	14 , 	-   , 	-   , 	1 , 	2 ," 	3,804 ",,,,,,,,,,,,,
OA, 	13 , 	38 , 	31 , 	39 , 	72 , 	28 , 	30 , 	44 , 	50 , 	20 , 	11 , 	44 , 	9 , 	6 , 	11 , 	9 , 	21 , 	31 , 	33 , 	51 , 	42 , 	22 , 	15 , 	18 , 	9 , 	188 , 	150 , 	115 , 	86 , 	29 , 	28 , 	18 , 	12 , 	15 , 	3 , 	9 , 	75 , 	12 , 	20 , 	3 , 	5 , 	22 , 	8 , 	34 , 	11 , 	14 , 	-   , 	-   , 	3 , 	19 ," 	1,578 ",,,,,,,,,,,,,
