Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
24, 	69 , 	78 , 	14 , 	13 , 	28 , 	16 , 	40 , 	32 , 	34 , 	30 , 	75 , 	46 , 	34 , 	27 , 	17 , 	15 , 	12 , 	9 , 	26 , 	18 , 	12 , 	7 , 	5 , 	12 , 	57 , 	106 , 	145 , 	269 , 	165 , 	29 , 	9 , 	50 , 	100 , 	74 , 	42 , 	6 , 	11 , 	6 , 	33 , 	37 , 	34 , 	22 , 	25 , 	6 , 	4 , 	3 , 	2 , 	2 , 	11 , 	21 ," 	1,938 ",,,,,,,,,,,,,
GP, 	17 , 	20 , 	4 , 	4 , 	7 , 	5 , 	15 , 	15 , 	17 , 	12 , 	18 , 	19 , 	13 , 	9 , 	9 , 	6 , 	3 , 	3 , 	11 , 	7 , 	4 , 	1 , 	1 , 	5 , 	12 , 	71 , 	117 , 	170 , 	90 , 	51 , 	47 , 	5 , 	15 , 	17 , 	14 , 	3 , 	5 , 	2 , 	7 , 	9 , 	18 , 	13 , 	11 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	11 , 	925 ,,,,,,,,,,,,,
BP, 	20 , 	24 , 	5 , 	3 , 	12 , 	6 , 	10 , 	15 , 	23 , 	17 , 	21 , 	15 , 	11 , 	15 , 	7 , 	7 , 	4 , 	3 , 	9 , 	3 , 	6 , 	2 , 	1 , 	2 , 	19 , 	134 , 	186 , 	439 , 	210 , 	103 , 	97 , 	15 , 	7 , 	19 , 	20 , 	4 , 	5 , 	1 , 	11 , 	17 , 	42 , 	27 , 	27 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	7 ," 	1,641 ",,,,,,,,,,,,,
DC, 	13 , 	19 , 	4 , 	6 , 	10 , 	4 , 	11 , 	13 , 	21 , 	15 , 	21 , 	21 , 	14 , 	10 , 	6 , 	4 , 	3 , 	3 , 	7 , 	5 , 	10 , 	1 , 	1 , 	2 , 	15 , 	130 , 	146 , 	308 , 	182 , 	107 , 	81 , 	20 , 	23 , 	8 , 	9 , 	2 , 	14 , 	2 , 	10 , 	19 , 	34 , 	41 , 	31 , 	3 , 	1 , 	2 , 	3 , 	2 , 	4 , 	14 ," 	1,432 ",,,,,,,,,,,,,
CM, 	7 , 	8 , 	1 , 	1 , 	4 , 	2 , 	5 , 	8 , 	12 , 	2 , 	3 , 	2 , 	3 , 	4 , 	3 , 	2 , 	4 , 	2 , 	4 , 	3 , 	3 , 	1 , 	0 , 	1 , 	5 , 	49 , 	56 , 	110 , 	82 , 	38 , 	41 , 	15 , 	21 , 	9 , 	3 , 	1 , 	3 , 	1 , 	8 , 	6 , 	15 , 	30 , 	19 , 	0 , 	0 , 	1 , 	0 , 	0 , 	4 , 	9 , 	610 ,,,,,,,,,,,,,
CV, 	2 , 	1 , 	2 , 	1 , 	3 , 	2 , 	3 , 	3 , 	4 , 	25 , 	15 , 	13 , 	15 , 	10 , 	4 , 	3 , 	5 , 	5 , 	1 , 	0 , 	1 , 	0 , 	1 , 	1 , 	4 , 	35 , 	37 , 	38 , 	31 , 	11 , 	7 , 	3 , 	5 , 	4 , 	1 , 	2 , 	28 , 	0 , 	0 , 	1 , 	3 , 	3 , 	1 , 	21 , 	1 , 	1 , 	0 , 	1 , 	0 , 	0 , 	358 ,,,,,,,,,,,,,
ED, 	5 , 	9 , 	1 , 	2 , 	9 , 	3 , 	12 , 	8 , 	8 , 	36 , 	56 , 	25 , 	31 , 	41 , 	17 , 	11 , 	13 , 	12 , 	2 , 	1 , 	1 , 	0 , 	0 , 	1 , 	9 , 	83 , 	72 , 	79 , 	75 , 	23 , 	13 , 	7 , 	6 , 	16 , 	3 , 	25 , 	7 , 	0 , 	1 , 	2 , 	2 , 	14 , 	2 , 	7 , 	8 , 	4 , 	4 , 	4 , 	1 , 	1 , 	772 ,,,,,,,,,,,,,
NC, 	1 , 	2 , 	1 , 	1 , 	2 , 	0 , 	5 , 	9 , 	6 , 	3 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	0 , 	8 , 	6 , 	8 , 	1 , 	0 , 	3 , 	1 , 	20 , 	22 , 	31 , 	28 , 	8 , 	5 , 	2 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	13 , 	3 , 	1 , 	9 , 	0 , 	0 , 	1 , 	0 , 	0 , 	0 , 	7 , 	7 , 	230 ,,,,,,,,,,,,,
WP, 	4 , 	9 , 	2 , 	3 , 	10 , 	3 , 	35 , 	23 , 	26 , 	5 , 	9 , 	8 , 	5 , 	2 , 	4 , 	4 , 	3 , 	2 , 	51 , 	21 , 	39 , 	6 , 	3 , 	10 , 	5 , 	81 , 	78 , 	124 , 	97 , 	47 , 	39 , 	7 , 	11 , 	16 , 	7 , 	1 , 	2 , 	11 , 	7 , 	5 , 	7 , 	21 , 	3 , 	0 , 	4 , 	2 , 	1 , 	2 , 	5 , 	14 , 	881 ,,,,,,,,,,,,,
SS, 	5 , 	10 , 	2 , 	1 , 	5 , 	2 , 	5 , 	5 , 	11 , 	1 , 	3 , 	3 , 	3 , 	4 , 	4 , 	2 , 	2 , 	3 , 	4 , 	3 , 	2 , 	0 , 	1 , 	1 , 	6 , 	36 , 	42 , 	75 , 	57 , 	26 , 	34 , 	9 , 	15 , 	18 , 	7 , 	1 , 	2 , 	2 , 	4 , 	3 , 	9 , 	14 , 	8 , 	0 , 	0 , 	0 , 	0 , 	0 , 	1 , 	8 , 	461 ,,,,,,,,,,,,,
