Exit stations,Entry stations->,,SUNDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
CV, 	1 , 	-   , 	0 , 	-   , 	3 , 	1 , 	1 , 	2 , 	1 , 	10 , 	8 , 	6 , 	9 , 	7 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	0 , 	3 , 	9 , 	8 , 	19 , 	7 , 	4 , 	2 , 	2 , 	1 , 	2 , 	-   , 	1 , 	13 , 	-   , 	1 , 	0 , 	2 , 	3 , 	-   , 	12 , 	1 , 	1 , 	1 , 	2 , 	0 , 	-   , 	149 ,,,,,,,,,,,
ED, 	2 , 	3 , 	1 , 	1 , 	3 , 	2 , 	3 , 	1 , 	3 , 	11 , 	15 , 	8 , 	10 , 	17 , 	8 , 	5 , 	3 , 	3 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	4 , 	36 , 	17 , 	29 , 	14 , 	10 , 	10 , 	2 , 	3 , 	7 , 	1 , 	10 , 	6 , 	-   , 	0 , 	1 , 	1 , 	13 , 	1 , 	7 , 	11 , 	1 , 	4 , 	5 , 	1 , 	2 , 	293 ,,,,,,,,,,,
NC, 	0 , 	1 , 	0 , 	0 , 	1 , 	-   , 	3 , 	1 , 	1 , 	-   , 	-   , 	1 , 	0 , 	-   , 	1 , 	1 , 	-   , 	-   , 	2 , 	2 , 	3 , 	1 , 	0 , 	2 , 	0 , 	5 , 	4 , 	13 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	-   , 	1 , 	7 , 	-   , 	0 , 	9 , 	1 , 	-   , 	3 , 	-   , 	-   , 	1 , 	4 , 	2 , 	74 ,,,,,,,,,,,
WP, 	3 , 	2 , 	1 , 	1 , 	5 , 	2 , 	12 , 	4 , 	5 , 	2 , 	5 , 	5 , 	4 , 	3 , 	2 , 	3 , 	2 , 	2 , 	31 , 	8 , 	16 , 	4 , 	1 , 	3 , 	2 , 	17 , 	10 , 	38 , 	9 , 	8 , 	12 , 	4 , 	6 , 	7 , 	3 , 	1 , 	0 , 	8 , 	5 , 	2 , 	1 , 	21 , 	1 , 	-   , 	5 , 	1 , 	-   , 	3 , 	3 , 	6 , 	291 ,,,,,,,,,,,
SS, 	2 , 	1 , 	2 , 	1 , 	5 , 	1 , 	2 , 	3 , 	3 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	2 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	2 , 	4 , 	5 , 	24 , 	11 , 	10 , 	16 , 	3 , 	6 , 	7 , 	3 , 	0 , 	1 , 	0 , 	3 , 	2 , 	6 , 	11 , 	2 , 	-   , 	1 , 	1 , 	-   , 	0 , 	-   , 	3 , 	151 ,,,,,,,,,,,
SB, 	4 , 	3 , 	1 , 	-   , 	3 , 	1 , 	2 , 	2 , 	4 , 	2 , 	2 , 	2 , 	4 , 	3 , 	3 , 	2 , 	1 , 	-   , 	2 , 	3 , 	2 , 	0 , 	0 , 	1 , 	4 , 	11 , 	7 , 	36 , 	21 , 	21 , 	24 , 	7 , 	22 , 	14 , 	8 , 	-   , 	1 , 	1 , 	3 , 	6 , 	3 , 	11 , 	4 , 	1 , 	-   , 	-   , 	1 , 	-   , 	1 , 	2 , 	250 ,,,,,,,,,,,
SO, 	6 , 	10 , 	3 , 	2 , 	4 , 	2 , 	6 , 	3 , 	10 , 	1 , 	3 , 	4 , 	3 , 	1 , 	2 , 	0 , 	0 , 	1 , 	9 , 	8 , 	7 , 	2 , 	3 , 	5 , 	8 , 	14 , 	17 , 	56 , 	24 , 	16 , 	10 , 	3 , 	14 , 	25 , 	19 , 	1 , 	6 , 	1 , 	15 , 	8 , 	5 , 	13 , 	13 , 	2 , 	2 , 	1 , 	-   , 	0 , 	4 , 	12 , 	379 ,,,,,,,,,,,
MB, 	4 , 	2 , 	3 , 	-   , 	6 , 	0 , 	2 , 	2 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	0 , 	0 , 	-   , 	2 , 	1 , 	1 , 	1 , 	0 , 	3 , 	3 , 	7 , 	7 , 	26 , 	11 , 	10 , 	7 , 	6 , 	8 , 	10 , 	5 , 	-   , 	1 , 	1 , 	2 , 	1 , 	1 , 	33 , 	5 , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	182 ,,,,,,,,,,,
WD, 	3 , 	1 , 	1 , 	0 , 	2 , 	0 , 	3 , 	1 , 	-   , 	9 , 	13 , 	10 , 	11 , 	16 , 	7 , 	2 , 	2 , 	2 , 	1 , 	1 , 	0 , 	-   , 	0 , 	0 , 	1 , 	15 , 	6 , 	17 , 	8 , 	3 , 	1 , 	-   , 	1 , 	1 , 	-   , 	14 , 	10 , 	-   , 	0 , 	1 , 	1 , 	2 , 	-   , 	1 , 	3 , 	1 , 	1 , 	1 , 	-   , 	-   , 	166 ,,,,,,,,,,,
OA, 	2 , 	5 , 	1 , 	0 , 	3 , 	1 , 	1 , 	2 , 	3 , 	4 , 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	5 , 	6 , 	10 , 	2 , 	3 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	5 , 	-   , 	4 , 	-   , 	0 , 	4 , 	-   , 	1 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	82 ,,,,,,,,,,,
