Exit stations,Entry stations->,,SUNDAY,,,Feb 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	71 , 	63 , 	41 , 	78 , 	136 , 	99 , 	149 , 	138 , 	108 , 	101 , 	121 , 	46 , 	37 , 	26 , 	24 , 	17 , 	20 , 	30 , 	27 , 	24 , 	38 , 	19 , 	15 , 	93 , 	152 , 	341 , 	258 ," 	1,232 ", 	545 , 	161 , 	49 , 	174 , 	323 , 	169 , 	70 , 	18 , 	34 , 	15 , 	38 , 	52 , 	103 , 	171 , 	120 , 	15 , 	26 , 	-   ," 	5,584 ",,,,,,,,,,,
GP, 	22 , 	25 , 	17 , 	20 , 	64 , 	24 , 	37 , 	47 , 	34 , 	28 , 	25 , 	16 , 	13 , 	11 , 	8 , 	5 , 	10 , 	18 , 	17 , 	15 , 	26 , 	6 , 	4 , 	36 , 	33 , 	190 , 	168 , 	731 , 	233 , 	198 , 	165 , 	21 , 	42 , 	45 , 	27 , 	8 , 	22 , 	5 , 	25 , 	20 , 	47 , 	93 , 	45 , 	5 , 	16 , 	-   ," 	2,663 ",,,,,,,,,,,
BP, 	26 , 	35 , 	9 , 	16 , 	53 , 	18 , 	34 , 	34 , 	47 , 	40 , 	43 , 	31 , 	19 , 	19 , 	12 , 	10 , 	9 , 	16 , 	19 , 	11 , 	14 , 	4 , 	4 , 	14 , 	31 , 	314 , 	326 ," 	1,623 ", 	383 , 	312 , 	298 , 	42 , 	37 , 	54 , 	50 , 	10 , 	26 , 	7 , 	33 , 	24 , 	104 , 	105 , 	69 , 	8 , 	7 , 	-   ," 	4,392 ",,,,,,,,,,,
DC, 	24 , 	29 , 	8 , 	16 , 	56 , 	11 , 	21 , 	32 , 	35 , 	28 , 	36 , 	17 , 	23 , 	14 , 	9 , 	13 , 	22 , 	24 , 	19 , 	16 , 	27 , 	7 , 	10 , 	21 , 	30 , 	184 , 	177 , 	893 , 	252 , 	200 , 	178 , 	48 , 	51 , 	22 , 	33 , 	11 , 	52 , 	6 , 	37 , 	21 , 	87 , 	160 , 	103 , 	12 , 	18 , 	-   ," 	3,089 ",,,,,,,,,,,
CM, 	8 , 	21 , 	4 , 	6 , 	12 , 	4 , 	7 , 	8 , 	17 , 	4 , 	8 , 	4 , 	4 , 	6 , 	3 , 	4 , 	5 , 	5 , 	6 , 	8 , 	11 , 	4 , 	1 , 	4 , 	7 , 	76 , 	59 , 	297 , 	109 , 	68 , 	74 , 	27 , 	46 , 	29 , 	5 , 	1 , 	4 , 	2 , 	16 , 	6 , 	32 , 	79 , 	28 , 	1 , 	2 , 	-   ," 	1,127 ",,,,,,,,,,,
CV, 	2 , 	8 , 	3 , 	7 , 	18 , 	5 , 	11 , 	12 , 	10 , 	43 , 	32 , 	21 , 	25 , 	40 , 	19 , 	6 , 	13 , 	17 , 	4 , 	3 , 	3 , 	2 , 	0 , 	2 , 	7 , 	86 , 	62 , 	158 , 	56 , 	20 , 	16 , 	7 , 	9 , 	13 , 	3 , 	5 , 	48 , 	2 , 	4 , 	1 , 	3 , 	11 , 	2 , 	62 , 	11 , 	-   , 	886 ,,,,,,,,,,,
ED, 	8 , 	10 , 	6 , 	8 , 	48 , 	13 , 	15 , 	24 , 	18 , 	54 , 	46 , 	59 , 	24 , 	64 , 	34 , 	10 , 	28 , 	55 , 	5 , 	4 , 	4 , 	1 , 	2 , 	7 , 	12 , 	312 , 	159 , 	457 , 	159 , 	60 , 	33 , 	23 , 	32 , 	40 , 	4 , 	51 , 	23 , 	1 , 	11 , 	5 , 	5 , 	96 , 	10 , 	19 , 	51 , 	-   ," 	2,102 ",,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	2 , 	9 , 	2 , 	7 , 	6 , 	9 , 	1 , 	5 , 	6 , 	1 , 	2 , 	5 , 	1 , 	2 , 	4 , 	12 , 	8 , 	15 , 	4 , 	2 , 	9 , 	3 , 	46 , 	38 , 	83 , 	25 , 	10 , 	8 , 	7 , 	3 , 	8 , 	2 , 	1 , 	2 , 	3 , 	23 , 	2 , 	3 , 	32 , 	4 , 	1 , 	6 , 	-   , 	423 ,,,,,,,,,,,
WP, 	30 , 	32 , 	10 , 	12 , 	29 , 	20 , 	78 , 	37 , 	49 , 	14 , 	47 , 	52 , 	16 , 	18 , 	24 , 	16 , 	9 , 	23 , 	141 , 	53 , 	94 , 	20 , 	16 , 	26 , 	18 , 	131 , 	87 , 	283 , 	94 , 	43 , 	42 , 	24 , 	35 , 	29 , 	16 , 	5 , 	10 , 	27 , 	14 , 	9 , 	16 , 	73 , 	16 , 	5 , 	17 , 	-   ," 	1,853 ",,,,,,,,,,,
SS, 	5 , 	11 , 	3 , 	4 , 	14 , 	4 , 	5 , 	8 , 	12 , 	5 , 	7 , 	4 , 	5 , 	3 , 	4 , 	2 , 	4 , 	3 , 	6 , 	3 , 	7 , 	2 , 	0 , 	4 , 	5 , 	52 , 	52 , 	214 , 	67 , 	47 , 	53 , 	17 , 	30 , 	27 , 	5 , 	1 , 	5 , 	3 , 	12 , 	5 , 	24 , 	31 , 	15 , 	1 , 	3 , 	-   , 	789 ,,,,,,,,,,,
SB, 	12 , 	13 , 	5 , 	4 , 	18 , 	5 , 	13 , 	11 , 	13 , 	7 , 	10 , 	13 , 	6 , 	8 , 	5 , 	4 , 	4 , 	5 , 	11 , 	6 , 	13 , 	4 , 	1 , 	5 , 	14 , 	69 , 	58 , 	252 , 	110 , 	83 , 	103 , 	50 , 	92 , 	92 , 	36 , 	3 , 	10 , 	2 , 	13 , 	32 , 	8 , 	55 , 	18 , 	2 , 	3 , 	-   ," 	1,296 ",,,,,,,,,,,
SO, 	20 , 	35 , 	35 , 	46 , 	108 , 	29 , 	51 , 	37 , 	48 , 	16 , 	28 , 	9 , 	11 , 	5 , 	9 , 	7 , 	12 , 	26 , 	41 , 	66 , 	85 , 	46 , 	41 , 	68 , 	51 , 	247 , 	247 ," 	1,081 ", 	322 , 	140 , 	107 , 	45 , 	61 , 	100 , 	50 , 	11 , 	55 , 	23 , 	55 , 	17 , 	28 , 	31 , 	210 , 	18 , 	24 , 	-   ," 	3,798 ",,,,,,,,,,,
MB, 	15 , 	18 , 	14 , 	15 , 	82 , 	15 , 	26 , 	26 , 	31 , 	14 , 	14 , 	5 , 	10 , 	4 , 	9 , 	4 , 	3 , 	4 , 	12 , 	13 , 	15 , 	8 , 	8 , 	24 , 	13 , 	148 , 	109 , 	427 , 	196 , 	144 , 	112 , 	47 , 	76 , 	99 , 	30 , 	3 , 	10 , 	7 , 	17 , 	14 , 	21 , 	379 , 	27 , 	4 , 	7 , 	-   ," 	2,273 ",,,,,,,,,,,
WD, 	2 , 	7 , 	3 , 	4 , 	30 , 	7 , 	11 , 	10 , 	12 , 	32 , 	37 , 	28 , 	30 , 	60 , 	35 , 	9 , 	15 , 	25 , 	3 , 	4 , 	2 , 	1 , 	1 , 	2 , 	5 , 	108 , 	73 , 	177 , 	67 , 	21 , 	13 , 	9 , 	10 , 	15 , 	2 , 	57 , 	17 , 	1 , 	4 , 	2 , 	2 , 	38 , 	4 , 	12 , 	30 , 	-   ," 	1,033 ",,,,,,,,,,,
OA, 	5 , 	10 , 	9 , 	14 , 	49 , 	11 , 	14 , 	10 , 	17 , 	10 , 	5 , 	29 , 	3 , 	3 , 	2 , 	4 , 	7 , 	11 , 	15 , 	17 , 	12 , 	10 , 	8 , 	8 , 	4 , 	73 , 	51 , 	115 , 	44 , 	19 , 	14 , 	8 , 	3 , 	4 , 	2 , 	3 , 	27 , 	4 , 	9 , 	2 , 	1 , 	32 , 	1 , 	12 , 	9 , 	-   , 	716 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
Entries," 	1,621 "," 	2,272 "," 	1,522 "," 	1,797 "," 	5,144 "," 	2,156 "," 	3,078 "," 	2,891 "," 	3,264 "," 	2,485 "," 	3,168 "," 	1,926 "," 	1,622 "," 	1,572 "," 	1,419 ", 	758 ," 	1,054 "," 	2,168 "," 	1,426 "," 	1,271 "," 	1,880 ", 	923 , 	688 ," 	2,087 "," 	2,808 "," 	7,444 "," 	5,325 "," 	17,425 "," 	7,496 "," 	5,929 "," 	5,241 "," 	2,647 "," 	4,407 "," 	2,941 "," 	1,047 ", 	843 ," 	1,917 ", 	410 ," 	1,699 ", 	750 ," 	1,199 "," 	5,015 "," 	1,990 ", 	894 ," 	1,140 ", 	-   ," 	126,756 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
