Exit stations,Entry stations->,,SATURDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	104 , 	111 , 	59 , 	97 , 	171 , 	121 , 	205 , 	213 , 	133 , 	107 , 	172 , 	87 , 	53 , 	44 , 	25 , 	30 , 	19 , 	46 , 	39 , 	46 , 	55 , 	31 , 	26 , 	120 , 	214 , 	471 , 	412 ," 	2,206 ", 	694 , 	219 , 	43 , 	247 , 	407 , 	255 , 	108 , 	26 , 	55 , 	13 , 	64 , 	82 , 	148 , 	162 , 	176 , 	19 , 	16 , 	-   ," 	8,142 ",,,,,,,,,,,
GP, 	25 , 	37 , 	28 , 	31 , 	97 , 	40 , 	55 , 	74 , 	50 , 	31 , 	40 , 	30 , 	21 , 	19 , 	9 , 	4 , 	8 , 	19 , 	27 , 	25 , 	38 , 	21 , 	17 , 	44 , 	51 , 	275 , 	280 ," 	1,547 ", 	309 , 	254 , 	225 , 	24 , 	59 , 	50 , 	34 , 	13 , 	43 , 	9 , 	28 , 	23 , 	66 , 	86 , 	62 , 	13 , 	11 , 	-   ," 	4,243 ",,,,,,,,,,,
BP, 	42 , 	41 , 	14 , 	21 , 	55 , 	18 , 	29 , 	51 , 	61 , 	40 , 	54 , 	45 , 	25 , 	28 , 	14 , 	11 , 	17 , 	19 , 	19 , 	16 , 	20 , 	9 , 	6 , 	21 , 	43 , 	434 , 	507 ," 	2,554 ", 	470 , 	397 , 	348 , 	57 , 	56 , 	66 , 	58 , 	11 , 	35 , 	9 , 	42 , 	36 , 	130 , 	105 , 	83 , 	8 , 	7 , 	-   ," 	6,127 ",,,,,,,,,,,
DC, 	29 , 	55 , 	19 , 	18 , 	78 , 	20 , 	30 , 	47 , 	42 , 	37 , 	47 , 	64 , 	26 , 	25 , 	20 , 	15 , 	16 , 	33 , 	20 , 	19 , 	26 , 	6 , 	11 , 	18 , 	32 , 	336 , 	380 ," 	2,026 ", 	417 , 	269 , 	237 , 	59 , 	80 , 	26 , 	26 , 	12 , 	39 , 	8 , 	33 , 	31 , 	118 , 	188 , 	107 , 	14 , 	13 , 	-   ," 	5,165 ",,,,,,,,,,,
CM, 	11 , 	19 , 	4 , 	8 , 	12 , 	6 , 	11 , 	14 , 	16 , 	6 , 	10 , 	9 , 	8 , 	9 , 	6 , 	4 , 	3 , 	7 , 	9 , 	8 , 	8 , 	2 , 	3 , 	2 , 	7 , 	99 , 	99 , 	572 , 	148 , 	88 , 	88 , 	39 , 	65 , 	29 , 	9 , 	3 , 	7 , 	4 , 	21 , 	8 , 	63 , 	103 , 	36 , 	1 , 	2 , 	-   ," 	1,677 ",,,,,,,,,,,
CV, 	2 , 	4 , 	5 , 	5 , 	23 , 	5 , 	10 , 	16 , 	16 , 	51 , 	45 , 	31 , 	33 , 	68 , 	19 , 	16 , 	12 , 	20 , 	3 , 	2 , 	4 , 	2 , 	2 , 	3 , 	5 , 	146 , 	114 , 	409 , 	97 , 	30 , 	20 , 	10 , 	11 , 	11 , 	3 , 	8 , 	59 , 	1 , 	6 , 	3 , 	4 , 	17 , 	4 , 	95 , 	7 , 	-   ," 	1,449 ",,,,,,,,,,,
ED, 	10 , 	11 , 	12 , 	11 , 	62 , 	14 , 	16 , 	32 , 	32 , 	73 , 	70 , 	87 , 	40 , 	122 , 	36 , 	22 , 	30 , 	78 , 	9 , 	6 , 	5 , 	1 , 	2 , 	8 , 	15 , 	455 , 	265 ," 	1,198 ", 	248 , 	64 , 	47 , 	38 , 	33 , 	47 , 	6 , 	64 , 	18 , 	3 , 	10 , 	7 , 	8 , 	98 , 	12 , 	32 , 	47 , 	-   ," 	3,500 ",,,,,,,,,,,
NC, 	2 , 	4 , 	3 , 	1 , 	9 , 	4 , 	10 , 	10 , 	11 , 	2 , 	4 , 	12 , 	5 , 	3 , 	2 , 	3 , 	3 , 	6 , 	24 , 	9 , 	23 , 	5 , 	3 , 	9 , 	3 , 	82 , 	70 , 	210 , 	54 , 	21 , 	12 , 	10 , 	11 , 	8 , 	3 , 	1 , 	2 , 	4 , 	18 , 	3 , 	4 , 	36 , 	2 , 	0 , 	8 , 	-   , 	722 ,,,,,,,,,,,
WP, 	25 , 	35 , 	15 , 	11 , 	55 , 	14 , 	85 , 	58 , 	70 , 	16 , 	53 , 	67 , 	28 , 	28 , 	23 , 	10 , 	14 , 	23 , 	205 , 	77 , 	132 , 	25 , 	12 , 	38 , 	31 , 	209 , 	135 , 	513 , 	140 , 	52 , 	68 , 	36 , 	52 , 	39 , 	25 , 	6 , 	8 , 	25 , 	18 , 	12 , 	24 , 	104 , 	16 , 	7 , 	26 , 	-   ," 	2,660 ",,,,,,,,,,,
SS, 	7 , 	13 , 	4 , 	4 , 	16 , 	4 , 	4 , 	11 , 	12 , 	6 , 	9 , 	11 , 	7 , 	4 , 	4 , 	2 , 	4 , 	5 , 	8 , 	5 , 	11 , 	2 , 	3 , 	5 , 	5 , 	79 , 	102 , 	499 , 	127 , 	65 , 	67 , 	21 , 	47 , 	37 , 	10 , 	2 , 	6 , 	4 , 	10 , 	13 , 	34 , 	35 , 	23 , 	3 , 	2 , 	-   ," 	1,347 ",,,,,,,,,,,
SB, 	14 , 	21 , 	4 , 	5 , 	17 , 	4 , 	12 , 	15 , 	22 , 	8 , 	23 , 	17 , 	6 , 	17 , 	8 , 	5 , 	3 , 	10 , 	11 , 	8 , 	9 , 	4 , 	2 , 	6 , 	16 , 	112 , 	94 , 	497 , 	167 , 	99 , 	149 , 	67 , 	139 , 	129 , 	62 , 	2 , 	7 , 	4 , 	23 , 	31 , 	16 , 	50 , 	26 , 	4 , 	2 , 	-   ," 	1,939 ",,,,,,,,,,,
SO, 	50 , 	67 , 	51 , 	77 , 	322 , 	63 , 	91 , 	73 , 	66 , 	32 , 	49 , 	18 , 	27 , 	22 , 	18 , 	8 , 	18 , 	34 , 	84 , 	104 , 	123 , 	61 , 	57 , 	126 , 	86 , 	260 , 	242 ," 	1,401 ", 	380 , 	155 , 	139 , 	73 , 	89 , 	187 , 	94 , 	16 , 	85 , 	34 , 	74 , 	30 , 	41 , 	33 , 	294 , 	29 , 	18 , 	-   ," 	5,396 ",,,,,,,,,,,
MB, 	13 , 	22 , 	12 , 	20 , 	86 , 	18 , 	26 , 	33 , 	38 , 	12 , 	21 , 	16 , 	9 , 	8 , 	7 , 	4 , 	5 , 	6 , 	16 , 	13 , 	17 , 	8 , 	9 , 	24 , 	20 , 	205 , 	203 ," 	1,065 ", 	293 , 	194 , 	150 , 	62 , 	86 , 	128 , 	40 , 	3 , 	13 , 	3 , 	16 , 	16 , 	24 , 	268 , 	28 , 	5 , 	5 , 	-   ," 	3,265 ",,,,,,,,,,,
