Exit stations,Entry stations->,,SUNDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
BP, 	24 , 	24 , 	5 , 	13 , 	35 , 	13 , 	20 , 	34 , 	38 , 	28 , 	28 , 	36 , 	19 , 	14 , 	8 , 	7 , 	10 , 	14 , 	17 , 	9 , 	13 , 	4 , 	4 , 	14 , 	30 , 	290 , 	290 ," 	1,666 ", 	334 , 	267 , 	204 , 	34 , 	35 , 	43 , 	34 , 	8 , 	23 , 	6 , 	22 , 	20 , 	91 , 	107 , 	61 , 	7 , 	13 , 	-   ," 	4,013 ",,,,,,,,,,,
DC, 	19 , 	26 , 	12 , 	17 , 	40 , 	12 , 	23 , 	44 , 	37 , 	31 , 	28 , 	85 , 	20 , 	18 , 	11 , 	12 , 	14 , 	28 , 	19 , 	16 , 	19 , 	8 , 	4 , 	20 , 	23 , 	167 , 	184 ," 	1,204 ", 	245 , 	181 , 	155 , 	39 , 	41 , 	17 , 	18 , 	11 , 	35 , 	6 , 	36 , 	20 , 	82 , 	192 , 	90 , 	14 , 	16 , 	-   ," 	3,332 ",,,,,,,,,,,
CM, 	10 , 	15 , 	6 , 	6 , 	7 , 	3 , 	8 , 	9 , 	15 , 	4 , 	4 , 	14 , 	6 , 	8 , 	4 , 	3 , 	3 , 	5 , 	7 , 	6 , 	6 , 	3 , 	2 , 	2 , 	5 , 	54 , 	59 , 	350 , 	100 , 	59 , 	57 , 	22 , 	36 , 	22 , 	7 , 	2 , 	5 , 	2 , 	16 , 	5 , 	38 , 	105 , 	34 , 	1 , 	4 , 	-   ," 	1,131 ",,,,,,,,,,,
CV, 	5 , 	6 , 	3 , 	4 , 	13 , 	5 , 	9 , 	12 , 	11 , 	45 , 	31 , 	214 , 	20 , 	45 , 	15 , 	9 , 	8 , 	15 , 	3 , 	1 , 	2 , 	1 , 	-   , 	3 , 	9 , 	85 , 	66 , 	239 , 	75 , 	22 , 	16 , 	11 , 	8 , 	13 , 	3 , 	5 , 	37 , 	1 , 	3 , 	1 , 	3 , 	17 , 	5 , 	68 , 	12 , 	-   ," 	1,173 ",,,,,,,,,,,
ED, 	8 , 	12 , 	5 , 	8 , 	27 , 	10 , 	16 , 	21 , 	13 , 	55 , 	48 ," 	1,000 ", 	24 , 	92 , 	25 , 	13 , 	27 , 	69 , 	4 , 	5 , 	5 , 	1 , 	1 , 	9 , 	11 , 	288 , 	139 , 	715 , 	170 , 	62 , 	31 , 	31 , 	24 , 	31 , 	2 , 	36 , 	19 , 	1 , 	7 , 	6 , 	3 , 	99 , 	11 , 	28 , 	56 , 	-   ," 	3,261 ",,,,,,,,,,,
NC, 	2 , 	1 , 	1 , 	3 , 	9 , 	3 , 	12 , 	6 , 	9 , 	3 , 	4 , 	66 , 	3 , 	2 , 	1 , 	1 , 	-   , 	3 , 	15 , 	5 , 	15 , 	2 , 	1 , 	7 , 	3 , 	36 , 	33 , 	150 , 	42 , 	8 , 	9 , 	8 , 	5 , 	7 , 	2 , 	0 , 	2 , 	6 , 	15 , 	2 , 	2 , 	35 , 	3 , 	1 , 	12 , 	-   , 	548 ,,,,,,,,,,,
WP, 	20 , 	22 , 	12 , 	9 , 	26 , 	13 , 	65 , 	37 , 	44 , 	9 , 	40 , 	145 , 	15 , 	18 , 	13 , 	9 , 	11 , 	31 , 	154 , 	53 , 	94 , 	15 , 	15 , 	26 , 	23 , 	128 , 	79 , 	368 , 	102 , 	43 , 	40 , 	18 , 	28 , 	30 , 	15 , 	4 , 	10 , 	21 , 	33 , 	13 , 	17 , 	96 , 	16 , 	5 , 	25 , 	-   ," 	2,008 ",,,,,,,,,,,
SS, 	5 , 	9 , 	4 , 	3 , 	8 , 	3 , 	3 , 	8 , 	12 , 	4 , 	8 , 	16 , 	6 , 	3 , 	2 , 	1 , 	1 , 	4 , 	7 , 	4 , 	6 , 	2 , 	2 , 	3 , 	3 , 	52 , 	44 , 	260 , 	77 , 	46 , 	36 , 	18 , 	24 , 	24 , 	4 , 	1 , 	6 , 	1 , 	9 , 	7 , 	23 , 	40 , 	14 , 	1 , 	2 , 	-   , 	809 ,,,,,,,,,,,
SB, 	10 , 	11 , 	4 , 	3 , 	13 , 	4 , 	9 , 	15 , 	15 , 	8 , 	13 , 	26 , 	3 , 	11 , 	8 , 	4 , 	4 , 	11 , 	7 , 	6 , 	10 , 	1 , 	1 , 	4 , 	12 , 	57 , 	52 , 	315 , 	117 , 	76 , 	102 , 	46 , 	93 , 	88 , 	37 , 	2 , 	4 , 	2 , 	13 , 	24 , 	6 , 	54 , 	24 , 	2 , 	5 , 	-   ," 	1,328 ",,,,,,,,,,,
SO, 	31 , 	58 , 	47 , 	79 , 	181 , 	71 , 	94 , 	67 , 	73 , 	28 , 	43 , 	55 , 	16 , 	15 , 	10 , 	7 , 	18 , 	29 , 	67 , 	91 , 	117 , 	75 , 	62 , 	115 , 	71 , 	240 , 	236 ," 	1,133 ", 	326 , 	159 , 	132 , 	55 , 	62 , 	123 , 	75 , 	10 , 	79 , 	32 , 	77 , 	25 , 	31 , 	31 , 	235 , 	26 , 	18 , 	-   ," 	4,622 ",,,,,,,,,,,
