Exit stations,Entry stations->,,SATURDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CM, 	6 , 	12 , 	3 , 	3 , 	6 , 	3 , 	7 , 	7 , 	13 , 	4 , 	5 , 	2 , 	1 , 	2 , 	2 , 	2 , 	1 , 	3 , 	3 , 	3 , 	3 , 	1 , 	1 , 	1 , 	5 , 	46 , 	46 , 	160 , 	79 , 	67 , 	51 , 	25 , 	34 , 	11 , 	13 , 	0 , 	1 , 	2 , 	7 , 	5 , 	25 , 	64 , 	32 , 	1 , 	0 , 	1 , 	-   , 	1 , 	1 , 	3 , 	764 ,,,,,,,,,,
CV, 	4 , 	2 , 	2 , 	2 , 	6 , 	3 , 	2 , 	3 , 	3 , 	34 , 	23 , 	24 , 	27 , 	18 , 	5 , 	7 , 	5 , 	4 , 	1 , 	3 , 	-   , 	-   , 	-   , 	2 , 	4 , 	73 , 	50 , 	81 , 	52 , 	17 , 	16 , 	5 , 	5 , 	6 , 	1 , 	14 , 	49 , 	1 , 	1 , 	0 , 	2 , 	5 , 	2 , 	34 , 	5 , 	1 , 	3 , 	3 , 	-   , 	1 , 	604 ,,,,,,,,,,
ED, 	4 , 	11 , 	3 , 	3 , 	27 , 	6 , 	12 , 	12 , 	11 , 	43 , 	50 , 	83 , 	41 , 	47 , 	19 , 	10 , 	18 , 	20 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	14 , 	347 , 	139 , 	243 , 	148 , 	67 , 	26 , 	12 , 	11 , 	22 , 	2 , 	40 , 	37 , 	0 , 	4 , 	2 , 	2 , 	50 , 	6 , 	16 , 	23 , 	10 , 	18 , 	18 , 	0 , 	1 ," 	1,684 ",,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	4 , 	3 , 	3 , 	1 , 	2 , 	5 , 	2 , 	0 , 	0 , 	1 , 	-   , 	-   , 	9 , 	8 , 	9 , 	3 , 	3 , 	3 , 	1 , 	31 , 	15 , 	34 , 	25 , 	7 , 	5 , 	3 , 	3 , 	3 , 	2 , 	-   , 	1 , 	4 , 	12 , 	1 , 	1 , 	16 , 	2 , 	-   , 	3 , 	1 , 	1 , 	1 , 	7 , 	10 , 	245 ,,,,,,,,,,
WP, 	4 , 	8 , 	1 , 	3 , 	5 , 	2 , 	16 , 	10 , 	12 , 	3 , 	8 , 	8 , 	5 , 	3 , 	2 , 	1 , 	2 , 	3 , 	68 , 	31 , 	52 , 	9 , 	7 , 	10 , 	8 , 	71 , 	36 , 	125 , 	52 , 	22 , 	24 , 	8 , 	9 , 	11 , 	4 , 	1 , 	3 , 	11 , 	17 , 	5 , 	7 , 	37 , 	3 , 	0 , 	3 , 	2 , 	3 , 	3 , 	5 , 	13 , 	748 ,,,,,,,,,,
SS, 	3 , 	6 , 	3 , 	1 , 	8 , 	1 , 	4 , 	5 , 	8 , 	2 , 	5 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	5 , 	4 , 	3 , 	1 , 	0 , 	5 , 	7 , 	50 , 	44 , 	111 , 	74 , 	50 , 	40 , 	12 , 	26 , 	31 , 	4 , 	0 , 	2 , 	2 , 	5 , 	11 , 	17 , 	28 , 	11 , 	1 , 	1 , 	0 , 	0 , 	1 , 	0 , 	5 , 	602 ,,,,,,,,,,
SB, 	9 , 	9 , 	4 , 	2 , 	13 , 	5 , 	10 , 	9 , 	14 , 	3 , 	5 , 	6 , 	4 , 	3 , 	3 , 	2 , 	3 , 	3 , 	9 , 	4 , 	3 , 	2 , 	1 , 	5 , 	9 , 	68 , 	50 , 	160 , 	97 , 	82 , 	68 , 	22 , 	42 , 	53 , 	21 , 	3 , 	3 , 	1 , 	6 , 	19 , 	16 , 	59 , 	20 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	3 , 	934 ,,,,,,,,,,
SO, 	37 , 	37 , 	39 , 	48 , 	65 , 	32 , 	48 , 	35 , 	51 , 	10 , 	21 , 	11 , 	12 , 	5 , 	7 , 	3 , 	5 , 	15 , 	37 , 	49 , 	46 , 	32 , 	23 , 	60 , 	52 , 	151 , 	134 , 	596 , 	151 , 	105 , 	65 , 	46 , 	47 , 	97 , 	42 , 	4 , 	46 , 	15 , 	30 , 	21 , 	40 , 	71 , 	156 , 	14 , 	7 , 	3 , 	4 , 	4 , 	5 , 	23 ," 	2,654 ",,,,,,,,,,
MB, 	8 , 	12 , 	5 , 	9 , 	35 , 	7 , 	10 , 	16 , 	18 , 	3 , 	3 , 	4 , 	3 , 	3 , 	3 , 	2 , 	1 , 	2 , 	4 , 	3 , 	3 , 	0 , 	2 , 	7 , 	10 , 	132 , 	114 , 	244 , 	192 , 	133 , 	78 , 	32 , 	38 , 	62 , 	12 , 	1 , 	4 , 	1 , 	3 , 	7 , 	12 , 	206 , 	54 , 	1 , 	3 , 	0 , 	1 , 	1 , 	-   , 	4 ," 	1,500 ",,,,,,,,,,
WD, 	3 , 	3 , 	1 , 	1 , 	14 , 	2 , 	7 , 	6 , 	2 , 	20 , 	28 , 	27 , 	28 , 	27 , 	9 , 	13 , 	5 , 	7 , 	1 , 	1 , 	1 , 	-   , 	0 , 	0 , 	3 , 	106 , 	64 , 	72 , 	50 , 	22 , 	9 , 	3 , 	7 , 	8 , 	0 , 	33 , 	19 , 	-   , 	-   , 	1 , 	2 , 	18 , 	1 , 	14 , 	10 , 	2 , 	6 , 	7 , 	-   , 	0 , 	659 ,,,,,,,,,,
