Exit stations,Entry stations->,,TOTAL,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	384 ," 	1,375 "," 	1,193 ", 	740 ," 	3,946 ", 	964 ," 	1,651 "," 	1,003 "," 	1,446 ", 	340 ," 	1,197 ", 	628 , 	443 , 	308 , 	358 , 	172 , 	162 , 	207 , 	252 , 	115 , 	233 , 	133 , 	92 , 	280 , 	460 ," 	3,497 "," 	2,834 "," 	5,886 "," 	2,924 "," 	2,295 "," 	2,336 ", 	534 , 	668 , 	559 , 	223 , 	73 , 	200 , 	68 , 	150 , 	179 , 	276 , 	640 , 	137 , 	28 , 	187 , 	206 , 	105 , 	176 , 	152 , 	159 ," 	42,574 ",,,,,,,,,,,,,
SB, 	325 , 	342 , 	137 , 	101 , 	340 , 	123 , 	196 , 	224 , 	413 , 	152 , 	297 , 	172 , 	138 , 	185 , 	145 , 	75 , 	30 , 	50 , 	246 , 	150 , 	208 , 	80 , 	32 , 	130 , 	292 ," 	1,741 "," 	2,026 "," 	4,033 "," 	2,597 "," 	1,754 "," 	1,834 ", 	989 ," 	1,560 "," 	1,582 ", 	597 , 	55 , 	54 , 	63 , 	257 , 	391 , 	310 ," 	1,065 ", 	279 , 	24 , 	47 , 	10 , 	26 , 	4 , 	90 , 	270 ," 	26,241 ",,,,,,,,,,,,,
SO, 	675 ," 	1,271 ", 	788 ," 	1,156 "," 	2,923 ", 	856 ," 	1,368 "," 	1,089 "," 	1,185 ", 	419 , 	514 , 	322 , 	422 , 	301 , 	217 , 	251 , 	201 , 	209 ," 	1,535 "," 	1,664 "," 	1,747 "," 	1,091 ", 	738 ," 	1,859 "," 	1,418 "," 	2,892 "," 	2,828 "," 	9,602 "," 	4,065 "," 	2,733 "," 	1,928 "," 	1,148 "," 	1,556 "," 	2,412 "," 	1,876 ", 	150 ," 	1,136 ", 	529 ," 	1,426 ", 	894 , 	686 ," 	1,045 "," 	2,857 ", 	299 , 	273 , 	84 , 	100 , 	60 , 	188 ," 	1,360 "," 	66,346 ",,,,,,,,,,,,,
MB, 	164 , 	311 , 	118 , 	116 , 	691 , 	140 , 	253 , 	276 , 	428 , 	79 , 	94 , 	110 , 	48 , 	78 , 	52 , 	38 , 	39 , 	19 , 	122 , 	95 , 	87 , 	41 , 	52 , 	76 , 	177 ," 	1,653 "," 	1,862 "," 	2,806 "," 	2,047 "," 	1,145 "," 	1,051 ", 	530 , 	882 ," 	1,028 ", 	447 , 	8 , 	64 , 	16 , 	60 , 	285 , 	188 ," 	3,142 ", 	460 , 	19 , 	22 , 	4 , 	6 , 	5 , 	28 , 	131 ," 	21,593 ",,,,,,,,,,,,,
WD, 	34 , 	114 , 	56 , 	37 , 	304 , 	37 , 	133 , 	166 , 	176 , 	707 , 	806 , 	452 , 	702 , 	829 , 	388 , 	227 , 	200 , 	127 , 	42 , 	50 , 	22 , 	4 , 	5 , 	23 , 	116 ," 	2,568 "," 	1,726 "," 	1,992 "," 	1,438 ", 	563 , 	296 , 	184 , 	125 , 	183 , 	11 , 	850 , 	407 , 	12 , 	32 , 	20 , 	31 , 	377 , 	26 , 	168 , 	313 , 	94 , 	105 , 	113 , 	15 , 	36 ," 	17,442 ",,,,,,,,,,,,,
OA, 	164 , 	395 , 	313 , 	368 ," 	1,531 ", 	307 , 	354 , 	403 , 	368 , 	271 , 	190 , 	327 , 	118 , 	61 , 	105 , 	67 , 	188 , 	225 , 	312 , 	370 , 	348 , 	208 , 	84 , 	197 , 	115 ," 	1,064 ", 	730 ," 	1,229 ", 	694 , 	328 , 	318 , 	181 , 	119 , 	140 , 	25 , 	66 , 	656 , 	112 , 	272 , 	30 , 	45 , 	314 , 	27 , 	239 , 	191 , 	104 , 	186 , 	179 , 	29 , 	274 ," 	14,941 ",,,,,,,,,,,,,
WS, 	190 , 	313 , 	138 , 	113 , 	490 , 	165 , 	150 , 	437 , 	403 , 	507 , 	687 , 	679 , 	633 , 	686 , 	871 , 	754 , 	727 , 	739 , 	78 , 	62 , 	37 , 	13 , 	11 , 	59 , 	154 , 	902 , 	778 , 	929 , 	555 , 	232 , 	91 , 	72 , 	83 , 	161 , 	14 , 	107 , 	209 , 	18 , 	128 , 	38 , 	6 , 	116 , 	6 , 	81 , 	111 , 	240 , 	800 , 	962 , 	40 , 	90 ," 	15,865 ",,,,,,,,,,,,,
ML, 	107 , 	230 , 	114 , 	125 , 	833 , 	187 , 	248 , 	289 , 	332 , 	331 , 	457 , 	195 , 	328 , 	394 , 	616 , 	455 , 	761 ," 	1,100 ", 	111 , 	65 , 	79 , 	40 , 	18 , 	70 , 	69 ," 	1,140 ", 	789 ," 	1,226 ", 	710 , 	286 , 	182 , 	53 , 	88 , 	177 , 	32 , 	72 , 	274 , 	18 , 	35 , 	19 , 	25 , 	118 , 	6 , 	79 , 	218 , 	986 , 	290 , 	265 , 	32 , 	63 ," 	14,737 ",,,,,,,,,,,,,
BE, 	194 , 	312 , 	150 , 	145 ," 	1,266 ", 	240 , 	404 , 	450 , 	433 , 	409 , 	635 , 	303 , 	478 , 	373 , 	644 , 	430 , 	645 , 	985 , 	103 , 	92 , 	110 , 	48 , 	32 , 	88 , 	159 ," 	1,497 "," 	1,046 "," 	1,446 ", 	863 , 	378 , 	249 , 	99 , 	137 , 	208 , 	18 , 	70 , 	298 , 	18 , 	59 , 	18 , 	10 , 	107 , 	4 , 	114 , 	182 ," 	1,085 ", 	235 , 	296 , 	16 , 	108 ," 	17,689 ",,,,,,,,,,,,,
PC, 	138 , 	113 , 	39 , 	26 , 	166 , 	29 , 	482 , 	246 , 	282 , 	66 , 	137 , 	170 , 	87 , 	50 , 	60 , 	25 , 	42 , 	26 , 	892 , 	337 , 	559 , 	144 , 	115 , 	206 , 	125 , 	772 , 	613 ," 	1,225 ", 	688 , 	380 , 	332 , 	160 , 	123 , 	181 , 	93 , 	9 , 	26 , 	221 , 	222 , 	69 , 	80 , 	214 , 	12 , 	13 , 	52 , 	25 , 	26 , 	22 , 	56 , 	421 ," 	10,597 ",,,,,,,,,,,,,
AN, 	181 , 	144 , 	61 , 	57 , 	406 , 	102 ," 	1,200 ", 	812 ," 	1,135 ", 	290 , 	390 , 	431 , 	280 , 	128 , 	221 , 	112 , 	82 , 	132 ," 	1,283 ", 	571 ," 	1,090 ", 	148 , 	122 , 	541 , 	300 ," 	3,338 "," 	3,017 "," 	3,625 "," 	2,893 "," 	1,130 ", 	942 , 	504 , 	446 , 	578 , 	250 , 	38 , 	47 , 	270 , 	464 , 	314 , 	253 ," 	1,492 ", 	124 , 	26 , 	357 , 	128 , 	84 , 	102 , 	440 , 	343 ," 	31,424 ",,,,,,,,,,,,,
Entries," 	43,567 "," 	63,280 "," 	34,666 "," 	28,635 "," 	82,309 "," 	31,871 "," 	63,234 "," 	64,905 "," 	71,647 "," 	47,550 "," 	75,392 "," 	42,790 "," 	52,862 "," 	44,823 "," 	35,228 "," 	24,146 "," 	26,682 "," 	27,511 "," 	40,997 "," 	35,799 "," 	39,315 "," 	20,608 "," 	16,059 "," 	35,638 "," 	61,401 "," 	185,033 "," 	160,528 "," 	265,292 "," 	159,498 "," 	99,863 "," 	99,308 "," 	51,955 "," 	75,598 "," 	64,669 "," 	27,573 "," 	18,755 "," 	40,931 "," 	11,147 "," 	31,319 "," 	21,108 "," 	24,166 "," 	74,303 "," 	21,753 "," 	16,769 "," 	15,252 "," 	17,390 "," 	14,148 "," 	16,597 "," 	11,400 "," 	30,598 "," 	2,665,868 ",,,,,,,,,,,,,
