Exit stations,Entry stations->,,SUNDAY,,,Dec 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	18 , 	28 , 	16 , 	25 , 	48 , 	24 , 	38 , 	22 , 	25 , 	22 , 	25 , 	41 , 	14 , 	17 , 	8 , 	7 , 	7 , 	17 , 	26 , 	21 , 	30 , 	18 , 	12 , 	30 , 	29 , 	160 , 	166 ," 	1,124 ", 	242 , 	191 , 	157 , 	38 , 	55 , 	41 , 	29 , 	9 , 	26 , 	7 , 	27 , 	14 , 	63 , 	88 , 	44 , 	7 ," 	3,056 ",,,,,,,,,,,
BP, 	30 , 	41 , 	14 , 	27 , 	44 , 	23 , 	38 , 	21 , 	33 , 	35 , 	49 , 	48 , 	22 , 	32 , 	13 , 	6 , 	17 , 	27 , 	34 , 	30 , 	33 , 	15 , 	12 , 	13 , 	46 , 	265 , 	274 ," 	1,881 ", 	382 , 	268 , 	290 , 	53 , 	84 , 	66 , 	58 , 	13 , 	88 , 	13 , 	42 , 	28 , 	137 , 	102 , 	72 , 	11 ," 	4,832 ",,,,,,,,,,,
DC, 	19 , 	29 , 	9 , 	12 , 	47 , 	10 , 	22 , 	18 , 	29 , 	28 , 	32 , 	58 , 	17 , 	24 , 	16 , 	9 , 	19 , 	26 , 	23 , 	17 , 	26 , 	8 , 	13 , 	16 , 	20 , 	149 , 	168 ," 	1,106 ", 	250 , 	148 , 	154 , 	42 , 	74 , 	23 , 	33 , 	13 , 	37 , 	6 , 	33 , 	26 , 	114 , 	153 , 	84 , 	11 ," 	3,168 ",,,,,,,,,,,
CM, 	5 , 	13 , 	2 , 	4 , 	8 , 	1 , 	6 , 	6 , 	10 , 	4 , 	5 , 	9 , 	5 , 	5 , 	4 , 	5 , 	3 , 	6 , 	7 , 	5 , 	8 , 	2 , 	2 , 	5 , 	9 , 	54 , 	60 , 	365 , 	110 , 	60 , 	74 , 	29 , 	67 , 	33 , 	7 , 	1 , 	4 , 	3 , 	17 , 	6 , 	66 , 	74 , 	33 , 	1 ," 	1,206 ",,,,,,,,,,,
CV, 	4 , 	5 , 	3 , 	4 , 	12 , 	4 , 	11 , 	6 , 	8 , 	41 , 	35 , 	128 , 	23 , 	51 , 	18 , 	11 , 	8 , 	9 , 	3 , 	2 , 	4 , 	1 , 	0 , 	3 , 	6 , 	64 , 	57 , 	233 , 	71 , 	17 , 	12 , 	11 , 	14 , 	15 , 	2 , 	6 , 	50 , 	1 , 	5 , 	2 , 	2 , 	17 , 	6 , 	67 ," 	1,049 ",,,,,,,,,,,
ED, 	8 , 	10 , 	9 , 	7 , 	36 , 	10 , 	10 , 	18 , 	15 , 	45 , 	48 , 	516 , 	21 , 	57 , 	16 , 	14 , 	19 , 	29 , 	4 , 	4 , 	4 , 	1 , 	1 , 	6 , 	7 , 	225 , 	153 , 	692 , 	188 , 	33 , 	32 , 	30 , 	76 , 	34 , 	4 , 	41 , 	17 , 	1 , 	6 , 	3 , 	5 , 	91 , 	9 , 	21 ," 	2,575 ",,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	1 , 	10 , 	2 , 	9 , 	5 , 	8 , 	0 , 	4 , 	45 , 	3 , 	1 , 	4 , 	1 , 	3 , 	5 , 	15 , 	9 , 	21 , 	3 , 	2 , 	8 , 	1 , 	39 , 	31 , 	135 , 	44 , 	10 , 	5 , 	9 , 	12 , 	7 , 	2 , 	1 , 	2 , 	5 , 	19 , 	2 , 	3 , 	30 , 	5 , 	0 , 	525 ,,,,,,,,,,,
WP, 	28 , 	30 , 	11 , 	10 , 	21 , 	12 , 	83 , 	32 , 	59 , 	9 , 	43 , 	157 , 	16 , 	22 , 	21 , 	10 , 	11 , 	29 , 	158 , 	47 , 	99 , 	17 , 	6 , 	23 , 	18 , 	116 , 	65 , 	340 , 	99 , 	36 , 	41 , 	29 , 	43 , 	34 , 	13 , 	5 , 	7 , 	21 , 	24 , 	15 , 	14 , 	77 , 	16 , 	3 ," 	1,970 ",,,,,,,,,,,
SS, 	4 , 	9 , 	2 , 	4 , 	8 , 	4 , 	7 , 	3 , 	4 , 	7 , 	8 , 	10 , 	5 , 	4 , 	2 , 	3 , 	2 , 	2 , 	11 , 	6 , 	6 , 	3 , 	2 , 	4 , 	3 , 	31 , 	51 , 	288 , 	67 , 	34 , 	43 , 	15 , 	33 , 	27 , 	6 , 	3 , 	6 , 	3 , 	12 , 	6 , 	34 , 	34 , 	15 , 	2 , 	831 ,,,,,,,,,,,
SB, 	11 , 	11 , 	7 , 	5 , 	8 , 	3 , 	9 , 	7 , 	12 , 	5 , 	15 , 	18 , 	4 , 	7 , 	5 , 	2 , 	4 , 	4 , 	8 , 	7 , 	8 , 	2 , 	2 , 	3 , 	12 , 	44 , 	45 , 	298 , 	118 , 	77 , 	118 , 	70 , 	140 , 	101 , 	58 , 	2 , 	9 , 	5 , 	16 , 	36 , 	8 , 	45 , 	32 , 	2 ," 	1,401 ",,,,,,,,,,,
SO, 	21 , 	42 , 	41 , 	70 , 	180 , 	59 , 	83 , 	49 , 	56 , 	22 , 	26 , 	33 , 	16 , 	13 , 	11 , 	5 , 	11 , 	29 , 	51 , 	74 , 	88 , 	56 , 	39 , 	84 , 	54 , 	247 , 	293 ," 	1,168 ", 	394 , 	167 , 	158 , 	76 , 	91 , 	121 , 	55 , 	10 , 	66 , 	23 , 	47 , 	20 , 	33 , 	34 , 	250 , 	21 ," 	4,486 ",,,,,,,,,,,
MB, 	9 , 	16 , 	15 , 	11 , 	56 , 	15 , 	17 , 	19 , 	21 , 	7 , 	15 , 	29 , 	11 , 	9 , 	5 , 	3 , 	3 , 	3 , 	11 , 	11 , 	14 , 	11 , 	7 , 	21 , 	12 , 	104 , 	108 , 	639 , 	206 , 	110 , 	97 , 	51 , 	84 , 	90 , 	35 , 	4 , 	10 , 	6 , 	15 , 	15 , 	33 , 	296 , 	16 , 	4 ," 	2,271 ",,,,,,,,,,,
WD, 	4 , 	4 , 	6 , 	2 , 	13 , 	5 , 	7 , 	4 , 	5 , 	30 , 	43 , 	147 , 	29 , 	84 , 	28 , 	14 , 	11 , 	16 , 	3 , 	1 , 	2 , 	0 , 	1 , 	3 , 	2 , 	80 , 	56 , 	243 , 	69 , 	13 , 	7 , 	6 , 	17 , 	10 , 	0 , 	64 , 	13 , 	0 , 	3 , 	2 , 	3 , 	27 , 	3 , 	7 ," 	1,091 ",,,,,,,,,,,
Entries," 	1,448 "," 	2,329 "," 	1,557 "," 	1,714 "," 	4,182 "," 	1,939 "," 	3,042 "," 	2,355 "," 	2,743 "," 	2,120 "," 	3,228 "," 	5,820 "," 	1,834 "," 	2,381 "," 	1,408 ", 	876 ," 	1,144 "," 	2,169 "," 	1,581 "," 	1,414 "," 	2,103 "," 	1,152 ", 	853 ," 	2,082 "," 	2,542 "," 	5,963 "," 	5,027 "," 	22,740 "," 	7,644 "," 	5,445 "," 	5,537 "," 	3,027 "," 	5,043 "," 	3,000 "," 	1,121 ", 	974 ," 	2,599 ", 	489 ," 	1,776 ", 	771 ," 	1,343 "," 	5,737 "," 	2,085 "," 	1,005 "," 	135,343 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
