Exit stations,Entry stations->,,SUNDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
CM, 	5 , 	12 , 	2 , 	3 , 	8 , 	2 , 	9 , 	9 , 	19 , 	6 , 	6 , 	4 , 	3 , 	8 , 	6 , 	2 , 	3 , 	1 , 	6 , 	6 , 	5 , 	2 , 	1 , 	2 , 	7 , 	48 , 	54 , 	232 , 	93 , 	51 , 	53 , 	18 , 	26 , 	18 , 	4 , 	1 , 	4 , 	1 , 	8 , 	4 , 	24 , 	122 , 	13 , 	1 , 	3 , 	1 , 	-   , 	-   , 	2 , 	6 , 	919 ,,,,,,,,,,,
CV, 	2 , 	4 , 	3 , 	1 , 	16 , 	4 , 	7 , 	12 , 	13 , 	38 , 	23 , 	12 , 	16 , 	22 , 	7 , 	5 , 	3 , 	8 , 	2 , 	0 , 	1 , 	1 , 	2 , 	2 , 	4 , 	43 , 	30 , 	86 , 	38 , 	16 , 	9 , 	4 , 	6 , 	6 , 	1 , 	8 , 	30 , 	1 , 	1 , 	1 , 	2 , 	12 , 	1 , 	46 , 	7 , 	5 , 	-   , 	-   , 	1 , 	0 , 	556 ,,,,,,,,,,,
ED, 	5 , 	7 , 	5 , 	5 , 	34 , 	5 , 	14 , 	18 , 	24 , 	53 , 	34 , 	23 , 	21 , 	43 , 	12 , 	10 , 	20 , 	17 , 	3 , 	3 , 	3 , 	1 , 	1 , 	3 , 	6 , 	181 , 	115 , 	277 , 	102 , 	26 , 	20 , 	15 , 	14 , 	19 , 	3 , 	27 , 	12 , 	1 , 	2 , 	3 , 	6 , 	84 , 	4 , 	15 , 	61 , 	23 , 	-   , 	-   , 	2 , 	1 ," 	1,378 ",,,,,,,,,,,
NC, 	2 , 	2 , 	0 , 	1 , 	4 , 	1 , 	6 , 	5 , 	7 , 	1 , 	3 , 	1 , 	2 , 	3 , 	1 , 	1 , 	1 , 	1 , 	15 , 	7 , 	14 , 	4 , 	1 , 	3 , 	2 , 	27 , 	24 , 	54 , 	24 , 	5 , 	10 , 	4 , 	2 , 	6 , 	2 , 	1 , 	1 , 	3 , 	8 , 	1 , 	4 , 	30 , 	1 , 	-   , 	6 , 	2 , 	-   , 	-   , 	6 , 	5 , 	308 ,,,,,,,,,,,
WP, 	7 , 	11 , 	3 , 	2 , 	8 , 	3 , 	17 , 	11 , 	9 , 	5 , 	10 , 	9 , 	6 , 	5 , 	4 , 	3 , 	2 , 	1 , 	55 , 	22 , 	40 , 	14 , 	4 , 	10 , 	3 , 	54 , 	43 , 	135 , 	36 , 	26 , 	21 , 	10 , 	10 , 	15 , 	7 , 	1 , 	3 , 	6 , 	13 , 	5 , 	5 , 	64 , 	4 , 	1 , 	12 , 	5 , 	-   , 	-   , 	4 , 	6 , 	744 ,,,,,,,,,,,
SS, 	10 , 	6 , 	2 , 	1 , 	11 , 	4 , 	5 , 	8 , 	8 , 	4 , 	5 , 	4 , 	3 , 	4 , 	3 , 	2 , 	1 , 	0 , 	8 , 	4 , 	6 , 	1 , 	2 , 	2 , 	9 , 	36 , 	36 , 	191 , 	56 , 	47 , 	40 , 	18 , 	14 , 	15 , 	6 , 	-   , 	6 , 	1 , 	7 , 	6 , 	15 , 	58 , 	11 , 	1 , 	2 , 	2 , 	-   , 	-   , 	2 , 	4 , 	682 ,,,,,,,,,,,
SB, 	4 , 	15 , 	2 , 	6 , 	16 , 	5 , 	8 , 	8 , 	15 , 	6 , 	7 , 	5 , 	4 , 	5 , 	4 , 	3 , 	2 , 	3 , 	12 , 	6 , 	7 , 	3 , 	3 , 	6 , 	12 , 	42 , 	57 , 	193 , 	96 , 	64 , 	72 , 	38 , 	53 , 	68 , 	24 , 	1 , 	5 , 	5 , 	6 , 	16 , 	9 , 	55 , 	13 , 	1 , 	4 , 	2 , 	-   , 	-   , 	4 , 	7 , 	998 ,,,,,,,,,,,
SO, 	30 , 	48 , 	32 , 	34 , 	73 , 	24 , 	51 , 	40 , 	55 , 	13 , 	19 , 	10 , 	16 , 	15 , 	6 , 	6 , 	9 , 	8 , 	58 , 	68 , 	81 , 	55 , 	36 , 	66 , 	57 , 	125 , 	150 , 	525 , 	184 , 	85 , 	76 , 	37 , 	64 , 	117 , 	83 , 	6 , 	41 , 	22 , 	57 , 	28 , 	20 , 	32 , 	86 , 	8 , 	9 , 	7 , 	-   , 	-   , 	13 , 	35 ," 	2,712 ",,,,,,,,,,,
MB, 	8 , 	9 , 	7 , 	5 , 	31 , 	5 , 	12 , 	10 , 	20 , 	4 , 	3 , 	3 , 	3 , 	4 , 	1 , 	1 , 	1 , 	1 , 	6 , 	8 , 	9 , 	5 , 	4 , 	11 , 	10 , 	54 , 	56 , 	185 , 	109 , 	56 , 	48 , 	24 , 	37 , 	44 , 	14 , 	-   , 	4 , 	2 , 	3 , 	10 , 	11 , 	217 , 	24 , 	3 , 	3 , 	1 , 	-   , 	-   , 	1 , 	3 ," 	1,082 ",,,,,,,,,,,
WD, 	4 , 	3 , 	5 , 	1 , 	17 , 	3 , 	5 , 	9 , 	12 , 	27 , 	28 , 	15 , 	23 , 	38 , 	14 , 	10 , 	6 , 	7 , 	2 , 	1 , 	1 , 	0 , 	0 , 	1 , 	2 , 	67 , 	48 , 	96 , 	35 , 	17 , 	12 , 	6 , 	5 , 	7 , 	1 , 	46 , 	21 , 	1 , 	0 , 	1 , 	1 , 	25 , 	2 , 	7 , 	22 , 	6 , 	-   , 	-   , 	-   , 	1 , 	657 ,,,,,,,,,,,
