Exit stations,Entry stations->,,SATURDAY,,,Dec 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
SS, 	3 , 	13 , 	1 , 	5 , 	13 , 	2 , 	8 , 	9 , 	11 , 	6 , 	7 , 	14 , 	8 , 	7 , 	5 , 	3 , 	5 , 	4 , 	8 , 	6 , 	12 , 	2 , 	3 , 	4 , 	6 , 	128 , 	88 , 	409 , 	119 , 	60 , 	65 , 	21 , 	44 , 	48 , 	11 , 	3 , 	6 , 	4 , 	11 , 	8 , 	47 , 	26 , 	15 , 	2 ," 	1,274 ",,,,,,,,,,,
SB, 	13 , 	17 , 	6 , 	3 , 	21 , 	5 , 	10 , 	10 , 	18 , 	9 , 	12 , 	21 , 	4 , 	9 , 	7 , 	7 , 	6 , 	8 , 	11 , 	7 , 	8 , 	2 , 	3 , 	4 , 	10 , 	159 , 	115 , 	426 , 	182 , 	106 , 	172 , 	78 , 	162 , 	135 , 	67 , 	5 , 	10 , 	5 , 	19 , 	40 , 	10 , 	48 , 	45 , 	2 ," 	2,010 ",,,,,,,,,,,
SO, 	27 , 	48 , 	27 , 	51 , 	319 , 	40 , 	62 , 	40 , 	47 , 	20 , 	34 , 	27 , 	17 , 	11 , 	10 , 	5 , 	11 , 	27 , 	56 , 	70 , 	77 , 	47 , 	30 , 	102 , 	37 , 	277 , 	281 ," 	1,383 ", 	406 , 	148 , 	127 , 	67 , 	65 , 	128 , 	55 , 	11 , 	60 , 	15 , 	53 , 	20 , 	45 , 	34 , 	276 , 	13 ," 	4,698 ",,,,,,,,,,,
MB, 	8 , 	24 , 	13 , 	14 , 	90 , 	13 , 	24 , 	20 , 	31 , 	8 , 	18 , 	27 , 	12 , 	7 , 	7 , 	4 , 	3 , 	4 , 	15 , 	13 , 	14 , 	9 , 	9 , 	18 , 	7 , 	344 , 	227 , 	925 , 	288 , 	144 , 	141 , 	67 , 	90 , 	114 , 	40 , 	3 , 	11 , 	4 , 	19 , 	20 , 	40 , 	248 , 	20 , 	3 ," 	3,153 ",,,,,,,,,,,
WD, 	3 , 	4 , 	6 , 	2 , 	19 , 	7 , 	12 , 	15 , 	15 , 	21 , 	47 , 	70 , 	34 , 	90 , 	32 , 	16 , 	17 , 	21 , 	5 , 	3 , 	6 , 	4 , 	0 , 	2 , 	6 , 	175 , 	86 , 	337 , 	71 , 	14 , 	10 , 	15 , 	10 , 	14 , 	3 , 	63 , 	21 , 	1 , 	5 , 	1 , 	2 , 	26 , 	4 , 	5 ," 	1,314 ",,,,,,,,,,,
Entries," 	2,109 "," 	3,836 "," 	2,552 "," 	2,796 "," 	7,416 "," 	3,317 "," 	4,999 "," 	4,091 "," 	4,783 "," 	2,891 "," 	4,813 "," 	4,620 "," 	2,632 "," 	3,332 "," 	2,357 "," 	1,429 "," 	1,957 "," 	3,723 "," 	2,557 "," 	2,442 "," 	3,591 "," 	1,939 "," 	1,551 "," 	3,640 "," 	3,759 "," 	12,854 "," 	9,838 "," 	31,720 "," 	11,149 "," 	8,112 "," 	8,795 "," 	4,730 "," 	7,191 "," 	4,979 "," 	1,775 "," 	1,481 "," 	4,025 ", 	781 ," 	2,564 "," 	1,333 "," 	2,014 "," 	5,227 "," 	3,770 "," 	1,322 "," 	206,788 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
