Exit stations,Entry stations->,,SUNDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
24, 	56 , 	57 , 	34 , 	56 , 	120 , 	59 , 	108 , 	139 , 	92 , 	82 , 	92 , 	64 , 	31 , 	35 , 	18 , 	9 , 	8 , 	16 , 	22 , 	24 , 	33 , 	15 , 	18 , 	66 , 	142 , 	241 , 	223 , 	997 , 	384 , 	123 , 	66 , 	115 , 	182 , 	134 , 	39 , 	10 , 	36 , 	9 , 	29 , 	29 , 	63 , 	143 , 	98 , 	10 , 	25 , 	15 , 	-   , 	-   , 	4 , 	12 ," 	4,378 ",,,,,,,,,,,
GP, 	16 , 	18 , 	12 , 	18 , 	59 , 	17 , 	28 , 	45 , 	43 , 	22 , 	25 , 	41 , 	12 , 	7 , 	7 , 	4 , 	6 , 	7 , 	11 , 	16 , 	21 , 	7 , 	7 , 	30 , 	37 , 	131 , 	142 , 	611 , 	168 , 	130 , 	127 , 	35 , 	37 , 	26 , 	22 , 	6 , 	17 , 	3 , 	14 , 	8 , 	46 , 	70 , 	41 , 	6 , 	14 , 	6 , 	-   , 	-   , 	3 , 	9 ," 	2,182 ",,,,,,,,,,,
BP, 	22 , 	21 , 	8 , 	13 , 	34 , 	14 , 	23 , 	33 , 	33 , 	24 , 	23 , 	23 , 	14 , 	14 , 	8 , 	4 , 	8 , 	8 , 	12 , 	7 , 	12 , 	3 , 	4 , 	10 , 	28 , 	187 , 	245 ," 	1,120 ", 	264 , 	183 , 	174 , 	36 , 	53 , 	23 , 	25 , 	8 , 	24 , 	5 , 	15 , 	14 , 	48 , 	96 , 	43 , 	6 , 	8 , 	8 , 	-   , 	-   , 	2 , 	5 ," 	2,990 ",,,,,,,,,,,
DC, 	19 , 	33 , 	8 , 	10 , 	55 , 	12 , 	20 , 	37 , 	37 , 	17 , 	30 , 	61 , 	19 , 	17 , 	9 , 	7 , 	11 , 	14 , 	24 , 	13 , 	20 , 	7 , 	10 , 	12 , 	33 , 	141 , 	145 , 	766 , 	210 , 	157 , 	126 , 	29 , 	28 , 	27 , 	14 , 	7 , 	42 , 	8 , 	18 , 	19 , 	61 , 	163 , 	64 , 	10 , 	13 , 	13 , 	-   , 	-   , 	4 , 	15 ," 	2,608 ",,,,,,,,,,,
CM, 	5 , 	15 , 	4 , 	4 , 	11 , 	3 , 	7 , 	13 , 	11 , 	5 , 	4 , 	8 , 	3 , 	6 , 	2 , 	2 , 	2 , 	2 , 	6 , 	7 , 	6 , 	1 , 	2 , 	6 , 	11 , 	51 , 	56 , 	211 , 	70 , 	46 , 	42 , 	18 , 	29 , 	15 , 	9 , 	2 , 	5 , 	3 , 	9 , 	3 , 	25 , 	112 , 	13 , 	1 , 	5 , 	2 , 	-   , 	-   , 	0 , 	4 , 	871 ,,,,,,,,,,,
CV, 	3 , 	3 , 	2 , 	4 , 	19 , 	2 , 	5 , 	12 , 	12 , 	39 , 	19 , 	53 , 	17 , 	24 , 	6 , 	5 , 	6 , 	7 , 	1 , 	2 , 	2 , 	-   , 	1 , 	3 , 	6 , 	57 , 	51 , 	128 , 	46 , 	16 , 	8 , 	7 , 	7 , 	6 , 	3 , 	5 , 	34 , 	0 , 	3 , 	2 , 	3 , 	11 , 	2 , 	33 , 	7 , 	4 , 	-   , 	-   , 	0 , 	1 , 	681 ,,,,,,,,,,,
ED, 	4 , 	5 , 	7 , 	4 , 	46 , 	6 , 	15 , 	25 , 	20 , 	41 , 	37 , 	110 , 	26 , 	45 , 	16 , 	10 , 	21 , 	16 , 	2 , 	3 , 	4 , 	-   , 	3 , 	3 , 	9 , 	196 , 	131 , 	343 , 	117 , 	48 , 	37 , 	20 , 	22 , 	28 , 	6 , 	29 , 	21 , 	1 , 	3 , 	5 , 	3 , 	77 , 	7 , 	23 , 	53 , 	16 , 	-   , 	-   , 	2 , 	2 ," 	1,662 ",,,,,,,,,,,
NC, 	0 , 	0 , 	1 , 	1 , 	5 , 	1 , 	5 , 	8 , 	6 , 	1 , 	2 , 	11 , 	3 , 	3 , 	1 , 	2 , 	1 , 	1 , 	10 , 	8 , 	11 , 	1 , 	1 , 	7 , 	1 , 	35 , 	21 , 	57 , 	27 , 	5 , 	9 , 	4 , 	6 , 	4 , 	3 , 	1 , 	-   , 	2 , 	5 , 	2 , 	1 , 	32 , 	2 , 	-   , 	5 , 	1 , 	-   , 	-   , 	4 , 	4 , 	319 ,,,,,,,,,,,
WP, 	8 , 	8 , 	5 , 	5 , 	13 , 	4 , 	12 , 	20 , 	19 , 	3 , 	13 , 	30 , 	5 , 	4 , 	4 , 	4 , 	2 , 	4 , 	53 , 	31 , 	33 , 	9 , 	3 , 	10 , 	8 , 	51 , 	48 , 	144 , 	36 , 	27 , 	24 , 	12 , 	14 , 	13 , 	8 , 	3 , 	3 , 	5 , 	10 , 	6 , 	7 , 	61 , 	4 , 	2 , 	11 , 	5 , 	-   , 	-   , 	6 , 	7 , 	813 ,,,,,,,,,,,
SS, 	6 , 	7 , 	2 , 	1 , 	10 , 	3 , 	5 , 	13 , 	9 , 	4 , 	7 , 	11 , 	4 , 	2 , 	2 , 	3 , 	1 , 	1 , 	10 , 	5 , 	3 , 	2 , 	2 , 	4 , 	8 , 	30 , 	41 , 	170 , 	56 , 	37 , 	30 , 	12 , 	13 , 	15 , 	6 , 	2 , 	6 , 	2 , 	8 , 	9 , 	16 , 	42 , 	12 , 	2 , 	3 , 	2 , 	-   , 	-   , 	2 , 	4 , 	638 ,,,,,,,,,,,
SB, 	8 , 	12 , 	4 , 	4 , 	19 , 	3 , 	8 , 	10 , 	15 , 	5 , 	9 , 	9 , 	6 , 	7 , 	1 , 	2 , 	2 , 	2 , 	11 , 	8 , 	7 , 	2 , 	3 , 	5 , 	12 , 	47 , 	49 , 	221 , 	83 , 	67 , 	66 , 	33 , 	55 , 	59 , 	26 , 	3 , 	6 , 	2 , 	8 , 	21 , 	9 , 	47 , 	17 , 	2 , 	4 , 	2 , 	-   , 	-   , 	2 , 	4 ," 	1,003 ",,,,,,,,,,,
SO, 	23 , 	49 , 	28 , 	34 , 	77 , 	23 , 	56 , 	37 , 	55 , 	13 , 	21 , 	16 , 	18 , 	10 , 	7 , 	5 , 	6 , 	10 , 	45 , 	53 , 	72 , 	43 , 	32 , 	54 , 	58 , 	152 , 	152 , 	627 , 	190 , 	83 , 	67 , 	33 , 	49 , 	108 , 	59 , 	8 , 	40 , 	22 , 	50 , 	26 , 	25 , 	25 , 	90 , 	12 , 	8 , 	4 , 	-   , 	-   , 	6 , 	31 ," 	2,708 ",,,,,,,,,,,
MB, 	6 , 	15 , 	10 , 	9 , 	57 , 	9 , 	13 , 	20 , 	26 , 	8 , 	6 , 	20 , 	5 , 	4 , 	2 , 	1 , 	1 , 	1 , 	8 , 	7 , 	12 , 	4 , 	4 , 	14 , 	13 , 	105 , 	96 , 	348 , 	182 , 	105 , 	77 , 	35 , 	46 , 	56 , 	9 , 	2 , 	7 , 	4 , 	5 , 	11 , 	11 , 	199 , 	23 , 	5 , 	3 , 	-   , 	-   , 	-   , 	4 , 	6 ," 	1,609 ",,,,,,,,,,,
WD, 	2 , 	5 , 	2 , 	6 , 	20 , 	2 , 	6 , 	10 , 	6 , 	35 , 	27 , 	63 , 	19 , 	36 , 	16 , 	8 , 	10 , 	9 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	4 , 	86 , 	52 , 	106 , 	51 , 	21 , 	11 , 	6 , 	5 , 	10 , 	1 , 	33 , 	19 , 	0 , 	1 , 	2 , 	2 , 	27 , 	3 , 	7 , 	25 , 	7 , 	-   , 	-   , 	-   , 	0 , 	758 ,,,,,,,,,,,
OA, 	4 , 	13 , 	14 , 	11 , 	37 , 	6 , 	9 , 	10 , 	16 , 	6 , 	7 , 	17 , 	5 , 	2 , 	1 , 	2 , 	6 , 	7 , 	7 , 	12 , 	11 , 	8 , 	8 , 	5 , 	4 , 	47 , 	31 , 	59 , 	26 , 	10 , 	10 , 	9 , 	3 , 	8 , 	0 , 	2 , 	19 , 	3 , 	11 , 	1 , 	2 , 	10 , 	1 , 	6 , 	1 , 	1 , 	-   , 	-   , 	1 , 	5 , 	488 ,,,,,,,,,,,
WS, 	10 , 	30 , 	13 , 	13 , 	125 , 	24 , 	26 , 	34 , 	32 , 	37 , 	33 , 	104 , 	23 , 	29 , 	33 , 	18 , 	27 , 	27 , 	9 , 	7 , 	10 , 	5 , 	2 , 	9 , 	8 , 	73 , 	59 , 	137 , 	49 , 	26 , 	10 , 	7 , 	8 , 	9 , 	2 , 	8 , 	15 , 	2 , 	6 , 	3 , 	0 , 	9 , 	1 , 	5 , 	12 , 	11 , 	-   , 	-   , 	3 , 	7 ," 	1,145 ",,,,,,,,,,,
ML, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
