Exit stations,Entry stations->,,SATURDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
ED, 	9 , 	18 , 	11 , 	13 , 	175 , 	21 , 	21 , 	76 , 	35 , 	84 , 	87 , 	523 , 	43 , 	131 , 	35 , 	21 , 	32 , 	101 , 	10 , 	6 , 	4 , 	6 , 	1 , 	14 , 	14 , 	672 , 	267 , 	494 , 	221 , 	73 , 	44 , 	20 , 	27 , 	43 , 	4 , 	71 , 	69 , 	2 , 	15 , 	6 , 	6 , 	86 , 	10 , 	33 , 	43 , 	-   ," 	3,690 ",,,,,,,,,,,
NC, 	2 , 	3 , 	3 , 	2 , 	42 , 	5 , 	19 , 	24 , 	16 , 	4 , 	4 , 	44 , 	4 , 	4 , 	3 , 	1 , 	2 , 	3 , 	25 , 	9 , 	22 , 	16 , 	5 , 	20 , 	3 , 	102 , 	56 , 	111 , 	53 , 	12 , 	11 , 	5 , 	9 , 	8 , 	4 , 	2 , 	3 , 	7 , 	26 , 	3 , 	3 , 	29 , 	3 , 	0 , 	9 , 	-   , 	734 ,,,,,,,,,,,
WP, 	31 , 	44 , 	11 , 	12 , 	102 , 	24 , 	108 , 	85 , 	68 , 	17 , 	49 , 	119 , 	23 , 	26 , 	28 , 	13 , 	13 , 	25 , 	225 , 	85 , 	134 , 	35 , 	20 , 	47 , 	23 , 	210 , 	144 , 	337 , 	127 , 	55 , 	59 , 	27 , 	46 , 	39 , 	20 , 	5 , 	14 , 	32 , 	28 , 	15 , 	13 , 	86 , 	16 , 	5 , 	25 , 	-   ," 	2,667 ",,,,,,,,,,,
SS, 	7 , 	6 , 	5 , 	2 , 	19 , 	5 , 	9 , 	12 , 	18 , 	4 , 	8 , 	11 , 	5 , 	5 , 	3 , 	5 , 	2 , 	4 , 	8 , 	7 , 	9 , 	2 , 	3 , 	5 , 	4 , 	109 , 	104 , 	358 , 	130 , 	82 , 	90 , 	25 , 	47 , 	42 , 	12 , 	1 , 	8 , 	3 , 	11 , 	13 , 	30 , 	36 , 	32 , 	2 , 	3 , 	-   ," 	1,300 ",,,,,,,,,,,
SB, 	15 , 	18 , 	2 , 	3 , 	28 , 	5 , 	12 , 	16 , 	23 , 	10 , 	17 , 	22 , 	5 , 	10 , 	7 , 	3 , 	5 , 	8 , 	11 , 	7 , 	6 , 	3 , 	2 , 	3 , 	11 , 	151 , 	111 , 	381 , 	175 , 	96 , 	122 , 	59 , 	127 , 	127 , 	51 , 	4 , 	7 , 	2 , 	16 , 	34 , 	13 , 	62 , 	36 , 	1 , 	2 , 	-   ," 	1,822 ",,,,,,,,,,,
SO, 	28 , 	53 , 	35 , 	49 , 	98 , 	31 , 	57 , 	38 , 	51 , 	19 , 	30 , 	20 , 	25 , 	16 , 	14 , 	9 , 	17 , 	26 , 	51 , 	71 , 	97 , 	52 , 	36 , 	67 , 	53 , 	376 , 	266 ," 	1,217 ", 	390 , 	179 , 	143 , 	86 , 	105 , 	166 , 	95 , 	10 , 	61 , 	25 , 	82 , 	38 , 	45 , 	26 , 	318 , 	20 , 	18 , 	-   ," 	4,704 ",,,,,,,,,,,
MB, 	13 , 	19 , 	12 , 	13 , 	127 , 	17 , 	19 , 	30 , 	38 , 	11 , 	17 , 	20 , 	7 , 	7 , 	7 , 	2 , 	5 , 	4 , 	16 , 	14 , 	15 , 	10 , 	4 , 	27 , 	14 , 	312 , 	227 , 	684 , 	337 , 	243 , 	155 , 	71 , 	113 , 	164 , 	50 , 	3 , 	8 , 	4 , 	15 , 	32 , 	27 , 	299 , 	32 , 	3 , 	4 , 	-   ," 	3,244 ",,,,,,,,,,,
WD, 	4 , 	10 , 	6 , 	7 , 	69 , 	6 , 	11 , 	24 , 	16 , 	41 , 	52 , 	201 , 	35 , 	114 , 	41 , 	23 , 	21 , 	42 , 	6 , 	3 , 	2 , 	1 , 	0 , 	3 , 	8 , 	213 , 	108 , 	181 , 	93 , 	26 , 	19 , 	8 , 	7 , 	17 , 	2 , 	90 , 	31 , 	1 , 	5 , 	3 , 	2 , 	27 , 	5 , 	22 , 	24 , 	-   ," 	1,624 ",,,,,,,,,,,
OA, 	5 , 	27 , 	21 , 	24 , 	76 , 	22 , 	30 , 	35 , 	33 , 	22 , 	8 , 	42 , 	9 , 	9 , 	10 , 	6 , 	14 , 	22 , 	18 , 	27 , 	24 , 	10 , 	10 , 	20 , 	5 , 	52 , 	31 , 	68 , 	34 , 	13 , 	15 , 	8 , 	4 , 	6 , 	1 , 	8 , 	37 , 	4 , 	14 , 	2 , 	3 , 	13 , 	2 , 	19 , 	5 , 	-   , 	862 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
