Exit stations,Entry stations->,,SUNDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	49 , 	45 , 	30 , 	52 , 	115 , 	65 , 	125 , 	132 , 	81 , 	84 , 	104 , 	90 , 	26 , 	27 , 	15 , 	14 , 	14 , 	22 , 	28 , 	25 , 	32 , 	13 , 	15 , 	65 , 	112 , 	409 , 	278 ," 	1,155 ", 	564 , 	165 , 	38 , 	156 , 	304 , 	181 , 	73 , 	14 , 	39 , 	8 , 	31 , 	52 , 	97 , 	256 , 	122 , 	13 , 	30 , 	-   ," 	5,361 ",,,,,,,,,,,
GP, 	16 , 	22 , 	11 , 	21 , 	48 , 	20 , 	34 , 	44 , 	26 , 	24 , 	22 , 	50 , 	15 , 	7 , 	5 , 	3 , 	10 , 	14 , 	15 , 	12 , 	16 , 	9 , 	8 , 	26 , 	31 , 	239 , 	170 , 	771 , 	278 , 	195 , 	164 , 	22 , 	51 , 	36 , 	23 , 	6 , 	25 , 	3 , 	20 , 	15 , 	53 , 	121 , 	65 , 	5 , 	12 , 	-   ," 	2,777 ",,,,,,,,,,,
BP, 	25 , 	31 , 	8 , 	13 , 	41 , 	18 , 	26 , 	38 , 	36 , 	30 , 	31 , 	47 , 	15 , 	20 , 	7 , 	7 , 	12 , 	19 , 	16 , 	6 , 	11 , 	5 , 	4 , 	12 , 	37 , 	398 , 	356 ," 	1,702 ", 	423 , 	364 , 	265 , 	42 , 	44 , 	49 , 	49 , 	7 , 	25 , 	6 , 	24 , 	19 , 	102 , 	119 , 	83 , 	5 , 	9 , 	-   ," 	4,600 ",,,,,,,,,,,
DC, 	17 , 	26 , 	12 , 	13 , 	50 , 	12 , 	22 , 	32 , 	30 , 	31 , 	26 , 	103 , 	17 , 	22 , 	10 , 	12 , 	12 , 	30 , 	23 , 	20 , 	19 , 	7 , 	6 , 	16 , 	28 , 	318 , 	238 ," 	1,003 ", 	340 , 	234 , 	189 , 	36 , 	54 , 	26 , 	28 , 	10 , 	42 , 	6 , 	34 , 	27 , 	91 , 	212 , 	120 , 	16 , 	11 , 	-   ," 	3,623 ",,,,,,,,,,,
CM, 	8 , 	10 , 	4 , 	5 , 	7 , 	3 , 	7 , 	10 , 	14 , 	4 , 	4 , 	13 , 	4 , 	7 , 	2 , 	4 , 	2 , 	7 , 	7 , 	6 , 	6 , 	3 , 	1 , 	3 , 	5 , 	88 , 	74 , 	319 , 	117 , 	77 , 	66 , 	22 , 	55 , 	24 , 	8 , 	1 , 	3 , 	2 , 	11 , 	9 , 	34 , 	100 , 	40 , 	1 , 	1 , 	-   ," 	1,191 ",,,,,,,,,,,
CV, 	1 , 	6 , 	4 , 	5 , 	20 , 	3 , 	11 , 	18 , 	12 , 	45 , 	25 , 	308 , 	27 , 	51 , 	15 , 	11 , 	12 , 	16 , 	3 , 	2 , 	3 , 	1 , 	2 , 	4 , 	6 , 	123 , 	73 , 	122 , 	68 , 	24 , 	13 , 	4 , 	6 , 	12 , 	2 , 	5 , 	44 , 	1 , 	4 , 	1 , 	4 , 	20 , 	3 , 	70 , 	8 , 	-   ," 	1,211 ",,,,,,,,,,,
ED, 	11 , 	13 , 	7 , 	8 , 	58 , 	14 , 	22 , 	67 , 	18 , 	74 , 	67 ," 	1,255 ", 	31 , 	102 , 	34 , 	16 , 	24 , 	69 , 	7 , 	6 , 	5 , 	4 , 	4 , 	10 , 	15 , 	482 , 	171 , 	356 , 	202 , 	44 , 	27 , 	23 , 	21 , 	30 , 	3 , 	53 , 	40 , 	3 , 	10 , 	2 , 	5 , 	104 , 	9 , 	31 , 	69 , 	-   ," 	3,620 ",,,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	2 , 	9 , 	3 , 	9 , 	16 , 	11 , 	5 , 	4 , 	111 , 	3 , 	3 , 	2 , 	0 , 	1 , 	3 , 	12 , 	10 , 	20 , 	11 , 	2 , 	12 , 	3 , 	80 , 	44 , 	90 , 	46 , 	10 , 	7 , 	2 , 	3 , 	6 , 	1 , 	1 , 	2 , 	6 , 	28 , 	1 , 	1 , 	36 , 	2 , 	-   , 	10 , 	-   , 	630 ,,,,,,,,,,,
WP, 	26 , 	36 , 	10 , 	16 , 	30 , 	17 , 	83 , 	83 , 	54 , 	15 , 	39 , 	223 , 	15 , 	22 , 	23 , 	14 , 	12 , 	25 , 	156 , 	70 , 	103 , 	31 , 	13 , 	33 , 	15 , 	168 , 	82 , 	224 , 	95 , 	44 , 	34 , 	18 , 	29 , 	24 , 	11 , 	5 , 	9 , 	28 , 	28 , 	10 , 	17 , 	86 , 	14 , 	4 , 	26 , 	-   ," 	2,116 ",,,,,,,,,,,
SS, 	5 , 	9 , 	2 , 	1 , 	10 , 	5 , 	5 , 	8 , 	9 , 	6 , 	10 , 	24 , 	4 , 	3 , 	3 , 	1 , 	3 , 	4 , 	5 , 	3 , 	2 , 	2 , 	1 , 	2 , 	6 , 	97 , 	50 , 	240 , 	101 , 	66 , 	55 , 	17 , 	23 , 	27 , 	6 , 	2 , 	3 , 	2 , 	8 , 	8 , 	25 , 	41 , 	20 , 	1 , 	1 , 	-   , 	923 ,,,,,,,,,,,
