Exit stations,Entry stations->,,SUNDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CM, 	7 , 	18 , 	5 , 	4 , 	12 , 	4 , 	9 , 	9 , 	17 , 	7 , 	6 , 	6 , 	6 , 	11 , 	3 , 	1 , 	3 , 	4 , 	12 , 	10 , 	11 , 	4 , 	2 , 	4 , 	8 , 	107 , 	80 , 	286 , 	118 , 	70 , 	61 , 	27 , 	52 , 	25 , 	5 , 	3 , 	5 , 	4 , 	19 , 	5 , 	45 , 	104 , 	38 , 	2 , 	4 , 	-   ," 	1,238 ",,,,,,,,,,,
CV, 	3 , 	7 , 	2 , 	3 , 	16 , 	6 , 	10 , 	7 , 	7 , 	41 , 	31 , 	61 , 	21 , 	47 , 	17 , 	6 , 	8 , 	17 , 	5 , 	1 , 	3 , 	0 , 	-   , 	2 , 	9 , 	138 , 	75 , 	156 , 	70 , 	24 , 	17 , 	9 , 	8 , 	15 , 	2 , 	5 , 	62 , 	1 , 	2 , 	1 , 	4 , 	16 , 	3 , 	60 , 	16 , 	-   ," 	1,012 ",,,,,,,,,,,
ED, 	7 , 	14 , 	8 , 	9 , 	101 , 	13 , 	20 , 	13 , 	22 , 	57 , 	59 , 	236 , 	31 , 	107 , 	32 , 	14 , 	29 , 	63 , 	6 , 	3 , 	7 , 	2 , 	2 , 	12 , 	16 , 	762 , 	251 , 	492 , 	210 , 	58 , 	41 , 	23 , 	30 , 	41 , 	3 , 	57 , 	25 , 	1 , 	12 , 	3 , 	7 , 	140 , 	12 , 	29 , 	85 , 	-   ," 	3,159 ",,,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	2 , 	7 , 	5 , 	10 , 	6 , 	9 , 	2 , 	8 , 	18 , 	3 , 	3 , 	4 , 	1 , 	1 , 	4 , 	15 , 	10 , 	14 , 	2 , 	1 , 	9 , 	2 , 	105 , 	61 , 	90 , 	35 , 	14 , 	9 , 	7 , 	5 , 	7 , 	1 , 	2 , 	1 , 	5 , 	24 , 	4 , 	2 , 	37 , 	4 , 	-   , 	11 , 	-   , 	562 ,,,,,,,,,,,
WP, 	26 , 	28 , 	7 , 	10 , 	38 , 	13 , 	93 , 	35 , 	42 , 	10 , 	44 , 	72 , 	18 , 	18 , 	18 , 	12 , 	12 , 	28 , 	158 , 	58 , 	100 , 	20 , 	11 , 	26 , 	20 , 	219 , 	122 , 	291 , 	101 , 	49 , 	47 , 	23 , 	38 , 	32 , 	16 , 	4 , 	10 , 	29 , 	19 , 	10 , 	21 , 	115 , 	27 , 	5 , 	26 , 	-   ," 	2,113 ",,,,,,,,,,,
SS, 	8 , 	9 , 	3 , 	1 , 	10 , 	4 , 	6 , 	6 , 	8 , 	4 , 	9 , 	6 , 	3 , 	7 , 	2 , 	4 , 	1 , 	2 , 	9 , 	8 , 	7 , 	1 , 	1 , 	5 , 	7 , 	102 , 	52 , 	239 , 	94 , 	66 , 	50 , 	19 , 	21 , 	25 , 	6 , 	2 , 	4 , 	3 , 	10 , 	7 , 	23 , 	41 , 	15 , 	1 , 	5 , 	-   , 	909 ,,,,,,,,,,,
SB, 	13 , 	13 , 	5 , 	2 , 	14 , 	4 , 	12 , 	14 , 	10 , 	9 , 	11 , 	13 , 	3 , 	9 , 	5 , 	3 , 	6 , 	8 , 	10 , 	6 , 	9 , 	4 , 	1 , 	5 , 	13 , 	120 , 	55 , 	283 , 	121 , 	80 , 	104 , 	46 , 	106 , 	90 , 	44 , 	3 , 	10 , 	1 , 	13 , 	17 , 	11 , 	61 , 	25 , 	4 , 	4 , 	-   ," 	1,394 ",,,,,,,,,,,
SO, 	33 , 	46 , 	51 , 	53 , 	148 , 	41 , 	76 , 	48 , 	85 , 	24 , 	34 , 	20 , 	15 , 	13 , 	8 , 	7 , 	14 , 	20 , 	48 , 	85 , 	116 , 	67 , 	52 , 	117 , 	62 , 	406 , 	308 ," 	1,415 ", 	360 , 	170 , 	125 , 	51 , 	64 , 	109 , 	78 , 	11 , 	77 , 	29 , 	85 , 	19 , 	40 , 	39 , 	252 , 	30 , 	32 , 	-   ," 	4,974 ",,,,,,,,,,,
MB, 	14 , 	18 , 	15 , 	21 , 	110 , 	17 , 	28 , 	25 , 	32 , 	18 , 	15 , 	16 , 	7 , 	8 , 	5 , 	2 , 	3 , 	4 , 	9 , 	16 , 	21 , 	11 , 	5 , 	33 , 	20 , 	317 , 	155 , 	525 , 	264 , 	185 , 	132 , 	58 , 	85 , 	93 , 	31 , 	5 , 	12 , 	6 , 	21 , 	12 , 	25 , 	507 , 	27 , 	3 , 	12 , 	-   ," 	2,942 ",,,,,,,,,,,
WD, 	2 , 	4 , 	4 , 	4 , 	27 , 	5 , 	12 , 	5 , 	8 , 	28 , 	40 , 	92 , 	29 , 	86 , 	27 , 	15 , 	17 , 	27 , 	3 , 	1 , 	2 , 	1 , 	-   , 	3 , 	7 , 	221 , 	97 , 	188 , 	67 , 	29 , 	13 , 	9 , 	7 , 	15 , 	2 , 	60 , 	18 , 	0 , 	4 , 	1 , 	2 , 	52 , 	4 , 	18 , 	45 , 	-   ," 	1,296 ",,,,,,,,,,,
