Exit stations,Entry stations->,,SATURDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	111 , 	112 , 	50 , 	94 , 	258 , 	127 , 	193 , 	226 , 	136 , 	103 , 	169 , 	101 , 	59 , 	48 , 	46 , 	36 , 	26 , 	43 , 	47 , 	42 , 	42 , 	23 , 	26 , 	123 , 	176 , 	563 , 	461 ," 	2,041 ", 	789 , 	258 , 	51 , 	248 , 	496 , 	270 , 	117 , 	25 , 	56 , 	15 , 	59 , 	76 , 	137 , 	189 , 	157 , 	21 , 	13 , 	-   ," 	8,461 ",,,,,,,,,,,
GP, 	18 , 	36 , 	17 , 	28 , 	132 , 	29 , 	43 , 	67 , 	50 , 	25 , 	41 , 	55 , 	14 , 	18 , 	11 , 	7 , 	11 , 	21 , 	17 , 	22 , 	31 , 	13 , 	16 , 	40 , 	34 , 	293 , 	302 ," 	1,249 ", 	322 , 	252 , 	234 , 	36 , 	68 , 	70 , 	42 , 	7 , 	24 , 	8 , 	29 , 	26 , 	66 , 	102 , 	68 , 	13 , 	7 , 	-   ," 	4,010 ",,,,,,,,,,,
BP, 	35 , 	50 , 	15 , 	23 , 	77 , 	21 , 	49 , 	50 , 	65 , 	29 , 	43 , 	69 , 	22 , 	27 , 	18 , 	9 , 	13 , 	27 , 	20 , 	12 , 	15 , 	11 , 	7 , 	19 , 	48 , 	400 , 	530 ," 	2,342 ", 	486 , 	420 , 	417 , 	66 , 	50 , 	82 , 	71 , 	8 , 	26 , 	5 , 	32 , 	38 , 	125 , 	96 , 	93 , 	9 , 	3 , 	-   ," 	6,072 ",,,,,,,,,,,
DC, 	26 , 	49 , 	17 , 	17 , 	154 , 	18 , 	35 , 	46 , 	49 , 	33 , 	40 , 	113 , 	22 , 	26 , 	18 , 	15 , 	18 , 	26 , 	27 , 	18 , 	25 , 	13 , 	9 , 	22 , 	30 , 	299 , 	335 ," 	1,512 ", 	367 , 	260 , 	261 , 	72 , 	94 , 	26 , 	30 , 	14 , 	38 , 	9 , 	35 , 	40 , 	121 , 	188 , 	114 , 	12 , 	7 , 	-   ," 	4,697 ",,,,,,,,,,,
CM, 	7 , 	21 , 	3 , 	7 , 	21 , 	7 , 	7 , 	11 , 	18 , 	4 , 	11 , 	14 , 	7 , 	7 , 	4 , 	4 , 	3 , 	7 , 	7 , 	8 , 	11 , 	4 , 	2 , 	5 , 	9 , 	95 , 	90 , 	445 , 	145 , 	99 , 	114 , 	50 , 	75 , 	33 , 	6 , 	3 , 	5 , 	4 , 	24 , 	11 , 	59 , 	86 , 	37 , 	2 , 	1 , 	-   ," 	1,591 ",,,,,,,,,,,
CV, 	4 , 	6 , 	4 , 	6 , 	38 , 	7 , 	14 , 	15 , 	17 , 	54 , 	46 , 	75 , 	34 , 	62 , 	23 , 	14 , 	17 , 	25 , 	4 , 	3 , 	4 , 	0 , 	2 , 	4 , 	6 , 	124 , 	104 , 	275 , 	91 , 	30 , 	23 , 	7 , 	9 , 	18 , 	2 , 	9 , 	59 , 	0 , 	5 , 	2 , 	5 , 	16 , 	7 , 	97 , 	6 , 	-   ," 	1,376 ",,,,,,,,,,,
ED, 	6 , 	15 , 	8 , 	9 , 	171 , 	14 , 	22 , 	35 , 	30 , 	62 , 	86 , 	201 , 	35 , 	114 , 	47 , 	24 , 	25 , 	75 , 	8 , 	5 , 	7 , 	3 , 	2 , 	11 , 	14 , 	403 , 	236 , 	752 , 	222 , 	60 , 	49 , 	26 , 	32 , 	40 , 	5 , 	74 , 	18 , 	2 , 	9 , 	7 , 	9 , 	104 , 	10 , 	32 , 	22 , 	-   ," 	3,139 ",,,,,,,,,,,
NC, 	1 , 	4 , 	1 , 	3 , 	26 , 	4 , 	10 , 	13 , 	20 , 	2 , 	6 , 	20 , 	2 , 	3 , 	4 , 	2 , 	5 , 	7 , 	23 , 	12 , 	17 , 	6 , 	4 , 	11 , 	2 , 	69 , 	73 , 	162 , 	51 , 	16 , 	14 , 	6 , 	6 , 	8 , 	3 , 	3 , 	1 , 	6 , 	26 , 	2 , 	4 , 	29 , 	4 , 	1 , 	2 , 	-   , 	697 ,,,,,,,,,,,
WP, 	29 , 	38 , 	8 , 	10 , 	100 , 	19 , 	99 , 	55 , 	82 , 	16 , 	65 , 	88 , 	21 , 	27 , 	25 , 	14 , 	14 , 	32 , 	226 , 	70 , 	137 , 	25 , 	18 , 	35 , 	31 , 	185 , 	142 , 	435 , 	148 , 	55 , 	66 , 	29 , 	37 , 	47 , 	30 , 	8 , 	11 , 	28 , 	17 , 	15 , 	24 , 	65 , 	18 , 	8 , 	6 , 	-   ," 	2,657 ",,,,,,,,,,,
SS, 	6 , 	19 , 	3 , 	3 , 	20 , 	3 , 	7 , 	9 , 	14 , 	5 , 	10 , 	19 , 	6 , 	6 , 	6 , 	4 , 	2 , 	4 , 	8 , 	5 , 	8 , 	4 , 	2 , 	6 , 	8 , 	74 , 	90 , 	336 , 	105 , 	69 , 	73 , 	24 , 	46 , 	44 , 	10 , 	4 , 	7 , 	3 , 	13 , 	9 , 	34 , 	33 , 	21 , 	2 , 	1 , 	-   ," 	1,182 ",,,,,,,,,,,
