Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	20 , 	30 , 	4 , 	7 , 	16 , 	11 , 	16 , 	13 , 	34 , 	16 , 	31 , 	53 , 	10 , 	17 , 	11 , 	7 , 	13 , 	17 , 	19 , 	5 , 	8 , 	2 , 	5 , 	7 , 	20 , 	158 , 	243 ," 	1,774 ", 	453 , 	225 , 	294 , 	37 , 	38 , 	46 , 	98 , 	6 , 	16 , 	4 , 	29 ," 	3,807 ",,,,,,,,,,
DC, 	15 , 	26 , 	15 , 	9 , 	40 , 	11 , 	18 , 	13 , 	38 , 	17 , 	22 , 	86 , 	18 , 	14 , 	12 , 	9 , 	14 , 	19 , 	24 , 	15 , 	19 , 	8 , 	7 , 	16 , 	14 , 	97 , 	105 , 	478 , 	212 , 	99 , 	166 , 	34 , 	54 , 	13 , 	41 , 	9 , 	35 , 	5 , 	26 ," 	1,867 ",,,,,,,,,,
CM, 	18 , 	28 , 	8 , 	7 , 	45 , 	9 , 	13 , 	12 , 	31 , 	12 , 	19 , 	61 , 	14 , 	14 , 	10 , 	5 , 	6 , 	18 , 	34 , 	21 , 	20 , 	5 , 	10 , 	14 , 	7 , 	100 , 	95 , 	443 , 	234 , 	95 , 	150 , 	56 , 	95 , 	35 , 	8 , 	4 , 	23 , 	7 , 	48 ," 	1,830 ",,,,,,,,,,
CV, 	1 , 	3 , 	3 , 	1 , 	10 , 	5 , 	5 , 	4 , 	8 , 	29 , 	19 , 	115 , 	19 , 	36 , 	7 , 	8 , 	7 , 	14 , 	4 , 	1 , 	2 , 	-   , 	1 , 	5 , 	3 , 	42 , 	29 , 	85 , 	49 , 	7 , 	9 , 	7 , 	5 , 	7 , 	6 , 	1 , 	43 , 	1 , 	2 , 	599 ,,,,,,,,,,
ED, 	6 , 	12 , 	7 , 	2 , 	33 , 	10 , 	8 , 	9 , 	14 , 	33 , 	55 , 	538 , 	31 , 	66 , 	27 , 	18 , 	13 , 	22 , 	6 , 	4 , 	4 , 	1 , 	1 , 	1 , 	12 , 	313 , 	118 , 	271 , 	158 , 	21 , 	29 , 	18 , 	12 , 	23 , 	27 , 	47 , 	14 , 	1 , 	6 ," 	1,987 ",,,,,,,,,,
NC, 	3 , 	4 , 	2 , 	-   , 	8 , 	1 , 	6 , 	2 , 	9 , 	2 , 	4 , 	34 , 	2 , 	3 , 	4 , 	1 , 	3 , 	4 , 	19 , 	6 , 	21 , 	2 , 	2 , 	5 , 	1 , 	24 , 	15 , 	39 , 	21 , 	5 , 	5 , 	2 , 	3 , 	6 , 	9 , 	1 , 	1 , 	2 , 	15 , 	291 ,,,,,,,,,,
WP, 	22 , 	24 , 	6 , 	4 , 	14 , 	10 , 	48 , 	17 , 	31 , 	11 , 	30 , 	99 , 	11 , 	13 , 	14 , 	7 , 	11 , 	29 , 	123 , 	38 , 	54 , 	8 , 	5 , 	23 , 	11 , 	80 , 	50 , 	131 , 	66 , 	31 , 	59 , 	24 , 	35 , 	33 , 	47 , 	2 , 	8 , 	17 , 	14 ," 	1,253 ",,,,,,,,,,
Entries," 	1,486 "," 	1,688 "," 	1,071 ", 	997 ," 	3,291 "," 	1,498 "," 	1,765 "," 	1,237 "," 	2,439 "," 	1,363 "," 	2,459 "," 	5,444 "," 	1,311 "," 	1,566 "," 	1,116 ", 	704 , 	948 ," 	1,771 "," 	1,324 ", 	915 ," 	1,335 ", 	583 , 	469 ," 	1,262 "," 	1,107 "," 	3,867 "," 	3,270 "," 	10,996 "," 	5,598 "," 	3,473 "," 	4,288 "," 	1,971 "," 	3,677 "," 	1,835 "," 	1,903 ", 	598 ," 	2,103 ", 	301 ," 	1,191 "," 	84,215 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
