Exit stations,Entry stations->,,SUNDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	23 , 	15 , 	9 , 	34 , 	12 , 	23 , 	14 , 	15 , 	12 , 	23 , 	18 , 	8 , 	8 , 	6 , 	4 , 	1 , 	5 , 	3 , 	1 , 	4 , 	2 , 	1 , 	2 , 	4 , 	57 , 	39 , 	77 , 	34 , 	27 , 	33 , 	9 , 	12 , 	6 , 	3 , 	1 , 	4 , 	1 , 	3 , 	2 , 	8 , 	13 , 	2 , 	1 , 	3 , 	4 , 	0 , 	8 , 	2 , 	3 , 	604 ,,,,,,,,,,,
GP, 	8 , 	11 , 	4 , 	6 , 	8 , 	5 , 	15 , 	17 , 	15 , 	10 , 	10 , 	10 , 	4 , 	6 , 	3 , 	2 , 	1 , 	2 , 	6 , 	7 , 	5 , 	2 , 	3 , 	11 , 	16 , 	48 , 	34 , 	115 , 	46 , 	34 , 	36 , 	11 , 	4 , 	10 , 	8 , 	1 , 	9 , 	1 , 	6 , 	4 , 	11 , 	28 , 	11 , 	1 , 	6 , 	-   , 	2 , 	2 , 	0 , 	6 , 	614 ,,,,,,,,,,,
BP, 	6 , 	9 , 	2 , 	3 , 	11 , 	5 , 	9 , 	13 , 	15 , 	14 , 	10 , 	9 , 	9 , 	5 , 	2 , 	3 , 	1 , 	7 , 	7 , 	3 , 	6 , 	2 , 	2 , 	8 , 	18 , 	68 , 	56 , 	262 , 	86 , 	57 , 	51 , 	7 , 	14 , 	8 , 	15 , 	3 , 	6 , 	2 , 	9 , 	9 , 	22 , 	38 , 	12 , 	2 , 	5 , 	1 , 	2 , 	6 , 	1 , 	5 , 	919 ,,,,,,,,,,,
DC, 	6 , 	9 , 	3 , 	5 , 	8 , 	4 , 	8 , 	7 , 	9 , 	8 , 	15 , 	11 , 	5 , 	5 , 	3 , 	5 , 	2 , 	3 , 	6 , 	6 , 	5 , 	3 , 	3 , 	8 , 	11 , 	57 , 	44 , 	206 , 	75 , 	60 , 	49 , 	11 , 	11 , 	16 , 	6 , 	3 , 	14 , 	1 , 	3 , 	6 , 	22 , 	51 , 	13 , 	5 , 	7 , 	3 , 	1 , 	2 , 	1 , 	5 , 	822 ,,,,,,,,,,,
CM, 	3 , 	7 , 	1 , 	1 , 	2 , 	1 , 	3 , 	4 , 	7 , 	2 , 	1 , 	2 , 	2 , 	2 , 	1 , 	3 , 	0 , 	1 , 	2 , 	2 , 	1 , 	1 , 	-   , 	2 , 	4 , 	21 , 	17 , 	72 , 	32 , 	26 , 	29 , 	8 , 	17 , 	6 , 	5 , 	0 , 	1 , 	1 , 	5 , 	2 , 	12 , 	53 , 	5 , 	0 , 	1 , 	-   , 	-   , 	1 , 	1 , 	3 , 	363 ,,,,,,,,,,,
CV, 	2 , 	1 , 	0 , 	-   , 	3 , 	1 , 	1 , 	2 , 	2 , 	14 , 	12 , 	12 , 	11 , 	10 , 	4 , 	4 , 	3 , 	2 , 	1 , 	0 , 	0 , 	0 , 	-   , 	1 , 	3 , 	43 , 	25 , 	37 , 	13 , 	8 , 	2 , 	3 , 	2 , 	4 , 	1 , 	2 , 	20 , 	-   , 	-   , 	-   , 	1 , 	7 , 	1 , 	16 , 	2 , 	-   , 	1 , 	1 , 	-   , 	-   , 	271 ,,,,,,,,,,,
ED, 	2 , 	4 , 	1 , 	1 , 	12 , 	3 , 	4 , 	4 , 	5 , 	28 , 	16 , 	30 , 	19 , 	20 , 	9 , 	4 , 	4 , 	5 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	6 , 	208 , 	75 , 	93 , 	40 , 	28 , 	15 , 	9 , 	5 , 	11 , 	1 , 	14 , 	31 , 	-   , 	1 , 	-   , 	2 , 	23 , 	2 , 	5 , 	21 , 	3 , 	4 , 	8 , 	1 , 	-   , 	781 ,,,,,,,,,,,
NC, 	0 , 	0 , 	-   , 	-   , 	0 , 	2 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	0 , 	1 , 	-   , 	-   , 	1 , 	5 , 	4 , 	3 , 	2 , 	1 , 	2 , 	0 , 	24 , 	9 , 	21 , 	6 , 	3 , 	2 , 	1 , 	2 , 	3 , 	-   , 	0 , 	1 , 	7 , 	6 , 	1 , 	1 , 	11 , 	1 , 	-   , 	2 , 	-   , 	0 , 	1 , 	2 , 	2 , 	136 ,,,,,,,,,,,
WP, 	4 , 	3 , 	2 , 	1 , 	4 , 	1 , 	9 , 	5 , 	6 , 	2 , 	3 , 	7 , 	4 , 	4 , 	2 , 	2 , 	0 , 	2 , 	37 , 	10 , 	20 , 	7 , 	3 , 	4 , 	4 , 	41 , 	23 , 	55 , 	22 , 	10 , 	9 , 	4 , 	11 , 	3 , 	5 , 	0 , 	2 , 	4 , 	6 , 	3 , 	2 , 	24 , 	1 , 	0 , 	4 , 	-   , 	-   , 	1 , 	2 , 	6 , 	379 ,,,,,,,,,,,
SS, 	3 , 	4 , 	1 , 	0 , 	2 , 	2 , 	2 , 	1 , 	3 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	0 , 	0 , 	2 , 	2 , 	3 , 	0 , 	0 , 	2 , 	2 , 	12 , 	9 , 	37 , 	18 , 	14 , 	19 , 	4 , 	5 , 	4 , 	2 , 	1 , 	1 , 	1 , 	3 , 	3 , 	6 , 	17 , 	3 , 	0 , 	1 , 	-   , 	1 , 	1 , 	-   , 	5 , 	201 ,,,,,,,,,,,
SB, 	10 , 	5 , 	2 , 	1 , 	4 , 	1 , 	3 , 	4 , 	5 , 	1 , 	3 , 	2 , 	3 , 	5 , 	2 , 	1 , 	1 , 	1 , 	4 , 	5 , 	3 , 	-   , 	-   , 	3 , 	6 , 	16 , 	15 , 	55 , 	35 , 	26 , 	37 , 	12 , 	31 , 	24 , 	9 , 	1 , 	1 , 	-   , 	4 , 	7 , 	5 , 	20 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	4 , 	376 ,,,,,,,,,,,
