Exit stations,Entry stations->,,SUNDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	34 , 	34 , 	33 , 	16 , 	112 , 	23 , 	38 , 	23 , 	31 , 	20 , 	27 , 	27 , 	11 , 	6 , 	8 , 	4 , 	1 , 	2 , 	7 , 	2 , 	8 , 	4 , 	0 , 	6 , 	8 , 	75 , 	38 , 	125 , 	46 , 	39 , 	41 , 	12 , 	16 , 	13 , 	3 , 	3 , 	6 , 	2 , 	3 , 	3 , 	4 , 	35 , 	6 , 	-   , 	6 , 	5 , 	5 , 	9 , 	2 , 	5 , 	980 ,,,,,,,,,,,
GP, 	11 , 	14 , 	9 , 	16 , 	30 , 	13 , 	23 , 	27 , 	21 , 	14 , 	15 , 	33 , 	7 , 	8 , 	5 , 	3 , 	6 , 	5 , 	10 , 	9 , 	10 , 	5 , 	4 , 	15 , 	29 , 	104 , 	71 , 	258 , 	97 , 	95 , 	90 , 	16 , 	11 , 	23 , 	17 , 	5 , 	18 , 	3 , 	5 , 	14 , 	24 , 	81 , 	46 , 	4 , 	7 , 	2 , 	5 , 	6 , 	0 , 	4 ," 	1,340 ",,,,,,,,,,,
BP, 	14 , 	19 , 	6 , 	9 , 	18 , 	9 , 	16 , 	16 , 	17 , 	19 , 	19 , 	22 , 	12 , 	11 , 	6 , 	3 , 	3 , 	6 , 	8 , 	6 , 	9 , 	3 , 	2 , 	7 , 	20 , 	107 , 	97 , 	479 , 	133 , 	83 , 	77 , 	16 , 	14 , 	33 , 	28 , 	2 , 	13 , 	1 , 	10 , 	20 , 	38 , 	53 , 	38 , 	4 , 	6 , 	2 , 	6 , 	9 , 	2 , 	6 ," 	1,552 ",,,,,,,,,,,
DC, 	13 , 	15 , 	7 , 	9 , 	22 , 	9 , 	16 , 	17 , 	17 , 	21 , 	20 , 	39 , 	16 , 	11 , 	7 , 	7 , 	5 , 	7 , 	13 , 	8 , 	8 , 	4 , 	2 , 	11 , 	25 , 	137 , 	96 , 	464 , 	189 , 	143 , 	122 , 	27 , 	34 , 	27 , 	17 , 	8 , 	24 , 	2 , 	11 , 	19 , 	44 , 	132 , 	63 , 	5 , 	8 , 	3 , 	7 , 	11 , 	3 , 	11 ," 	1,927 ",,,,,,,,,,,
CM, 	4 , 	8 , 	3 , 	4 , 	6 , 	1 , 	2 , 	5 , 	9 , 	2 , 	2 , 	10 , 	1 , 	3 , 	2 , 	1 , 	1 , 	2 , 	4 , 	1 , 	5 , 	1 , 	1 , 	2 , 	6 , 	37 , 	28 , 	117 , 	56 , 	38 , 	32 , 	19 , 	29 , 	12 , 	5 , 	0 , 	0 , 	2 , 	5 , 	3 , 	14 , 	47 , 	19 , 	-   , 	0 , 	1 , 	1 , 	1 , 	1 , 	6 , 	554 ,,,,,,,,,,,
CV, 	3 , 	2 , 	1 , 	1 , 	8 , 	1 , 	3 , 	3 , 	2 , 	26 , 	15 , 	70 , 	15 , 	13 , 	3 , 	5 , 	4 , 	4 , 	2 , 	2 , 	1 , 	-   , 	0 , 	1 , 	5 , 	67 , 	39 , 	68 , 	29 , 	12 , 	9 , 	6 , 	5 , 	6 , 	1 , 	7 , 	35 , 	-   , 	1 , 	1 , 	2 , 	7 , 	0 , 	28 , 	3 , 	0 , 	1 , 	3 , 	0 , 	1 , 	514 ,,,,,,,,,,,
ED, 	3 , 	6 , 	4 , 	4 , 	24 , 	5 , 	8 , 	9 , 	6 , 	39 , 	31 , 	252 , 	31 , 	30 , 	20 , 	8 , 	15 , 	11 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	14 , 	269 , 	111 , 	197 , 	108 , 	39 , 	24 , 	14 , 	12 , 	17 , 	1 , 	35 , 	41 , 	1 , 	1 , 	2 , 	5 , 	70 , 	3 , 	15 , 	26 , 	3 , 	13 , 	16 , 	1 , 	2 ," 	1,543 ",,,,,,,,,,,
NC, 	1 , 	2 , 	1 , 	1 , 	3 , 	0 , 	4 , 	4 , 	2 , 	1 , 	3 , 	19 , 	2 , 	3 , 	2 , 	1 , 	1 , 	0 , 	8 , 	5 , 	8 , 	2 , 	1 , 	3 , 	1 , 	30 , 	15 , 	30 , 	12 , 	7 , 	3 , 	1 , 	2 , 	3 , 	1 , 	-   , 	0 , 	6 , 	10 , 	1 , 	0 , 	16 , 	-   , 	-   , 	3 , 	-   , 	-   , 	2 , 	3 , 	8 , 	224 ,,,,,,,,,,,
WP, 	3 , 	3 , 	1 , 	3 , 	7 , 	2 , 	14 , 	8 , 	10 , 	4 , 	8 , 	22 , 	2 , 	0 , 	3 , 	2 , 	2 , 	3 , 	53 , 	23 , 	40 , 	9 , 	3 , 	11 , 	4 , 	56 , 	36 , 	92 , 	29 , 	13 , 	18 , 	6 , 	7 , 	6 , 	5 , 	1 , 	1 , 	9 , 	15 , 	3 , 	4 , 	38 , 	3 , 	1 , 	8 , 	1 , 	3 , 	4 , 	10 , 	8 , 	608 ,,,,,,,,,,,
SS, 	5 , 	4 , 	2 , 	2 , 	6 , 	2 , 	3 , 	4 , 	6 , 	1 , 	2 , 	6 , 	2 , 	1 , 	2 , 	-   , 	1 , 	0 , 	3 , 	4 , 	5 , 	1 , 	2 , 	1 , 	4 , 	42 , 	27 , 	107 , 	46 , 	28 , 	34 , 	14 , 	21 , 	24 , 	3 , 	1 , 	2 , 	2 , 	5 , 	4 , 	10 , 	27 , 	9 , 	0 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	484 ,,,,,,,,,,,
SB, 	5 , 	7 , 	3 , 	2 , 	7 , 	4 , 	5 , 	7 , 	12 , 	2 , 	5 , 	9 , 	2 , 	5 , 	2 , 	1 , 	1 , 	-   , 	7 , 	4 , 	5 , 	2 , 	1 , 	5 , 	6 , 	46 , 	31 , 	126 , 	83 , 	48 , 	48 , 	20 , 	37 , 	40 , 	17 , 	2 , 	3 , 	2 , 	4 , 	10 , 	8 , 	62 , 	11 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	3 , 	714 ,,,,,,,,,,,
