Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	25 , 	43 , 	7 , 	4 , 	26 , 	13 , 	28 , 	15 , 	59 , 	20 , 	41 , 	50 , 	18 , 	22 , 	14 , 	9 , 	15 , 	20 , 	28 , 	24 , 	13 , 	4 , 	5 , 	17 , 	25 , 	219 , 	262 ," 	1,880 ", 	467 , 	252 , 	316 , 	43 , 	54 , 	34 , 	97 , 	9 , 	32 , 	8 , 	39 ," 	4,255 ",,,,,,,,,,
DC, 	16 , 	26 , 	10 , 	9 , 	45 , 	13 , 	14 , 	12 , 	47 , 	21 , 	29 , 	95 , 	20 , 	14 , 	10 , 	12 , 	11 , 	24 , 	26 , 	16 , 	16 , 	6 , 	7 , 	14 , 	13 , 	146 , 	137 , 	679 , 	213 , 	123 , 	173 , 	28 , 	47 , 	11 , 	44 , 	7 , 	36 , 	4 , 	27 ," 	2,202 ",,,,,,,,,,
CM, 	21 , 	30 , 	8 , 	10 , 	54 , 	12 , 	19 , 	16 , 	49 , 	10 , 	20 , 	54 , 	15 , 	11 , 	12 , 	9 , 	6 , 	10 , 	36 , 	26 , 	20 , 	7 , 	12 , 	16 , 	11 , 	127 , 	135 , 	556 , 	233 , 	94 , 	164 , 	52 , 	92 , 	41 , 	19 , 	6 , 	22 , 	12 , 	54 ," 	2,102 ",,,,,,,,,,
CV, 	3 , 	2 , 	1 , 	3 , 	12 , 	3 , 	6 , 	4 , 	15 , 	19 , 	26 , 	121 , 	23 , 	36 , 	16 , 	6 , 	5 , 	10 , 	2 , 	2 , 	2 , 	1 , 	-   , 	3 , 	4 , 	89 , 	73 , 	131 , 	51 , 	11 , 	8 , 	5 , 	8 , 	9 , 	8 , 	6 , 	49 , 	1 , 	4 , 	774 ,,,,,,,,,,
ED, 	6 , 	8 , 	7 , 	4 , 	29 , 	11 , 	14 , 	6 , 	21 , 	21 , 	55 , 	376 , 	34 , 	72 , 	27 , 	13 , 	15 , 	25 , 	5 , 	2 , 	3 , 	3 , 	0 , 	3 , 	7 , 	479 , 	185 , 	427 , 	153 , 	22 , 	20 , 	18 , 	21 , 	37 , 	21 , 	49 , 	18 , 	0 , 	4 ," 	2,221 ",,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	7 , 	2 , 	5 , 	4 , 	14 , 	0 , 	5 , 	39 , 	2 , 	1 , 	2 , 	2 , 	2 , 	4 , 	18 , 	5 , 	15 , 	2 , 	3 , 	6 , 	0 , 	58 , 	25 , 	48 , 	28 , 	5 , 	7 , 	4 , 	5 , 	6 , 	10 , 	1 , 	0 , 	4 , 	22 , 	362 ,,,,,,,,,,
WP, 	15 , 	20 , 	6 , 	3 , 	21 , 	9 , 	44 , 	18 , 	46 , 	5 , 	30 , 	96 , 	18 , 	12 , 	8 , 	9 , 	9 , 	24 , 	153 , 	36 , 	67 , 	11 , 	11 , 	20 , 	8 , 	123 , 	88 , 	199 , 	79 , 	34 , 	53 , 	21 , 	35 , 	39 , 	53 , 	3 , 	6 , 	26 , 	11 ," 	1,462 ",,,,,,,,,,
Entries," 	2,003 "," 	2,326 "," 	1,380 "," 	1,384 "," 	4,425 "," 	1,708 "," 	2,231 "," 	1,413 "," 	3,540 "," 	1,631 "," 	3,514 "," 	6,254 "," 	1,712 "," 	1,881 "," 	1,379 ", 	807 ," 	1,172 "," 	2,309 "," 	1,877 "," 	1,273 "," 	1,622 ", 	746 , 	704 ," 	1,649 "," 	1,526 "," 	6,904 "," 	4,759 "," 	15,043 "," 	6,396 "," 	4,103 "," 	5,044 "," 	2,292 "," 	3,945 "," 	2,360 "," 	2,286 ", 	729 ," 	2,379 ", 	379 ," 	1,346 "," 	108,431 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
