Exit stations,Entry stations->,,WEEKDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
BP, 	56 , 	92 , 	32 , 	33 , 	95 , 	36 , 	80 , 	117 , 	156 , 	68 , 	84 , 	70 , 	66 , 	41 , 	30 , 	23 , 	16 , 	23 , 	47 , 	43 , 	36 , 	10 , 	13 , 	44 , 	84 ," 	1,304 "," 	1,740 "," 	2,299 "," 	1,139 ", 	517 , 	503 , 	116 , 	41 , 	93 , 	72 , 	23 , 	58 , 	14 , 	46 , 	63 , 	107 , 	102 , 	138 , 	22 , 	8 , 	17 , 	-   , 	-   , 	11 , 	43 ," 	9,869 ",,,,,,,,,,,,,
DC, 	107 , 	155 , 	55 , 	37 , 	106 , 	41 , 	81 , 	129 , 	212 , 	115 , 	134 , 	148 , 	109 , 	79 , 	58 , 	55 , 	61 , 	62 , 	94 , 	72 , 	59 , 	27 , 	20 , 	35 , 	67 ," 	1,252 "," 	1,756 "," 	1,375 ", 	797 , 	314 , 	277 , 	64 , 	109 , 	29 , 	42 , 	34 , 	108 , 	42 , 	85 , 	71 , 	130 , 	189 , 	265 , 	49 , 	13 , 	39 , 	-   , 	-   , 	24 , 	70 ," 	9,255 ",,,,,,,,,,,,,
CM, 	14 , 	25 , 	5 , 	7 , 	34 , 	9 , 	21 , 	69 , 	116 , 	9 , 	9 , 	17 , 	10 , 	9 , 	6 , 	5 , 	5 , 	5 , 	26 , 	14 , 	14 , 	7 , 	2 , 	4 , 	15 , 	832 , 	991 , 	612 , 	462 , 	139 , 	124 , 	47 , 	77 , 	36 , 	15 , 	3 , 	17 , 	4 , 	16 , 	13 , 	44 , 	128 , 	94 , 	3 , 	2 , 	3 , 	-   , 	-   , 	4 , 	14 ," 	4,137 ",,,,,,,,,,,,,
CV, 	6 , 	7 , 	3 , 	6 , 	50 , 	7 , 	21 , 	69 , 	116 , 	112 , 	49 , 	51 , 	39 , 	44 , 	15 , 	14 , 	13 , 	21 , 	5 , 	4 , 	5 , 	1 , 	3 , 	5 , 	13 , 	511 , 	554 , 	281 , 	243 , 	76 , 	32 , 	20 , 	24 , 	38 , 	4 , 	12 , 	105 , 	1 , 	1 , 	2 , 	6 , 	25 , 	6 , 	54 , 	10 , 	21 , 	-   , 	-   , 	1 , 	1 ," 	2,705 ",,,,,,,,,,,,,
ED, 	14 , 	29 , 	14 , 	13 , 	120 , 	26 , 	66 , 	219 , 	242 , 	182 , 	128 , 	138 , 	109 , 	128 , 	70 , 	32 , 	60 , 	55 , 	9 , 	4 , 	6 , 	2 , 	2 , 	11 , 	30 ," 	1,906 "," 	1,725 ", 	699 , 	613 , 	222 , 	76 , 	66 , 	72 , 	117 , 	16 , 	107 , 	51 , 	1 , 	4 , 	22 , 	11 , 	140 , 	18 , 	36 , 	75 , 	49 , 	-   , 	-   , 	2 , 	3 ," 	7,742 ",,,,,,,,,,,,,
NC, 	4 , 	6 , 	4 , 	5 , 	32 , 	7 , 	50 , 	123 , 	134 , 	9 , 	8 , 	12 , 	9 , 	5 , 	8 , 	2 , 	3 , 	3 , 	41 , 	33 , 	56 , 	12 , 	6 , 	24 , 	5 , 	341 , 	357 , 	205 , 	207 , 	63 , 	41 , 	16 , 	18 , 	37 , 	4 , 	1 , 	1 , 	10 , 	20 , 	8 , 	8 , 	58 , 	8 , 	2 , 	12 , 	8 , 	-   , 	-   , 	16 , 	22 ," 	2,062 ",,,,,,,,,,,,,
WP, 	20 , 	15 , 	8 , 	11 , 	68 , 	14 , 	142 , 	172 , 	222 , 	23 , 	26 , 	35 , 	16 , 	9 , 	21 , 	9 , 	9 , 	11 , 	147 , 	78 , 	139 , 	22 , 	16 , 	38 , 	15 , 	514 , 	496 , 	451 , 	406 , 	134 , 	113 , 	47 , 	54 , 	79 , 	15 , 	1 , 	3 , 	21 , 	26 , 	20 , 	30 , 	127 , 	19 , 	2 , 	19 , 	19 , 	-   , 	-   , 	17 , 	26 ," 	3,925 ",,,,,,,,,,,,,
SS, 	12 , 	37 , 	8 , 	6 , 	35 , 	7 , 	31 , 	65 , 	84 , 	18 , 	16 , 	23 , 	13 , 	12 , 	7 , 	5 , 	11 , 	4 , 	24 , 	30 , 	22 , 	6 , 	5 , 	12 , 	18 , 	623 , 	736 , 	445 , 	381 , 	124 , 	99 , 	34 , 	71 , 	72 , 	15 , 	4 , 	19 , 	7 , 	20 , 	15 , 	26 , 	59 , 	67 , 	7 , 	3 , 	4 , 	-   , 	-   , 	4 , 	20 ," 	3,363 ",,,,,,,,,,,,,
SB, 	21 , 	36 , 	10 , 	10 , 	36 , 	14 , 	34 , 	65 , 	85 , 	19 , 	28 , 	28 , 	14 , 	16 , 	10 , 	5 , 	3 , 	10 , 	24 , 	31 , 	20 , 	9 , 	10 , 	13 , 	28 , 	628 , 	713 , 	441 , 	353 , 	144 , 	128 , 	59 , 	119 , 	138 , 	44 , 	5 , 	11 , 	8 , 	34 , 	30 , 	14 , 	63 , 	50 , 	5 , 	5 , 	2 , 	-   , 	-   , 	7 , 	24 ," 	3,604 ",,,,,,,,,,,,,
SO, 	59 , 	122 , 	70 , 	101 , 	199 , 	72 , 	122 , 	118 , 	136 , 	52 , 	73 , 	36 , 	50 , 	29 , 	19 , 	16 , 	21 , 	30 , 	153 , 	187 , 	184 , 	99 , 	91 , 	158 , 	142 , 	420 , 	460 , 	724 , 	361 , 	174 , 	153 , 	102 , 	117 , 	200 , 	134 , 	21 , 	126 , 	63 , 	140 , 	55 , 	54 , 	59 , 	235 , 	38 , 	15 , 	14 , 	-   , 	-   , 	20 , 	99 ," 	6,124 ",,,,,,,,,,,,,
