Exit stations,Entry stations->,,SUNDAY,,,Feb 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
BP, 	35 , 	53 , 	11 , 	19 , 	41 , 	21 , 	39 , 	28 , 	54 , 	42 , 	46 , 	34 , 	14 , 	28 , 	13 , 	7 , 	11 , 	14 , 	22 , 	14 , 	17 , 	9 , 	6 , 	18 , 	43 , 	268 , 	257 ," 	1,717 ", 	377 , 	290 , 	282 , 	41 , 	37 , 	60 , 	65 , 	9 , 	21 , 	5 , 	41 , 	27 , 	113 , 	79 , 	61 , 	5 ," 	4,387 ",,,,,,,,,,,
DC, 	32 , 	51 , 	16 , 	18 , 	83 , 	22 , 	36 , 	30 , 	50 , 	37 , 	44 , 	52 , 	21 , 	25 , 	17 , 	11 , 	19 , 	36 , 	35 , 	32 , 	29 , 	15 , 	11 , 	30 , 	36 , 	135 , 	163 , 	821 , 	254 , 	170 , 	162 , 	42 , 	65 , 	18 , 	35 , 	15 , 	61 , 	8 , 	42 , 	28 , 	104 , 	143 , 	99 , 	14 ," 	3,163 ",,,,,,,,,,,
CM, 	9 , 	23 , 	2 , 	6 , 	12 , 	8 , 	10 , 	9 , 	13 , 	8 , 	10 , 	12 , 	5 , 	8 , 	3 , 	5 , 	3 , 	5 , 	13 , 	11 , 	9 , 	4 , 	1 , 	5 , 	9 , 	50 , 	61 , 	301 , 	112 , 	69 , 	78 , 	28 , 	69 , 	41 , 	4 , 	1 , 	5 , 	2 , 	22 , 	8 , 	52 , 	66 , 	27 , 	1 ," 	1,198 ",,,,,,,,,,,
CV, 	3 , 	8 , 	6 , 	6 , 	23 , 	4 , 	9 , 	7 , 	11 , 	42 , 	33 , 	35 , 	23 , 	54 , 	17 , 	11 , 	7 , 	18 , 	7 , 	4 , 	1 , 	2 , 	0 , 	2 , 	7 , 	78 , 	59 , 	161 , 	64 , 	17 , 	18 , 	10 , 	8 , 	15 , 	3 , 	5 , 	51 , 	1 , 	4 , 	2 , 	3 , 	10 , 	6 , 	47 , 	896 ,,,,,,,,,,,
ED, 	7 , 	15 , 	9 , 	7 , 	45 , 	15 , 	15 , 	19 , 	31 , 	63 , 	46 , 	94 , 	26 , 	73 , 	22 , 	21 , 	18 , 	42 , 	4 , 	2 , 	7 , 	2 , 	1 , 	4 , 	9 , 	333 , 	160 , 	607 , 	178 , 	58 , 	35 , 	30 , 	19 , 	46 , 	5 , 	53 , 	14 , 	1 , 	6 , 	4 , 	4 , 	96 , 	9 , 	16 ," 	2,265 ",,,,,,,,,,,
NC, 	3 , 	2 , 	2 , 	4 , 	8 , 	3 , 	10 , 	6 , 	5 , 	2 , 	5 , 	12 , 	3 , 	3 , 	2 , 	1 , 	2 , 	4 , 	13 , 	8 , 	19 , 	6 , 	2 , 	8 , 	3 , 	45 , 	47 , 	81 , 	42 , 	11 , 	5 , 	5 , 	5 , 	8 , 	1 , 	1 , 	2 , 	4 , 	17 , 	5 , 	4 , 	31 , 	4 , 	1 , 	455 ,,,,,,,,,,,
WP, 	39 , 	37 , 	8 , 	14 , 	21 , 	19 , 	101 , 	43 , 	55 , 	12 , 	53 , 	85 , 	18 , 	22 , 	23 , 	12 , 	10 , 	35 , 	153 , 	50 , 	83 , 	14 , 	9 , 	23 , 	24 , 	118 , 	75 , 	247 , 	116 , 	43 , 	42 , 	33 , 	45 , 	44 , 	17 , 	3 , 	7 , 	22 , 	10 , 	19 , 	18 , 	70 , 	17 , 	5 ," 	1,908 ",,,,,,,,,,,
SS, 	7 , 	14 , 	3 , 	5 , 	10 , 	4 , 	8 , 	6 , 	7 , 	7 , 	11 , 	11 , 	4 , 	2 , 	8 , 	2 , 	3 , 	4 , 	13 , 	5 , 	7 , 	4 , 	4 , 	5 , 	6 , 	47 , 	42 , 	204 , 	70 , 	40 , 	36 , 	18 , 	32 , 	29 , 	9 , 	2 , 	5 , 	4 , 	11 , 	4 , 	37 , 	32 , 	14 , 	2 , 	791 ,,,,,,,,,,,
SB, 	11 , 	14 , 	7 , 	5 , 	11 , 	7 , 	10 , 	8 , 	16 , 	10 , 	11 , 	8 , 	7 , 	9 , 	6 , 	6 , 	4 , 	5 , 	11 , 	8 , 	9 , 	2 , 	1 , 	8 , 	12 , 	58 , 	44 , 	247 , 	147 , 	87 , 	123 , 	66 , 	120 , 	112 , 	49 , 	4 , 	6 , 	3 , 	14 , 	39 , 	6 , 	54 , 	28 , 	2 ," 	1,410 ",,,,,,,,,,,
SO, 	18 , 	44 , 	40 , 	49 , 	119 , 	33 , 	74 , 	31 , 	57 , 	12 , 	30 , 	25 , 	19 , 	12 , 	6 , 	2 , 	9 , 	22 , 	47 , 	62 , 	98 , 	50 , 	47 , 	77 , 	47 , 	281 , 	262 ," 	1,132 ", 	352 , 	127 , 	118 , 	48 , 	40 , 	84 , 	35 , 	6 , 	58 , 	23 , 	51 , 	16 , 	24 , 	26 , 	154 , 	12 ," 	3,872 ",,,,,,,,,,,
