Exit stations,Entry stations->,,TOTAL,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP, 	413 , 	501 , 	145 , 	82 , 	301 , 	108 , 	356 , 	372 , 	527 , 	356 , 	424 , 	378 , 	285 , 	234 , 	174 , 	132 , 	58 , 	31 , 	304 , 	177 , 	110 , 	61 , 	38 , 	202 , 	353 ," 	1,777 "," 	2,834 "," 	4,802 "," 	2,175 "," 	1,449 "," 	1,383 ", 	202 , 	437 , 	447 , 	426 , 	79 , 	135 , 	36 , 	248 , 	224 , 	585 , 	369 , 	279 , 	103 , 	49 , 	31 , 	27 , 	32 , 	72 , 	307 ," 	24,630 ",,,,,,,,,,,,,
BP, 	542 , 	640 , 	146 , 	74 , 	336 , 	146 , 	332 , 	448 , 	689 , 	484 , 	554 , 	535 , 	324 , 	281 , 	235 , 	160 , 	104 , 	131 , 	293 , 	79 , 	169 , 	35 , 	60 , 	120 , 	607 ," 	3,558 "," 	4,515 "," 	12,163 "," 	5,423 "," 	2,771 "," 	2,427 ", 	446 , 	208 , 	453 , 	604 , 	88 , 	171 , 	29 , 	283 , 	453 , 	883 , 	695 , 	697 , 	120 , 	64 , 	57 , 	38 , 	54 , 	68 , 	181 ," 	43,973 ",,,,,,,,,,,,,
DC, 	287 , 	534 , 	101 , 	131 , 	280 , 	115 , 	322 , 	350 , 	598 , 	307 , 	558 , 	533 , 	282 , 	278 , 	227 , 	103 , 	126 , 	176 , 	175 , 	150 , 	241 , 	32 , 	73 , 	97 , 	441 ," 	3,208 "," 	3,673 "," 	8,273 "," 	4,611 "," 	2,795 "," 	2,330 ", 	460 , 	575 , 	274 , 	261 , 	55 , 	317 , 	47 , 	275 , 	420 , 	947 ," 	1,206 ", 	723 , 	121 , 	42 , 	79 , 	64 , 	43 , 	116 , 	336 ," 	37,768 ",,,,,,,,,,,,,
CM, 	119 , 	238 , 	23 , 	40 , 	64 , 	41 , 	158 , 	204 , 	342 , 	65 , 	131 , 	75 , 	77 , 	83 , 	40 , 	68 , 	52 , 	39 , 	83 , 	60 , 	95 , 	32 , 	20 , 	34 , 	178 ," 	1,154 "," 	1,339 "," 	3,057 "," 	1,798 "," 	1,114 "," 	1,166 ", 	430 , 	612 , 	302 , 	137 , 	11 , 	69 , 	25 , 	214 , 	134 , 	399 ," 	1,167 ", 	413 , 	5 , 	6 , 	5 , 	11 , 	14 , 	65 , 	233 ," 	16,241 ",,,,,,,,,,,,,
CV, 	38 , 	43 , 	43 , 	15 , 	83 , 	37 , 	91 , 	80 , 	119 , 	584 , 	561 , 	304 , 	450 , 	454 , 	112 , 	114 , 	139 , 	183 , 	12 , 	4 , 	12 , 	4 , 	11 , 	9 , 	101 , 	809 ," 	1,054 "," 	1,193 ", 	771 , 	278 , 	157 , 	81 , 	71 , 	91 , 	9 , 	64 , 	865 , 	2 , 	5 , 	59 , 	64 , 	52 , 	24 , 	474 , 	33 , 	33 , 	15 , 	29 , 	3 , 	14 ," 	9,853 ",,,,,,,,,,,,,
ED, 	70 , 	193 , 	40 , 	44 , 	211 , 	102 , 	278 , 	230 , 	239 , 	765 ," 	1,411 ", 	767 , 	782 ," 	1,042 ", 	451 , 	256 , 	274 , 	302 , 	68 , 	58 , 	35 , 	13 , 	7 , 	28 , 	200 ," 	2,224 "," 	1,659 "," 	2,522 "," 	1,586 ", 	528 , 	388 , 	163 , 	193 , 	345 , 	62 , 	749 , 	245 , 	7 , 	68 , 	50 , 	30 , 	414 , 	51 , 	297 , 	274 , 	120 , 	130 , 	142 , 	3 , 	45 ," 	20,161 ",,,,,,,,,,,,,
NC, 	27 , 	44 , 	23 , 	19 , 	64 , 	4 , 	105 , 	201 , 	193 , 	39 , 	47 , 	50 , 	33 , 	49 , 	26 , 	21 , 	8 , 	7 , 	236 , 	147 , 	157 , 	50 , 	25 , 	87 , 	21 , 	472 , 	546 , 	680 , 	623 , 	162 , 	162 , 	31 , 	59 , 	47 , 	29 , 	1 , 	14 , 	42 , 	281 , 	98 , 	34 , 	234 , 	24 , 	2 , 	46 , 	3 , 	20 , 	11 , 	197 , 	169 ," 	5,670 ",,,,,,,,,,,,,
WP, 	125 , 	193 , 	59 , 	59 , 	293 , 	102 , 	764 , 	540 , 	659 , 	91 , 	234 , 	208 , 	140 , 	60 , 	95 , 	93 , 	74 , 	86 ," 	1,470 ", 	609 , 	973 , 	173 , 	131 , 	278 , 	180 ," 	1,756 "," 	1,878 "," 	3,232 "," 	2,119 "," 	1,136 "," 	1,022 ", 	276 , 	300 , 	365 , 	181 , 	8 , 	48 , 	246 , 	197 , 	145 , 	213 , 	645 , 	87 , 	5 , 	130 , 	42 , 	22 , 	53 , 	191 , 	346 ," 	22,332 ",,,,,,,,,,,,,
SS, 	141 , 	230 , 	64 , 	28 , 	88 , 	57 , 	96 , 	116 , 	274 , 	84 , 	72 , 	85 , 	84 , 	124 , 	82 , 	45 , 	22 , 	30 , 	85 , 	96 , 	76 , 	25 , 	15 , 	38 , 	106 , 	895 , 	822 ," 	2,008 "," 	1,337 ", 	849 , 	953 , 	238 , 	410 , 	462 , 	160 , 	49 , 	47 , 	88 , 	166 , 	90 , 	200 , 	426 , 	180 , 	10 , 	6 , 	20 , 	5 , 	3 , 	20 , 	200 ," 	11,807 ",,,,,,,,,,,,,
SB, 	216 , 	251 , 	30 , 	24 , 	118 , 	117 , 	114 , 	129 , 	260 , 	65 , 	219 , 	157 , 	128 , 	143 , 	130 , 	60 , 	40 , 	58 , 	264 , 	151 , 	93 , 	36 , 	20 , 	62 , 	175 , 	692 , 	981 ," 	2,162 "," 	1,410 "," 	1,108 "," 	1,113 ", 	621 ," 	1,035 ", 	954 , 	341 , 	59 , 	31 , 	53 , 	242 , 	237 , 	131 , 	320 , 	160 , 	20 , 	28 , 	4 , 	36 , 	3 , 	89 , 	119 ," 	15,009 ",,,,,,,,,,,,,
SO, 	208 , 	410 , 	158 , 	129 , 	278 , 	68 , 	318 , 	234 , 	301 , 	110 , 	243 , 	154 , 	218 , 	150 , 	81 , 	63 , 	90 , 	47 , 	647 , 	427 , 	488 , 	216 , 	185 , 	252 , 	357 , 	549 , 	568 ," 	1,582 ", 	856 , 	654 , 	485 , 	246 , 	727 ," 	1,148 ", 	835 , 	60 , 	307 , 	214 , 	728 , 	368 , 	238 , 	365 , 	910 , 	78 , 	89 , 	41 , 	32 , 	12 , 	114 , 	717 ," 	17,755 ",,,,,,,,,,,,,
