Exit stations,Entry stations->,,SUNDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	12 , 	8 , 	6 , 	26 , 	9 , 	10 , 	10 , 	10 , 	12 , 	15 , 	8 , 	4 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	4 , 	1 , 	1 , 	3 , 	2 , 	22 , 	17 , 	41 , 	20 , 	21 , 	22 , 	3 , 	6 , 	5 , 	4 , 	1 , 	1 , 	1 , 	3 , 	4 , 	5 , 	5 , 	1 , 	-   , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	352 ,,,,,,,,,,,
CM, 	2 , 	4 , 	1 , 	1 , 	2 , 	1 , 	2 , 	4 , 	6 , 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	5 , 	10 , 	9 , 	66 , 	23 , 	19 , 	20 , 	8 , 	11 , 	6 , 	8 , 	-   , 	0 , 	1 , 	5 , 	0 , 	8 , 	31 , 	3 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	4 , 	273 ,,,,,,,,,,,
CV, 	1 , 	1 , 	-   , 	1 , 	0 , 	-   , 	2 , 	2 , 	1 , 	14 , 	10 , 	6 , 	7 , 	10 , 	5 , 	3 , 	2 , 	4 , 	0 , 	-   , 	-   , 	0 , 	-   , 	-   , 	3 , 	9 , 	10 , 	21 , 	7 , 	5 , 	2 , 	0 , 	2 , 	1 , 	-   , 	1 , 	15 , 	-   , 	1 , 	-   , 	0 , 	2 , 	1 , 	15 , 	1 , 	0 , 	1 , 	2 , 	0 , 	1 , 	164 ,,,,,,,,,,,
ED, 	1 , 	4 , 	1 , 	1 , 	4 , 	2 , 	3 , 	2 , 	5 , 	17 , 	14 , 	10 , 	12 , 	11 , 	5 , 	3 , 	4 , 	4 , 	1 , 	1 , 	1 , 	0 , 	1 , 	2 , 	4 , 	41 , 	22 , 	41 , 	14 , 	8 , 	11 , 	2 , 	2 , 	5 , 	-   , 	12 , 	7 , 	-   , 	1 , 	0 , 	1 , 	18 , 	1 , 	7 , 	9 , 	2 , 	5 , 	3 , 	0 , 	-   , 	319 ,,,,,,,,,,,
NC, 	1 , 	0 , 	-   , 	-   , 	1 , 	-   , 	3 , 	2 , 	1 , 	-   , 	2 , 	1 , 	1 , 	0 , 	0 , 	0 , 	-   , 	-   , 	6 , 	2 , 	3 , 	2 , 	-   , 	1 , 	1 , 	4 , 	2 , 	12 , 	2 , 	1 , 	2 , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	4 , 	-   , 	-   , 	5 , 	1 , 	-   , 	3 , 	-   , 	1 , 	-   , 	2 , 	2 , 	67 ,,,,,,,,,,,
WP, 	2 , 	3 , 	2 , 	1 , 	3 , 	1 , 	8 , 	6 , 	6 , 	1 , 	5 , 	2 , 	2 , 	3 , 	1 , 	2 , 	1 , 	1 , 	30 , 	9 , 	19 , 	5 , 	1 , 	3 , 	4 , 	16 , 	17 , 	37 , 	9 , 	8 , 	10 , 	4 , 	7 , 	5 , 	2 , 	1 , 	1 , 	3 , 	5 , 	3 , 	1 , 	17 , 	2 , 	0 , 	7 , 	1 , 	0 , 	3 , 	1 , 	6 , 	281 ,,,,,,,,,,,
SS, 	1 , 	4 , 	1 , 	-   , 	2 , 	0 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	-   , 	2 , 	1 , 	0 , 	1 , 	0 , 	1 , 	2 , 	2 , 	0 , 	-   , 	1 , 	2 , 	7 , 	5 , 	31 , 	14 , 	8 , 	17 , 	6 , 	6 , 	4 , 	2 , 	0 , 	0 , 	1 , 	3 , 	3 , 	6 , 	14 , 	3 , 	-   , 	1 , 	-   , 	-   , 	-   , 	0 , 	3 , 	161 ,,,,,,,,,,,
SB, 	4 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	5 , 	2 , 	2 , 	0 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	3 , 	3 , 	-   , 	0 , 	2 , 	5 , 	8 , 	7 , 	45 , 	22 , 	22 , 	27 , 	6 , 	26 , 	20 , 	7 , 	0 , 	0 , 	0 , 	2 , 	7 , 	4 , 	11 , 	2 , 	1 , 	0 , 	-   , 	1 , 	1 , 	2 , 	2 , 	268 ,,,,,,,,,,,
SO, 	3 , 	9 , 	4 , 	2 , 	8 , 	4 , 	11 , 	6 , 	8 , 	1 , 	5 , 	5 , 	4 , 	2 , 	-   , 	-   , 	2 , 	1 , 	11 , 	12 , 	11 , 	4 , 	4 , 	6 , 	9 , 	24 , 	22 , 	46 , 	25 , 	19 , 	10 , 	5 , 	17 , 	30 , 	18 , 	2 , 	7 , 	4 , 	11 , 	11 , 	4 , 	11 , 	17 , 	2 , 	7 , 	1 , 	1 , 	-   , 	3 , 	11 , 	431 ,,,,,,,,,,,
MB, 	2 , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	1 , 	4 , 	1 , 	3 , 	0 , 	1 , 	3 , 	1 , 	0 , 	1 , 	-   , 	2 , 	1 , 	0 , 	0 , 	0 , 	4 , 	1 , 	3 , 	5 , 	21 , 	10 , 	9 , 	6 , 	4 , 	7 , 	10 , 	3 , 	-   , 	1 , 	1 , 	3 , 	3 , 	1 , 	39 , 	4 , 	-   , 	1 , 	0 , 	1 , 	-   , 	0 , 	1 , 	168 ,,,,,,,,,,,
WD, 	-   , 	1 , 	1 , 	0 , 	2 , 	-   , 	1 , 	1 , 	1 , 	10 , 	11 , 	5 , 	11 , 	15 , 	6 , 	3 , 	1 , 	2 , 	-   , 	-   , 	0 , 	-   , 	-   , 	1 , 	2 , 	15 , 	6 , 	15 , 	7 , 	3 , 	5 , 	1 , 	2 , 	1 , 	0 , 	15 , 	11 , 	0 , 	0 , 	0 , 	0 , 	4 , 	-   , 	1 , 	4 , 	-   , 	1 , 	-   , 	-   , 	-   , 	162 ,,,,,,,,,,,
