Exit stations,Entry stations->,,SATURDAY,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
GP, 	12 , 	16 , 	7 , 	13 , 	42 , 	14 , 	29 , 	39 , 	27 , 	17 , 	17 , 	9 , 	6 , 	8 , 	3 , 	7 , 	3 , 	5 , 	4 , 	5 , 	5 , 	5 , 	3 , 	19 , 	32 , 	157 , 	104 , 	335 , 	115 , 	117 , 	143 , 	12 , 	19 , 	30 , 	16 , 	6 , 	12 , 	3 , 	9 , 	15 , 	26 , 	64 , 	23 , 	7 , 	4 , 	3 , 	6 , 	5 , 	1 , 	4 ," 	1,575 ",,,,,,,,,,
BP, 	18 , 	19 , 	8 , 	4 , 	23 , 	8 , 	15 , 	28 , 	27 , 	13 , 	24 , 	8 , 	11 , 	9 , 	6 , 	4 , 	5 , 	5 , 	7 , 	6 , 	6 , 	2 , 	1 , 	16 , 	24 , 	145 , 	121 , 	594 , 	123 , 	133 , 	139 , 	20 , 	11 , 	23 , 	28 , 	4 , 	5 , 	3 , 	7 , 	17 , 	36 , 	54 , 	34 , 	4 , 	3 , 	2 , 	5 , 	7 , 	4 , 	9 ," 	1,820 ",,,,,,,,,,
DC, 	18 , 	23 , 	8 , 	10 , 	34 , 	8 , 	19 , 	33 , 	22 , 	18 , 	23 , 	19 , 	18 , 	11 , 	11 , 	5 , 	9 , 	7 , 	8 , 	10 , 	7 , 	4 , 	2 , 	17 , 	23 , 	160 , 	121 , 	482 , 	185 , 	171 , 	172 , 	28 , 	31 , 	17 , 	14 , 	8 , 	17 , 	2 , 	9 , 	20 , 	55 , 	132 , 	56 , 	7 , 	5 , 	7 , 	8 , 	11 , 	3 , 	11 ," 	2,093 ",,,,,,,,,,
CM, 	6 , 	8 , 	3 , 	2 , 	9 , 	2 , 	6 , 	5 , 	10 , 	4 , 	6 , 	2 , 	2 , 	3 , 	3 , 	1 , 	1 , 	2 , 	4 , 	4 , 	3 , 	1 , 	1 , 	3 , 	6 , 	40 , 	43 , 	156 , 	77 , 	51 , 	66 , 	22 , 	29 , 	9 , 	6 , 	1 , 	1 , 	1 , 	5 , 	4 , 	20 , 	59 , 	18 , 	0 , 	1 , 	0 , 	-   , 	1 , 	1 , 	2 , 	708 ,,,,,,,,,,
CV, 	2 , 	1 , 	2 , 	2 , 	8 , 	2 , 	4 , 	4 , 	2 , 	26 , 	23 , 	27 , 	22 , 	17 , 	6 , 	4 , 	6 , 	3 , 	2 , 	1 , 	1 , 	0 , 	-   , 	2 , 	5 , 	57 , 	42 , 	77 , 	30 , 	19 , 	16 , 	6 , 	3 , 	9 , 	1 , 	12 , 	36 , 	0 , 	1 , 	1 , 	2 , 	8 , 	1 , 	43 , 	2 , 	1 , 	1 , 	2 , 	0 , 	1 , 	536 ,,,,,,,,,,
ED, 	6 , 	8 , 	3 , 	4 , 	35 , 	7 , 	13 , 	17 , 	8 , 	34 , 	41 , 	86 , 	24 , 	41 , 	18 , 	10 , 	14 , 	15 , 	3 , 	1 , 	2 , 	1 , 	1 , 	4 , 	11 , 	270 , 	126 , 	233 , 	97 , 	44 , 	29 , 	9 , 	12 , 	28 , 	1 , 	34 , 	32 , 	0 , 	1 , 	2 , 	3 , 	56 , 	4 , 	14 , 	22 , 	7 , 	19 , 	14 , 	1 , 	1 ," 	1,458 ",,,,,,,,,,
NC, 	1 , 	2 , 	1 , 	-   , 	3 , 	1 , 	5 , 	4 , 	2 , 	1 , 	2 , 	4 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	9 , 	7 , 	7 , 	3 , 	4 , 	3 , 	1 , 	26 , 	9 , 	26 , 	8 , 	7 , 	3 , 	3 , 	2 , 	2 , 	1 , 	0 , 	0 , 	2 , 	10 , 	1 , 	2 , 	11 , 	0 , 	-   , 	3 , 	1 , 	1 , 	2 , 	8 , 	6 , 	191 ,,,,,,,,,,
WP, 	5 , 	5 , 	1 , 	1 , 	9 , 	1 , 	15 , 	12 , 	14 , 	4 , 	6 , 	10 , 	5 , 	4 , 	3 , 	1 , 	3 , 	2 , 	66 , 	26 , 	47 , 	9 , 	9 , 	8 , 	5 , 	45 , 	39 , 	96 , 	29 , 	23 , 	24 , 	10 , 	10 , 	10 , 	4 , 	2 , 	2 , 	12 , 	14 , 	5 , 	4 , 	37 , 	2 , 	1 , 	7 , 	3 , 	2 , 	4 , 	5 , 	12 , 	665 ,,,,,,,,,,
SS, 	4 , 	6 , 	3 , 	2 , 	12 , 	1 , 	6 , 	7 , 	9 , 	2 , 	7 , 	4 , 	4 , 	3 , 	2 , 	2 , 	1 , 	-   , 	5 , 	2 , 	2 , 	2 , 	0 , 	5 , 	4 , 	40 , 	33 , 	115 , 	54 , 	44 , 	47 , 	14 , 	17 , 	27 , 	7 , 	1 , 	1 , 	1 , 	4 , 	10 , 	14 , 	23 , 	14 , 	1 , 	-   , 	1 , 	1 , 	2 , 	1 , 	5 , 	567 ,,,,,,,,,,
SB, 	9 , 	10 , 	4 , 	2 , 	11 , 	6 , 	7 , 	12 , 	14 , 	5 , 	6 , 	5 , 	5 , 	4 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	3 , 	3 , 	2 , 	5 , 	6 , 	57 , 	44 , 	146 , 	85 , 	61 , 	61 , 	26 , 	51 , 	51 , 	17 , 	1 , 	2 , 	3 , 	6 , 	18 , 	9 , 	48 , 	10 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	4 , 	837 ,,,,,,,,,,
