Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
WP, 	32 , 	29 , 	9 , 	9 , 	88 , 	19 , 	117 , 	191 , 	289 , 	25 , 	44 , 	65 , 	32 , 	18 , 	37 , 	15 , 	17 , 	33 , 	548 , 	168 , 	229 , 	30 , 	26 , 	55 , 	25 , 	591 , 	559 , 	380 , 	367 , 	85 , 	108 , 	46 , 	58 , 	95 , 	81 , 	3 , 	10 , 	90 , 	23 ," 	4,645 ",,,,,,,,,,,
Entries," 	3,747 "," 	7,012 "," 	3,738 "," 	3,092 "," 	10,850 "," 	3,864 "," 	5,889 "," 	7,881 "," 	12,404 "," 	4,647 "," 	8,811 "," 	5,466 "," 	4,698 "," 	4,767 "," 	4,321 "," 	2,782 "," 	3,672 "," 	5,591 "," 	5,398 "," 	6,247 "," 	5,320 "," 	2,721 "," 	2,320 "," 	4,069 "," 	4,269 "," 	25,454 "," 	27,202 "," 	23,722 "," 	17,812 "," 	8,415 "," 	11,222 "," 	7,124 "," 	12,971 "," 	7,992 "," 	6,342 "," 	1,954 "," 	5,422 "," 	1,809 "," 	4,509 "," 	295,525 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
