Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
DC, 	32 , 	45 , 	20 , 	14 , 	96 , 	13 , 	33 , 	28 , 	71 , 	20 , 	41 , 	39 , 	29 , 	23 , 	21 , 	16 , 	22 , 	39 , 	27 , 	22 , 	27 , 	9 , 	9 , 	20 , 	20 , 	176 , 	354 ," 	1,101 ", 	312 , 	166 , 	221 , 	44 , 	94 , 	14 , 	60 , 	10 , 	33 , 	6 , 	37 ," 	3,357 ",,,,,,,,,,
CM, 	16 , 	37 , 	8 , 	11 , 	53 , 	11 , 	25 , 	20 , 	51 , 	10 , 	27 , 	31 , 	14 , 	19 , 	13 , 	8 , 	10 , 	16 , 	35 , 	28 , 	33 , 	12 , 	11 , 	15 , 	11 , 	130 , 	302 , 	778 , 	293 , 	131 , 	213 , 	55 , 	132 , 	63 , 	12 , 	9 , 	32 , 	10 , 	53 ," 	2,733 ",,,,,,,,,,
CV, 	4 , 	6 , 	4 , 	2 , 	19 , 	7 , 	8 , 	8 , 	12 , 	30 , 	36 , 	36 , 	29 , 	47 , 	16 , 	6 , 	13 , 	15 , 	3 , 	1 , 	3 , 	2 , 	1 , 	3 , 	3 , 	83 , 	85 , 	172 , 	59 , 	7 , 	12 , 	5 , 	8 , 	15 , 	5 , 	3 , 	65 , 	1 , 	2 , 	832 ,,,,,,,,,,
ED, 	5 , 	17 , 	6 , 	7 , 	80 , 	11 , 	18 , 	18 , 	46 , 	45 , 	96 , 	177 , 	51 , 	126 , 	48 , 	24 , 	21 , 	33 , 	6 , 	7 , 	6 , 	2 , 	1 , 	9 , 	13 , 	303 , 	271 , 	706 , 	177 , 	35 , 	38 , 	18 , 	19 , 	39 , 	29 , 	75 , 	19 , 	1 , 	7 ," 	2,607 ",,,,,,,,,,
NC, 	4 , 	4 , 	2 , 	1 , 	9 , 	2 , 	7 , 	7 , 	14 , 	2 , 	3 , 	13 , 	2 , 	3 , 	3 , 	2 , 	1 , 	7 , 	29 , 	13 , 	27 , 	6 , 	3 , 	7 , 	1 , 	36 , 	41 , 	93 , 	22 , 	6 , 	12 , 	5 , 	7 , 	10 , 	7 , 	1 , 	0 , 	5 , 	38 , 	453 ,,,,,,,,,,
WP, 	29 , 	29 , 	7 , 	7 , 	40 , 	15 , 	62 , 	30 , 	62 , 	9 , 	34 , 	70 , 	17 , 	21 , 	20 , 	10 , 	11 , 	20 , 	226 , 	59 , 	90 , 	16 , 	12 , 	25 , 	16 , 	102 , 	113 , 	258 , 	90 , 	41 , 	73 , 	29 , 	33 , 	43 , 	55 , 	4 , 	9 , 	36 , 	24 ," 	1,842 ",,,,,,,,,,
Entries," 	2,021 "," 	3,122 "," 	1,785 "," 	1,856 "," 	6,459 "," 	2,191 "," 	2,914 "," 	2,282 "," 	4,199 "," 	1,937 "," 	4,866 "," 	3,378 "," 	2,145 "," 	2,489 "," 	1,886 "," 	1,065 "," 	1,456 "," 	2,538 "," 	2,014 "," 	1,531 "," 	2,129 "," 	1,043 ", 	857 ," 	2,173 "," 	2,032 "," 	5,487 "," 	7,490 "," 	20,183 "," 	7,642 "," 	4,988 "," 	6,468 "," 	3,215 "," 	5,792 "," 	3,302 "," 	2,675 ", 	858 ," 	2,572 ", 	490 ," 	1,733 "," 	133,262 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
