Exit stations,Entry stations->,,SUNDAY,,,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
NC, 	1 , 	4 , 	3 , 	2 , 	7 , 	3 , 	11 , 	4 , 	9 , 	4 , 	4 , 	45 , 	2 , 	2 , 	1 , 	0 , 	1 , 	6 , 	20 , 	7 , 	12 , 	4 , 	1 , 	8 , 	1 , 	101 , 	42 , 	113 , 	99 , 	10 , 	8 , 	5 , 	5 , 	10 , 	2 , 	0 , 	3 , 	5 , 	22 , 	3 , 	4 , 	29 , 	5 , 	1 , 	625 ,,,,,,,,,,,
WP, 	31 , 	31 , 	7 , 	8 , 	19 , 	20 , 	81 , 	31 , 	61 , 	11 , 	42 , 	136 , 	21 , 	24 , 	22 , 	12 , 	13 , 	25 , 	154 , 	46 , 	65 , 	17 , 	10 , 	30 , 	23 , 	216 , 	97 , 	362 , 	300 , 	44 , 	61 , 	31 , 	36 , 	41 , 	17 , 	5 , 	10 , 	26 , 	13 , 	16 , 	13 , 	72 , 	19 , 	2 ," 	2,317 ",,,,,,,,,,,
SS, 	8 , 	9 , 	1 , 	2 , 	10 , 	3 , 	4 , 	4 , 	7 , 	3 , 	7 , 	14 , 	3 , 	3 , 	2 , 	2 , 	4 , 	3 , 	10 , 	3 , 	6 , 	1 , 	1 , 	6 , 	4 , 	49 , 	50 , 	223 , 	177 , 	40 , 	45 , 	24 , 	33 , 	26 , 	8 , 	2 , 	7 , 	3 , 	14 , 	4 , 	30 , 	25 , 	16 , 	1 , 	893 ,,,,,,,,,,,
SB, 	5 , 	13 , 	3 , 	4 , 	11 , 	4 , 	10 , 	3 , 	8 , 	5 , 	10 , 	18 , 	4 , 	4 , 	5 , 	4 , 	2 , 	6 , 	11 , 	4 , 	6 , 	3 , 	2 , 	3 , 	6 , 	70 , 	43 , 	247 , 	259 , 	90 , 	110 , 	49 , 	118 , 	97 , 	49 , 	3 , 	6 , 	4 , 	14 , 	32 , 	9 , 	52 , 	18 , 	3 ," 	1,422 ",,,,,,,,,,,
SO, 	19 , 	36 , 	29 , 	52 , 	115 , 	26 , 	58 , 	30 , 	43 , 	15 , 	23 , 	33 , 	14 , 	9 , 	6 , 	4 , 	12 , 	20 , 	47 , 	72 , 	98 , 	49 , 	46 , 	69 , 	32 , 	335 , 	323 ," 	1,320 ", 	379 , 	137 , 	125 , 	51 , 	53 , 	76 , 	38 , 	8 , 	95 , 	18 , 	53 , 	17 , 	36 , 	41 , 	236 , 	17 ," 	4,309 ",,,,,,,,,,,
MB, 	14 , 	19 , 	11 , 	14 , 	73 , 	9 , 	22 , 	17 , 	23 , 	10 , 	10 , 	26 , 	5 , 	7 , 	5 , 	3 , 	3 , 	6 , 	12 , 	13 , 	18 , 	10 , 	6 , 	16 , 	10 , 	163 , 	137 , 	617 , 	770 , 	172 , 	149 , 	55 , 	62 , 	105 , 	27 , 	3 , 	12 , 	4 , 	20 , 	14 , 	24 , 	393 , 	14 , 	3 ," 	3,101 ",,,,,,,,,,,
WD, 	3 , 	5 , 	4 , 	3 , 	14 , 	4 , 	6 , 	5 , 	7 , 	17 , 	21 , 	95 , 	17 , 	54 , 	15 , 	7 , 	8 , 	16 , 	3 , 	4 , 	3 , 	1 , 	1 , 	2 , 	5 , 	112 , 	55 , 	128 , 	99 , 	11 , 	13 , 	5 , 	7 , 	8 , 	1 , 	37 , 	13 , 	0 , 	3 , 	2 , 	1 , 	28 , 	3 , 	5 , 	843 ,,,,,,,,,,,
Entries," 	1,676 "," 	2,826 "," 	1,801 "," 	2,054 "," 	5,270 "," 	2,456 "," 	3,539 "," 	2,392 "," 	3,039 "," 	2,422 "," 	3,518 "," 	5,149 "," 	1,929 "," 	2,409 "," 	1,673 "," 	1,002 "," 	1,350 "," 	2,856 "," 	1,911 "," 	1,653 "," 	2,329 "," 	1,274 ", 	999 ," 	2,519 "," 	2,894 "," 	9,206 "," 	5,965 "," 	21,169 "," 	15,874 "," 	6,389 "," 	6,634 "," 	3,160 "," 	4,781 "," 	3,344 "," 	1,276 "," 	1,037 "," 	3,448 ", 	630 ," 	2,184 ", 	879 ," 	1,377 "," 	6,010 "," 	2,964 ", 	739 ," 	157,999 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
