Exit stations,Entry stations->,,TOTAL,,,Sep 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	485 ," 	1,927 "," 	1,768 ", 	994 ," 	7,022 "," 	1,359 "," 	2,168 "," 	1,618 "," 	1,878 ", 	581 ," 	1,458 "," 	1,148 ", 	559 , 	262 , 	525 , 	257 , 	139 , 	223 , 	422 , 	128 , 	374 , 	190 , 	167 , 	238 , 	462 ," 	4,805 "," 	3,533 "," 	6,496 "," 	3,540 "," 	2,720 "," 	2,831 ", 	757 , 	829 ," 	1,525 ", 	354 , 	100 , 	121 , 	82 , 	173 , 	221 , 	289 ," 	1,181 ", 	383 , 	77 , 	251 , 	299 , 	178 , 	266 , 	144 , 	274 ," 	57,781 ",,,,,,,,,,,,,
NC, 	79 , 	98 , 	38 , 	40 , 	214 , 	43 , 	309 , 	424 , 	581 , 	116 , 	97 , 	220 , 	85 , 	21 , 	30 , 	59 , 	19 , 	30 , 	665 , 	315 , 	478 , 	132 , 	55 , 	185 , 	34 ," 	1,817 "," 	1,509 "," 	1,399 "," 	1,313 ", 	411 , 	426 , 	119 , 	213 , 	356 , 	36 , 	9 , 	27 , 	151 , 	629 , 	108 , 	91 , 	701 , 	38 , 	3 , 	184 , 	32 , 	26 , 	79 , 	367 , 	403 ," 	14,814 ",,,,,,,,,,,,,
WP, 	206 , 	242 , 	106 , 	108 , 	752 , 	201 ," 	1,466 "," 	1,075 "," 	1,692 ", 	201 , 	313 , 	430 , 	210 , 	139 , 	348 , 	80 , 	109 , 	114 ," 	3,283 "," 	1,135 "," 	2,034 ", 	543 , 	225 , 	735 , 	275 ," 	4,833 "," 	4,235 "," 	6,778 "," 	3,976 "," 	1,595 "," 	1,399 ", 	563 , 	638 , 	922 , 	243 , 	38 , 	86 , 	488 , 	484 , 	161 , 	245 ," 	1,556 ", 	146 , 	16 , 	316 , 	112 , 	88 , 	114 , 	293 , 	481 ," 	45,828 ",,,,,,,,,,,,,
SS, 	205 , 	357 , 	91 , 	69 , 	465 , 	106 , 	236 , 	461 , 	771 , 	129 , 	182 , 	184 , 	193 , 	225 , 	85 , 	60 , 	49 , 	14 , 	242 , 	181 , 	259 , 	72 , 	56 , 	179 , 	261 ," 	4,184 "," 	4,242 "," 	4,827 "," 	3,570 "," 	1,783 "," 	1,698 ", 	701 ," 	1,318 "," 	1,613 ", 	413 , 	87 , 	126 , 	96 , 	215 , 	235 , 	503 , 	901 , 	792 , 	28 , 	32 , 	45 , 	17 , 	26 , 	18 , 	276 ," 	32,878 ",,,,,,,,,,,,,
SB, 	325 , 	410 , 	151 , 	91 , 	425 , 	164 , 	273 , 	557 , 	697 , 	201 , 	233 , 	275 , 	186 , 	154 , 	185 , 	54 , 	38 , 	45 , 	269 , 	273 , 	267 , 	144 , 	77 , 	140 , 	374 ," 	3,490 "," 	3,950 "," 	4,680 "," 	3,868 "," 	2,125 "," 	1,935 ", 	912 ," 	1,581 "," 	2,354 ", 	692 , 	58 , 	158 , 	121 , 	259 , 	539 , 	306 ," 	1,951 ", 	493 , 	67 , 	40 , 	24 , 	12 , 	32 , 	89 , 	318 ," 	36,062 ",,,,,,,,,,,,,
SO," 	1,312 "," 	1,556 "," 	1,270 "," 	1,635 "," 	2,657 "," 	1,040 "," 	1,904 "," 	1,633 "," 	2,108 ", 	435 , 	776 , 	495 , 	439 , 	311 , 	176 , 	124 , 	281 , 	424 ," 	1,951 "," 	2,428 "," 	2,884 "," 	1,754 "," 	1,365 "," 	2,124 "," 	2,194 "," 	5,963 "," 	5,861 "," 	19,439 "," 	6,332 "," 	4,120 "," 	2,385 "," 	1,655 "," 	1,702 "," 	3,445 "," 	1,223 ", 	207 ," 	1,847 ", 	703 ," 	1,604 ", 	655 ," 	1,186 "," 	2,198 "," 	6,729 ", 	526 , 	305 , 	191 , 	170 , 	102 , 	172 ," 	1,525 "," 	103,521 ",,,,,,,,,,,,,
MB, 	401 , 	675 , 	333 , 	341 ," 	1,867 ", 	361 , 	509 , 	796 , 	823 , 	172 , 	203 , 	324 , 	83 , 	144 , 	100 , 	73 , 	59 , 	48 , 	270 , 	144 , 	178 , 	88 , 	57 , 	134 , 	403 ," 	5,258 "," 	5,357 "," 	5,077 "," 	4,309 "," 	2,753 "," 	2,189 "," 	1,204 "," 	1,945 "," 	3,762 "," 	1,153 ", 	60 , 	177 , 	47 , 	139 , 	663 , 	460 ," 	8,015 "," 	1,009 ", 	80 , 	52 , 	5 , 	18 , 	6 , 	72 , 	225 ," 	52,621 ",,,,,,,,,,,,,
WD, 	91 , 	214 , 	78 , 	47 , 	526 , 	61 , 	335 , 	620 , 	526 , 	984 ," 	1,024 "," 	1,078 "," 	1,007 ", 	971 , 	639 , 	420 , 	430 , 	310 , 	73 , 	35 , 	28 , 	10 , 	30 , 	68 , 	167 ," 	6,444 "," 	4,019 "," 	2,529 "," 	2,004 ", 	747 , 	420 , 	270 , 	248 , 	453 , 	14 ," 	1,228 ", 	550 , 	11 , 	28 , 	36 , 	60 , 	618 , 	67 , 	235 , 	477 , 	137 , 	305 , 	404 , 	30 , 	41 ," 	31,147 ",,,,,,,,,,,,,
OA, 	189 , 	530 , 	383 , 	456 ," 	1,180 ", 	334 , 	372 , 	463 , 	500 , 	317 , 	165 , 	565 , 	120 , 	140 , 	138 , 	124 , 	208 , 	236 , 	403 , 	466 , 	455 , 	233 , 	142 , 	190 , 	129 ," 	1,476 "," 	1,043 "," 	1,217 ", 	773 , 	354 , 	294 , 	202 , 	141 , 	163 , 	19 , 	98 , 	818 , 	129 , 	266 , 	30 , 	37 , 	343 , 	47 , 	347 , 	243 , 	104 , 	189 , 	145 , 	47 , 	282 ," 	17,245 ",,,,,,,,,,,,,
WS, 	301 , 	431 , 	184 , 	211 , 	861 , 	200 , 	463 , 	808 , 	703 , 	902 ," 	1,070 ", 	977 ," 	1,053 ", 	907 ," 	1,407 "," 	1,264 "," 	1,751 "," 	1,688 ", 	91 , 	79 , 	53 , 	32 , 	26 , 	108 , 	214 ," 	2,214 "," 	1,786 "," 	1,270 ", 	977 , 	454 , 	246 , 	147 , 	189 , 	255 , 	27 , 	191 , 	345 , 	31 , 	114 , 	63 , 	20 , 	217 , 	8 , 	89 , 	108 , 	341 ," 	1,787 "," 	1,896 ", 	40 , 	101 ," 	28,700 ",,,,,,,,,,,,,
ML, 	212 , 	334 , 	177 , 	244 ," 	1,965 ", 	297 , 	481 , 	878 , 	716 , 	579 , 	598 , 	932 , 	855 , 	693 ," 	1,402 ", 	649 ," 	1,481 "," 	2,187 ", 	169 , 	146 , 	152 , 	47 , 	59 , 	125 , 	108 ," 	3,315 "," 	2,749 "," 	2,172 "," 	1,439 ", 	409 , 	320 , 	133 , 	233 , 	451 , 	23 , 	121 , 	570 , 	48 , 	98 , 	16 , 	28 , 	241 , 	12 , 	253 , 	193 ," 	1,807 ", 	579 , 	665 , 	30 , 	157 ," 	31,548 ",,,,,,,,,,,,,
BE, 	289 , 	599 , 	246 , 	274 ," 	2,936 ", 	434 , 	709 ," 	1,122 "," 	1,021 ", 	820 , 	971 ," 	1,387 "," 	1,189 ", 	981 ," 	1,729 "," 	1,207 "," 	1,829 "," 	2,554 ", 	228 , 	179 , 	161 , 	66 , 	95 , 	145 , 	206 ," 	3,583 "," 	2,730 "," 	2,106 "," 	1,642 ", 	628 , 	442 , 	189 , 	263 , 	483 , 	36 , 	139 , 	711 , 	53 , 	121 , 	21 , 	32 , 	208 , 	12 , 	392 , 	207 ," 	2,235 ", 	624 , 	527 , 	31 , 	137 ," 	38,929 ",,,,,,,,,,,,,
PC, 	149 , 	54 , 	41 , 	46 , 	238 , 	93 , 	478 , 	368 , 	371 , 	130 , 	112 , 	155 , 	70 , 	79 , 	142 , 	36 , 	24 , 	55 ," 	1,627 ", 	543 , 	805 , 	138 , 	183 , 	275 , 	199 , 	655 , 	698 ," 	1,265 ", 	828 , 	481 , 	228 , 	109 , 	202 , 	341 , 	52 , 	6 , 	50 , 	255 , 	283 , 	55 , 	67 , 	161 , 	67 , 	15 , 	61 , 	33 , 	28 , 	43 , 	58 , 	537 ," 	12,989 ",,,,,,,,,,,,,
AN, 	268 , 	285 , 	59 , 	68 , 	572 , 	149 ," 	1,577 "," 	1,355 "," 	1,901 ", 	390 , 	336 , 	708 , 	381 , 	183 , 	418 , 	154 , 	109 , 	167 ," 	2,351 "," 	1,059 "," 	1,638 ", 	429 , 	219 , 	723 , 	295 ," 	5,125 "," 	4,363 "," 	4,656 "," 	4,011 "," 	1,527 "," 	1,059 ", 	633 , 	699 ," 	1,169 ", 	388 , 	40 , 	101 , 	420 , 	639 , 	328 , 	311 ," 	1,516 ", 	223 , 	38 , 	421 , 	131 , 	167 , 	154 , 	640 , 	405 ," 	44,958 ",,,,,,,,,,,,,
Entries," 	61,430 "," 	90,320 "," 	52,568 "," 	45,940 "," 	139,946 "," 	52,846 "," 	95,748 "," 	118,735 "," 	122,638 "," 	71,318 "," 	98,518 "," 	75,551 "," 	79,175 "," 	63,391 "," 	56,612 "," 	35,351 "," 	44,971 "," 	48,316 "," 	63,784 "," 	57,136 "," 	65,040 "," 	38,223 "," 	29,996 "," 	57,905 "," 	88,387 "," 	350,377 "," 	287,576 "," 	337,944 "," 	234,343 "," 	143,514 "," 	140,720 "," 	81,027 "," 	109,153 "," 	113,718 "," 	37,091 "," 	29,623 "," 	75,326 "," 	15,084 "," 	44,375 "," 	32,261 "," 	33,817 "," 	120,348 "," 	54,661 "," 	30,494 "," 	20,458 "," 	30,282 "," 	31,381 "," 	37,113 "," 	14,027 "," 	44,165 "," 	4,202,723 ",,,,,,,,,,,,,
