Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
NC, 	7 , 	8 , 	3 , 	5 , 	42 , 	4 , 	29 , 	108 , 	130 , 	6 , 	11 , 	16 , 	6 , 	5 , 	7 , 	3 , 	3 , 	9 , 	74 , 	34 , 	69 , 	9 , 	8 , 	22 , 	6 , 	421 , 	425 , 	204 , 	182 , 	26 , 	19 , 	13 , 	12 , 	40 , 	23 , 	1 , 	2 , 	7 , 	81 ," 	2,082 ",,,,,,,,,,,
WP, 	28 , 	29 , 	8 , 	9 , 	77 , 	20 , 	113 , 	232 , 	290 , 	29 , 	48 , 	69 , 	27 , 	15 , 	30 , 	18 , 	25 , 	46 , 	566 , 	173 , 	270 , 	28 , 	20 , 	48 , 	28 , 	651 , 	704 , 	409 , 	365 , 	96 , 	107 , 	49 , 	52 , 	79 , 	93 , 	3 , 	11 , 	88 , 	15 ," 	4,968 ",,,,,,,,,,,
Entries," 	4,283 "," 	8,322 "," 	4,313 "," 	3,704 "," 	11,537 "," 	4,616 "," 	6,624 "," 	8,819 "," 	12,412 "," 	4,718 "," 	7,913 "," 	6,236 "," 	5,074 "," 	5,271 "," 	5,057 "," 	3,246 "," 	4,045 "," 	6,325 "," 	6,391 "," 	7,206 "," 	5,943 "," 	2,946 "," 	2,525 "," 	4,542 "," 	5,132 "," 	32,005 "," 	35,384 "," 	27,245 "," 	19,022 "," 	9,945 "," 	12,774 "," 	7,888 "," 	13,199 "," 	8,432 "," 	6,906 "," 	2,108 "," 	6,016 "," 	2,118 "," 	4,640 "," 	334,885 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
