Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
CV, 	3 , 	4 , 	4 , 	4 , 	25 , 	3 , 	5 , 	8 , 	14 , 	20 , 	33 , 	33 , 	26 , 	40 , 	15 , 	9 , 	6 , 	12 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	71 , 	104 , 	209 , 	84 , 	7 , 	11 , 	4 , 	5 , 	8 , 	6 , 	6 , 	54 , 	1 , 	2 , 	848 ,,,,,,,,,,
ED, 	8 , 	13 , 	6 , 	5 , 	60 , 	13 , 	8 , 	22 , 	33 , 	40 , 	78 , 	114 , 	34 , 	109 , 	37 , 	16 , 	23 , 	30 , 	5 , 	4 , 	2 , 	2 , 	2 , 	4 , 	14 , 	257 , 	323 , 	692 , 	227 , 	21 , 	31 , 	14 , 	14 , 	31 , 	12 , 	62 , 	7 , 	2 , 	5 ," 	2,382 ",,,,,,,,,,
NC, 	3 , 	4 , 	1 , 	1 , 	10 , 	2 , 	6 , 	5 , 	8 , 	2 , 	4 , 	11 , 	2 , 	2 , 	1 , 	1 , 	3 , 	5 , 	25 , 	8 , 	20 , 	2 , 	2 , 	7 , 	1 , 	44 , 	42 , 	97 , 	43 , 	7 , 	10 , 	5 , 	6 , 	6 , 	10 , 	1 , 	1 , 	2 , 	28 , 	437 ,,,,,,,,,,
WP, 	19 , 	26 , 	3 , 	6 , 	25 , 	12 , 	42 , 	29 , 	59 , 	8 , 	31 , 	59 , 	15 , 	9 , 	19 , 	11 , 	11 , 	23 , 	205 , 	46 , 	69 , 	10 , 	7 , 	23 , 	10 , 	86 , 	139 , 	283 , 	101 , 	37 , 	47 , 	25 , 	38 , 	22 , 	33 , 	2 , 	6 , 	28 , 	13 ," 	1,638 ",,,,,,,,,,
Entries," 	2,116 "," 	3,276 "," 	2,065 "," 	1,999 "," 	6,802 "," 	2,238 "," 	3,066 "," 	2,300 "," 	4,159 "," 	1,980 "," 	4,121 "," 	3,060 "," 	1,975 "," 	2,319 "," 	1,892 "," 	1,125 "," 	1,509 "," 	2,844 "," 	2,228 "," 	1,715 "," 	2,217 "," 	1,084 ", 	912 ," 	2,252 "," 	2,030 "," 	5,845 "," 	9,030 "," 	22,264 "," 	8,190 "," 	5,443 "," 	6,861 "," 	3,316 "," 	5,391 "," 	3,204 "," 	2,548 ", 	814 ," 	2,432 ", 	451 ," 	1,538 "," 	138,613 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
