Exit stations,Entry stations->,,SATURDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	23 , 	35 , 	22 , 	33 , 	120 , 	33 , 	43 , 	58 , 	62 , 	32 , 	41 , 	40 , 	11 , 	20 , 	12 , 	10 , 	8 , 	19 , 	14 , 	19 , 	21 , 	10 , 	12 , 	35 , 	42 , 	335 , 	318 ," 	1,201 ", 	345 , 	287 , 	273 , 	27 , 	82 , 	65 , 	45 , 	7 , 	24 , 	6 , 	20 , 	28 , 	67 , 	93 , 	71 , 	11 ," 	4,075 ",,,,,,,,,,,
BP, 	40 , 	54 , 	18 , 	21 , 	85 , 	24 , 	49 , 	49 , 	67 , 	32 , 	57 , 	51 , 	28 , 	34 , 	18 , 	16 , 	18 , 	28 , 	22 , 	14 , 	14 , 	8 , 	9 , 	20 , 	42 , 	439 , 	562 ," 	2,427 ", 	490 , 	477 , 	483 , 	82 , 	41 , 	86 , 	79 , 	8 , 	33 , 	6 , 	32 , 	45 , 	124 , 	89 , 	100 , 	15 ," 	6,431 ",,,,,,,,,,,
DC, 	29 , 	52 , 	19 , 	19 , 	179 , 	26 , 	37 , 	58 , 	63 , 	34 , 	52 , 	54 , 	24 , 	31 , 	20 , 	20 , 	18 , 	37 , 	27 , 	26 , 	28 , 	18 , 	12 , 	24 , 	39 , 	364 , 	367 ," 	1,455 ", 	406 , 	313 , 	280 , 	61 , 	95 , 	21 , 	31 , 	19 , 	46 , 	9 , 	43 , 	43 , 	121 , 	150 , 	118 , 	14 ," 	4,893 ",,,,,,,,,,,
CM, 	10 , 	22 , 	5 , 	9 , 	25 , 	6 , 	9 , 	15 , 	24 , 	5 , 	13 , 	7 , 	8 , 	10 , 	7 , 	5 , 	6 , 	5 , 	9 , 	9 , 	14 , 	4 , 	4 , 	5 , 	8 , 	116 , 	106 , 	452 , 	164 , 	99 , 	107 , 	46 , 	80 , 	43 , 	12 , 	4 , 	8 , 	3 , 	25 , 	13 , 	63 , 	99 , 	46 , 	2 ," 	1,725 ",,,,,,,,,,,
CV, 	5 , 	10 , 	4 , 	9 , 	60 , 	12 , 	13 , 	23 , 	16 , 	69 , 	53 , 	120 , 	42 , 	80 , 	26 , 	11 , 	20 , 	27 , 	5 , 	5 , 	4 , 	2 , 	1 , 	5 , 	8 , 	159 , 	123 , 	257 , 	102 , 	39 , 	27 , 	9 , 	10 , 	24 , 	3 , 	8 , 	68 , 	2 , 	6 , 	3 , 	5 , 	19 , 	5 , 	88 ," 	1,581 ",,,,,,,,,,,
ED, 	11 , 	12 , 	10 , 	14 , 	153 , 	14 , 	21 , 	34 , 	30 , 	66 , 	85 , 	454 , 	34 , 	114 , 	45 , 	25 , 	33 , 	65 , 	8 , 	5 , 	6 , 	3 , 	2 , 	11 , 	21 , 	762 , 	336 , 	689 , 	254 , 	75 , 	64 , 	23 , 	36 , 	51 , 	8 , 	78 , 	29 , 	1 , 	10 , 	7 , 	8 , 	93 , 	17 , 	31 ," 	3,842 ",,,,,,,,,,,
NC, 	2 , 	3 , 	4 , 	4 , 	26 , 	3 , 	8 , 	18 , 	24 , 	3 , 	7 , 	35 , 	2 , 	4 , 	4 , 	2 , 	2 , 	6 , 	24 , 	14 , 	26 , 	18 , 	3 , 	18 , 	1 , 	116 , 	75 , 	150 , 	66 , 	15 , 	14 , 	4 , 	7 , 	11 , 	3 , 	1 , 	1 , 	6 , 	26 , 	3 , 	3 , 	31 , 	5 , 	1 , 	792 ,,,,,,,,,,,
WP, 	39 , 	48 , 	13 , 	15 , 	89 , 	28 , 	103 , 	57 , 	88 , 	15 , 	55 , 	129 , 	31 , 	26 , 	29 , 	14 , 	11 , 	36 , 	236 , 	88 , 	125 , 	36 , 	21 , 	47 , 	35 , 	249 , 	159 , 	420 , 	152 , 	65 , 	74 , 	29 , 	43 , 	55 , 	25 , 	6 , 	13 , 	34 , 	27 , 	21 , 	21 , 	86 , 	30 , 	8 ," 	2,927 ",,,,,,,,,,,
SS, 	7 , 	17 , 	8 , 	3 , 	32 , 	4 , 	8 , 	8 , 	19 , 	5 , 	9 , 	9 , 	4 , 	8 , 	8 , 	10 , 	4 , 	4 , 	9 , 	10 , 	10 , 	5 , 	2 , 	5 , 	8 , 	100 , 	96 , 	344 , 	124 , 	72 , 	87 , 	22 , 	46 , 	49 , 	14 , 	1 , 	5 , 	5 , 	19 , 	11 , 	36 , 	34 , 	23 , 	1 ," 	1,298 ",,,,,,,,,,,
SB, 	15 , 	15 , 	4 , 	6 , 	31 , 	9 , 	13 , 	11 , 	25 , 	10 , 	18 , 	20 , 	11 , 	11 , 	10 , 	7 , 	4 , 	4 , 	16 , 	8 , 	10 , 	4 , 	1 , 	11 , 	18 , 	126 , 	108 , 	389 , 	174 , 	135 , 	123 , 	65 , 	144 , 	116 , 	59 , 	5 , 	9 , 	3 , 	22 , 	39 , 	12 , 	44 , 	26 , 	3 ," 	1,887 ",,,,,,,,,,,
SO, 	33 , 	53 , 	36 , 	56 , 	130 , 	40 , 	73 , 	49 , 	73 , 	21 , 	34 , 	39 , 	24 , 	15 , 	16 , 	6 , 	15 , 	39 , 	45 , 	93 , 	94 , 	58 , 	49 , 	78 , 	57 , 	356 , 	289 ," 	1,327 ", 	424 , 	171 , 	142 , 	91 , 	102 , 	149 , 	78 , 	13 , 	72 , 	26 , 	71 , 	33 , 	45 , 	28 , 	301 , 	21 ," 	4,958 ",,,,,,,,,,,
MB, 	16 , 	22 , 	17 , 	16 , 	171 , 	26 , 	32 , 	33 , 	48 , 	18 , 	28 , 	33 , 	15 , 	9 , 	11 , 	4 , 	7 , 	6 , 	20 , 	16 , 	24 , 	15 , 	11 , 	23 , 	23 , 	287 , 	215 , 	682 , 	302 , 	201 , 	164 , 	72 , 	122 , 	147 , 	48 , 	3 , 	14 , 	1 , 	20 , 	33 , 	33 , 	323 , 	30 , 	4 ," 	3,340 ",,,,,,,,,,,
WD, 	4 , 	9 , 	6 , 	8 , 	67 , 	7 , 	17 , 	19 , 	19 , 	40 , 	53 , 	170 , 	48 , 	118 , 	45 , 	30 , 	21 , 	26 , 	5 , 	3 , 	4 , 	2 , 	0 , 	3 , 	8 , 	254 , 	153 , 	271 , 	102 , 	31 , 	20 , 	14 , 	13 , 	22 , 	1 , 	89 , 	27 , 	1 , 	8 , 	2 , 	3 , 	30 , 	5 , 	14 ," 	1,785 ",,,,,,,,,,,
