Exit stations,Entry stations->,,SUNDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	21 , 	24 , 	14 , 	25 , 	66 , 	25 , 	41 , 	50 , 	40 , 	43 , 	33 , 	71 , 	16 , 	16 , 	8 , 	7 , 	14 , 	17 , 	23 , 	11 , 	20 , 	12 , 	11 , 	27 , 	37 , 	240 , 	185 , 	835 , 	336 , 	217 , 	175 , 	30 , 	47 , 	43 , 	33 , 	6 , 	20 , 	8 , 	29 , 	20 , 	58 , 	137 , 	63 , 	5 ," 	3,154 ",,,,,,,,,,,
BP, 	28 , 	34 , 	16 , 	20 , 	52 , 	18 , 	37 , 	41 , 	47 , 	49 , 	46 , 	69 , 	22 , 	24 , 	11 , 	13 , 	11 , 	29 , 	25 , 	13 , 	18 , 	10 , 	6 , 	20 , 	44 , 	363 , 	349 ," 	1,874 ", 	472 , 	342 , 	321 , 	54 , 	48 , 	51 , 	59 , 	8 , 	28 , 	5 , 	29 , 	30 , 	101 , 	118 , 	79 , 	7 ," 	5,034 ",,,,,,,,,,,
DC, 	23 , 	37 , 	14 , 	14 , 	71 , 	10 , 	23 , 	36 , 	41 , 	39 , 	38 , 	98 , 	20 , 	25 , 	10 , 	9 , 	21 , 	31 , 	26 , 	18 , 	30 , 	12 , 	10 , 	16 , 	31 , 	281 , 	220 ," 	1,021 ", 	356 , 	226 , 	185 , 	43 , 	55 , 	26 , 	24 , 	11 , 	55 , 	12 , 	46 , 	31 , 	87 , 	214 , 	122 , 	19 ," 	3,734 ",,,,,,,,,,,
CM, 	10 , 	21 , 	3 , 	7 , 	14 , 	4 , 	8 , 	11 , 	13 , 	4 , 	7 , 	13 , 	5 , 	9 , 	6 , 	4 , 	4 , 	8 , 	13 , 	10 , 	8 , 	4 , 	2 , 	4 , 	6 , 	90 , 	71 , 	340 , 	144 , 	80 , 	91 , 	35 , 	56 , 	26 , 	7 , 	2 , 	5 , 	4 , 	20 , 	9 , 	41 , 	95 , 	32 , 	3 ," 	1,341 ",,,,,,,,,,,
CV, 	3 , 	8 , 	5 , 	6 , 	25 , 	6 , 	13 , 	13 , 	12 , 	53 , 	34 , 	171 , 	29 , 	53 , 	20 , 	9 , 	13 , 	20 , 	4 , 	2 , 	3 , 	1 , 	2 , 	3 , 	7 , 	126 , 	80 , 	166 , 	84 , 	27 , 	18 , 	7 , 	9 , 	16 , 	2 , 	7 , 	51 , 	1 , 	8 , 	2 , 	1 , 	22 , 	3 , 	73 ," 	1,211 ",,,,,,,,,,,
ED, 	8 , 	9 , 	8 , 	8 , 	54 , 	21 , 	12 , 	29 , 	18 , 	69 , 	52 , 	729 , 	25 , 	80 , 	35 , 	13 , 	21 , 	58 , 	5 , 	6 , 	8 , 	2 , 	1 , 	6 , 	17 , 	545 , 	221 , 	463 , 	242 , 	61 , 	35 , 	25 , 	30 , 	43 , 	6 , 	53 , 	28 , 	1 , 	10 , 	3 , 	7 , 	118 , 	11 , 	23 ," 	3,209 ",,,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	5 , 	9 , 	2 , 	8 , 	10 , 	14 , 	3 , 	7 , 	57 , 	3 , 	3 , 	2 , 	2 , 	2 , 	7 , 	16 , 	9 , 	17 , 	14 , 	2 , 	9 , 	3 , 	93 , 	53 , 	101 , 	62 , 	13 , 	11 , 	7 , 	5 , 	10 , 	4 , 	1 , 	0 , 	4 , 	21 , 	3 , 	5 , 	32 , 	4 , 	1 , 	632 ,,,,,,,,,,,
WP, 	30 , 	29 , 	10 , 	11 , 	29 , 	20 , 	88 , 	42 , 	56 , 	18 , 	43 , 	165 , 	25 , 	24 , 	22 , 	15 , 	13 , 	31 , 	165 , 	60 , 	102 , 	29 , 	11 , 	28 , 	30 , 	184 , 	104 , 	313 , 	133 , 	39 , 	45 , 	23 , 	35 , 	36 , 	22 , 	8 , 	11 , 	26 , 	24 , 	11 , 	19 , 	88 , 	21 , 	6 ," 	2,241 ",,,,,,,,,,,
SS, 	9 , 	11 , 	4 , 	3 , 	9 , 	2 , 	7 , 	4 , 	14 , 	6 , 	10 , 	19 , 	7 , 	8 , 	7 , 	4 , 	2 , 	4 , 	7 , 	8 , 	5 , 	2 , 	2 , 	3 , 	5 , 	66 , 	64 , 	256 , 	94 , 	66 , 	54 , 	19 , 	34 , 	37 , 	8 , 	2 , 	5 , 	5 , 	12 , 	7 , 	27 , 	49 , 	20 , 	2 , 	980 ,,,,,,,,,,,
SB, 	11 , 	14 , 	5 , 	6 , 	12 , 	3 , 	10 , 	11 , 	18 , 	10 , 	13 , 	32 , 	4 , 	10 , 	6 , 	5 , 	4 , 	6 , 	12 , 	6 , 	10 , 	3 , 	4 , 	4 , 	12 , 	85 , 	61 , 	279 , 	148 , 	89 , 	107 , 	57 , 	104 , 	82 , 	42 , 	2 , 	9 , 	2 , 	12 , 	27 , 	10 , 	57 , 	24 , 	1 ," 	1,424 ",,,,,,,,,,,
