Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
BP, 	40 , 	79 , 	31 , 	28 , 	83 , 	32 , 	59 , 	93 , 	157 , 	43 , 	69 , 	62 , 	46 , 	25 , 	27 , 	15 , 	19 , 	31 , 	38 , 	32 , 	31 , 	9 , 	8 , 	40 , 	47 ," 	1,465 "," 	2,077 "," 	3,440 "," 	1,627 ", 	771 , 	839 , 	178 , 	58 , 	131 , 	175 , 	11 , 	36 , 	14 , 	50 ," 	12,018 ",,,,,,,,,,,
DC, 	46 , 	115 , 	52 , 	56 , 	163 , 	63 , 	95 , 	157 , 	210 , 	100 , 	116 , 	107 , 	76 , 	63 , 	41 , 	31 , 	42 , 	60 , 	79 , 	87 , 	71 , 	27 , 	21 , 	58 , 	55 ," 	1,297 "," 	1,746 "," 	1,254 ", 	697 , 	252 , 	328 , 	86 , 	148 , 	15 , 	70 , 	27 , 	103 , 	30 , 	77 ," 	8,123 ",,,,,,,,,,,
CM, 	32 , 	68 , 	20 , 	21 , 	108 , 	26 , 	53 , 	151 , 	217 , 	21 , 	40 , 	53 , 	26 , 	22 , 	22 , 	10 , 	16 , 	20 , 	64 , 	57 , 	62 , 	21 , 	20 , 	30 , 	31 ," 	1,429 "," 	1,638 "," 	1,042 ", 	713 , 	193 , 	260 , 	105 , 	196 , 	64 , 	14 , 	9 , 	37 , 	21 , 	92 ," 	7,023 ",,,,,,,,,,,
CV, 	8 , 	7 , 	3 , 	2 , 	41 , 	7 , 	17 , 	47 , 	84 , 	50 , 	57 , 	64 , 	39 , 	46 , 	27 , 	20 , 	17 , 	31 , 	4 , 	3 , 	4 , 	2 , 	1 , 	4 , 	7 , 	457 , 	438 , 	204 , 	166 , 	20 , 	16 , 	10 , 	11 , 	24 , 	10 , 	4 , 	146 , 	1 , 	4 ," 	2,102 ",,,,,,,,,,,
ED, 	32 , 	52 , 	23 , 	21 , 	110 , 	34 , 	57 , 	162 , 	224 , 	154 , 	188 , 	265 , 	106 , 	272 , 	104 , 	64 , 	66 , 	104 , 	14 , 	9 , 	8 , 	3 , 	2 , 	19 , 	33 ," 	1,483 "," 	1,203 ", 	639 , 	424 , 	71 , 	57 , 	67 , 	38 , 	105 , 	42 , 	152 , 	22 , 	3 , 	13 ," 	6,447 ",,,,,,,,,,,
NC, 	8 , 	7 , 	4 , 	5 , 	40 , 	3 , 	27 , 	104 , 	121 , 	11 , 	10 , 	22 , 	8 , 	4 , 	8 , 	4 , 	4 , 	10 , 	76 , 	39 , 	62 , 	10 , 	8 , 	20 , 	5 , 	428 , 	420 , 	195 , 	174 , 	24 , 	18 , 	13 , 	14 , 	28 , 	20 , 	1 , 	2 , 	5 , 	75 ," 	2,038 ",,,,,,,,,,,
WP, 	28 , 	29 , 	7 , 	7 , 	79 , 	20 , 	118 , 	224 , 	287 , 	27 , 	48 , 	78 , 	31 , 	21 , 	28 , 	20 , 	24 , 	46 , 	524 , 	177 , 	246 , 	37 , 	19 , 	52 , 	28 , 	645 , 	715 , 	413 , 	361 , 	90 , 	106 , 	49 , 	52 , 	80 , 	94 , 	5 , 	12 , 	94 , 	21 ," 	4,940 ",,,,,,,,,,,
Entries," 	4,412 "," 	7,917 "," 	3,988 "," 	3,617 "," 	10,641 "," 	4,350 "," 	6,293 "," 	8,311 "," 	12,366 "," 	4,540 "," 	8,560 "," 	6,963 "," 	5,021 "," 	5,252 "," 	4,805 "," 	3,175 "," 	3,987 "," 	6,163 "," 	6,340 "," 	7,046 "," 	5,731 "," 	2,950 "," 	2,472 "," 	4,524 "," 	5,163 "," 	34,203 "," 	34,756 "," 	27,005 "," 	19,090 "," 	10,161 "," 	12,813 "," 	7,843 "," 	12,778 "," 	8,183 "," 	7,035 "," 	2,128 "," 	6,368 "," 	2,137 "," 	4,704 "," 	333,794 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
