Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	34 , 	38 , 	9 , 	8 , 	52 , 	16 , 	30 , 	22 , 	77 , 	27 , 	44 , 	48 , 	14 , 	21 , 	8 , 	11 , 	14 , 	16 , 	25 , 	9 , 	12 , 	4 , 	6 , 	11 , 	26 , 	271 , 	452 ," 	2,585 ", 	582 , 	368 , 	476 , 	80 , 	43 , 	51 , 	110 , 	4 , 	12 , 	8 , 	36 ," 	5,663 ",,,,,,,,,,
DC, 	24 , 	36 , 	18 , 	14 , 	118 , 	16 , 	23 , 	22 , 	81 , 	24 , 	39 , 	73 , 	23 , 	22 , 	19 , 	15 , 	18 , 	35 , 	21 , 	21 , 	24 , 	6 , 	8 , 	17 , 	19 , 	188 , 	294 ," 	1,012 ", 	349 , 	172 , 	242 , 	39 , 	71 , 	16 , 	54 , 	12 , 	33 , 	6 , 	39 ," 	3,262 ",,,,,,,,,,
CM, 	16 , 	35 , 	16 , 	13 , 	71 , 	10 , 	25 , 	22 , 	69 , 	15 , 	23 , 	34 , 	19 , 	16 , 	14 , 	8 , 	6 , 	18 , 	41 , 	26 , 	32 , 	13 , 	9 , 	18 , 	10 , 	156 , 	191 , 	734 , 	278 , 	138 , 	197 , 	58 , 	109 , 	59 , 	14 , 	4 , 	16 , 	9 , 	47 ," 	2,591 ",,,,,,,,,,
CV, 	1 , 	6 , 	6 , 	3 , 	32 , 	2 , 	7 , 	7 , 	18 , 	26 , 	40 , 	71 , 	21 , 	43 , 	15 , 	8 , 	8 , 	11 , 	3 , 	4 , 	3 , 	2 , 	1 , 	2 , 	2 , 	121 , 	75 , 	170 , 	61 , 	8 , 	11 , 	6 , 	5 , 	11 , 	9 , 	4 , 	77 , 	0 , 	4 , 	903 ,,,,,,,,,,
ED, 	13 , 	16 , 	6 , 	10 , 	89 , 	15 , 	18 , 	14 , 	52 , 	46 , 	89 , 	334 , 	47 , 	113 , 	50 , 	25 , 	24 , 	39 , 	8 , 	4 , 	5 , 	2 , 	1 , 	13 , 	14 , 	538 , 	248 , 	562 , 	226 , 	35 , 	29 , 	14 , 	18 , 	37 , 	23 , 	72 , 	15 , 	1 , 	5 ," 	2,872 ",,,,,,,,,,
NC, 	3 , 	4 , 	1 , 	1 , 	15 , 	2 , 	7 , 	3 , 	26 , 	0 , 	5 , 	15 , 	1 , 	6 , 	2 , 	2 , 	1 , 	8 , 	29 , 	9 , 	15 , 	4 , 	1 , 	5 , 	0 , 	81 , 	43 , 	76 , 	45 , 	8 , 	9 , 	6 , 	6 , 	9 , 	12 , 	0 , 	-   , 	7 , 	28 , 	493 ,,,,,,,,,,
WP, 	22 , 	28 , 	8 , 	4 , 	42 , 	9 , 	51 , 	28 , 	68 , 	6 , 	36 , 	71 , 	11 , 	14 , 	17 , 	13 , 	8 , 	25 , 	240 , 	53 , 	95 , 	16 , 	12 , 	30 , 	12 , 	139 , 	117 , 	240 , 	104 , 	36 , 	79 , 	23 , 	38 , 	37 , 	54 , 	3 , 	6 , 	40 , 	13 ," 	1,850 ",,,,,,,,,,
Entries," 	2,410 "," 	3,354 "," 	1,801 "," 	1,831 "," 	7,015 "," 	2,320 "," 	2,958 "," 	2,267 "," 	4,549 "," 	2,135 "," 	5,136 "," 	4,565 "," 	2,097 "," 	2,509 "," 	1,937 "," 	1,146 "," 	1,538 "," 	2,808 "," 	2,391 "," 	1,727 "," 	2,216 "," 	1,050 ", 	887 ," 	2,155 "," 	2,190 "," 	8,465 "," 	7,013 "," 	20,721 "," 	8,371 "," 	5,853 "," 	7,324 "," 	3,529 "," 	5,789 "," 	3,325 "," 	2,652 ", 	863 ," 	2,768 ", 	552 ," 	1,740 "," 	143,954 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
