Exit stations,Entry stations->,,SUNDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	17 , 	30 , 	31 , 	14 , 	84 , 	16 , 	23 , 	24 , 	18 , 	14 , 	28 , 	21 , 	8 , 	8 , 	8 , 	3 , 	1 , 	3 , 	5 , 	2 , 	4 , 	4 , 	2 , 	5 , 	6 , 	63 , 	36 , 	116 , 	38 , 	41 , 	40 , 	8 , 	15 , 	6 , 	4 , 	1 , 	1 , 	0 , 	3 , 	5 , 	8 , 	19 , 	5 , 	1 , 	4 , 	8 , 	3 , 	6 , 	3 , 	5 , 	818 ,,,,,,,,,,,
CM, 	5 , 	8 , 	1 , 	1 , 	6 , 	2 , 	5 , 	3 , 	10 , 	2 , 	2 , 	4 , 	1 , 	2 , 	2 , 	0 , 	1 , 	1 , 	4 , 	3 , 	2 , 	1 , 	1 , 	2 , 	10 , 	31 , 	29 , 	114 , 	48 , 	47 , 	53 , 	16 , 	21 , 	11 , 	10 , 	0 , 	2 , 	0 , 	3 , 	3 , 	14 , 	94 , 	12 , 	0 , 	1 , 	0 , 	1 , 	0 , 	1 , 	4 , 	597 ,,,,,,,,,,,
CV, 	1 , 	2 , 	0 , 	0 , 	4 , 	1 , 	1 , 	1 , 	2 , 	24 , 	13 , 	34 , 	13 , 	13 , 	3 , 	4 , 	3 , 	3 , 	-   , 	-   , 	1 , 	-   , 	-   , 	0 , 	3 , 	57 , 	32 , 	52 , 	26 , 	15 , 	10 , 	3 , 	4 , 	3 , 	1 , 	7 , 	20 , 	0 , 	0 , 	1 , 	2 , 	6 , 	1 , 	23 , 	4 , 	1 , 	1 , 	3 , 	1 , 	0 , 	400 ,,,,,,,,,,,
ED, 	2 , 	4 , 	1 , 	1 , 	16 , 	3 , 	7 , 	7 , 	6 , 	31 , 	26 , 	130 , 	22 , 	28 , 	10 , 	7 , 	3 , 	8 , 	1 , 	1 , 	2 , 	0 , 	0 , 	2 , 	11 , 	297 , 	89 , 	154 , 	61 , 	40 , 	26 , 	6 , 	6 , 	15 , 	1 , 	17 , 	30 , 	-   , 	0 , 	2 , 	2 , 	47 , 	2 , 	12 , 	32 , 	5 , 	9 , 	10 , 	0 , 	2 ," 	1,196 ",,,,,,,,,,,
NC, 	0 , 	0 , 	1 , 	1 , 	2 , 	1 , 	6 , 	3 , 	3 , 	0 , 	1 , 	13 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	6 , 	4 , 	6 , 	4 , 	0 , 	2 , 	0 , 	28 , 	12 , 	26 , 	10 , 	8 , 	7 , 	3 , 	2 , 	3 , 	-   , 	1 , 	0 , 	5 , 	7 , 	0 , 	2 , 	21 , 	1 , 	0 , 	3 , 	-   , 	-   , 	1 , 	3 , 	4 , 	202 ,,,,,,,,,,,
WP, 	3 , 	5 , 	3 , 	1 , 	3 , 	2 , 	12 , 	9 , 	10 , 	3 , 	5 , 	11 , 	2 , 	5 , 	3 , 	3 , 	1 , 	1 , 	45 , 	19 , 	33 , 	8 , 	1 , 	8 , 	3 , 	62 , 	28 , 	79 , 	28 , 	21 , 	22 , 	5 , 	8 , 	7 , 	4 , 	-   , 	1 , 	7 , 	10 , 	2 , 	3 , 	38 , 	2 , 	-   , 	12 , 	2 , 	2 , 	2 , 	5 , 	8 , 	551 ,,,,,,,,,,,
SS, 	7 , 	3 , 	1 , 	2 , 	3 , 	1 , 	2 , 	4 , 	5 , 	2 , 	4 , 	5 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	5 , 	32 , 	15 , 	78 , 	35 , 	34 , 	42 , 	6 , 	14 , 	15 , 	3 , 	0 , 	1 , 	0 , 	3 , 	7 , 	11 , 	39 , 	5 , 	-   , 	2 , 	0 , 	0 , 	1 , 	0 , 	2 , 	407 ,,,,,,,,,,,
SB, 	7 , 	6 , 	1 , 	2 , 	8 , 	2 , 	5 , 	7 , 	8 , 	3 , 	3 , 	7 , 	4 , 	3 , 	1 , 	1 , 	0 , 	1 , 	5 , 	5 , 	5 , 	2 , 	1 , 	5 , 	6 , 	41 , 	26 , 	105 , 	55 , 	53 , 	55 , 	16 , 	27 , 	38 , 	13 , 	0 , 	1 , 	1 , 	3 , 	12 , 	14 , 	44 , 	7 , 	1 , 	2 , 	0 , 	0 , 	0 , 	0 , 	6 , 	618 ,,,,,,,,,,,
SO, 	17 , 	26 , 	21 , 	25 , 	69 , 	22 , 	41 , 	26 , 	34 , 	8 , 	12 , 	9 , 	6 , 	12 , 	3 , 	5 , 	1 , 	3 , 	34 , 	44 , 	37 , 	27 , 	23 , 	38 , 	33 , 	166 , 	155 , 	651 , 	143 , 	84 , 	54 , 	34 , 	40 , 	70 , 	56 , 	7 , 	30 , 	12 , 	27 , 	23 , 	17 , 	67 , 	86 , 	7 , 	16 , 	2 , 	2 , 	3 , 	3 , 	24 ," 	2,357 ",,,,,,,,,,,
MB, 	6 , 	9 , 	4 , 	5 , 	33 , 	5 , 	7 , 	11 , 	11 , 	2 , 	3 , 	5 , 	1 , 	3 , 	0 , 	1 , 	0 , 	1 , 	3 , 	2 , 	2 , 	3 , 	2 , 	6 , 	6 , 	56 , 	24 , 	96 , 	64 , 	54 , 	56 , 	15 , 	15 , 	36 , 	11 , 	1 , 	1 , 	1 , 	2 , 	4 , 	5 , 	235 , 	30 , 	1 , 	1 , 	0 , 	0 , 	-   , 	1 , 	1 , 	841 ,,,,,,,,,,,
WD, 	0 , 	4 , 	2 , 	1 , 	7 , 	1 , 	4 , 	2 , 	2 , 	15 , 	15 , 	56 , 	14 , 	20 , 	7 , 	5 , 	2 , 	2 , 	0 , 	0 , 	0 , 	1 , 	1 , 	1 , 	4 , 	93 , 	26 , 	46 , 	27 , 	15 , 	7 , 	2 , 	2 , 	3 , 	0 , 	23 , 	12 , 	0 , 	0 , 	0 , 	1 , 	16 , 	0 , 	12 , 	15 , 	0 , 	2 , 	3 , 	-   , 	0 , 	474 ,,,,,,,,,,,
