Total Trip OD																																																			
																																																			
2024 / 08																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
BP	968	981	396	342	"1,264"	523	974	"1,201"	"1,715"	987	"1,259"	885	995	639	352	253	282	182	609	344	501	271	169	544	"1,153"	"11,274"	"11,825"	"23,827"	"11,197"	"6,522"	"5,579"	"1,195"	467	"1,598"	"1,533"	259	573	180	592	"1,049"	"1,615"	"2,105"	"1,808"	218	113	119	191	466	184	270	"102,548"
DC	"1,107"	"1,567"	516	333	"1,369"	416	911	"1,252"	"1,689"	942	"1,772"	"1,554"	"1,287"	804	533	376	426	408	819	643	701	200	263	487	"1,066"	"14,403"	"15,316"	"18,315"	"12,729"	"7,359"	"6,166"	"1,513"	"1,803"	709	748	420	974	195	811	"1,599"	"2,462"	"4,424"	"3,248"	416	185	202	158	782	364	392	"117,134"
CM	407	318	117	82	427	104	179	393	680	120	112	175	103	109	92	42	85	48	219	164	220	70	69	107	221	"5,204"	"4,945"	"6,051"	"4,589"	"2,584"	"2,308"	"1,003"	"1,554"	630	306	56	108	26	262	375	691	"1,784"	"1,198"	10	38	22	79	285	23	19	"38,813"
CV	68	118	118	55	521	91	216	437	529	"1,518"	"1,068"	"1,755"	807	819	407	369	348	346	88	57	59	24	10	64	248	"5,662"	"4,131"	"3,058"	"2,814"	768	534	219	308	411	37	246	"2,029"	12	37	72	90	276	56	"1,399"	121	126	10	37	160	222	"32,975"
ED	233	309	154	160	"1,650"	315	622	"1,202"	"1,636"	"2,526"	"2,423"	"6,585"	"2,604"	"1,904"	"1,129"	661	920	837	168	116	111	29	22	103	447	"18,442"	"11,244"	"7,653"	"5,865"	"1,951"	"1,139"	727	564	"1,084"	131	"1,865"	901	33	109	117	171	"2,349"	210	605	988	372	35	79	719	884	"85,103"
NC	96	59	63	39	200	48	339	437	729	91	114	304	96	44	63	27	30	47	614	319	451	129	40	231	61	"2,080"	"1,622"	"1,415"	"1,566"	472	404	136	211	198	38	7	26	143	496	110	104	614	51	2	157	46	383	486	25	42	"15,505"
WP	309	193	89	153	812	165	"1,885"	"1,184"	"1,892"	225	439	657	203	126	246	76	121	78	"3,453"	"1,330"	"2,352"	406	305	796	230	"6,112"	"4,908"	"7,194"	"5,248"	"1,951"	"1,689"	845	677	780	274	51	103	502	418	173	328	"1,854"	231	34	356	112	204	397	96	145	"52,407"
SS	281	299	113	65	499	109	267	546	777	117	270	253	155	187	96	87	83	41	229	192	268	74	40	179	286	"4,311"	"4,393"	"4,827"	"4,219"	"1,989"	"1,634"	649	"1,233"	"1,552"	383	65	136	102	214	244	539	"1,120"	648	59	29	36	28	386	20	23	"34,352"
SB	355	460	164	81	431	171	332	559	676	157	358	352	221	221	195	55	36	102	307	271	229	114	84	165	560	"4,167"	"4,526"	"4,656"	"3,872"	"2,295"	"2,121"	"1,120"	"1,708"	"2,298"	686	93	148	133	306	561	362	"2,443"	519	37	65	31	52	331	28	34	"39,248"
SO	"1,442"	"1,868"	"1,307"	"1,724"	"3,712"	"1,237"	"2,021"	"1,730"	"2,264"	490	789	697	511	290	195	121	224	435	"1,899"	"2,450"	"2,723"	"1,738"	"1,364"	"2,189"	"2,231"	"7,109"	"6,628"	"21,951"	"7,137"	"4,755"	"2,821"	"1,958"	"1,857"	"3,522"	"1,444"	206	"1,804"	629	"1,745"	943	"1,781"	"2,538"	"8,047"	501	296	202	202	"1,436"	237	136	"115,536"
MB	411	685	287	307	"1,692"	317	441	689	900	177	243	499	182	112	93	67	51	42	263	239	227	85	84	152	352	"4,735"	"4,822"	"4,281"	"3,609"	"2,126"	"1,886"	"1,258"	"1,822"	"2,977"	991	77	225	48	201	612	421	"8,945"	919	62	63	18	68	250	18	8	"49,039"
WD	103	151	131	63	581	82	368	572	590	"1,321"	"1,112"	"2,265"	"1,085"	"1,071"	563	460	358	344	103	30	23	11	6	45	156	"7,048"	"4,570"	"2,641"	"2,391"	803	468	281	287	425	20	"1,480"	605	15	37	62	52	661	81	310	428	187	35	28	307	361	"35,177"
OA	230	545	446	433	"1,168"	347	389	443	695	361	176	"1,040"	207	89	154	121	198	270	435	466	399	229	114	207	145	"1,739"	"1,202"	"1,418"	796	367	313	223	124	171	27	84	797	108	308	27	40	351	54	326	305	109	39	313	145	155	"18,848"
WS	203	363	182	176	908	250	568	775	607	839	977	"1,487"	990	872	"1,611"	"1,289"	"1,730"	"1,607"	85	63	72	38	19	56	98	"2,728"	"1,972"	"1,233"	"1,216"	493	279	112	152	243	15	101	274	42	74	50	44	239	18	184	114	308	84	116	"1,911"	"1,848"	"29,715"
PC	133	103	6	22	123	54	387	315	412	143	227	164	105	87	116	69	21	37	"1,678"	559	633	139	114	242	177	713	515	"1,013"	812	333	200	69	167	170	57	8	26	390	251	53	66	224	53	37	53	62	74	634	16	53	"12,115"
AN	343	200	67	76	602	176	"1,565"	"1,264"	"1,922"	369	326	913	473	181	318	117	147	122	"2,337"	"1,055"	"1,560"	325	249	726	302	"4,841"	"3,983"	"3,926"	"4,015"	"1,384"	920	700	505	843	276	53	92	458	556	371	279	"1,641"	203	25	385	158	533	464	126	173	"42,645"
ML	213	432	235	289	"2,247"	328	508	913	872	806	945	"1,437"	"1,032"	708	"1,548"	958	"2,131"	"2,619"	215	142	175	47	51	108	159	"3,578"	"2,592"	"2,074"	"1,489"	536	369	167	215	430	32	187	628	15	103	21	32	251	20	275	162	"2,006"	31	115	573	668	"35,687"
BE	417	627	313	316	"2,834"	460	699	"1,163"	"1,039"	"1,135"	"1,176"	"2,368"	"1,191"	"1,024"	"1,979"	"1,269"	"1,961"	"2,584"	289	200	248	80	70	192	269	"4,243"	"2,794"	"2,152"	"1,891"	761	460	207	341	415	32	181	894	47	148	15	24	221	26	342	230	"2,173"	52	160	613	563	"42,888"
Grand Total	"63,194"	"90,093"	"54,038"	"48,287"	"146,207"	"53,294"	"97,380"	"116,063"	"128,420"	"77,885"	"106,773"	"104,122"	"85,753"	"68,680"	"58,718"	"37,491"	"48,923"	"53,485"	"67,746"	"64,015"	"73,979"	"41,941"	"33,002"	"66,447"	"97,178"	"392,853"	"308,614"	"335,464"	"244,626"	"151,994"	"147,931"	"85,781"	"111,480"	"113,970"	"38,537"	"32,182"	"86,094"	"16,191"	"50,108"	"34,084"	"38,386"	"138,013"	"51,486"	"34,229"	"21,130"	"31,469"	"12,695"	"43,956"	"36,385"	"41,698"	"4,482,470"
