Exit stations,Entry stations->,,SUNDAY,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	37 , 	33 , 	15 , 	111 , 	25 , 	35 , 	20 , 	26 , 	13 , 	28 , 	17 , 	9 , 	8 , 	7 , 	3 , 	3 , 	4 , 	7 , 	5 , 	8 , 	4 , 	3 , 	7 , 	9 , 	73 , 	35 , 	114 , 	45 , 	40 , 	40 , 	14 , 	16 , 	18 , 	2 , 	2 , 	4 , 	2 , 	4 , 	6 , 	7 , 	37 , 	10 , 	1 , 	6 , 	3 , 	6 , 	9 , 	2 , 	4 , 	942 ,,,,,,,,,,,
GP, 	13 , 	17 , 	9 , 	10 , 	43 , 	12 , 	17 , 	21 , 	17 , 	12 , 	16 , 	6 , 	8 , 	6 , 	4 , 	3 , 	4 , 	5 , 	5 , 	7 , 	14 , 	7 , 	2 , 	12 , 	19 , 	89 , 	72 , 	294 , 	119 , 	91 , 	92 , 	10 , 	15 , 	23 , 	16 , 	3 , 	16 , 	2 , 	8 , 	9 , 	18 , 	92 , 	30 , 	6 , 	10 , 	2 , 	5 , 	5 , 	2 , 	6 ," 	1,317 ",,,,,,,,,,,
BP, 	15 , 	16 , 	7 , 	6 , 	22 , 	11 , 	17 , 	13 , 	14 , 	18 , 	10 , 	11 , 	10 , 	9 , 	5 , 	4 , 	4 , 	5 , 	8 , 	6 , 	6 , 	3 , 	1 , 	4 , 	15 , 	101 , 	91 , 	466 , 	138 , 	101 , 	88 , 	14 , 	9 , 	19 , 	22 , 	4 , 	16 , 	1 , 	7 , 	16 , 	31 , 	64 , 	24 , 	6 , 	6 , 	2 , 	4 , 	8 , 	1 , 	4 ," 	1,479 ",,,,,,,,,,,
DC, 	19 , 	18 , 	3 , 	8 , 	23 , 	8 , 	10 , 	17 , 	16 , 	11 , 	15 , 	7 , 	14 , 	15 , 	8 , 	4 , 	7 , 	7 , 	7 , 	7 , 	10 , 	3 , 	3 , 	9 , 	16 , 	104 , 	81 , 	436 , 	170 , 	130 , 	100 , 	22 , 	23 , 	14 , 	13 , 	8 , 	30 , 	1 , 	10 , 	19 , 	37 , 	126 , 	40 , 	4 , 	8 , 	3 , 	7 , 	10 , 	2 , 	12 ," 	1,668 ",,,,,,,,,,,
CM, 	5 , 	9 , 	3 , 	3 , 	7 , 	2 , 	1 , 	3 , 	6 , 	2 , 	3 , 	2 , 	0 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	3 , 	3 , 	1 , 	2 , 	2 , 	4 , 	30 , 	26 , 	120 , 	52 , 	47 , 	36 , 	17 , 	25 , 	15 , 	6 , 	-   , 	0 , 	1 , 	7 , 	3 , 	15 , 	49 , 	12 , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	7 , 	540 ,,,,,,,,,,,
CV, 	2 , 	4 , 	1 , 	1 , 	5 , 	2 , 	2 , 	4 , 	2 , 	24 , 	17 , 	9 , 	17 , 	13 , 	4 , 	3 , 	5 , 	5 , 	0 , 	2 , 	2 , 	0 , 	0 , 	2 , 	5 , 	41 , 	27 , 	71 , 	25 , 	12 , 	9 , 	3 , 	4 , 	5 , 	-   , 	7 , 	26 , 	-   , 	1 , 	2 , 	1 , 	8 , 	1 , 	33 , 	3 , 	1 , 	2 , 	5 , 	-   , 	2 , 	417 ,,,,,,,,,,,
ED, 	3 , 	6 , 	3 , 	4 , 	30 , 	6 , 	9 , 	7 , 	9 , 	28 , 	26 , 	24 , 	25 , 	31 , 	17 , 	5 , 	15 , 	19 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	14 , 	138 , 	69 , 	176 , 	80 , 	27 , 	19 , 	9 , 	13 , 	17 , 	3 , 	29 , 	16 , 	-   , 	1 , 	2 , 	3 , 	60 , 	5 , 	11 , 	29 , 	3 , 	17 , 	18 , 	1 , 	1 ," 	1,032 ",,,,,,,,,,,
NC, 	2 , 	1 , 	1 , 	1 , 	3 , 	1 , 	3 , 	3 , 	3 , 	-   , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	-   , 	9 , 	4 , 	8 , 	3 , 	1 , 	5 , 	0 , 	12 , 	6 , 	22 , 	7 , 	4 , 	5 , 	2 , 	1 , 	2 , 	0 , 	-   , 	0 , 	3 , 	8 , 	1 , 	1 , 	22 , 	1 , 	0 , 	4 , 	-   , 	1 , 	1 , 	3 , 	4 , 	162 ,,,,,,,,,,,
WP, 	2 , 	5 , 	2 , 	1 , 	5 , 	4 , 	12 , 	8 , 	9 , 	4 , 	8 , 	4 , 	2 , 	3 , 	2 , 	1 , 	2 , 	3 , 	46 , 	20 , 	37 , 	7 , 	7 , 	7 , 	2 , 	31 , 	27 , 	77 , 	28 , 	13 , 	13 , 	5 , 	7 , 	9 , 	4 , 	2 , 	1 , 	7 , 	15 , 	3 , 	3 , 	40 , 	1 , 	0 , 	8 , 	2 , 	5 , 	5 , 	4 , 	6 , 	513 ,,,,,,,,,,,
SS, 	6 , 	5 , 	3 , 	2 , 	8 , 	2 , 	3 , 	4 , 	8 , 	2 , 	4 , 	2 , 	2 , 	3 , 	1 , 	2 , 	2 , 	2 , 	5 , 	3 , 	5 , 	2 , 	0 , 	1 , 	6 , 	38 , 	20 , 	107 , 	47 , 	32 , 	28 , 	13 , 	16 , 	29 , 	4 , 	1 , 	1 , 	1 , 	3 , 	4 , 	9 , 	40 , 	10 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	482 ,,,,,,,,,,,
SB, 	7 , 	6 , 	3 , 	1 , 	7 , 	5 , 	4 , 	4 , 	9 , 	3 , 	5 , 	5 , 	3 , 	4 , 	1 , 	1 , 	-   , 	1 , 	3 , 	6 , 	2 , 	1 , 	1 , 	5 , 	7 , 	29 , 	28 , 	103 , 	67 , 	41 , 	41 , 	22 , 	38 , 	36 , 	15 , 	1 , 	3 , 	2 , 	5 , 	10 , 	5 , 	86 , 	8 , 	1 , 	1 , 	1 , 	0 , 	2 , 	2 , 	2 , 	638 ,,,,,,,,,,,
