Exit stations,Entry stations->,,SATURDAY,,,Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	23 , 	35 , 	13 , 	22 , 	65 , 	21 , 	43 , 	41 , 	43 , 	28 , 	42 , 	48 , 	15 , 	18 , 	11 , 	8 , 	11 , 	17 , 	24 , 	19 , 	22 , 	11 , 	13 , 	35 , 	29 , 	320 , 	302 ," 	1,215 ", 	367 , 	337 , 	268 , 	23 , 	72 , 	55 , 	76 , 	9 , 	25 , 	5 , 	25 , 	31 , 	70 , 	79 , 	69 , 	8 ," 	4,013 ",,,,,,,,,,,
BP, 	34 , 	51 , 	10 , 	22 , 	55 , 	19 , 	39 , 	29 , 	63 , 	33 , 	51 , 	53 , 	24 , 	24 , 	18 , 	11 , 	15 , 	29 , 	27 , 	13 , 	17 , 	6 , 	10 , 	15 , 	37 , 	419 , 	453 ," 	2,318 ", 	551 , 	453 , 	415 , 	81 , 	40 , 	73 , 	89 , 	7 , 	22 , 	6 , 	39 , 	37 , 	142 , 	81 , 	81 , 	9 ," 	6,018 ",,,,,,,,,,,
DC, 	30 , 	48 , 	18 , 	18 , 	78 , 	18 , 	35 , 	27 , 	39 , 	27 , 	46 , 	70 , 	25 , 	32 , 	21 , 	12 , 	23 , 	32 , 	35 , 	24 , 	28 , 	12 , 	13 , 	16 , 	29 , 	292 , 	313 ," 	1,294 ", 	461 , 	309 , 	249 , 	70 , 	86 , 	17 , 	74 , 	13 , 	41 , 	9 , 	38 , 	36 , 	122 , 	140 , 	132 , 	13 ," 	4,465 ",,,,,,,,,,,
CM, 	18 , 	45 , 	18 , 	26 , 	26 , 	11 , 	44 , 	21 , 	35 , 	12 , 	26 , 	20 , 	17 , 	17 , 	5 , 	6 , 	8 , 	20 , 	43 , 	74 , 	123 , 	84 , 	69 , 	70 , 	52 , 	263 , 	253 , 	824 , 	330 , 	127 , 	172 , 	72 , 	104 , 	74 , 	19 , 	18 , 	114 , 	21 , 	42 , 	37 , 	131 , 	121 , 	324 , 	33 ," 	3,972 ",,,,,,,,,,,
CV, 	7 , 	9 , 	7 , 	5 , 	28 , 	7 , 	12 , 	12 , 	14 , 	54 , 	59 , 	115 , 	37 , 	69 , 	21 , 	20 , 	14 , 	22 , 	6 , 	4 , 	2 , 	2 , 	2 , 	6 , 	8 , 	179 , 	95 , 	204 , 	100 , 	32 , 	19 , 	11 , 	10 , 	19 , 	17 , 	6 , 	78 , 	1 , 	7 , 	3 , 	3 , 	20 , 	5 , 	61 ," 	1,415 ",,,,,,,,,,,
ED, 	9 , 	14 , 	10 , 	10 , 	73 , 	19 , 	24 , 	24 , 	27 , 	61 , 	87 , 	498 , 	45 , 	98 , 	42 , 	27 , 	24 , 	54 , 	13 , 	8 , 	7 , 	2 , 	2 , 	9 , 	14 , 	936 , 	374 , 	680 , 	276 , 	91 , 	47 , 	21 , 	26 , 	49 , 	105 , 	79 , 	34 , 	3 , 	7 , 	7 , 	7 , 	101 , 	12 , 	27 ," 	4,082 ",,,,,,,,,,,
NC, 	1 , 	4 , 	3 , 	4 , 	17 , 	4 , 	13 , 	13 , 	16 , 	1 , 	5 , 	47 , 	3 , 	3 , 	4 , 	2 , 	2 , 	4 , 	21 , 	12 , 	28 , 	7 , 	1 , 	13 , 	3 , 	136 , 	68 , 	125 , 	58 , 	15 , 	10 , 	5 , 	7 , 	9 , 	22 , 	1 , 	2 , 	3 , 	30 , 	3 , 	3 , 	28 , 	6 , 	0 , 	763 ,,,,,,,,,,,
WP, 	38 , 	42 , 	13 , 	12 , 	43 , 	28 , 	108 , 	55 , 	79 , 	14 , 	64 , 	157 , 	25 , 	30 , 	25 , 	16 , 	18 , 	35 , 	236 , 	73 , 	115 , 	27 , 	12 , 	32 , 	30 , 	252 , 	160 , 	379 , 	200 , 	60 , 	68 , 	30 , 	45 , 	46 , 	41 , 	6 , 	9 , 	31 , 	15 , 	15 , 	22 , 	82 , 	22 , 	7 ," 	2,817 ",,,,,,,,,,,
SS, 	7 , 	15 , 	4 , 	2 , 	12 , 	4 , 	8 , 	9 , 	9 , 	5 , 	9 , 	14 , 	7 , 	4 , 	4 , 	5 , 	3 , 	6 , 	8 , 	8 , 	7 , 	6 , 	2 , 	5 , 	8 , 	93 , 	81 , 	328 , 	126 , 	71 , 	77 , 	27 , 	45 , 	48 , 	37 , 	4 , 	6 , 	4 , 	14 , 	6 , 	32 , 	30 , 	21 , 	1 ," 	1,221 ",,,,,,,,,,,
SB, 	11 , 	16 , 	5 , 	4 , 	16 , 	6 , 	9 , 	11 , 	19 , 	7 , 	14 , 	19 , 	7 , 	10 , 	8 , 	6 , 	6 , 	7 , 	10 , 	9 , 	11 , 	4 , 	3 , 	5 , 	10 , 	117 , 	81 , 	356 , 	200 , 	114 , 	147 , 	80 , 	163 , 	132 , 	127 , 	5 , 	4 , 	4 , 	16 , 	41 , 	11 , 	49 , 	40 , 	3 ," 	1,926 ",,,,,,,,,,,
SO, 	26 , 	45 , 	43 , 	68 , 	185 , 	40 , 	81 , 	44 , 	64 , 	18 , 	33 , 	34 , 	22 , 	11 , 	14 , 	4 , 	15 , 	33 , 	63 , 	86 , 	102 , 	56 , 	47 , 	87 , 	44 , 	334 , 	287 ," 	1,419 ", 	465 , 	177 , 	162 , 	82 , 	73 , 	134 , 	109 , 	16 , 	84 , 	25 , 	79 , 	34 , 	55 , 	28 , 	283 , 	22 ," 	5,130 ",,,,,,,,,,,
MB, 	14 , 	23 , 	14 , 	20 , 	117 , 	17 , 	25 , 	28 , 	35 , 	9 , 	19 , 	32 , 	10 , 	9 , 	7 , 	6 , 	3 , 	6 , 	20 , 	19 , 	23 , 	10 , 	8 , 	25 , 	18 , 	242 , 	183 , 	665 , 	324 , 	229 , 	160 , 	70 , 	97 , 	147 , 	315 , 	5 , 	17 , 	3 , 	17 , 	20 , 	37 , 	279 , 	23 , 	4 ," 	3,353 ",,,,,,,,,,,
WD, 	6 , 	5 , 	6 , 	5 , 	26 , 	8 , 	12 , 	12 , 	11 , 	27 , 	45 , 	143 , 	29 , 	83 , 	30 , 	16 , 	17 , 	21 , 	7 , 	1 , 	2 , 	2 , 	1 , 	5 , 	7 , 	228 , 	121 , 	194 , 	95 , 	28 , 	16 , 	8 , 	8 , 	13 , 	30 , 	62 , 	22 , 	0 , 	6 , 	2 , 	4 , 	27 , 	6 , 	9 ," 	1,405 ",,,,,,,,,,,
Entries," 	2,277 "," 	3,859 "," 	2,435 "," 	2,656 "," 	7,609 "," 	3,246 "," 	4,857 "," 	3,795 "," 	4,535 "," 	2,773 "," 	4,736 "," 	5,819 "," 	2,586 "," 	3,265 "," 	2,266 "," 	1,427 "," 	1,734 "," 	3,373 "," 	2,511 "," 	2,284 "," 	3,212 "," 	1,719 "," 	1,397 "," 	3,316 "," 	3,675 "," 	13,081 "," 	8,928 "," 	26,488 "," 	12,221 "," 	9,464 "," 	8,475 "," 	4,363 "," 	6,776 "," 	4,550 "," 	3,971 "," 	1,413 "," 	4,233 ", 	786 ," 	2,629 "," 	1,248 "," 	1,889 "," 	5,905 "," 	3,447 "," 	1,345 "," 	202,575 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
