Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	7 , 	26 , 	22 , 	20 , 	67 , 	23 , 	36 , 	26 , 	40 , 	10 , 	29 , 	28 , 	11 , 	8 , 	7 , 	8 , 	3 , 	4 , 	8 , 	3 , 	8 , 	3 , 	2 , 	5 , 	13 , 	74 , 	82 , 	128 , 	86 , 	67 , 	68 , 	19 , 	19 , 	12 , 	6 , 	1 , 	3 , 	1 , 	4 , 	5 , 	8 , 	7 , 	6 , 	1 , 	2 , 	6 , 	2 , 	3 , 	4 , 	2 ," 	1,036 ",,,,,,,,,,,,,
DC, 	11 , 	17 , 	4 , 	5 , 	8 , 	4 , 	12 , 	13 , 	22 , 	10 , 	18 , 	18 , 	12 , 	8 , 	8 , 	3 , 	3 , 	5 , 	6 , 	6 , 	8 , 	1 , 	2 , 	2 , 	15 , 	117 , 	133 , 	275 , 	158 , 	104 , 	80 , 	18 , 	18 , 	9 , 	8 , 	2 , 	11 , 	1 , 	8 , 	15 , 	33 , 	36 , 	26 , 	3 , 	1 , 	2 , 	2 , 	1 , 	4 , 	15 ," 	1,303 ",,,,,,,,,,,,,
CM, 	4 , 	8 , 	1 , 	2 , 	2 , 	1 , 	6 , 	6 , 	11 , 	2 , 	5 , 	2 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	2 , 	3 , 	1 , 	0 , 	1 , 	5 , 	45 , 	50 , 	96 , 	65 , 	39 , 	40 , 	13 , 	20 , 	9 , 	3 , 	0 , 	2 , 	1 , 	7 , 	4 , 	13 , 	30 , 	16 , 	0 , 	0 , 	0 , 	0 , 	0 , 	3 , 	9 , 	542 ,,,,,,,,,,,,,
CV, 	2 , 	1 , 	2 , 	0 , 	3 , 	2 , 	3 , 	2 , 	3 , 	20 , 	17 , 	9 , 	16 , 	10 , 	3 , 	3 , 	4 , 	5 , 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	4 , 	29 , 	36 , 	39 , 	23 , 	10 , 	6 , 	3 , 	3 , 	3 , 	0 , 	3 , 	28 , 	-   , 	0 , 	3 , 	3 , 	2 , 	1 , 	16 , 	1 , 	2 , 	0 , 	1 , 	0 , 	0 , 	326 ,,,,,,,,,,,,,
ED, 	2 , 	9 , 	1 , 	2 , 	7 , 	3 , 	10 , 	7 , 	9 , 	23 , 	51 , 	27 , 	31 , 	42 , 	16 , 	10 , 	10 , 	10 , 	2 , 	2 , 	1 , 	0 , 	0 , 	1 , 	8 , 	69 , 	54 , 	86 , 	61 , 	21 , 	10 , 	3 , 	8 , 	11 , 	2 , 	26 , 	8 , 	0 , 	2 , 	2 , 	1 , 	10 , 	2 , 	7 , 	7 , 	3 , 	4 , 	4 , 	0 , 	2 , 	688 ,,,,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	0 , 	2 , 	0 , 	5 , 	7 , 	6 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	0 , 	9 , 	5 , 	8 , 	2 , 	1 , 	2 , 	1 , 	17 , 	21 , 	27 , 	26 , 	6 , 	6 , 	1 , 	2 , 	2 , 	1 , 	-   , 	1 , 	1 , 	8 , 	3 , 	1 , 	6 , 	0 , 	0 , 	2 , 	-   , 	0 , 	0 , 	6 , 	6 , 	205 ,,,,,,,,,,,,,
WP, 	3 , 	7 , 	2 , 	3 , 	10 , 	2 , 	34 , 	23 , 	25 , 	2 , 	8 , 	7 , 	5 , 	3 , 	4 , 	4 , 	2 , 	2 , 	48 , 	20 , 	35 , 	5 , 	4 , 	10 , 	6 , 	65 , 	74 , 	116 , 	87 , 	42 , 	37 , 	10 , 	10 , 	11 , 	7 , 	0 , 	2 , 	7 , 	6 , 	4 , 	8 , 	20 , 	2 , 	0 , 	3 , 	2 , 	1 , 	1 , 	5 , 	13 , 	809 ,,,,,,,,,,,,,
SS, 	6 , 	8 , 	2 , 	1 , 	3 , 	2 , 	4 , 	3 , 	9 , 	3 , 	2 , 	3 , 	4 , 	5 , 	3 , 	2 , 	1 , 	1 , 	5 , 	3 , 	2 , 	0 , 	1 , 	1 , 	5 , 	36 , 	29 , 	70 , 	51 , 	29 , 	32 , 	7 , 	17 , 	14 , 	5 , 	3 , 	2 , 	3 , 	5 , 	3 , 	7 , 	14 , 	7 , 	1 , 	-   , 	1 , 	0 , 	0 , 	1 , 	6 , 	419 ,,,,,,,,,,,,,
SB, 	9 , 	8 , 	1 , 	1 , 	4 , 	4 , 	3 , 	5 , 	8 , 	1 , 	6 , 	5 , 	4 , 	5 , 	4 , 	2 , 	1 , 	2 , 	10 , 	4 , 	3 , 	1 , 	0 , 	1 , 	6 , 	21 , 	38 , 	72 , 	48 , 	36 , 	35 , 	20 , 	36 , 	32 , 	10 , 	3 , 	1 , 	2 , 	8 , 	8 , 	3 , 	11 , 	8 , 	0 , 	1 , 	0 , 	1 , 	0 , 	2 , 	4 , 	500 ,,,,,,,,,,,,,
SO, 	6 , 	14 , 	3 , 	3 , 	4 , 	2 , 	9 , 	6 , 	9 , 	4 , 	7 , 	5 , 	7 , 	5 , 	4 , 	2 , 	3 , 	2 , 	19 , 	12 , 	11 , 	4 , 	3 , 	5 , 	9 , 	12 , 	10 , 	38 , 	24 , 	16 , 	13 , 	8 , 	21 , 	36 , 	23 , 	1 , 	8 , 	6 , 	20 , 	10 , 	10 , 	7 , 	25 , 	2 , 	2 , 	1 , 	1 , 	0 , 	4 , 	25 , 	477 ,,,,,,,,,,,,,
MB, 	6 , 	10 , 	4 , 	1 , 	8 , 	2 , 	5 , 	4 , 	8 , 	2 , 	4 , 	5 , 	3 , 	3 , 	3 , 	1 , 	1 , 	1 , 	6 , 	2 , 	2 , 	1 , 	1 , 	1 , 	6 , 	14 , 	26 , 	33 , 	36 , 	20 , 	18 , 	9 , 	25 , 	30 , 	12 , 	1 , 	2 , 	0 , 	2 , 	4 , 	4 , 	27 , 	5 , 	0 , 	1 , 	0 , 	0 , 	0 , 	0 , 	5 , 	367 ,,,,,,,,,,,,,
