Exit stations,Entry stations->,,SUNDAY,,,Dec 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	30 , 	31 , 	12 , 	86 , 	20 , 	37 , 	23 , 	21 , 	11 , 	21 , 	15 , 	11 , 	7 , 	11 , 	3 , 	2 , 	3 , 	6 , 	4 , 	6 , 	4 , 	2 , 	7 , 	11 , 	57 , 	37 , 	122 , 	43 , 	37 , 	40 , 	12 , 	14 , 	9 , 	3 , 	1 , 	3 , 	0 , 	2 , 	5 , 	5 , 	26 , 	5 , 	0 , 	4 , 	2 , 	6 , 	5 , 	3 , 	3 , 	843 ,,,,,,,,,,,
GP, 	12 , 	15 , 	10 , 	9 , 	27 , 	15 , 	13 , 	19 , 	19 , 	12 , 	11 , 	6 , 	7 , 	9 , 	3 , 	3 , 	2 , 	6 , 	8 , 	7 , 	13 , 	7 , 	4 , 	15 , 	16 , 	94 , 	85 , 	319 , 	101 , 	76 , 	81 , 	9 , 	9 , 	18 , 	14 , 	3 , 	10 , 	1 , 	8 , 	9 , 	17 , 	57 , 	18 , 	6 , 	6 , 	2 , 	4 , 	4 , 	1 , 	9 ," 	1,230 ",,,,,,,,,,,
BP, 	14 , 	12 , 	5 , 	3 , 	8 , 	7 , 	9 , 	11 , 	10 , 	9 , 	11 , 	6 , 	10 , 	5 , 	2 , 	4 , 	4 , 	4 , 	5 , 	5 , 	5 , 	2 , 	1 , 	5 , 	13 , 	84 , 	73 , 	361 , 	89 , 	62 , 	60 , 	9 , 	8 , 	13 , 	21 , 	3 , 	8 , 	2 , 	5 , 	10 , 	21 , 	37 , 	19 , 	3 , 	3 , 	1 , 	5 , 	3 , 	0 , 	4 ," 	1,075 ",,,,,,,,,,,
DC, 	11 , 	11 , 	5 , 	4 , 	17 , 	5 , 	10 , 	14 , 	10 , 	11 , 	11 , 	4 , 	10 , 	6 , 	4 , 	4 , 	7 , 	5 , 	8 , 	4 , 	5 , 	3 , 	2 , 	6 , 	16 , 	135 , 	79 , 	342 , 	121 , 	96 , 	77 , 	16 , 	19 , 	16 , 	15 , 	4 , 	14 , 	1 , 	8 , 	18 , 	38 , 	131 , 	47 , 	5 , 	3 , 	3 , 	6 , 	9 , 	2 , 	5 ," 	1,403 ",,,,,,,,,,,
CM, 	5 , 	7 , 	2 , 	1 , 	3 , 	0 , 	4 , 	3 , 	4 , 	1 , 	3 , 	1 , 	1 , 	2 , 	2 , 	1 , 	0 , 	1 , 	3 , 	1 , 	3 , 	1 , 	1 , 	2 , 	3 , 	27 , 	24 , 	108 , 	41 , 	31 , 	32 , 	13 , 	18 , 	16 , 	8 , 	1 , 	0 , 	0 , 	3 , 	4 , 	15 , 	46 , 	11 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	4 , 	464 ,,,,,,,,,,,
CV, 	1 , 	3 , 	0 , 	1 , 	5 , 	1 , 	3 , 	4 , 	3 , 	18 , 	18 , 	6 , 	13 , 	12 , 	5 , 	2 , 	2 , 	3 , 	1 , 	3 , 	1 , 	0 , 	0 , 	2 , 	4 , 	53 , 	32 , 	71 , 	27 , 	12 , 	9 , 	4 , 	3 , 	5 , 	2 , 	5 , 	27 , 	-   , 	0 , 	0 , 	1 , 	9 , 	1 , 	36 , 	3 , 	2 , 	3 , 	2 , 	-   , 	1 , 	419 ,,,,,,,,,,,
ED, 	2 , 	5 , 	3 , 	3 , 	20 , 	5 , 	7 , 	9 , 	7 , 	28 , 	25 , 	18 , 	22 , 	32 , 	23 , 	9 , 	8 , 	12 , 	3 , 	2 , 	2 , 	1 , 	-   , 	5 , 	12 , 	156 , 	76 , 	191 , 	85 , 	29 , 	18 , 	11 , 	11 , 	15 , 	1 , 	25 , 	17 , 	-   , 	1 , 	1 , 	3 , 	56 , 	2 , 	9 , 	26 , 	3 , 	15 , 	17 , 	1 , 	1 ," 	1,034 ",,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	0 , 	2 , 	0 , 	3 , 	2 , 	4 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	5 , 	2 , 	8 , 	2 , 	0 , 	5 , 	0 , 	16 , 	9 , 	23 , 	10 , 	4 , 	3 , 	2 , 	2 , 	2 , 	1 , 	0 , 	0 , 	2 , 	4 , 	0 , 	-   , 	15 , 	0 , 	-   , 	2 , 	0 , 	0 , 	1 , 	4 , 	5 , 	149 ,,,,,,,,,,,
WP, 	3 , 	7 , 	2 , 	1 , 	3 , 	1 , 	13 , 	8 , 	7 , 	2 , 	7 , 	4 , 	2 , 	3 , 	2 , 	1 , 	2 , 	1 , 	49 , 	20 , 	42 , 	8 , 	4 , 	10 , 	4 , 	36 , 	35 , 	89 , 	26 , 	15 , 	16 , 	9 , 	7 , 	10 , 	3 , 	1 , 	2 , 	3 , 	7 , 	1 , 	2 , 	33 , 	2 , 	1 , 	5 , 	2 , 	2 , 	2 , 	2 , 	7 , 	523 ,,,,,,,,,,,
SS, 	5 , 	4 , 	1 , 	1 , 	3 , 	2 , 	3 , 	3 , 	5 , 	2 , 	1 , 	1 , 	1 , 	3 , 	0 , 	-   , 	1 , 	1 , 	2 , 	2 , 	4 , 	0 , 	1 , 	2 , 	3 , 	29 , 	15 , 	87 , 	44 , 	28 , 	25 , 	10 , 	12 , 	23 , 	6 , 	1 , 	2 , 	2 , 	3 , 	7 , 	10 , 	28 , 	7 , 	-   , 	1 , 	0 , 	1 , 	1 , 	-   , 	3 , 	397 ,,,,,,,,,,,
SB, 	4 , 	4 , 	2 , 	1 , 	6 , 	2 , 	3 , 	4 , 	13 , 	2 , 	3 , 	4 , 	3 , 	4 , 	2 , 	1 , 	0 , 	1 , 	6 , 	3 , 	3 , 	1 , 	0 , 	4 , 	6 , 	36 , 	24 , 	99 , 	56 , 	33 , 	40 , 	11 , 	22 , 	45 , 	15 , 	1 , 	3 , 	1 , 	1 , 	10 , 	9 , 	67 , 	6 , 	-   , 	0 , 	1 , 	1 , 	1 , 	1 , 	4 , 	571 ,,,,,,,,,,,
