Exit stations,Entry stations->,,TOTAL,,,Dec 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	482 ," 	1,690 "," 	1,540 ", 	847 ," 	5,216 "," 	1,237 "," 	1,891 "," 	1,394 "," 	1,642 ", 	484 ," 	1,210 ", 	903 , 	584 , 	306 , 	427 , 	230 , 	135 , 	242 , 	317 , 	167 , 	360 , 	188 , 	147 , 	282 , 	445 ," 	4,125 "," 	3,319 "," 	6,021 "," 	3,307 "," 	2,258 "," 	2,453 ", 	671 , 	803 , 	773 , 	264 , 	73 , 	128 , 	54 , 	169 , 	219 , 	302 ," 	1,090 ", 	315 , 	57 , 	203 , 	256 , 	206 , 	212 , 	103 , 	239 ," 	49,986 ",,,,,,,,,,,,,
WP, 	199 , 	244 , 	101 , 	85 , 	525 , 	110 ," 	1,469 ", 	899 ," 	1,435 ", 	189 , 	277 , 	285 , 	197 , 	110 , 	203 , 	77 , 	104 , 	136 ," 	2,818 "," 	1,049 "," 	2,068 ", 	436 , 	251 , 	540 , 	217 ," 	4,049 "," 	4,143 "," 	6,593 "," 	4,182 "," 	1,708 "," 	1,395 ", 	518 , 	434 , 	561 , 	203 , 	29 , 	81 , 	362 , 	340 , 	132 , 	230 ," 	1,519 ", 	198 , 	13 , 	251 , 	99 , 	76 , 	80 , 	176 , 	413 ," 	41,809 ",,,,,,,,,,,,,
SS, 	252 , 	422 , 	82 , 	68 , 	328 , 	95 , 	215 , 	442 , 	679 , 	93 , 	148 , 	109 , 	140 , 	166 , 	83 , 	80 , 	74 , 	25 , 	181 , 	170 , 	214 , 	64 , 	66 , 	181 , 	234 ," 	3,351 "," 	3,480 "," 	4,735 "," 	3,523 "," 	1,654 "," 	1,522 ", 	616 , 	901 ," 	1,355 ", 	291 , 	50 , 	139 , 	93 , 	158 , 	252 , 	483 ," 	1,008 ", 	550 , 	27 , 	28 , 	50 , 	28 , 	14 , 	11 , 	265 ," 	29,195 ",,,,,,,,,,,,,
SB, 	315 , 	374 , 	150 , 	57 , 	328 , 	165 , 	240 , 	421 , 	650 , 	166 , 	244 , 	230 , 	144 , 	156 , 	128 , 	45 , 	34 , 	89 , 	282 , 	199 , 	270 , 	87 , 	55 , 	167 , 	394 ," 	2,858 "," 	3,273 "," 	4,652 "," 	3,599 "," 	1,876 "," 	1,884 ", 	859 ," 	1,499 "," 	2,181 ", 	698 , 	49 , 	133 , 	93 , 	245 , 	510 , 	279 ," 	1,954 ", 	394 , 	34 , 	31 , 	32 , 	9 , 	17 , 	70 , 	248 ," 	32,867 ",,,,,,,,,,,,,
SO," 	1,204 "," 	1,459 "," 	1,110 "," 	1,633 "," 	4,053 "," 	1,214 "," 	1,760 "," 	1,599 "," 	1,780 ", 	420 , 	882 , 	254 , 	414 , 	280 , 	194 , 	98 , 	210 , 	371 ," 	1,556 "," 	2,155 "," 	2,644 "," 	1,559 "," 	1,077 "," 	2,081 "," 	1,928 "," 	4,300 "," 	4,493 "," 	16,274 "," 	5,418 "," 	3,531 "," 	2,443 "," 	1,720 "," 	1,473 "," 	3,401 "," 	1,205 ", 	196 ," 	1,672 ", 	504 ," 	1,314 ", 	791 ," 	1,397 "," 	2,154 "," 	7,778 ", 	424 , 	234 , 	178 , 	190 , 	123 , 	128 ," 	1,155 "," 	94,431 ",,,,,,,,,,,,,
MB, 	345 , 	584 , 	231 , 	209 ," 	1,046 ", 	208 , 	368 , 	651 , 	659 , 	123 , 	183 , 	168 , 	96 , 	121 , 	74 , 	41 , 	66 , 	23 , 	196 , 	121 , 	210 , 	58 , 	45 , 	106 , 	342 ," 	3,639 "," 	3,797 "," 	4,934 "," 	3,464 "," 	2,077 "," 	1,691 ", 	874 ," 	1,405 "," 	2,424 ", 	881 , 	53 , 	172 , 	39 , 	188 , 	484 , 	371 ," 	7,702 ", 	881 , 	48 , 	44 , 	8 , 	19 , 	7 , 	29 , 	160 ," 	41,665 ",,,,,,,,,,,,,
WD, 	97 , 	183 , 	81 , 	52 , 	297 , 	89 , 	252 , 	484 , 	445 , 	867 , 	975 , 	285 , 	878 , 	995 , 	575 , 	404 , 	363 , 	337 , 	71 , 	24 , 	17 , 	7 , 	7 , 	34 , 	137 ," 	4,933 "," 	3,268 "," 	2,824 "," 	2,049 ", 	644 , 	374 , 	214 , 	232 , 	309 , 	17 ," 	1,368 ", 	508 , 	2 , 	34 , 	28 , 	44 , 	654 , 	49 , 	232 , 	352 , 	143 , 	204 , 	253 , 	16 , 	27 ," 	26,734 ",,,,,,,,,,,,,
OA, 	159 , 	537 , 	352 , 	440 ," 	1,663 ", 	365 , 	373 , 	411 , 	424 , 	275 , 	179 , 	228 , 	111 , 	68 , 	159 , 	84 , 	188 , 	262 , 	322 , 	446 , 	414 , 	220 , 	129 , 	165 , 	133 ," 	1,517 ", 	915 ," 	1,300 ", 	725 , 	339 , 	279 , 	203 , 	135 , 	179 , 	13 , 	62 , 	774 , 	105 , 	231 , 	33 , 	38 , 	292 , 	47 , 	302 , 	283 , 	125 , 	190 , 	151 , 	39 , 	246 ," 	16,630 ",,,,,,,,,,,,,
WS, 	299 , 	395 , 	96 , 	141 , 	504 , 	168 , 	501 , 	716 , 	549 , 	755 , 	960 , 	768 , 	953 , 	809 ," 	1,317 "," 	1,154 "," 	1,193 "," 	1,315 ", 	100 , 	93 , 	59 , 	58 , 	14 , 	64 , 	193 ," 	1,899 "," 	1,362 "," 	1,322 ", 	919 , 	430 , 	181 , 	81 , 	169 , 	170 , 	31 , 	198 , 	295 , 	39 , 	101 , 	42 , 	44 , 	276 , 	8 , 	124 , 	90 , 	226 ," 	1,504 "," 	1,346 ", 	50 , 	134 ," 	24,215 ",,,,,,,,,,,,,
ML, 	256 , 	355 , 	163 , 	187 ," 	1,077 ", 	255 , 	396 , 	684 , 	567 , 	648 , 	642 , 	377 , 	782 , 	657 ," 	1,194 ", 	797 ," 	1,333 "," 	2,035 ", 	175 , 	118 , 	124 , 	37 , 	56 , 	113 , 	129 ," 	2,540 "," 	1,964 "," 	2,247 "," 	1,284 ", 	407 , 	297 , 	147 , 	180 , 	328 , 	22 , 	126 , 	483 , 	16 , 	65 , 	29 , 	11 , 	279 , 	19 , 	222 , 	123 ," 	1,640 ", 	509 , 	549 , 	12 , 	114 ," 	26,770 ",,,,,,,,,,,,,
BE, 	238 , 	529 , 	227 , 	273 ," 	1,748 ", 	367 , 	655 , 	922 , 	832 , 	718 , 	775 , 	488 , 	780 , 	639 ," 	1,118 ", 	802 ," 	1,195 "," 	1,778 ", 	182 , 	161 , 	133 , 	61 , 	67 , 	136 , 	181 ," 	2,781 "," 	1,988 "," 	2,365 "," 	1,441 ", 	625 , 	335 , 	172 , 	202 , 	319 , 	27 , 	127 , 	694 , 	44 , 	112 , 	13 , 	19 , 	217 , 	10 , 	271 , 	139 ," 	1,639 ", 	445 , 	428 , 	25 , 	109 ," 	29,552 ",,,,,,,,,,,,,
PC, 	115 , 	74 , 	20 , 	27 , 	195 , 	55 , 	386 , 	385 , 	319 , 	121 , 	133 , 	144 , 	57 , 	57 , 	71 , 	27 , 	30 , 	101 ," 	1,424 ", 	470 , 	727 , 	103 , 	145 , 	207 , 	169 , 	541 , 	516 ," 	1,075 ", 	587 , 	371 , 	201 , 	61 , 	139 , 	139 , 	49 , 	6 , 	28 , 	296 , 	195 , 	37 , 	91 , 	130 , 	29 , 	20 , 	53 , 	46 , 	14 , 	30 , 	51 , 	517 ," 	10,784 ",,,,,,,,,,,,,
AN, 	232 , 	222 , 	60 , 	69 , 	454 , 	131 ," 	1,251 "," 	1,022 "," 	1,435 ", 	229 , 	327 , 	447 , 	281 , 	141 , 	258 , 	93 , 	90 , 	130 ," 	1,670 ", 	828 ," 	1,421 ", 	243 , 	135 , 	489 , 	273 ," 	3,593 "," 	3,220 "," 	3,733 "," 	3,087 "," 	1,096 ", 	881 , 	544 , 	460 , 	486 , 	291 , 	47 , 	77 , 	299 , 	468 , 	263 , 	235 ," 	1,310 ", 	206 , 	25 , 	367 , 	111 , 	93 , 	134 , 	499 , 	376 ," 	33,832 ",,,,,,,,,,,,,
Entries," 	53,862 "," 	77,830 "," 	45,687 "," 	41,686 "," 	104,218 "," 	44,563 "," 	82,308 "," 	98,679 "," 	103,357 "," 	59,992 "," 	84,854 "," 	45,040 "," 	68,213 "," 	56,155 "," 	45,786 "," 	30,543 "," 	36,604 "," 	41,652 "," 	54,565 "," 	49,832 "," 	60,903 "," 	35,088 "," 	27,319 "," 	54,460 "," 	83,324 "," 	286,070 "," 	242,020 "," 	335,453 "," 	210,770 "," 	129,226 "," 	126,133 "," 	73,670 "," 	89,281 "," 	92,053 "," 	32,013 "," 	25,958 "," 	63,146 "," 	13,000 "," 	40,336 "," 	28,458 "," 	31,407 "," 	104,532 "," 	44,712 "," 	26,091 "," 	16,473 "," 	25,918 "," 	26,884 "," 	28,239 "," 	11,484 "," 	36,136 "," 	3,625,983 ",,,,,,,,,,,,,
