Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	37 , 	51 , 	10 , 	13 , 	46 , 	18 , 	30 , 	27 , 	66 , 	31 , 	46 , 	44 , 	26 , 	22 , 	15 , 	11 , 	18 , 	21 , 	23 , 	12 , 	9 , 	6 , 	6 , 	8 , 	25 , 	276 , 	457 ," 	2,733 ", 	706 , 	404 , 	477 , 	68 , 	53 , 	62 , 	108 , 	5 , 	17 , 	3 , 	35 ," 	6,024 ",,,,,,,,,,
DC, 	29 , 	48 , 	14 , 	13 , 	84 , 	14 , 	28 , 	26 , 	66 , 	21 , 	47 , 	61 , 	28 , 	23 , 	17 , 	14 , 	19 , 	29 , 	28 , 	25 , 	21 , 	13 , 	10 , 	19 , 	33 , 	324 , 	255 , 	969 , 	281 , 	167 , 	245 , 	39 , 	70 , 	16 , 	40 , 	13 , 	46 , 	9 , 	29 ," 	3,228 ",,,,,,,,,,
CM, 	32 , 	34 , 	12 , 	15 , 	52 , 	16 , 	20 , 	23 , 	50 , 	13 , 	21 , 	34 , 	9 , 	13 , 	14 , 	8 , 	10 , 	12 , 	44 , 	30 , 	28 , 	11 , 	12 , 	18 , 	14 , 	261 , 	191 , 	710 , 	273 , 	125 , 	222 , 	65 , 	117 , 	46 , 	11 , 	5 , 	24 , 	7 , 	53 ," 	2,649 ",,,,,,,,,,
CV, 	6 , 	5 , 	4 , 	2 , 	20 , 	5 , 	5 , 	8 , 	13 , 	25 , 	38 , 	103 , 	31 , 	54 , 	20 , 	10 , 	11 , 	14 , 	2 , 	1 , 	3 , 	0 , 	-   , 	2 , 	12 , 	181 , 	79 , 	155 , 	47 , 	9 , 	12 , 	6 , 	8 , 	9 , 	5 , 	3 , 	70 , 	1 , 	2 , 	975 ,,,,,,,,,,
ED, 	11 , 	20 , 	7 , 	7 , 	73 , 	13 , 	17 , 	21 , 	33 , 	50 , 	86 , 	328 , 	54 , 	112 , 	42 , 	25 , 	27 , 	38 , 	7 , 	6 , 	5 , 	1 , 	3 , 	7 , 	30 , 	773 , 	299 , 	622 , 	159 , 	32 , 	35 , 	17 , 	18 , 	46 , 	21 , 	78 , 	17 , 	1 , 	4 ," 	3,141 ",,,,,,,,,,
NC, 	4 , 	5 , 	3 , 	1 , 	12 , 	2 , 	4 , 	3 , 	9 , 	2 , 	4 , 	35 , 	2 , 	5 , 	3 , 	1 , 	3 , 	6 , 	35 , 	10 , 	24 , 	5 , 	3 , 	6 , 	5 , 	144 , 	54 , 	86 , 	25 , 	3 , 	10 , 	10 , 	4 , 	12 , 	8 , 	1 , 	6 , 	4 , 	33 , 	586 ,,,,,,,,,,
WP, 	28 , 	36 , 	7 , 	4 , 	43 , 	11 , 	55 , 	32 , 	68 , 	8 , 	34 , 	91 , 	15 , 	20 , 	14 , 	14 , 	12 , 	27 , 	265 , 	55 , 	92 , 	23 , 	11 , 	31 , 	16 , 	197 , 	98 , 	254 , 	99 , 	45 , 	94 , 	32 , 	39 , 	44 , 	73 , 	2 , 	4 , 	40 , 	11 ," 	2,048 ",,,,,,,,,,
Entries," 	2,157 "," 	3,461 "," 	1,904 "," 	1,877 "," 	6,043 "," 	2,373 "," 	3,037 "," 	2,219 "," 	4,419 "," 	2,215 "," 	3,933 "," 	4,896 "," 	2,284 "," 	2,480 "," 	2,062 "," 	1,243 "," 	1,634 "," 	2,831 "," 	2,438 "," 	1,845 "," 	2,404 "," 	1,306 "," 	1,065 "," 	2,252 "," 	2,352 "," 	9,256 "," 	6,789 "," 	19,602 "," 	7,526 "," 	5,434 "," 	7,189 "," 	3,520 "," 	6,350 "," 	3,379 "," 	2,733 "," 	1,019 "," 	3,290 ", 	638 ," 	1,810 "," 	143,268 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
