Exit stations,Entry stations->,,WEEKDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
24, 	165 , 	176 , 	60 , 	90 , 	209 , 	114 , 	207 , 	298 , 	270 , 	144 , 	210 , 	140 , 	93 , 	76 , 	58 , 	43 , 	31 , 	30 , 	79 , 	75 , 	62 , 	32 , 	31 , 	95 , 	222 ," 	1,650 "," 	2,043 "," 	1,851 "," 	1,005 ", 	210 , 	47 , 	257 , 	494 , 	267 , 	127 , 	26 , 	75 , 	32 , 	95 , 	99 , 	110 , 	162 , 	210 , 	32 , 	21 , 	30 , 	-   , 	-   , 	24 , 	48 ," 	11,925 ",,,,,,,,,,,,,
GP, 	41 , 	71 , 	28 , 	31 , 	110 , 	38 , 	78 , 	158 , 	178 , 	54 , 	74 , 	66 , 	44 , 	30 , 	30 , 	14 , 	10 , 	15 , 	41 , 	49 , 	40 , 	13 , 	18 , 	47 , 	68 ," 	1,121 "," 	1,373 "," 	1,163 ", 	697 , 	306 , 	254 , 	22 , 	122 , 	68 , 	47 , 	12 , 	63 , 	20 , 	35 , 	34 , 	67 , 	105 , 	123 , 	22 , 	14 , 	12 , 	-   , 	-   , 	15 , 	34 ," 	7,072 ",,,,,,,,,,,,,
BP, 	65 , 	84 , 	35 , 	36 , 	90 , 	40 , 	81 , 	121 , 	154 , 	71 , 	83 , 	66 , 	62 , 	47 , 	32 , 	16 , 	16 , 	19 , 	45 , 	39 , 	35 , 	8 , 	15 , 	51 , 	88 ," 	1,339 "," 	1,757 "," 	2,242 "," 	1,129 ", 	525 , 	481 , 	119 , 	36 , 	81 , 	68 , 	19 , 	55 , 	11 , 	37 , 	63 , 	103 , 	127 , 	140 , 	24 , 	10 , 	15 , 	-   , 	-   , 	15 , 	43 ," 	9,834 ",,,,,,,,,,,,,
DC, 	92 , 	150 , 	55 , 	41 , 	99 , 	42 , 	82 , 	141 , 	208 , 	109 , 	131 , 	128 , 	108 , 	70 , 	58 , 	46 , 	54 , 	52 , 	96 , 	70 , 	61 , 	23 , 	18 , 	37 , 	75 ," 	1,325 "," 	1,737 "," 	1,401 ", 	844 , 	335 , 	304 , 	68 , 	102 , 	29 , 	44 , 	34 , 	113 , 	44 , 	71 , 	73 , 	126 , 	220 , 	255 , 	46 , 	17 , 	37 , 	-   , 	-   , 	24 , 	70 ," 	9,363 ",,,,,,,,,,,,,
CM, 	16 , 	26 , 	4 , 	8 , 	31 , 	10 , 	22 , 	72 , 	121 , 	10 , 	9 , 	11 , 	8 , 	9 , 	5 , 	5 , 	5 , 	3 , 	26 , 	12 , 	13 , 	4 , 	2 , 	5 , 	13 , 	867 ," 	1,007 ", 	627 , 	483 , 	154 , 	125 , 	44 , 	73 , 	36 , 	13 , 	3 , 	17 , 	3 , 	14 , 	21 , 	45 , 	148 , 	85 , 	4 , 	3 , 	2 , 	-   , 	-   , 	9 , 	18 ," 	4,253 ",,,,,,,,,,,,,
CV, 	5 , 	9 , 	7 , 	7 , 	60 , 	9 , 	25 , 	78 , 	113 , 	117 , 	50 , 	74 , 	37 , 	43 , 	18 , 	13 , 	17 , 	22 , 	5 , 	3 , 	5 , 	2 , 	3 , 	5 , 	10 , 	524 , 	574 , 	276 , 	269 , 	78 , 	32 , 	16 , 	20 , 	37 , 	3 , 	8 , 	86 , 	1 , 	1 , 	3 , 	6 , 	25 , 	7 , 	58 , 	7 , 	16 , 	-   , 	-   , 	0 , 	1 ," 	2,783 ",,,,,,,,,,,,,
ED, 	14 , 	27 , 	11 , 	13 , 	113 , 	21 , 	68 , 	223 , 	267 , 	182 , 	131 , 	182 , 	107 , 	130 , 	64 , 	37 , 	56 , 	49 , 	10 , 	6 , 	4 , 	2 , 	2 , 	10 , 	31 ," 	2,069 "," 	1,803 ", 	742 , 	676 , 	240 , 	90 , 	72 , 	63 , 	117 , 	19 , 	91 , 	42 , 	1 , 	3 , 	24 , 	13 , 	137 , 	18 , 	50 , 	71 , 	38 , 	-   , 	-   , 	2 , 	3 ," 	8,142 ",,,,,,,,,,,,,
NC, 	4 , 	6 , 	4 , 	5 , 	34 , 	6 , 	48 , 	119 , 	128 , 	9 , 	6 , 	16 , 	6 , 	3 , 	7 , 	2 , 	3 , 	4 , 	44 , 	32 , 	45 , 	9 , 	7 , 	21 , 	5 , 	315 , 	345 , 	202 , 	217 , 	69 , 	35 , 	17 , 	15 , 	37 , 	2 , 	1 , 	1 , 	8 , 	21 , 	9 , 	13 , 	49 , 	7 , 	1 , 	13 , 	7 , 	-   , 	-   , 	13 , 	20 ," 	1,988 ",,,,,,,,,,,,,
WP, 	18 , 	15 , 	7 , 	10 , 	70 , 	14 , 	145 , 	174 , 	231 , 	26 , 	25 , 	44 , 	15 , 	8 , 	20 , 	7 , 	7 , 	7 , 	158 , 	82 , 	126 , 	25 , 	14 , 	41 , 	16 , 	522 , 	498 , 	448 , 	402 , 	160 , 	109 , 	51 , 	54 , 	76 , 	15 , 	1 , 	4 , 	20 , 	22 , 	20 , 	27 , 	116 , 	16 , 	1 , 	19 , 	16 , 	-   , 	-   , 	19 , 	26 ," 	3,947 ",,,,,,,,,,,,,
SS, 	14 , 	26 , 	6 , 	9 , 	33 , 	7 , 	29 , 	65 , 	89 , 	10 , 	12 , 	19 , 	13 , 	12 , 	6 , 	4 , 	4 , 	5 , 	22 , 	23 , 	23 , 	8 , 	5 , 	13 , 	21 , 	618 , 	733 , 	452 , 	385 , 	135 , 	111 , 	33 , 	66 , 	69 , 	22 , 	5 , 	23 , 	8 , 	16 , 	13 , 	30 , 	63 , 	63 , 	7 , 	3 , 	5 , 	-   , 	-   , 	7 , 	23 ," 	3,363 ",,,,,,,,,,,,,
