Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
CV, 	2 , 	2 , 	1 , 	2 , 	13 , 	3 , 	4 , 	5 , 	9 , 	22 , 	22 , 	124 , 	19 , 	31 , 	11 , 	6 , 	5 , 	11 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	2 , 	60 , 	54 , 	195 , 	46 , 	13 , 	7 , 	7 , 	8 , 	5 , 	8 , 	3 , 	51 , 	0 , 	2 , 	762 ,,,,,,,,,,
ED, 	8 , 	7 , 	4 , 	4 , 	24 , 	7 , 	14 , 	14 , 	17 , 	31 , 	48 , 	202 , 	29 , 	82 , 	31 , 	16 , 	12 , 	26 , 	7 , 	3 , 	3 , 	2 , 	0 , 	4 , 	10 , 	223 , 	162 , 	760 , 	167 , 	22 , 	25 , 	15 , 	38 , 	31 , 	37 , 	54 , 	13 , 	1 , 	4 ," 	2,156 ",,,,,,,,,,
NC, 	3 , 	1 , 	1 , 	1 , 	7 , 	0 , 	6 , 	6 , 	10 , 	1 , 	2 , 	38 , 	2 , 	2 , 	2 , 	1 , 	1 , 	5 , 	10 , 	7 , 	18 , 	5 , 	3 , 	6 , 	1 , 	30 , 	24 , 	87 , 	27 , 	3 , 	6 , 	6 , 	13 , 	5 , 	8 , 	2 , 	1 , 	3 , 	19 , 	371 ,,,,,,,,,,
WP, 	16 , 	21 , 	6 , 	5 , 	18 , 	8 , 	42 , 	18 , 	43 , 	4 , 	22 , 	89 , 	12 , 	11 , 	16 , 	9 , 	14 , 	19 , 	122 , 	34 , 	52 , 	9 , 	5 , 	18 , 	7 , 	81 , 	64 , 	238 , 	71 , 	24 , 	49 , 	24 , 	41 , 	38 , 	50 , 	3 , 	5 , 	23 , 	16 ," 	1,347 ",,,,,,,,,,
Entries," 	1,496 "," 	1,863 "," 	1,224 "," 	1,224 "," 	3,214 "," 	1,474 "," 	1,993 "," 	1,440 "," 	2,686 "," 	1,404 "," 	3,404 "," 	5,070 "," 	1,615 "," 	1,861 "," 	1,282 ", 	762 ," 	1,060 "," 	1,758 "," 	1,419 "," 	1,137 "," 	1,647 ", 	864 , 	720 ," 	1,531 "," 	1,412 "," 	3,872 "," 	3,757 "," 	16,528 "," 	5,393 "," 	3,277 "," 	4,405 "," 	2,184 "," 	3,888 "," 	2,166 "," 	2,110 ", 	766 ," 	2,143 ", 	399 ," 	1,289 "," 	95,738 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
