Exit stations,Entry stations->,,SATURDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
GP, 	9 , 	12 , 	7 , 	9 , 	51 , 	8 , 	20 , 	28 , 	24 , 	11 , 	14 , 	26 , 	6 , 	11 , 	5 , 	3 , 	3 , 	4 , 	8 , 	7 , 	12 , 	6 , 	2 , 	23 , 	20 , 	103 , 	79 , 	259 , 	81 , 	82 , 	72 , 	12 , 	16 , 	22 , 	19 , 	4 , 	6 , 	2 , 	12 , 	7 , 	25 , 	45 , 	28 , 	3 , 	4 , 	2 , 	2 , 	6 , 	1 , 	6 ," 	1,220 ",,,,,,,,,,
BP, 	17 , 	12 , 	4 , 	7 , 	25 , 	5 , 	16 , 	29 , 	24 , 	21 , 	21 , 	21 , 	13 , 	9 , 	8 , 	3 , 	2 , 	4 , 	10 , 	4 , 	5 , 	2 , 	2 , 	8 , 	19 , 	136 , 	107 , 	480 , 	110 , 	97 , 	95 , 	15 , 	13 , 	18 , 	28 , 	2 , 	10 , 	1 , 	10 , 	12 , 	40 , 	46 , 	32 , 	4 , 	3 , 	2 , 	4 , 	5 , 	2 , 	9 ," 	1,568 ",,,,,,,,,,
DC, 	11 , 	15 , 	6 , 	9 , 	41 , 	8 , 	14 , 	27 , 	19 , 	12 , 	23 , 	78 , 	11 , 	7 , 	7 , 	5 , 	8 , 	3 , 	15 , 	7 , 	10 , 	2 , 	2 , 	12 , 	15 , 	119 , 	94 , 	400 , 	139 , 	119 , 	109 , 	17 , 	22 , 	23 , 	14 , 	3 , 	20 , 	3 , 	8 , 	19 , 	38 , 	94 , 	42 , 	3 , 	4 , 	5 , 	5 , 	7 , 	3 , 	9 ," 	1,679 ",,,,,,,,,,
CM, 	6 , 	5 , 	2 , 	2 , 	7 , 	2 , 	2 , 	7 , 	6 , 	1 , 	3 , 	8 , 	2 , 	3 , 	4 , 	4 , 	2 , 	2 , 	3 , 	3 , 	3 , 	1 , 	0 , 	4 , 	5 , 	37 , 	29 , 	136 , 	57 , 	38 , 	50 , 	16 , 	20 , 	15 , 	6 , 	-   , 	1 , 	2 , 	7 , 	3 , 	19 , 	64 , 	14 , 	0 , 	0 , 	1 , 	1 , 	1 , 	1 , 	3 , 	606 ,,,,,,,,,,
CV, 	2 , 	2 , 	2 , 	1 , 	14 , 	1 , 	2 , 	6 , 	6 , 	17 , 	19 , 	29 , 	13 , 	14 , 	6 , 	4 , 	3 , 	5 , 	1 , 	0 , 	2 , 	0 , 	-   , 	2 , 	3 , 	44 , 	32 , 	52 , 	30 , 	14 , 	5 , 	6 , 	4 , 	4 , 	0 , 	7 , 	21 , 	1 , 	0 , 	1 , 	3 , 	7 , 	1 , 	17 , 	2 , 	2 , 	1 , 	1 , 	0 , 	0 , 	407 ,,,,,,,,,,
ED, 	2 , 	5 , 	3 , 	4 , 	59 , 	7 , 	10 , 	12 , 	11 , 	35 , 	39 , 	112 , 	25 , 	26 , 	14 , 	6 , 	10 , 	10 , 	5 , 	1 , 	1 , 	1 , 	-   , 	2 , 	8 , 	233 , 	104 , 	159 , 	79 , 	36 , 	16 , 	11 , 	12 , 	23 , 	1 , 	19 , 	26 , 	1 , 	2 , 	1 , 	2 , 	28 , 	6 , 	11 , 	25 , 	4 , 	7 , 	7 , 	1 , 	4 ," 	1,220 ",,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	6 , 	1 , 	4 , 	3 , 	3 , 	1 , 	2 , 	8 , 	2 , 	1 , 	1 , 	1 , 	-   , 	-   , 	9 , 	5 , 	9 , 	3 , 	1 , 	3 , 	1 , 	29 , 	16 , 	40 , 	12 , 	5 , 	7 , 	2 , 	2 , 	4 , 	2 , 	-   , 	-   , 	5 , 	8 , 	1 , 	1 , 	22 , 	2 , 	-   , 	3 , 	-   , 	0 , 	2 , 	4 , 	3 , 	232 ,,,,,,,,,,
WP, 	4 , 	6 , 	1 , 	2 , 	12 , 	2 , 	14 , 	13 , 	7 , 	3 , 	9 , 	15 , 	4 , 	3 , 	2 , 	2 , 	2 , 	2 , 	47 , 	20 , 	35 , 	11 , 	6 , 	8 , 	3 , 	53 , 	42 , 	103 , 	26 , 	19 , 	23 , 	12 , 	13 , 	10 , 	8 , 	-   , 	2 , 	6 , 	12 , 	3 , 	3 , 	29 , 	4 , 	-   , 	7 , 	2 , 	2 , 	5 , 	5 , 	7 , 	622 ,,,,,,,,,,
SS, 	5 , 	6 , 	2 , 	2 , 	7 , 	1 , 	4 , 	5 , 	5 , 	1 , 	1 , 	5 , 	2 , 	1 , 	1 , 	-   , 	1 , 	1 , 	5 , 	4 , 	3 , 	2 , 	1 , 	3 , 	4 , 	35 , 	16 , 	81 , 	33 , 	30 , 	37 , 	7 , 	11 , 	22 , 	4 , 	1 , 	2 , 	1 , 	3 , 	7 , 	10 , 	25 , 	8 , 	-   , 	1 , 	1 , 	1 , 	0 , 	1 , 	4 , 	406 ,,,,,,,,,,
SB, 	9 , 	14 , 	2 , 	2 , 	15 , 	1 , 	6 , 	6 , 	7 , 	4 , 	6 , 	24 , 	5 , 	5 , 	3 , 	3 , 	2 , 	1 , 	7 , 	4 , 	4 , 	1 , 	1 , 	3 , 	10 , 	38 , 	28 , 	110 , 	57 , 	46 , 	56 , 	33 , 	43 , 	46 , 	20 , 	3 , 	2 , 	1 , 	4 , 	16 , 	9 , 	36 , 	10 , 	1 , 	2 , 	-   , 	0 , 	0 , 	1 , 	4 , 	705 ,,,,,,,,,,
SO, 	14 , 	29 , 	18 , 	17 , 	34 , 	11 , 	25 , 	21 , 	28 , 	7 , 	10 , 	11 , 	10 , 	9 , 	4 , 	6 , 	6 , 	3 , 	30 , 	34 , 	32 , 	24 , 	15 , 	24 , 	21 , 	91 , 	67 , 	256 , 	102 , 	66 , 	44 , 	28 , 	36 , 	66 , 	50 , 	6 , 	17 , 	11 , 	25 , 	17 , 	15 , 	30 , 	81 , 	9 , 	5 , 	2 , 	4 , 	1 , 	5 , 	29 ," 	1,500 ",,,,,,,,,,
MB, 	8 , 	7 , 	5 , 	9 , 	58 , 	10 , 	8 , 	11 , 	16 , 	4 , 	5 , 	10 , 	2 , 	2 , 	2 , 	3 , 	1 , 	1 , 	7 , 	3 , 	2 , 	2 , 	0 , 	5 , 	10 , 	46 , 	33 , 	101 , 	76 , 	55 , 	40 , 	21 , 	29 , 	43 , 	15 , 	0 , 	3 , 	1 , 	2 , 	4 , 	8 , 	103 , 	35 , 	2 , 	1 , 	2 , 	0 , 	2 , 	1 , 	1 , 	809 ,,,,,,,,,,
