Exit stations,Entry stations->,,SUNDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
GP, 	24 , 	26 , 	15 , 	20 , 	65 , 	24 , 	39 , 	33 , 	41 , 	32 , 	28 , 	47 , 	22 , 	11 , 	5 , 	4 , 	4 , 	12 , 	18 , 	14 , 	22 , 	11 , 	9 , 	26 , 	36 , 	199 , 	167 , 	728 , 	238 , 	192 , 	192 , 	30 , 	45 , 	47 , 	24 , 	4 , 	25 , 	6 , 	21 , 	22 , 	50 , 	125 , 	48 , 	5 , 	15 , 	-   ," 	2,766 ",,,,,,,,,,,
BP, 	25 , 	32 , 	11 , 	21 , 	48 , 	18 , 	27 , 	29 , 	47 , 	38 , 	43 , 	39 , 	31 , 	12 , 	9 , 	5 , 	8 , 	18 , 	16 , 	10 , 	17 , 	7 , 	5 , 	16 , 	40 , 	320 , 	312 ," 	1,448 ", 	377 , 	340 , 	284 , 	48 , 	52 , 	41 , 	47 , 	6 , 	27 , 	11 , 	26 , 	24 , 	102 , 	120 , 	71 , 	6 , 	7 , 	-   ," 	4,237 ",,,,,,,,,,,
DC, 	19 , 	28 , 	13 , 	15 , 	81 , 	20 , 	27 , 	29 , 	33 , 	30 , 	30 , 	76 , 	35 , 	14 , 	13 , 	10 , 	8 , 	31 , 	19 , 	22 , 	28 , 	12 , 	14 , 	19 , 	33 , 	217 , 	215 , 	927 , 	300 , 	208 , 	195 , 	46 , 	58 , 	20 , 	27 , 	8 , 	45 , 	14 , 	34 , 	29 , 	87 , 	188 , 	110 , 	10 , 	14 , 	-   ," 	3,407 ",,,,,,,,,,,
CM, 	8 , 	16 , 	7 , 	4 , 	15 , 	3 , 	8 , 	8 , 	18 , 	5 , 	5 , 	5 , 	10 , 	3 , 	2 , 	3 , 	5 , 	4 , 	10 , 	9 , 	10 , 	4 , 	2 , 	5 , 	5 , 	74 , 	68 , 	294 , 	117 , 	64 , 	72 , 	31 , 	41 , 	19 , 	6 , 	2 , 	3 , 	5 , 	14 , 	8 , 	39 , 	91 , 	32 , 	1 , 	3 , 	-   ," 	1,149 ",,,,,,,,,,,
CV, 	2 , 	4 , 	2 , 	3 , 	13 , 	6 , 	4 , 	6 , 	6 , 	36 , 	27 , 	76 , 	16 , 	49 , 	17 , 	11 , 	10 , 	15 , 	1 , 	2 , 	3 , 	-   , 	-   , 	2 , 	6 , 	71 , 	42 , 	108 , 	40 , 	16 , 	17 , 	4 , 	5 , 	9 , 	1 , 	12 , 	47 , 	1 , 	2 , 	1 , 	2 , 	18 , 	2 , 	66 , 	8 , 	-   , 	786 ,,,,,,,,,,,
ED, 	7 , 	10 , 	5 , 	7 , 	35 , 	7 , 	15 , 	12 , 	14 , 	51 , 	38 , 	263 , 	16 , 	88 , 	26 , 	13 , 	19 , 	71 , 	5 , 	4 , 	3 , 	1 , 	1 , 	2 , 	11 , 	450 , 	161 , 	355 , 	144 , 	45 , 	31 , 	14 , 	24 , 	29 , 	2 , 	43 , 	28 , 	1 , 	5 , 	4 , 	1 , 	95 , 	7 , 	18 , 	62 , 	-   ," 	2,237 ",,,,,,,,,,,
NC, 	2 , 	2 , 	2 , 	4 , 	11 , 	1 , 	9 , 	6 , 	12 , 	1 , 	4 , 	35 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	17 , 	8 , 	14 , 	4 , 	1 , 	12 , 	2 , 	86 , 	52 , 	96 , 	38 , 	14 , 	15 , 	7 , 	8 , 	8 , 	4 , 	1 , 	2 , 	4 , 	15 , 	2 , 	2 , 	27 , 	3 , 	0 , 	11 , 	-   , 	544 ,,,,,,,,,,,
WP, 	22 , 	24 , 	10 , 	12 , 	30 , 	11 , 	74 , 	36 , 	43 , 	10 , 	34 , 	71 , 	20 , 	12 , 	17 , 	11 , 	10 , 	18 , 	133 , 	46 , 	88 , 	18 , 	14 , 	27 , 	20 , 	176 , 	104 , 	252 , 	84 , 	39 , 	59 , 	20 , 	29 , 	26 , 	13 , 	2 , 	6 , 	24 , 	24 , 	15 , 	11 , 	92 , 	11 , 	5 , 	19 , 	-   ," 	1,818 ",,,,,,,,,,,
SS, 	8 , 	10 , 	3 , 	3 , 	14 , 	3 , 	7 , 	7 , 	11 , 	3 , 	10 , 	12 , 	6 , 	2 , 	1 , 	1 , 	3 , 	3 , 	6 , 	6 , 	6 , 	1 , 	2 , 	5 , 	7 , 	54 , 	51 , 	210 , 	81 , 	57 , 	45 , 	19 , 	25 , 	34 , 	6 , 	1 , 	4 , 	2 , 	10 , 	6 , 	19 , 	42 , 	11 , 	1 , 	1 , 	-   , 	816 ,,,,,,,,,,,
SB, 	10 , 	12 , 	6 , 	2 , 	13 , 	3 , 	10 , 	5 , 	13 , 	5 , 	11 , 	20 , 	7 , 	4 , 	4 , 	3 , 	3 , 	10 , 	5 , 	5 , 	7 , 	3 , 	2 , 	7 , 	12 , 	71 , 	50 , 	251 , 	124 , 	80 , 	117 , 	46 , 	104 , 	85 , 	38 , 	2 , 	4 , 	2 , 	12 , 	21 , 	8 , 	49 , 	19 , 	1 , 	2 , 	-   ," 	1,261 ",,,,,,,,,,,
