Exit stations,Entry stations->,,SATURDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
GP, 	21 , 	32 , 	18 , 	26 , 	88 , 	25 , 	52 , 	54 , 	51 , 	28 , 	41 , 	70 , 	18 , 	17 , 	14 , 	7 , 	9 , 	17 , 	21 , 	15 , 	34 , 	13 , 	10 , 	37 , 	35 , 	283 , 	388 ," 	1,089 ", 	338 , 	227 , 	209 , 	21 , 	48 , 	52 , 	33 , 	11 , 	26 , 	4 , 	24 , 	25 , 	56 , 	66 , 	65 , 	6 , 	10 , 	-   ," 	3,728 ",,,,,,,,,,
BP, 	31 , 	43 , 	11 , 	14 , 	55 , 	19 , 	33 , 	47 , 	54 , 	37 , 	48 , 	54 , 	31 , 	21 , 	17 , 	10 , 	12 , 	16 , 	16 , 	9 , 	16 , 	5 , 	5 , 	14 , 	40 , 	364 , 	535 ," 	1,880 ", 	414 , 	319 , 	314 , 	45 , 	37 , 	49 , 	41 , 	8 , 	25 , 	4 , 	31 , 	27 , 	86 , 	88 , 	61 , 	8 , 	6 , 	-   ," 	4,997 ",,,,,,,,,,
DC, 	26 , 	41 , 	22 , 	18 , 	89 , 	20 , 	31 , 	49 , 	58 , 	38 , 	43 , 	119 , 	30 , 	28 , 	21 , 	9 , 	17 , 	32 , 	21 , 	19 , 	25 , 	9 , 	10 , 	21 , 	35 , 	305 , 	493 ," 	1,417 ", 	440 , 	276 , 	233 , 	52 , 	65 , 	21 , 	21 , 	14 , 	39 , 	11 , 	34 , 	30 , 	91 , 	162 , 	105 , 	17 , 	9 , 	-   ," 	4,662 ",,,,,,,,,,
CM, 	11 , 	16 , 	6 , 	7 , 	16 , 	4 , 	7 , 	8 , 	14 , 	4 , 	9 , 	16 , 	6 , 	4 , 	2 , 	4 , 	3 , 	5 , 	9 , 	4 , 	11 , 	2 , 	2 , 	7 , 	8 , 	98 , 	134 , 	359 , 	123 , 	83 , 	85 , 	28 , 	44 , 	18 , 	6 , 	2 , 	5 , 	4 , 	20 , 	9 , 	42 , 	102 , 	30 , 	1 , 	0 , 	-   ," 	1,376 ",,,,,,,,,,
CV, 	2 , 	7 , 	5 , 	5 , 	23 , 	5 , 	11 , 	13 , 	16 , 	54 , 	43 , 	143 , 	30 , 	56 , 	16 , 	8 , 	14 , 	24 , 	3 , 	3 , 	3 , 	2 , 	1 , 	3 , 	11 , 	155 , 	153 , 	253 , 	105 , 	34 , 	21 , 	10 , 	9 , 	12 , 	1 , 	6 , 	65 , 	1 , 	4 , 	2 , 	3 , 	16 , 	2 , 	76 , 	5 , 	-   ," 	1,431 ",,,,,,,,,,
ED, 	9 , 	12 , 	5 , 	12 , 	78 , 	14 , 	16 , 	25 , 	33 , 	72 , 	79 , 	459 , 	42 , 	88 , 	36 , 	13 , 	32 , 	68 , 	8 , 	8 , 	6 , 	1 , 	2 , 	7 , 	18 , 	581 , 	372 , 	688 , 	285 , 	79 , 	52 , 	22 , 	30 , 	52 , 	4 , 	60 , 	34 , 	0 , 	9 , 	7 , 	6 , 	84 , 	10 , 	38 , 	53 , 	-   ," 	3,603 ",,,,,,,,,,
NC, 	2 , 	1 , 	5 , 	2 , 	12 , 	3 , 	10 , 	12 , 	12 , 	3 , 	4 , 	59 , 	4 , 	2 , 	5 , 	1 , 	2 , 	6 , 	24 , 	8 , 	20 , 	6 , 	1 , 	10 , 	3 , 	98 , 	80 , 	175 , 	46 , 	18 , 	11 , 	5 , 	8 , 	11 , 	3 , 	1 , 	0 , 	5 , 	27 , 	2 , 	2 , 	37 , 	5 , 	1 , 	3 , 	-   , 	749 ,,,,,,,,,,
WP, 	28 , 	29 , 	9 , 	11 , 	46 , 	15 , 	83 , 	43 , 	68 , 	15 , 	46 , 	144 , 	21 , 	20 , 	23 , 	9 , 	10 , 	23 , 	175 , 	67 , 	121 , 	20 , 	13 , 	48 , 	27 , 	232 , 	205 , 	443 , 	151 , 	59 , 	74 , 	31 , 	41 , 	49 , 	27 , 	4 , 	8 , 	26 , 	18 , 	13 , 	24 , 	111 , 	12 , 	3 , 	15 , 	-   ," 	2,653 ",,,,,,,,,,
SS, 	7 , 	12 , 	4 , 	3 , 	16 , 	2 , 	6 , 	8 , 	13 , 	3 , 	10 , 	24 , 	12 , 	8 , 	4 , 	6 , 	3 , 	4 , 	8 , 	8 , 	8 , 	4 , 	1 , 	6 , 	7 , 	83 , 	124 , 	309 , 	100 , 	64 , 	64 , 	24 , 	28 , 	29 , 	6 , 	2 , 	7 , 	3 , 	11 , 	10 , 	30 , 	36 , 	19 , 	1 , 	1 , 	-   ," 	1,132 ",,,,,,,,,,
SB, 	15 , 	23 , 	7 , 	11 , 	26 , 	5 , 	14 , 	13 , 	22 , 	11 , 	15 , 	28 , 	5 , 	10 , 	5 , 	5 , 	4 , 	5 , 	10 , 	13 , 	9 , 	3 , 	4 , 	7 , 	17 , 	90 , 	140 , 	325 , 	142 , 	90 , 	109 , 	54 , 	93 , 	101 , 	43 , 	3 , 	5 , 	3 , 	19 , 	30 , 	14 , 	48 , 	27 , 	3 , 	1 , 	-   ," 	1,624 ",,,,,,,,,,
