Exit stations,Entry stations->,,SATURDAY,,,Oct 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CM, 	7 , 	24 , 	4 , 	8 , 	24 , 	7 , 	9 , 	13 , 	18 , 	5 , 	14 , 	8 , 	6 , 	8 , 	5 , 	7 , 	4 , 	7 , 	12 , 	9 , 	15 , 	6 , 	3 , 	5 , 	8 , 	164 , 	127 , 	496 , 	164 , 	99 , 	124 , 	46 , 	82 , 	33 , 	11 , 	2 , 	7 , 	6 , 	28 , 	11 , 	67 , 	84 , 	40 , 	4 , 	-   , 	-   ," 	1,829 ",,,,,,,,,,,
CV, 	5 , 	9 , 	8 , 	7 , 	63 , 	8 , 	14 , 	17 , 	19 , 	66 , 	54 , 	56 , 	40 , 	70 , 	29 , 	10 , 	16 , 	25 , 	4 , 	2 , 	5 , 	1 , 	1 , 	4 , 	6 , 	256 , 	123 , 	264 , 	110 , 	29 , 	24 , 	9 , 	8 , 	19 , 	2 , 	5 , 	60 , 	2 , 	7 , 	3 , 	6 , 	18 , 	5 , 	95 , 	-   , 	-   ," 	1,575 ",,,,,,,,,,,
ED, 	8 , 	21 , 	11 , 	12 , 	165 , 	16 , 	24 , 	30 , 	39 , 	79 , 	98 , 	111 , 	38 , 	112 , 	50 , 	23 , 	36 , 	70 , 	12 , 	7 , 	7 , 	2 , 	1 , 	10 , 	19 , 	943 , 	356 , 	699 , 	257 , 	81 , 	51 , 	25 , 	37 , 	47 , 	11 , 	76 , 	28 , 	2 , 	13 , 	8 , 	9 , 	111 , 	10 , 	38 , 	-   , 	-   ," 	3,797 ",,,,,,,,,,,
NC, 	4 , 	4 , 	2 , 	4 , 	27 , 	6 , 	12 , 	10 , 	19 , 	3 , 	7 , 	25 , 	3 , 	4 , 	3 , 	1 , 	2 , 	5 , 	24 , 	11 , 	22 , 	9 , 	4 , 	16 , 	3 , 	173 , 	87 , 	171 , 	64 , 	17 , 	15 , 	4 , 	9 , 	14 , 	4 , 	2 , 	2 , 	8 , 	23 , 	1 , 	6 , 	35 , 	6 , 	0 , 	-   , 	-   , 	865 ,,,,,,,,,,,
WP, 	31 , 	35 , 	10 , 	16 , 	136 , 	24 , 	99 , 	56 , 	85 , 	17 , 	67 , 	103 , 	30 , 	31 , 	33 , 	13 , 	9 , 	30 , 	243 , 	82 , 	134 , 	28 , 	19 , 	44 , 	29 , 	313 , 	170 , 	443 , 	193 , 	63 , 	64 , 	35 , 	49 , 	57 , 	29 , 	7 , 	13 , 	30 , 	30 , 	12 , 	24 , 	92 , 	21 , 	10 , 	-   , 	-   ," 	3,053 ",,,,,,,,,,,
SS, 	4 , 	13 , 	4 , 	3 , 	29 , 	3 , 	7 , 	8 , 	13 , 	5 , 	13 , 	12 , 	5 , 	7 , 	6 , 	4 , 	4 , 	2 , 	10 , 	10 , 	8 , 	3 , 	2 , 	7 , 	7 , 	157 , 	112 , 	361 , 	136 , 	73 , 	83 , 	23 , 	41 , 	42 , 	8 , 	3 , 	6 , 	2 , 	12 , 	13 , 	30 , 	34 , 	31 , 	3 , 	-   , 	-   ," 	1,354 ",,,,,,,,,,,
SB, 	14 , 	21 , 	8 , 	6 , 	39 , 	9 , 	14 , 	13 , 	23 , 	8 , 	15 , 	19 , 	9 , 	10 , 	10 , 	6 , 	4 , 	4 , 	16 , 	8 , 	9 , 	5 , 	3 , 	7 , 	19 , 	192 , 	111 , 	412 , 	202 , 	123 , 	141 , 	71 , 	143 , 	126 , 	65 , 	6 , 	8 , 	5 , 	27 , 	34 , 	11 , 	43 , 	32 , 	3 , 	-   , 	-   ," 	2,049 ",,,,,,,,,,,
SO, 	27 , 	51 , 	41 , 	63 , 	117 , 	40 , 	71 , 	45 , 	65 , 	17 , 	39 , 	36 , 	23 , 	18 , 	15 , 	9 , 	15 , 	29 , 	53 , 	83 , 	111 , 	58 , 	44 , 	78 , 	66 , 	405 , 	274 ," 	1,199 ", 	416 , 	156 , 	146 , 	78 , 	97 , 	165 , 	81 , 	9 , 	78 , 	24 , 	72 , 	33 , 	44 , 	27 , 	290 , 	31 , 	-   , 	-   ," 	4,834 ",,,,,,,,,,,
MB, 	17 , 	22 , 	17 , 	22 , 	220 , 	18 , 	30 , 	30 , 	44 , 	13 , 	20 , 	19 , 	12 , 	8 , 	7 , 	5 , 	5 , 	6 , 	11 , 	18 , 	19 , 	13 , 	10 , 	36 , 	19 , 	495 , 	264 , 	775 , 	385 , 	237 , 	178 , 	67 , 	114 , 	167 , 	40 , 	2 , 	10 , 	6 , 	18 , 	33 , 	34 , 	281 , 	34 , 	6 , 	-   , 	-   ," 	3,782 ",,,,,,,,,,,
WD, 	5 , 	10 , 	6 , 	6 , 	66 , 	8 , 	16 , 	13 , 	23 , 	35 , 	47 , 	61 , 	38 , 	114 , 	50 , 	25 , 	16 , 	32 , 	6 , 	4 , 	4 , 	2 , 	-   , 	9 , 	11 , 	358 , 	150 , 	303 , 	119 , 	30 , 	17 , 	10 , 	12 , 	26 , 	4 , 	96 , 	24 , 	1 , 	11 , 	3 , 	4 , 	38 , 	8 , 	14 , 	-   , 	-   ," 	1,829 ",,,,,,,,,,,
