Exit stations,Entry stations->,,SATURDAY,,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
CV, 	5 , 	11 , 	4 , 	5 , 	33 , 	7 , 	11 , 	16 , 	14 , 	54 , 	49 , 	56 , 	42 , 	61 , 	15 , 	8 , 	12 , 	25 , 	4 , 	2 , 	3 , 	1 , 	2 , 	6 , 	8 , 	197 , 	114 , 	192 , 	119 , 	30 , 	24 , 	12 , 	10 , 	14 , 	2 , 	5 , 	69 , 	0 , 	3 , 	1 , 	3 , 	16 , 	4 , 	81 , 	9 , 	-   ," 	1,353 ",,,,,,,,,,
ED, 	8 , 	17 , 	10 , 	12 , 	96 , 	18 , 	21 , 	24 , 	25 , 	65 , 	93 , 	195 , 	41 , 	121 , 	46 , 	22 , 	31 , 	77 , 	8 , 	7 , 	5 , 	1 , 	2 , 	10 , 	20 , 	778 , 	354 , 	610 , 	271 , 	107 , 	54 , 	25 , 	34 , 	48 , 	7 , 	63 , 	29 , 	1 , 	9 , 	9 , 	9 , 	117 , 	12 , 	38 , 	57 , 	-   ," 	3,602 ",,,,,,,,,,
NC, 	2 , 	4 , 	1 , 	3 , 	15 , 	2 , 	11 , 	10 , 	9 , 	2 , 	5 , 	15 , 	4 , 	2 , 	4 , 	1 , 	1 , 	5 , 	24 , 	11 , 	18 , 	4 , 	3 , 	10 , 	5 , 	116 , 	78 , 	142 , 	87 , 	16 , 	13 , 	5 , 	7 , 	9 , 	3 , 	1 , 	2 , 	8 , 	25 , 	2 , 	7 , 	36 , 	4 , 	-   , 	7 , 	-   , 	734 ,,,,,,,,,,
WP, 	28 , 	31 , 	8 , 	7 , 	59 , 	19 , 	90 , 	53 , 	66 , 	16 , 	48 , 	67 , 	22 , 	24 , 	21 , 	13 , 	14 , 	22 , 	206 , 	74 , 	134 , 	22 , 	11 , 	37 , 	34 , 	285 , 	178 , 	409 , 	187 , 	77 , 	73 , 	34 , 	43 , 	40 , 	26 , 	3 , 	10 , 	30 , 	23 , 	19 , 	23 , 	128 , 	19 , 	6 , 	30 , 	-   ," 	2,764 ",,,,,,,,,,
SS, 	5 , 	15 , 	6 , 	5 , 	19 , 	5 , 	6 , 	12 , 	12 , 	4 , 	11 , 	7 , 	4 , 	5 , 	3 , 	3 , 	3 , 	7 , 	8 , 	6 , 	12 , 	4 , 	1 , 	4 , 	8 , 	109 , 	107 , 	326 , 	132 , 	88 , 	71 , 	24 , 	31 , 	37 , 	8 , 	2 , 	8 , 	3 , 	11 , 	13 , 	33 , 	37 , 	21 , 	3 , 	2 , 	-   ," 	1,233 ",,,,,,,,,,
SB, 	19 , 	22 , 	5 , 	5 , 	30 , 	10 , 	17 , 	18 , 	25 , 	9 , 	17 , 	13 , 	11 , 	11 , 	7 , 	4 , 	3 , 	11 , 	14 , 	11 , 	9 , 	4 , 	2 , 	8 , 	15 , 	116 , 	92 , 	342 , 	183 , 	110 , 	136 , 	69 , 	109 , 	123 , 	44 , 	4 , 	10 , 	4 , 	19 , 	31 , 	18 , 	58 , 	33 , 	3 , 	3 , 	-   ," 	1,802 ",,,,,,,,,,
SO, 	34 , 	66 , 	59 , 	71 , 	135 , 	53 , 	80 , 	51 , 	69 , 	30 , 	47 , 	24 , 	27 , 	23 , 	13 , 	9 , 	13 , 	24 , 	77 , 	104 , 	114 , 	79 , 	51 , 	103 , 	81 , 	331 , 	236 ," 	1,180 ", 	364 , 	159 , 	118 , 	72 , 	87 , 	167 , 	82 , 	17 , 	91 , 	32 , 	99 , 	30 , 	49 , 	51 , 	287 , 	27 , 	20 , 	-   ," 	4,933 ",,,,,,,,,,
MB, 	12 , 	22 , 	13 , 	17 , 	112 , 	17 , 	27 , 	30 , 	39 , 	13 , 	22 , 	13 , 	12 , 	10 , 	8 , 	4 , 	3 , 	6 , 	15 , 	14 , 	24 , 	9 , 	8 , 	29 , 	18 , 	260 , 	216 , 	665 , 	383 , 	247 , 	178 , 	75 , 	85 , 	120 , 	40 , 	3 , 	10 , 	2 , 	16 , 	18 , 	28 , 	349 , 	41 , 	4 , 	7 , 	-   ," 	3,239 ",,,,,,,,,,
WD, 	4 , 	8 , 	7 , 	4 , 	35 , 	8 , 	15 , 	13 , 	8 , 	42 , 	50 , 	74 , 	37 , 	111 , 	33 , 	15 , 	16 , 	36 , 	4 , 	3 , 	3 , 	0 , 	1 , 	4 , 	6 , 	283 , 	147 , 	221 , 	132 , 	49 , 	21 , 	10 , 	7 , 	18 , 	1 , 	88 , 	25 , 	1 , 	4 , 	4 , 	4 , 	37 , 	5 , 	12 , 	19 , 	-   ," 	1,621 ",,,,,,,,,,
OA, 	9 , 	16 , 	18 , 	29 , 	53 , 	18 , 	20 , 	16 , 	16 , 	13 , 	7 , 	31 , 	7 , 	5 , 	8 , 	5 , 	8 , 	15 , 	13 , 	21 , 	21 , 	15 , 	6 , 	12 , 	7 , 	71 , 	34 , 	89 , 	35 , 	12 , 	9 , 	9 , 	6 , 	10 , 	1 , 	6 , 	33 , 	4 , 	16 , 	3 , 	1 , 	18 , 	3 , 	11 , 	4 , 	-   , 	760 ,,,,,,,,,,
