Exit stations,Entry stations->,,TOTAL,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
DC, 	190 , 	230 , 	15 , 	81 , 	129 , 	30 , 	186 , 	269 , 	355 , 	163 , 	351 , 	256 , 	164 , 	142 , 	106 , 	81 , 	108 , 	76 , 	100 , 	59 , 	78 , 	13 , 	28 , 	51 , 	294 ," 	1,554 "," 	1,936 "," 	3,216 "," 	2,883 "," 	1,920 "," 	1,361 ", 	324 , 	454 , 	149 , 	95 , 	62 , 	125 , 	19 , 	110 , 	255 , 	470 , 	553 , 	286 , 	32 , 	18 , 	69 , 	-   , 	-   , 	82 , 	203 ," 	19,731 ",,,,,,,,,,,,,
CM, 	71 , 	88 , 	12 , 	25 , 	46 , 	24 , 	94 , 	104 , 	125 , 	34 , 	64 , 	67 , 	30 , 	54 , 	54 , 	48 , 	17 , 	29 , 	31 , 	17 , 	32 , 	1 , 	-   , 	17 , 	70 , 	477 , 	616 , 	999 , 	901 , 	520 , 	606 , 	203 , 	219 , 	84 , 	62 , 	5 , 	36 , 	8 , 	113 , 	77 , 	188 , 	559 , 	211 , 	3 , 	3 , 	15 , 	-   , 	-   , 	37 , 	128 ," 	7,224 ",,,,,,,,,,,,,
CV, 	19 , 	19 , 	28 , 	16 , 	30 , 	79 , 	60 , 	49 , 	59 , 	333 , 	449 , 	257 , 	288 , 	294 , 	88 , 	86 , 	82 , 	84 , 	16 , 	1 , 	18 , 	3 , 	3 , 	10 , 	89 , 	426 , 	503 , 	286 , 	396 , 	171 , 	119 , 	40 , 	39 , 	69 , 	11 , 	33 , 	522 , 	1 , 	6 , 	20 , 	32 , 	44 , 	9 , 	337 , 	16 , 	23 , 	-   , 	-   , 	3 , 	6 ," 	5,572 ",,,,,,,,,,,,,
ED, 	75 , 	128 , 	17 , 	30 , 	69 , 	42 , 	177 , 	128 , 	135 , 	488 , 	987 , 	444 , 	445 , 	701 , 	243 , 	185 , 	166 , 	186 , 	29 , 	29 , 	48 , 	4 , 	15 , 	7 , 	177 , 	753 , 	815 , 	696 ," 	1,032 ", 	270 , 	133 , 	95 , 	127 , 	197 , 	50 , 	464 , 	103 , 	4 , 	33 , 	31 , 	32 , 	125 , 	28 , 	128 , 	78 , 	144 , 	-   , 	-   , 	46 , 	32 ," 	10,371 ",,,,,,,,,,,,,
NC, 	14 , 	44 , 	22 , 	5 , 	18 , 	5 , 	90 , 	122 , 	98 , 	13 , 	32 , 	18 , 	27 , 	25 , 	13 , 	6 , 	5 , 	10 , 	223 , 	103 , 	134 , 	48 , 	3 , 	20 , 	14 , 	323 , 	287 , 	199 , 	340 , 	82 , 	86 , 	28 , 	20 , 	24 , 	3 , 	2 , 	5 , 	28 , 	130 , 	13 , 	31 , 	107 , 	7 , 	-   , 	17 , 	9 , 	-   , 	-   , 	102 , 	92 ," 	3,047 ",,,,,,,,,,,,,
WP, 	108 , 	93 , 	36 , 	73 , 	121 , 	38 , 	511 , 	281 , 	424 , 	41 , 	139 , 	133 , 	91 , 	56 , 	63 , 	42 , 	58 , 	41 , 	959 , 	354 , 	488 , 	209 , 	51 , 	143 , 	135 , 	873 ," 	1,063 "," 	1,157 "," 	1,232 ", 	443 , 	479 , 	120 , 	165 , 	174 , 	115 , 	-   , 	20 , 	146 , 	107 , 	83 , 	72 , 	260 , 	27 , 	4 , 	62 , 	81 , 	-   , 	-   , 	118 , 	251 ," 	11,740 ",,,,,,,,,,,,,
SS, 	63 , 	151 , 	29 , 	20 , 	23 , 	17 , 	74 , 	103 , 	123 , 	26 , 	45 , 	70 , 	44 , 	55 , 	20 , 	39 , 	29 , 	22 , 	41 , 	58 , 	12 , 	5 , 	2 , 	10 , 	91 , 	399 , 	402 , 	655 , 	713 , 	468 , 	531 , 	88 , 	259 , 	271 , 	102 , 	20 , 	33 , 	4 , 	83 , 	49 , 	116 , 	205 , 	134 , 	5 , 	1 , 	4 , 	-   , 	-   , 	27 , 	117 ," 	5,858 ",,,,,,,,,,,,,
SB, 	185 , 	174 , 	41 , 	24 , 	39 , 	103 , 	79 , 	103 , 	141 , 	32 , 	170 , 	82 , 	64 , 	48 , 	44 , 	38 , 	12 , 	15 , 	133 , 	73 , 	27 , 	3 , 	27 , 	24 , 	119 , 	292 , 	428 , 	533 , 	724 , 	576 , 	602 , 	283 , 	489 , 	477 , 	170 , 	48 , 	23 , 	23 , 	90 , 	135 , 	50 , 	131 , 	81 , 	5 , 	2 , 	15 , 	-   , 	-   , 	97 , 	119 ," 	7,193 ",,,,,,,,,,,,,
SO, 	153 , 	207 , 	19 , 	31 , 	109 , 	32 , 	138 , 	71 , 	113 , 	60 , 	105 , 	85 , 	164 , 	97 , 	35 , 	32 , 	25 , 	16 , 	259 , 	114 , 	117 , 	26 , 	37 , 	61 , 	177 , 	135 , 	186 , 	477 , 	425 , 	271 , 	211 , 	141 , 	440 , 	439 , 	415 , 	39 , 	101 , 	85 , 	265 , 	160 , 	149 , 	106 , 	362 , 	17 , 	31 , 	9 , 	-   , 	-   , 	57 , 	272 ," 	7,076 ",,,,,,,,,,,,,
MB, 	87 , 	165 , 	53 , 	12 , 	86 , 	20 , 	79 , 	54 , 	96 , 	17 , 	43 , 	52 , 	40 , 	22 , 	66 , 	35 , 	5 , 	35 , 	65 , 	15 , 	14 , 	5 , 	8 , 	5 , 	48 , 	166 , 	339 , 	411 , 	562 , 	294 , 	226 , 	139 , 	362 , 	337 , 	213 , 	3 , 	29 , 	1 , 	43 , 	104 , 	90 , 	409 , 	84 , 	3 , 	3 , 	3 , 	-   , 	-   , 	7 , 	41 ," 	4,996 ",,,,,,,,,,,,,
