Exit stations,Entry stations->,,SUNDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	105 , 	110 , 	62 , 	95 , 	141 , 	105 , 	186 , 	163 , 	137 , 	142 , 	224 , 	66 , 	43 , 	44 , 	36 , 	21 , 	24 , 	45 , 	53 , 	45 , 	66 , 	35 , 	30 , 	126 , 	265 , 	405 , 	318 ," 	1,410 ", 	673 , 	201 , 	58 , 	254 , 	404 , 	329 , 	118 , 	24 , 	63 , 	18 , 	82 , 	93 , 	159 , 	218 , 	262 , 	21 , 	33 , 	-   ," 	7,513 ",,,,,,,,,,,
GP, 	18 , 	30 , 	15 , 	24 , 	60 , 	23 , 	48 , 	45 , 	37 , 	27 , 	34 , 	41 , 	11 , 	13 , 	6 , 	6 , 	5 , 	12 , 	22 , 	18 , 	24 , 	13 , 	10 , 	34 , 	43 , 	214 , 	174 , 	773 , 	284 , 	230 , 	232 , 	23 , 	44 , 	40 , 	22 , 	6 , 	21 , 	4 , 	26 , 	16 , 	43 , 	121 , 	63 , 	6 , 	13 , 	-   ," 	2,973 ",,,,,,,,,,,
BP, 	26 , 	33 , 	10 , 	17 , 	38 , 	20 , 	29 , 	32 , 	47 , 	36 , 	48 , 	30 , 	17 , 	21 , 	10 , 	9 , 	12 , 	19 , 	25 , 	11 , 	22 , 	8 , 	6 , 	16 , 	37 , 	326 , 	327 ," 	1,637 ", 	405 , 	357 , 	349 , 	42 , 	34 , 	55 , 	53 , 	6 , 	26 , 	8 , 	39 , 	21 , 	98 , 	108 , 	75 , 	5 , 	10 , 	-   ," 	4,559 ",,,,,,,,,,,
DC, 	18 , 	32 , 	10 , 	18 , 	60 , 	14 , 	24 , 	40 , 	34 , 	42 , 	49 , 	70 , 	17 , 	26 , 	14 , 	11 , 	12 , 	28 , 	34 , 	19 , 	32 , 	13 , 	15 , 	21 , 	46 , 	253 , 	223 , 	942 , 	335 , 	243 , 	303 , 	42 , 	59 , 	19 , 	25 , 	11 , 	45 , 	8 , 	37 , 	20 , 	89 , 	170 , 	105 , 	17 , 	18 , 	-   ," 	3,665 ",,,,,,,,,,,
CM, 	11 , 	20 , 	4 , 	8 , 	13 , 	2 , 	9 , 	7 , 	14 , 	3 , 	8 , 	8 , 	5 , 	8 , 	4 , 	3 , 	2 , 	3 , 	11 , 	8 , 	9 , 	3 , 	2 , 	4 , 	7 , 	86 , 	70 , 	304 , 	135 , 	77 , 	111 , 	24 , 	46 , 	18 , 	7 , 	1 , 	5 , 	4 , 	21 , 	8 , 	38 , 	84 , 	39 , 	1 , 	3 , 	-   ," 	1,257 ",,,,,,,,,,,
CV, 	4 , 	5 , 	3 , 	3 , 	15 , 	3 , 	9 , 	9 , 	9 , 	29 , 	21 , 	85 , 	27 , 	46 , 	16 , 	8 , 	11 , 	22 , 	3 , 	2 , 	3 , 	0 , 	0 , 	2 , 	4 , 	117 , 	74 , 	137 , 	59 , 	25 , 	21 , 	6 , 	7 , 	12 , 	1 , 	6 , 	64 , 	0 , 	3 , 	2 , 	2 , 	17 , 	2 , 	66 , 	11 , 	-   , 	975 ,,,,,,,,,,,
ED, 	8 , 	9 , 	5 , 	6 , 	52 , 	9 , 	15 , 	19 , 	12 , 	44 , 	35 , 	366 , 	34 , 	103 , 	35 , 	12 , 	27 , 	54 , 	4 , 	4 , 	4 , 	1 , 	2 , 	6 , 	10 , 	646 , 	249 , 	436 , 	186 , 	67 , 	40 , 	21 , 	21 , 	38 , 	5 , 	64 , 	58 , 	0 , 	7 , 	4 , 	5 , 	111 , 	16 , 	30 , 	71 , 	-   ," 	2,951 ",,,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	3 , 	8 , 	4 , 	7 , 	6 , 	10 , 	2 , 	3 , 	19 , 	1 , 	2 , 	1 , 	1 , 	2 , 	4 , 	13 , 	7 , 	18 , 	5 , 	2 , 	9 , 	3 , 	100 , 	61 , 	105 , 	47 , 	17 , 	14 , 	6 , 	6 , 	10 , 	2 , 	2 , 	1 , 	3 , 	21 , 	3 , 	1 , 	36 , 	4 , 	-   , 	12 , 	-   , 	590 ,,,,,,,,,,,
WP, 	23 , 	34 , 	8 , 	13 , 	34 , 	13 , 	83 , 	42 , 	52 , 	16 , 	39 , 	56 , 	16 , 	17 , 	18 , 	9 , 	9 , 	21 , 	171 , 	48 , 	106 , 	20 , 	14 , 	31 , 	21 , 	221 , 	131 , 	305 , 	129 , 	75 , 	65 , 	24 , 	41 , 	38 , 	20 , 	4 , 	6 , 	23 , 	15 , 	13 , 	15 , 	91 , 	20 , 	3 , 	23 , 	-   ," 	2,175 ",,,,,,,,,,,
SS, 	6 , 	8 , 	3 , 	5 , 	9 , 	6 , 	3 , 	6 , 	10 , 	5 , 	7 , 	5 , 	3 , 	5 , 	2 , 	3 , 	2 , 	4 , 	8 , 	5 , 	7 , 	2 , 	4 , 	6 , 	6 , 	76 , 	60 , 	230 , 	89 , 	64 , 	80 , 	17 , 	27 , 	23 , 	4 , 	2 , 	7 , 	3 , 	10 , 	7 , 	22 , 	42 , 	14 , 	2 , 	1 , 	-   , 	907 ,,,,,,,,,,,
SB, 	11 , 	15 , 	6 , 	4 , 	16 , 	6 , 	10 , 	11 , 	16 , 	8 , 	11 , 	13 , 	5 , 	8 , 	6 , 	4 , 	3 , 	7 , 	11 , 	6 , 	10 , 	3 , 	3 , 	5 , 	11 , 	97 , 	65 , 	248 , 	139 , 	103 , 	147 , 	44 , 	99 , 	96 , 	37 , 	3 , 	5 , 	2 , 	18 , 	20 , 	10 , 	52 , 	25 , 	3 , 	3 , 	-   ," 	1,426 ",,,,,,,,,,,
SO, 	26 , 	42 , 	38 , 	62 , 	201 , 	46 , 	76 , 	55 , 	71 , 	24 , 	34 , 	12 , 	12 , 	10 , 	8 , 	5 , 	9 , 	19 , 	60 , 	91 , 	138 , 	61 , 	57 , 	103 , 	81 , 	348 , 	289 ," 	1,320 ", 	357 , 	161 , 	131 , 	53 , 	64 , 	111 , 	58 , 	9 , 	75 , 	25 , 	62 , 	22 , 	31 , 	30 , 	215 , 	22 , 	22 , 	-   ," 	4,749 ",,,,,,,,,,,
MB, 	15 , 	20 , 	19 , 	25 , 	88 , 	22 , 	32 , 	33 , 	38 , 	11 , 	17 , 	19 , 	5 , 	5 , 	4 , 	5 , 	4 , 	4 , 	17 , 	20 , 	31 , 	11 , 	11 , 	40 , 	23 , 	232 , 	178 , 	529 , 	357 , 	231 , 	222 , 	67 , 	80 , 	113 , 	37 , 	4 , 	15 , 	5 , 	22 , 	13 , 	20 , 	474 , 	41 , 	7 , 	7 , 	-   ," 	3,176 ",,,,,,,,,,,
WD, 	2 , 	3 , 	5 , 	4 , 	13 , 	4 , 	7 , 	6 , 	8 , 	28 , 	26 , 	161 , 	29 , 	81 , 	41 , 	15 , 	13 , 	28 , 	2 , 	3 , 	2 , 	0 , 	1 , 	3 , 	6 , 	177 , 	82 , 	148 , 	82 , 	26 , 	17 , 	8 , 	6 , 	19 , 	1 , 	70 , 	23 , 	-   , 	2 , 	2 , 	2 , 	45 , 	4 , 	9 , 	32 , 	-   ," 	1,246 ",,,,,,,,,,,
OA, 	3 , 	9 , 	13 , 	16 , 	58 , 	13 , 	13 , 	9 , 	19 , 	6 , 	2 , 	28 , 	3 , 	4 , 	3 , 	1 , 	5 , 	14 , 	8 , 	16 , 	16 , 	8 , 	4 , 	11 , 	2 , 	92 , 	59 , 	114 , 	41 , 	16 , 	10 , 	6 , 	4 , 	6 , 	0 , 	3 , 	32 , 	3 , 	11 , 	1 , 	0 , 	20 , 	4 , 	15 , 	14 , 	-   , 	736 ,,,,,,,,,,,
