Exit stations,Entry stations->,,SATURDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	103 , 	132 , 	61 , 	123 , 	229 , 	137 , 	241 , 	205 , 	157 , 	143 , 	215 , 	66 , 	48 , 	50 , 	40 , 	25 , 	30 , 	50 , 	45 , 	47 , 	55 , 	40 , 	30 , 	150 , 	252 , 	586 , 	439 ," 	1,846 ", 	803 , 	242 , 	53 , 	257 , 	491 , 	312 , 	120 , 	27 , 	58 , 	14 , 	65 , 	85 , 	146 , 	178 , 	229 , 	17 , 	18 , 	-   ," 	8,660 ",,,,,,,,,,,
GP, 	24 , 	35 , 	23 , 	38 , 	80 , 	26 , 	50 , 	53 , 	55 , 	35 , 	45 , 	24 , 	15 , 	14 , 	11 , 	7 , 	6 , 	13 , 	20 , 	16 , 	27 , 	14 , 	12 , 	43 , 	49 , 	287 , 	261 ," 	1,091 ", 	326 , 	254 , 	241 , 	21 , 	59 , 	62 , 	36 , 	7 , 	21 , 	4 , 	26 , 	29 , 	61 , 	74 , 	83 , 	7 , 	10 , 	-   ," 	3,696 ",,,,,,,,,,,
BP, 	36 , 	48 , 	11 , 	25 , 	62 , 	24 , 	40 , 	46 , 	71 , 	37 , 	68 , 	27 , 	25 , 	25 , 	14 , 	12 , 	12 , 	18 , 	18 , 	18 , 	18 , 	8 , 	9 , 	22 , 	57 , 	426 , 	502 ," 	2,173 ", 	477 , 	430 , 	434 , 	58 , 	44 , 	71 , 	72 , 	6 , 	29 , 	8 , 	31 , 	43 , 	116 , 	92 , 	92 , 	6 , 	7 , 	-   ," 	5,870 ",,,,,,,,,,,
DC, 	30 , 	58 , 	27 , 	24 , 	92 , 	23 , 	33 , 	44 , 	56 , 	41 , 	65 , 	39 , 	23 , 	26 , 	23 , 	18 , 	17 , 	30 , 	32 , 	27 , 	43 , 	23 , 	14 , 	29 , 	52 , 	339 , 	355 ," 	1,319 ", 	420 , 	306 , 	288 , 	62 , 	77 , 	25 , 	33 , 	14 , 	51 , 	11 , 	40 , 	38 , 	123 , 	153 , 	138 , 	17 , 	9 , 	-   ," 	4,705 ",,,,,,,,,,,
CM, 	10 , 	19 , 	5 , 	7 , 	17 , 	6 , 	12 , 	16 , 	16 , 	6 , 	11 , 	6 , 	7 , 	6 , 	5 , 	2 , 	3 , 	6 , 	10 , 	8 , 	12 , 	5 , 	4 , 	7 , 	11 , 	102 , 	99 , 	405 , 	151 , 	100 , 	108 , 	43 , 	66 , 	31 , 	9 , 	1 , 	6 , 	3 , 	21 , 	11 , 	55 , 	81 , 	45 , 	1 , 	1 , 	-   ," 	1,555 ",,,,,,,,,,,
CV, 	4 , 	7 , 	5 , 	6 , 	26 , 	4 , 	11 , 	13 , 	14 , 	44 , 	35 , 	82 , 	36 , 	72 , 	28 , 	11 , 	12 , 	26 , 	3 , 	3 , 	4 , 	1 , 	0 , 	4 , 	6 , 	126 , 	86 , 	188 , 	61 , 	25 , 	22 , 	6 , 	9 , 	17 , 	2 , 	9 , 	78 , 	1 , 	3 , 	3 , 	4 , 	20 , 	5 , 	82 , 	8 , 	-   ," 	1,212 ",,,,,,,,,,,
ED, 	10 , 	14 , 	8 , 	14 , 	85 , 	16 , 	20 , 	25 , 	25 , 	61 , 	63 , 	306 , 	55 , 	121 , 	46 , 	22 , 	32 , 	76 , 	9 , 	7 , 	5 , 	3 , 	1 , 	7 , 	18 , 	676 , 	277 , 	550 , 	223 , 	75 , 	49 , 	26 , 	36 , 	58 , 	8 , 	83 , 	49 , 	1 , 	8 , 	7 , 	9 , 	107 , 	19 , 	34 , 	47 , 	-   ," 	3,392 ",,,,,,,,,,,
NC, 	3 , 	3 , 	3 , 	3 , 	18 , 	4 , 	13 , 	10 , 	13 , 	4 , 	7 , 	27 , 	1 , 	2 , 	1 , 	1 , 	3 , 	4 , 	27 , 	12 , 	23 , 	7 , 	3 , 	9 , 	3 , 	115 , 	70 , 	131 , 	55 , 	20 , 	15 , 	4 , 	8 , 	14 , 	3 , 	2 , 	1 , 	7 , 	18 , 	3 , 	5 , 	40 , 	7 , 	0 , 	7 , 	-   , 	729 ,,,,,,,,,,,
WP, 	30 , 	43 , 	9 , 	12 , 	58 , 	17 , 	117 , 	57 , 	86 , 	16 , 	51 , 	74 , 	19 , 	24 , 	22 , 	13 , 	12 , 	27 , 	235 , 	83 , 	130 , 	26 , 	21 , 	41 , 	26 , 	255 , 	158 , 	390 , 	143 , 	73 , 	66 , 	32 , 	51 , 	46 , 	27 , 	4 , 	10 , 	32 , 	21 , 	16 , 	19 , 	101 , 	23 , 	4 , 	17 , 	-   ," 	2,737 ",,,,,,,,,,,
SS, 	8 , 	17 , 	3 , 	5 , 	17 , 	5 , 	7 , 	9 , 	17 , 	6 , 	14 , 	6 , 	6 , 	6 , 	5 , 	4 , 	3 , 	3 , 	7 , 	7 , 	9 , 	1 , 	2 , 	5 , 	10 , 	112 , 	100 , 	313 , 	126 , 	79 , 	80 , 	26 , 	43 , 	43 , 	8 , 	3 , 	5 , 	5 , 	13 , 	12 , 	26 , 	28 , 	23 , 	2 , 	2 , 	-   ," 	1,230 ",,,,,,,,,,,
SB, 	15 , 	23 , 	8 , 	7 , 	19 , 	8 , 	18 , 	17 , 	24 , 	13 , 	19 , 	14 , 	9 , 	14 , 	9 , 	6 , 	5 , 	8 , 	10 , 	9 , 	12 , 	4 , 	1 , 	11 , 	19 , 	111 , 	83 , 	364 , 	172 , 	114 , 	134 , 	62 , 	135 , 	119 , 	51 , 	5 , 	9 , 	2 , 	19 , 	32 , 	13 , 	45 , 	32 , 	3 , 	2 , 	-   ," 	1,806 ",,,,,,,,,,,
SO, 	30 , 	65 , 	43 , 	73 , 	281 , 	53 , 	86 , 	56 , 	75 , 	26 , 	49 , 	16 , 	19 , 	11 , 	12 , 	6 , 	12 , 	30 , 	68 , 	92 , 	116 , 	62 , 	47 , 	106 , 	79 , 	306 , 	246 ," 	1,196 ", 	397 , 	164 , 	140 , 	69 , 	95 , 	150 , 	81 , 	12 , 	71 , 	27 , 	79 , 	33 , 	37 , 	23 , 	313 , 	19 , 	16 , 	-   ," 	4,991 ",,,,,,,,,,,
MB, 	19 , 	29 , 	22 , 	33 , 	142 , 	24 , 	47 , 	34 , 	52 , 	19 , 	27 , 	12 , 	5 , 	8 , 	7 , 	4 , 	4 , 	5 , 	21 , 	20 , 	31 , 	14 , 	15 , 	42 , 	27 , 	269 , 	198 , 	662 , 	333 , 	240 , 	198 , 	79 , 	101 , 	161 , 	47 , 	4 , 	20 , 	7 , 	18 , 	19 , 	30 , 	310 , 	39 , 	5 , 	6 , 	-   ," 	3,412 ",,,,,,,,,,,
WD, 	2 , 	7 , 	5 , 	6 , 	29 , 	7 , 	13 , 	11 , 	11 , 	30 , 	35 , 	108 , 	39 , 	110 , 	54 , 	19 , 	24 , 	37 , 	4 , 	3 , 	3 , 	0 , 	1 , 	3 , 	7 , 	195 , 	101 , 	176 , 	82 , 	28 , 	17 , 	9 , 	11 , 	20 , 	1 , 	94 , 	26 , 	0 , 	2 , 	4 , 	4 , 	34 , 	5 , 	18 , 	18 , 	-   ," 	1,412 ",,,,,,,,,,,
OA, 	5 , 	12 , 	14 , 	22 , 	125 , 	23 , 	21 , 	18 , 	20 , 	11 , 	7 , 	29 , 	7 , 	6 , 	9 , 	6 , 	9 , 	25 , 	10 , 	16 , 	16 , 	9 , 	4 , 	20 , 	7 , 	56 , 	37 , 	87 , 	35 , 	14 , 	14 , 	8 , 	6 , 	8 , 	1 , 	5 , 	35 , 	3 , 	9 , 	1 , 	1 , 	13 , 	4 , 	14 , 	10 , 	-   , 	811 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
